Chinese (Simpl.),Pinyin,English
缩影,suōyǐng,miniature version of sth; microcosm; epitome; (Tw) to microfilm
所属,suǒshǔ,one's affiliation (i.e. the organization one is affiliated with); subordinate (i.e. those subordinate to oneself); belonging to; affiliated
所谓,suǒwèi,so-called; what is called
所作所为,suǒzuòsuǒwéi,one's conduct and deeds
索赔,suǒpéi,to ask for compensation; to claim damages; claim for damages
索取,suǒqǔ,to ask; to demand
索性,suǒxìng,you might as well (do it); simply; just
锁定,suǒdìng,to lock (a door); to close with a latch; to lock into place; a lock
他人,tārén,another person; sb else; other people
塌,tā,to collapse; to droop; to settle down
拓宽,tuòkuān,to broaden
拓展,tuòzhǎn,to expand (one's client base outlook etc)
踏上,tàshàng,to set foot on; to step on or into
胎,tāi,fetus; classifier for litters (of puppies etc); padding (in clothing or bedding); womb carrying a fetus
胎儿,tāiér,unborn child; fetus; embryo
台球,táiqiú,billiards
太极,tàijí,Tai Chi; the Supreme Ultimate (Taiji)
太极拳,tàijíquán,shadowboxing or Taiji; T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art
太平,tàipíng,peace and tranquility; peace and security
泰斗,tàidǒu,(abbr. for 斗) distinguished figure; doyen; revered authority
贪,tān,to have a voracious desire for; to covet; greedy; corrupt
贪婪,tānlán,avaricious; greedy; rapacious; insatiable
贪玩儿,tānwánr5,Greedy
贪污,tānwū,to be corrupt; corruption; to embezzle
摊,tān,to spread out; vendor's stand
瘫,tān,paralyzed
瘫痪,tānhuàn,paralysis; be paralyzed (body transportation etc)
坛,tán,platform; rostrum; altar; earthen jar
谈不上,tánbushàng,to be out of the question
谈到,tándào,to refer to; to speak about; to talk about
谈论,tánlùn,to discuss; to talk about
谈起,tánqǐ,to mention; to speak of; to talk about
痰,tán,phlegm; spittle
坦白,tǎnbái,honest; forthcoming; to confess
坦诚,tǎnchéng,candid; frank; plain dealing
坦克,tǎnkè,tank (military vehicle) (loanword)
坦率,tǎnshuài,frank (discussion); blunt; open
坦然,tǎnrán,calm; undisturbed
毯子,tǎnzi,blanket
炭,tàn,wood charcoal; coal
探,tàn,to explore; to search out; to scout; to visit
探测,tàncè,to probe; to survey
探亲,tànqīn,to go home to visit one's family
探求,tànqiú,to seek; to pursue; to investigate
探望,tànwàng,to visit; to call on sb; to look around
探险,tànxiǎn,to explore; to go on an expedition; adventure
碳,tàn,carbon (chemistry)
汤圆,tāngyuán,boiled or deep-fried balls of glutinous rice flour; usually eaten during Lantern Festival
堂,táng,(main) hall; large room for a specific purpose; relationship between cousins etc on the paternal side of a family; of the same clan
糖果,tángguǒ,candy
糖尿病,tángniàobìng,diabetes; diabetes mellitus
倘若,tǎngruò,if; supposing; in case
淌,tǎng,to drip; to trickle; to shed (tears)
烫,tàng,to scald; to burn (by scalding); to blanch (cooking); to heat (sth) up in hot water
掏钱,tāoqián,to pay; to spend money; to fork out
滔滔不绝,tāotāobùjué,unceasing torrent (idiom); talking non-stop; gabbling forty to the dozen
逃避,táobì,to escape; to evade; to avoid; to shirk
逃生,táoshēng,to flee for one's life
逃亡,táowáng,to flee; flight (from danger); fugitive
陶瓷,táocí,pottery and porcelain; ceramics
陶冶,táoyě,lit. to fire pots and smelt metal; fig. to educate
陶醉,táozuì,to be infatuated with; to be drunk with; to be enchanted with; to revel in
淘,táo,to wash; to clean out; to cleanse; to eliminate
淘气,táoqì,naughty; mischievous
淘汰,táotài,to wash out; (fig.) to cull; to weed out; to eliminate
讨,tǎo,to ask for; to demand; to provoke; to discuss (讨论)
讨好,tǎohǎo,to get the desired outcome; to win favor by fawning on sb; to curry favor with; a fruitful outcome to reward one's labor
讨价还价,tǎojiàhuánjià,to haggle over price; to bargain
讨人喜欢,tǎorénxǐhuan,to attract people's affection; charming; delightful
特产,tèchǎn,special local product; (regional) specialty
特例,tèlì,special case; isolated example
特权,tèquán,prerogative; privilege; privileged
特邀,tèyāo,special invitation
特长,tècháng,personal strength; one's special ability or strong points
特制,tèzhì,special; unique
特质,tèzhì,characteristic; special quality
腾,téng,to soar; to rise; to make room (腾出)
藤椅,téngyǐ,rattan chair
剔除,tīchú,to reject; to discard; to get rid of
梯子,tīzi,ladder; stepladder
提拔,tíbá,to promote to a higher job; to select for promotion
提防,dīfang,to guard against; to be vigilant; watch you don't (slip)
提炼,tíliàn,to extract (ore minerals etc); to refine; to purify; to process
提名,tímíng,to nominate
提速,tísù,to increase the specified cruising speed; to pick up speed; to speed up
提心吊胆,tíxīndiàodǎn,(saying) to be very scared and on edge
提议,tíyì,proposal; suggestion; to propose; to suggest
提早,tízǎo,ahead of schedule; sooner than planned; to bring forward (to an earlier time)
体谅,tǐliàng,to empathize; to allow (for sth); to show understanding; to appreciate
体面,tǐmiàn,dignity; prestige; face; honorable
体能,tǐnéng,physical capability; stamina
体贴,tǐtiē,considerate (of other people's needs)
体温,tǐwēn,(body) temperature
体系,tǐxì,system; setup
体制,tǐzhì,system; organization
体质,tǐzhì,constitution
剃,tì,to shave; shave; to weed
替换,tìhuàn,to exchange; to replace; to substitute for; to switch
替身,tìshēn,stand-in; substitute; body double; stuntman
天地,tiāndì,heaven and earth; world; scope; field of activity
天鹅,tiāné,swan
天分,tiānfèn,natural gift; talent
天赋,tiānfù,gift; innate skill
天经地义,tiānjīngdìyì,lit. heaven's law and earth's principle (idiom); fig. right and proper; right and unalterable; a matter of course
天平,tiānpíng,scales (to weigh things)
天桥,tiānqiáo,overpass; pedestrian bridge; footbridge
天生,tiānshēng,nature; disposition; innate; natural
天使,tiānshǐ,angel
天线,tiānxiàn,antenna; mast; connection with high-ranking officials
天性,tiānxìng,nature; innate tendency
天长地久,tiānchángdìjiǔ,enduring while the world lasts (idiom); eternal
天主教,Tiānzhǔjiào,Catholicism
添加,tiānjiā,to add; to increase
甜美,tiánměi,sweet; pleasant; happy
甜蜜,tiánmì,sweet; happy
甜头,tiántou,sweet taste (of power success etc); benefit
填补,tiánbǔ,to fill a gap; to fill in a blank (on a form); to overcome a deficiency
填充,tiánchōng,to fill up; to stuff; to fill in a blank space
填写,tiánxiě,to fill in a form; to write data in a box (on a questionnaire or web form)
舔,tiǎn,to lick; to lap
挑起,tiǎoqǐ,to provoke; to stir up; to incite
挑剔,tiāoti,picky; fussy
挑衅,tiǎoxìn,to provoke; provocation
条款,tiáokuǎn,clause (of contract or law)
条例,tiáolì,regulations; rules; code of conduct; ordinances
条约,tiáoyuē,treaty; pact
跳槽,tiàocáo,to change jobs; job-hopping
跳动,tiàodòng,to throb; to pulse; to bounce; to jiggle
跳伞,tiàosǎn,to parachute; to bail out; parachute jumping
跳跃,tiàoyuè,to jump; to leap; to bound; to skip
帖子,tiězi,card; invitation; message; (forum) post
贴近,tiējìn,to press close to; to snuggle close; intimate
贴切,tiēqiè,close-fitting; closest (translation)
听从,tīngcóng,to listen and obey; to comply with; to heed; to hearken
听话,tīnghuà,to do what one is told; obedient
停车位,tíngchēwèi,parking space; parking spot
停电,tíngdiàn,to have a power failure; power cut
停顿,tíngdùn,to halt; to break off; pause (in speech)
停放,tíngfàng,to park (a car etc); to moor (a boat etc); to leave sth (in a place)
停泊,tíngbó,to anchor; anchorage; mooring (of a ship)
停业,tíngyè,to cease trading (temporarily or permanently); to close down
通畅,tōngchàng,unobstructed; clear; (of writing or thinking) coherent; fluent
通车,tōngchē,to open to traffic (e.g. new bridge rail line etc); (of a locality) to have a transportation service; (Tw) to commute
通风,tōngfēng,airy; ventilation; to ventilate; to disclose information
通告,tōnggào,to announce; to give notice; announcement
通缉,tōngjī,to order the arrest of sb as criminal; to list as wanted
通顺,tōngshùn,smooth; clear and coherent
通俗,tōngsú,common; everyday; average
通通,tōngtōng,all; entire; complete
通往,tōngwǎng,to lead to
通宵,tōngxiāo,all night; throughout the night
通行证,tōngxíngzhèng,a pass (authority to enter); a laissez-passer or safe conduct
同伴,tóngbàn,companion; comrade; fellow
同步,tóngbù,synchronous; to synchronize; to keep step with
同等,tóngděng,equal to; having the same social class or status
同感,tónggǎn,(have the) same feeling; similar impression; common feeling
同伙,tónghuǒ,colleague; co-conspirator; accomplice
同类,tónglèi,similar; same type; alike
同盟,tóngméng,alliance
同年,tóngnián,the same year
同人,tóngrén,people from the same workplace or profession; co-worker; colleague; pop culture enthusiasts who create fan fiction etc
同志,tóngzhì,comrade; (slang) homosexual
同舟共济,tóngzhōugòngjì,cross a river in the same boat (idiom); fig. having common interests; obliged to collaborate towards common goals
铜,tóng,copper (chemistry)
统筹,tǒngchóu,an overall plan; to plan an entire project as a whole
统统,tǒngtǒng,totally
统治,tǒngzhì,to rule (a country); to govern; rule; regime
捅,tǒng,to stab; to poke; to prod; to nudge
桶,tǒng,bucket; (trash) can; barrel (of oil etc)
筒,tǒng,tube; cylinder; to encase in sth cylindrical (such as hands in sleeves etc)
痛心,tòngxīn,grieved; pained
偷看,tōukàn,to peep; to peek; to steal a glance
偷窥,tōukuī,to peep; to peek; to act as voyeur
偷懒,tōulǎn,to goof off; to be lazy
头部,tóubù,head
头顶,tóudǐng,top of the head
头号,tóuhào,first rate; top rank; number one
头条,tóutiáo,top headline; lead story
头头是道,tóutóushìdào,clear and logical
头衔,tóuxián,title; rank; appellation
头晕,tóuyūn,dizzy
投奔,tóubèn,to seek shelter; to seek asylum
投稿,tóugǎo,to submit articles for publication; to contribute (writing)
投机,tóujī,to speculate (on financial markets); opportunistic; congenial; agreeable
投降,tóuxiáng,to surrender; surrender
投射,tóushè,to throw (a projectile); to cast (light)
投身,tóushēn,to throw oneself into sth
透彻,tòuchè,penetrating; thorough; incisive
透过,tòuguò,to pass through; to penetrate; by means of; via
透气,tòuqì,to flow freely (of air); to ventilate; to breathe (of fabric etc); to take a breath of fresh air
透支,tòuzhī,(banking) to overdraw; to take out an overdraft; an overdraft; to overspend (i.e. expenditure in excess of revenue)
凸,tū,to stick out; protruding; convex; male (connector etc)
凸显,tūxiǎn,to present clearly; to give prominence to; to magnify; clear and obvious
秃,tū,bald; blunt
突发,tūfā,to occur suddenly
突击,tūjī,sudden and violent attack; assault; fig. rushed job; concentrated effort to finish a job quickly
突破口,tūpòkǒu,breach; gap; breakthrough point
突如其来,tūrúqílái,to arise abruptly; to arrive suddenly; happening suddenly
图表,túbiǎo,chart; diagram
图像,túxiàng,image; picture; graphic
图形,túxíng,picture; figure; diagram; graph
图纸,túzhǐ,blueprint; drawing; design plans; graph paper
徒步,túbù,to be on foot
屠杀,túshā,to massacre; to slaughter
土匪,tǔfěi,bandit
土壤,tǔrǎng,soil
土生土长,tǔshēngtǔzhǎng,locally born and bred; indigenous; home-grown
涂,tú,to apply (paint etc); to smear; to daub; to blot out
团伙,tuánhuǒ,(criminal) gang; gang member; accomplice; crony
团聚,tuánjù,to reunite; to have a reunion
团员,tuányuán,member; group member
团圆,tuányuán,to have a reunion
推测,tuīcè,speculation; to conjecture; to surmise; to speculate
推辞,tuīcí,to decline (an appointment invitation etc)
推断,tuīduàn,to infer; to deduce; to predict; to extrapolate
推翻,tuīfān,to overthrow
推荐,tuījiàn,to recommend; recommendation
推理,tuīlǐ,reasoning; inference; to infer; to deduce
推敲,tuīqiāo,to think over
推算,tuīsuàn,to calculate; to reckon; to extrapolate (in calculation)
推卸,tuīxiè,to avoid (esp. responsibility); to shift (the blame); to pass the buck
推选,tuīxuǎn,to elect; to choose
推移,tuīyí,(of time) to elapse or pass; (of a situation) to develop or evolve
颓废,tuífèi,decadent; dispirited; depressed; dejected
退回,tuìhuí,to return (an item); to send back; to go back
退却,tuìquè,to retreat; to shrink back
退让,tuìràng,to move aside; to get out of the way; to back down; to concede
退缩,tuìsuō,to shrink back; to cower
退休金,tuìxiūjīn,retirement pay; pension
退学,tuìxué,to quit school
退役,tuìyì,(of military personnel or athletes) to retire; (of outdated equipment) to be decommissioned
屯,tún,to station (soldiers); to store up; village; difficult
托付,tuōfù,to entrust
拖累,tuōlěi,to encumber; to be a burden on; to implicate
拖欠,tuōqiàn,in arrears; behind in payments; to default on one's debts
拖延,tuōyán,to delay; to put off; to procrastinate
脱节,tuōjié,to come apart
脱口而出,tuōkǒuérchū,to blurt out; to let slip (an indiscreet remark)
脱落,tuōluò,to drop off; to come off; to lose (hair etc); to omit (a character when writing)
脱身,tuōshēn,to get away; to escape (from obligations); to free oneself; to disengage
脱颖而出,tuōyǐngérchū,to reveal one's talent (idiom); to rise above others; to distinguish oneself
驮,tuó,to carry on one's back (pack animal)
妥,tuǒ,suitable; adequate; ready; settled
妥当,tuǒdang,appropriate; proper; ready
妥善,tuǒshàn,appropriate; proper
妥协,tuǒxié,to compromise; to reach terms; a compromise
唾液,tuòyè,saliva
挖掘,wājué,to excavate; to dig; to unearth
挖苦,wākǔ,to speak sarcastically; to make cutting remarks
瓦,wǎ,roof tile
歪,wāi,askew; at a crooked angle; devious; noxious
歪曲,wāiqū,to distort; to misrepresent
外表,wàibiǎo,external; outside; outward appearance
外公,wàigōng,(coll.) mother's father; maternal grandfather
外号,wàihào,nickname
外籍,wàijí,foreign (i.e. of foreign nationality)
外贸,wàimào,foreign trade
外貌,wàimào,profile; appearance
外婆,wàipó,(coll.) mother's mother; maternal grandmother
外企,wàiqǐ,foreign enterprise; company established in mainland China with direct investment from foreign entities or from investors in Taiwan; Macao or Hong Kong
外星人,wàixīngrén,space alien; extraterrestrial
外行,wàiháng,layman; amateur
外形,wàixíng,figure; shape; external form; contour
外援,wàiyuán,foreign aid; external aid; (sports) foreign player; player recruited from overseas
丸,wán,ball; pellet; pill
完备,wánbèi,faultless; complete; perfect; to leave nothing to be desired
完毕,wánbì,to finish; to end; to complete
完蛋,wándàn,(coll.) to be done for
完好,wánhǎo,intact; in good condition
玩耍,wánshuǎ,to play (as children do); to amuse oneself
玩意儿,wányìr,toy; thing; trick
顽固,wángù,stubborn; obstinate
挽,wǎn,to pull; to draw (a cart or a bow); to roll up; to coil
挽回,wǎnhuí,to retrieve; to redeem
挽救,wǎnjiù,to save; to remedy; to rescue
惋惜,wǎnxī,to regret; to feel that it is a great pity; to feel sorry for sb
晚间,wǎnjiān,evening; night
晚年,wǎnnián,one's later years
晚期,wǎnqī,later period; end stage; terminal
万分,wànfēn,very much; extremely; one ten thousandth part
万古长青,wàngǔchángqīng,remain fresh; last forever; eternal
万能,wànnéng,omnipotent; all-purpose; universal
万万,wànwàn,absolutely; wholly
万无一失,wànwúyīshī,surefire; absolutely safe (idiom)
汪洋,wāngyáng,vast body of water
亡羊补牢,wángyángbǔláo,lit. to mend the pen after sheep are lost (idiom); fig. to act belatedly; better late than never; to lock the stable door after the horse has bolted
王国,wángguó,kingdom; realm
王牌,wángpái,trump card
网点,wǎngdiǎn,(computing) node in a network; (commerce) sales outlet; branch; service center
网民,wǎngmín,web user; netizen
往常,wǎngcháng,usual; customary
往返,wǎngfǎn,to go back and forth; to go to and fro; to do a round trip
往日,wǎngrì,former days; the past
往事,wǎngshì,past events; former happenings
妄想,wàngxiǎng,to attempt vainly; a vain attempt; delusion
忘不了,wàngbùliǎo,cannot forget
忘掉,wàngdiào,to forget
旺,wàng,prosperous; flourishing; (of flowers) blooming; (of fire) roaring
旺季,wàngjì,busy season; peak period
旺盛,wàngshèng,vigorous; exuberant
望,wàng,to gaze into the distance; to hope; to visit
望远镜,wàngyuǎnjìng,binoculars; telescope
危及,wēijí,to endanger; to jeopardize; a danger (to life national security etc)
危急,wēijí,critical; desperate (situation)
威风,wēifēng,might; awe-inspiring authority; impressive
威力,wēilì,might; formidable power
威慑,wēishè,to cower by military force; deterrence
威信,wēixìn,prestige; reputation; trust
萎缩,wěisuō,to wither; to dry up (of a plant); to atrophy (of muscle social custom etc)
微不足道,wēibùzúdào,negligible; insignificant
微观,wēiguān,micro-; subatomic
微妙,wēimiào,subtle
微弱,wēiruò,weak; faint; feeble
微型,wēixíng,miniature; micro-; tiny
围墙,wéiqiáng,perimeter wall; fence
违背,wéibèi,to go against; to be contrary to; to violate
违约,wéiyuē,to break a promise; to violate an agreement; to default (on a loan or contract)
违章,wéizhāng,to break the rules; to violate regulations
唯,wéi,only; alone; -ism (in Chinese a prefix often combined with a suffix such as 主义 or 论 e.g. 唯理论 rationalism); yes
唯独,wéidú,only; just (i.e. it is only that...); all except; unique
伪造,wěizào,to forge; to fake; to counterfeit
伪装,wěizhuāng,to pretend to be (asleep etc); to disguise oneself as; pretense; disguise
尾气,wěiqì,exhaust; emissions
尾声,wěishēng,coda; epilogue; end
纬度,wěidù,latitude
委屈,wěiqu,to feel wronged; to cause sb to feel wronged; grievance
委婉,wěiwǎn,tactful; euphemistic; (of voice etc) suave; soft
委员,wěiyuán,committee member
委员会,wěiyuánhuì,committee
卫视,wèishì,satellite TV (abbr. for 卫星电视)
为人,wéirén,to conduct oneself; behavior; conduct; personal character
未,wèi,not yet; did not; have not; not
未成年人,wèichéngniánrén,minor (i.e. person under 18)
未经,wèijīng,not having undergone; without (having gone though a certain process)
未免,wèimiǎn,unavoidably; can't help; really; rather
未知数,wèizhīshù,unknown quantity
位子,wèizi,place; seat
味精,wèijīng,monosodium glutamate (MSG)
畏惧,wèijù,to fear; to dread; foreboding
畏缩,wèisuō,to cower; to flinch; to quail; to recoil
胃口,wèikǒu,appetite; liking
喂养,wèiyǎng,to feed (a child domestic animal etc); to keep; to raise (an animal)
慰劳,wèiláo,to show appreciation (by kind words small gifts etc); to comfort
温度计,wēndùjì,thermometer; thermograph
温泉,wēnquán,hot spring; spa
温柔,wēnróu,gentle and soft; tender; sweet (commonly used to describe a girl or woman)
温室,wēnshì,greenhouse
温习,wēnxí,to review (a lesson etc)
温馨,wēnxīn,comfort; soft and fragrant; warm
瘟疫,wēnyì,plague; pestilence
文,wén,language; culture; writing; formal
文具,wénjù,stationery; item of stationery (pen pencil eraser pencil sharpener etc)
文科,wénkē,liberal arts; humanities
文盲,wénmáng,illiterate
文凭,wénpíng,diploma
文人,wénrén,scholar; literati
