Spanish,English
a veces,sometimes
temprano,early
tarde; la tarde,afternoon; late
noche; la noche,night; evening
mediodía; el mediodía,noon; midday
lunes; el lunes,Monday
martes; el martes,Tuesday
miércoles; el miércoles,Wednesday
jueves; el jueves,Thursday
viernes; el viernes,Friday
sábado; el sábado,Saturday
domingo; el domingo,Sunday
enero,January
febrero,February
marzo,March
abril,April
mayo,May
junio,June
julio,July
agosto,August
septiembre,September
octubre,October
noviembre,November
diciembre,December
primavera; la primavera,spring (season)
verano; el verano,summer
otoño; el otoño,autumn; fall
invierno; el invierno,winter
fin de semana; el fin de semana,weekend
cumpleaños; el cumpleaños,birthday
fiesta; la fiesta,party; holiday
vez; la vez,time; occasion
familia; la familia,family
padre; el padre,father
madre; la madre,mother
papá; el papá,dad
mamá; la mamá,mom; mum
hijo; el hijo,son
hija; la hija,daughter
hermano; el hermano,brother
hermana; la hermana,sister
abuelo; el abuelo,grandfather
abuela; la abuela,grandmother
tío; el tío,uncle
tía; la tía,aunt
primo; el primo,cousin
marido; el marido,husband
mujer; la mujer,woman; wife
pareja; la pareja,partner; couple
niño; el niño,child; boy
niña; la niña,girl (child)
chico; el chico,boy; guy
chica; la chica,girl
hombre; el hombre,man
persona; la persona,person
gente; la gente,people
amigo; el amigo,friend
amiga; la amiga,friend (female)
vecino; el vecino,neighbor
bebé; el bebé,baby
joven; el joven,young; young person
nombre; el nombre,name
apellido; el apellido,surname; last name
edad; la edad,age
cuerpo; el cuerpo,body
cabeza; la cabeza,head
cara; la cara,face
ojo; el ojo,eye
oreja; la oreja,ear
nariz; la nariz,nose
boca; la boca,mouth
diente; el diente,tooth
pelo; el pelo,hair
mano; la mano,hand
brazo; el brazo,arm
pierna; la pierna,leg
pie; el pie,foot
dedo; el dedo,finger; toe
espalda; la espalda,back (body)
estómago; el estómago,stomach
corazón; el corazón,heart
médico; el médico,doctor
hospital; el hospital,hospital
farmacia; la farmacia,pharmacy; drugstore
medicina; la medicina,medicine
pastilla; la pastilla,pill; tablet
dolor; el dolor,pain; ache
fiebre; la fiebre,fever
resfriado; el resfriado,cold (illness)
enfermo,sick; ill
sano,healthy
cansado,tired
salud; la salud,health
doler,to hurt; to ache
descansar,to rest
feliz,happy
contento,happy; glad
triste,sad
alegre,cheerful; joyful
nervioso,nervous
tranquilo,calm; quiet
enfadado,angry; annoyed
preocupado,worried
aburrido,bored; boring
divertido,fun; funny
simpático,nice; friendly
antipático,unfriendly; unpleasant
amable,kind; friendly
inteligente,intelligent; smart
tonto,silly; dumb
serio,serious
tímido,shy
trabajador,hard-working
perezoso,lazy
guapo,handsome; good-looking
bonito,pretty; nice
feo,ugly
fuerte,strong
débil,weak
interesante,interesting
mayor,older; elderly
solo,alone; only
ocupado,busy
libre,free
seguro,sure; safe
comida; la comida,food; meal
desayuno; el desayuno,breakfast
almuerzo; el almuerzo,lunch
cena; la cena,dinner; supper
pan; el pan,bread
queso; el queso,cheese
huevo; el huevo,egg
leche; la leche,milk
mantequilla; la mantequilla,butter
carne; la carne,meat
pollo; el pollo,chicken
pescado; el pescado,fish (food)
jamón; el jamón,ham
arroz; el arroz,rice
pasta; la pasta,pasta
sopa; la sopa,soup
ensalada; la ensalada,salad
verdura; la verdura,vegetable
fruta; la fruta,fruit
manzana; la manzana,apple
naranja; la naranja,orange
plátano; el plátano,banana
fresa; la fresa,strawberry
limón; el limón,lemon
tomate; el tomate,tomato
patata; la patata,potato
cebolla; la cebolla,onion
zanahoria; la zanahoria,carrot
azúcar; el azúcar,sugar
sal; la sal,salt
pimienta; la pimienta,pepper (spice)
aceite; el aceite,oil
agua; el agua,water
vino; el vino,wine
cerveza; la cerveza,beer
café; el café,coffee
té; el té,tea
zumo; el zumo,juice
refresco; el refresco,soft drink; soda
postre; el postre,dessert
helado; el helado,ice cream
pastel; el pastel,cake
galleta; la galleta,cookie; biscuit
chocolate; el chocolate,chocolate
bocadillo; el bocadillo,sandwich
tortilla; la tortilla,omelet; tortilla
plato; el plato,plate; dish
vaso; el vaso,glass (drinking)
taza; la taza,cup; mug
botella; la botella,bottle
tenedor; el tenedor,fork
cuchillo; el cuchillo,knife
cuchara; la cuchara,spoon
menú; el menú,menu
camarero; el camarero,waiter
cuenta; la cuenta,bill; check; account
casa; la casa,house; home
piso; el piso,apartment; floor
habitación; la habitación,room; bedroom
dormitorio; el dormitorio,bedroom
cocina; la cocina,kitchen
baño; el baño,bathroom
salón; el salón,living room
comedor; el comedor,dining room
jardín; el jardín,garden; yard
garaje; el garaje,garage
puerta; la puerta,door
ventana; la ventana,window
pared; la pared,wall
suelo; el suelo,floor; ground
techo; el techo,ceiling; roof
escalera; la escalera,stairs; ladder
ascensor; el ascensor,elevator; lift
llave; la llave,key
mesa; la mesa,table
silla; la silla,chair
sofá; el sofá,sofa; couch
cama; la cama,bed
armario; el armario,wardrobe; closet
lámpara; la lámpara,lamp
espejo; el espejo,mirror
ducha; la ducha,shower
nevera; la nevera,fridge; refrigerator
horno; el horno,oven
lavadora; la lavadora,washing machine
televisión; la televisión,television; TV
radio; la radio,radio
teléfono; el teléfono,telephone; phone
móvil; el móvil,mobile phone; cell phone
ordenador; el ordenador,computer
libro; el libro,book
revista; la revista,magazine
periódico; el periódico,newspaper
foto; la foto,photo; picture
reloj; el reloj,clock; watch
cosa; la cosa,thing
basura; la basura,trash; garbage
toalla; la toalla,towel
ciudad; la ciudad,city
pueblo; el pueblo,town; village
calle; la calle,street
plaza; la plaza,square (town)
parque; el parque,park
tienda; la tienda,shop; store
mercado; el mercado,market
supermercado; el supermercado,supermarket
restaurante; el restaurante,restaurant
bar; el bar,bar; pub
cafetería; la cafetería,cafe; coffee shop
banco; el banco,bank; bench
iglesia; la iglesia,church
museo; el museo,museum
cine; el cine,cinema; movie theater
teatro; el teatro,theater
biblioteca; la biblioteca,library
escuela; la escuela,school
universidad; la universidad,university
oficina; la oficina,office
hotel; el hotel,hotel
playa; la playa,beach
piscina; la piscina,swimming pool
gimnasio; el gimnasio,gym
estación; la estación,station; season
aeropuerto; el aeropuerto,airport
centro; el centro,center; downtown
barrio; el barrio,neighborhood
país; el país,country
mundo; el mundo,world
lugar; el lugar,place
dirección; la dirección,address; direction
mapa; el mapa,map
viaje; el viaje,trip; journey
coche; el coche,car
autobús; el autobús,bus
tren; el tren,train
metro; el metro,subway; metro
avión; el avión,plane; airplane
barco; el barco,boat; ship
bicicleta; la bicicleta,bicycle; bike
moto; la moto,motorbike; motorcycle
taxi; el taxi,taxi; cab
billete; el billete,ticket; banknote
entrada; la entrada,entrance; ticket (event)
salida; la salida,exit; departure
llegada; la llegada,arrival
maleta; la maleta,suitcase
mochila; la mochila,backpack
pasaporte; el pasaporte,passport
turista; el turista,tourist
vacaciones; las vacaciones,vacation; holidays
camino; el camino,way; path; road
carretera; la carretera,road; highway
parada; la parada,stop (bus)
puente; el puente,bridge
derecha; la derecha,right (direction)
izquierda; la izquierda,left (direction)
recto,straight (ahead)
cerca,near; close
lejos,far
ropa; la ropa,clothes; clothing
camisa; la camisa,shirt
camiseta; la camiseta,T-shirt
pantalones; los pantalones,pants; trousers
falda; la falda,skirt
vestido; el vestido,dress
abrigo; el abrigo,coat
chaqueta; la chaqueta,jacket
jersey; el jersey,sweater; jumper
zapato; el zapato,shoe
bota; la bota,boot
calcetín; el calcetín,sock
sombrero; el sombrero,hat
problema; el problema,problem
pelota; la pelota,ball
gafas; las gafas,glasses
bolso; el bolso,handbag; purse
cartera; la cartera,wallet
dinero; el dinero,money
precio; el precio,price
barato,cheap
caro,expensive
regalo; el regalo,gift; present
color; el color,color
rojo,red
azul,blue
verde,green
amarillo,yellow
negro,black
blanco,white
gris,gray; grey
marrón,brown
rosa,pink
morado,purple
número; el número,number
tiempo; el tiempo,weather; time
sol; el sol,sun
luna; la luna,moon
estrella; la estrella,star
cielo; el cielo,sky; heaven
nube; la nube,cloud
lluvia; la lluvia,rain
nieve; la nieve,snow
viento; el viento,wind
calor; el calor,heat
frío; el frío,cold
llover,to rain
nevar,to snow
mar; el mar,sea
río; el río,river
juego; el juego,game
montaña; la montaña,mountain
campo; el campo,countryside; field
bosque; el bosque,forest; woods
isla; la isla,island
árbol; el árbol,tree
flor; la flor,flower
planta; la planta,plant
tierra; la tierra,earth; land; soil
fuego; el fuego,fire
aire; el aire,air
luz; la luz,light
naturaleza; la naturaleza,nature
animal; el animal,animal
perro; el perro,dog
gato; el gato,cat
pájaro; el pájaro,bird
caballo; el caballo,horse
vaca; la vaca,cow
cerdo; el cerdo,pig
conejo; el conejo,rabbit
ratón; el ratón,mouse
pez; el pez,fish (animal)
hambre; el hambre,hunger
sed; la sed,thirst
trabajo; el trabajo,work; job
profesor; el profesor,teacher; professor
estudiante; el estudiante,student
música; la música,music
clase; la clase,class; classroom
película; la película,movie; film
examen; el examen,exam; test
pregunta; la pregunta,question
respuesta; la respuesta,answer; reply
deberes; los deberes,homework
lección; la lección,lesson
palabra; la palabra,word
frase; la frase,sentence; phrase
idioma; el idioma,language
español; el español,Spanish
inglés; el inglés,English
papel; el papel,paper; role
lápiz; el lápiz,pencil
bolígrafo; el bolígrafo,pen
cuaderno; el cuaderno,notebook
carta; la carta,letter (mail); menu
correo; el correo,mail; post
mensaje; el mensaje,message
empresa; la empresa,company; business
jefe; el jefe,boss
compañero; el compañero,colleague; classmate
reunión; la reunión,meeting
policía; la policía,police; police officer
cocinero; el cocinero,cook; chef
canción; la canción,song
fútbol; el fútbol,soccer; football
deporte; el deporte,sport
ser,to be (permanent)
estar,to be (location or state)
haber,there is; to have (auxiliary)
tener,to have
hacer,to do; to make
ir,to go
venir,to come
poder,can; to be able
querer,to want; to love
deber,must; to owe
saber,to know (facts)
conocer,to know (people or places)
ver,to see
mirar,to look at; to watch
oír,to hear
escuchar,to listen
hablar,to speak; to talk
decir,to say; to tell
preguntar,to ask
responder,to answer; to reply
llamar,to call
llamarse,to be called; to be named
vivir,to live
comer,to eat
beber,to drink
tomar,to take; to drink
desayunar,to have breakfast
cenar,to have dinner
cocinar,to cook
comprar,to buy
vender,to sell
pagar,to pay
costar,to cost
trabajar,to work
estudiar,to study
aprender,to learn
enseñar,to teach; to show
leer,to read
escribir,to write
abrir,to open
cerrar,to close; to shut
empezar,to begin; to start
terminar,to finish; to end
buscar,to look for; to search
encontrar,to find
perder,to lose; to miss
ganar,to win; to earn
jugar,to play (game)
tocar,to touch; to play (instrument)
cantar,to sing
bailar,to dance
nadar,to swim
correr,to run
andar,to walk
viajar,to travel
llegar,to arrive
salir,to go out; to leave
entrar,to enter; to go in
volver,to return; to come back
subir,to go up; to get on
bajar,to go down; to get off
llevar,to carry; to wear; to take
traer,to bring
dar,to give
recibir,to receive; to get
enviar,to send
poner,to put; to place
dejar,to leave; to let
usar,to use
necesitar,to need
ayudar,to help
esperar,to wait; to hope
pensar,to think
creer,to believe; to think
entender,to understand
recordar,to remember
olvidar,to forget
gustar,to like; to be pleasing
encantar,to love (something); to delight
preferir,to prefer
sentirse,to feel
dormir,to sleep
levantarse,to get up
acostarse,to go to bed
ducharse,to take a shower
lavar,to wash
limpiar,to clean
cambiar,to change
pasar,to pass; to happen
seguir,to follow; to continue
parar,to stop
conducir,to drive
visitar,to visit
probar,to try; to taste
contar,to count; to tell
grande,big; large
pequeño,small; little
bueno,good
malo,bad
nuevo,new
viejo,old
alto,tall; high
bajo,short; low
largo,long
corto,short (length)
gordo,fat
delgado,thin; slim
rápido,fast; quick
lento,slow
fácil,easy
difícil,difficult; hard
caliente,hot; warm
limpio,clean
sucio,dirty
importante,important
mismo,same
diferente,different
a,to; at
de,of; from
en,in; on; at
con,with
sin,without
para,for; in order to
por,for; by; through
sobre,on; about
entre,between; among
hasta,until; up to
desde,from; since
aquí,here
allí,there (place)
bien,well; fine
mal,badly; wrong
ya,already; now
todavía,still; yet
demasiado,too much; too
