Korean,English
그리움,longing; yearning
그리워하다,to miss; to long for
그리하여,and so; thus
그사이,meanwhile; in the meantime
그야말로,truly; indeed; literally
그이,that person; he (one's husband)
그저,just; merely; only
그저께,the day before yesterday
그전,before that; former times
그제서야,only then; not until then
그제야,only then; not until then
그토록,so much; to that extent
극,drama; play
극복,overcoming; conquest
극복하다,to overcome; to get over
극작가,playwright; dramatist
극히,extremely; exceedingly
근거,basis; grounds; evidence
근거하다,to be based on
근교,suburbs; outskirts
근래,recent times; lately
근로,labor; work
근본,root; foundation; origin
근본적,fundamental; basic
근원,origin; source; root
근육,muscle
긁다,to scratch
금,line; crack
금강산,Mount Geumgang
금고,safe; vault
금메달,gold medal
금세,in no time; quickly; soon
금액,amount of money; sum
금지되다,to be prohibited; to be banned
금하다,to forbid; to prohibit
급격히,rapidly; sharply; drastically
급속히,rapidly; at high speed
급증하다,to increase rapidly; to surge
급히,hurriedly; urgently; in a rush
긋다,to draw (a line)
기,energy; spirit; flag
기관,institution; agency; organ
기구,equipment; apparatus; organization
기기,device; appliance; machinery
기념,commemoration; remembrance
기념일,anniversary; commemoration day
기념품,souvenir; memento
기념하다,to commemorate; to celebrate
기능,function; skill
기다,to crawl
기대다,to lean on; to rely on
기대되다,to be expected; to be anticipated
기도하다,to pray
기독교,Christianity
기둥,pillar; column
기록,record; documentation
기록되다,to be recorded
기막히다,to be dumbfounding; to be amazing
기법,technique; method
기본적,basic; fundamental
기성,ready-made; established (existing)
기성세대,older generation; established generation
기술자,engineer; technician
기술하다,to describe; to give an account
기억되다,to be remembered
기업,company; enterprise; corporation
기업인,businessperson; entrepreneur
기여,contribution
기여하다,to contribute
기울다,to tilt; to lean
기울이다,to tilt (something); to devote (attention)
기원,origin
기원전,BC; before Christ
기적,miracle
기초적,basic; elementary; foundational
기초하다,to be based on
기타,the rest; et cetera; other things
기호,symbol; sign
기혼,married (status)
기획,planning; project planning
기후,climate
긴급,emergency; urgency
긴장감,tension; sense of tension
긴장되다,to get nervous; to be tense
길어지다,to get longer
김,steam; vapor | opportunity; chance (as in -는 김에)
깊숙이,deeply; deep inside
까다,to peel; to shell
까먹다,to peel and eat; to forget (informal)
까치,magpie
깍두기,diced radish kimchi
깔끔하다,to be neat; to be tidy
깔다,to spread out; to lay (bedding)
깔리다,to be spread out; to be covered
깡패,gangster; thug
깨끗해지다,to become clean
깨닫다,to realize
깨달음,realization; enlightenment
깨뜨리다,to break; to shatter
깨소금,sesame salt; ground sesame seasoning
깨어나다,to wake up; to regain consciousness
깨어지다,to be broken; to shatter
깨우다,to wake (someone) up
꺾다,to snap; to break off
꼬리,tail
꼬마,little kid
꼭,tightly; firmly
꼴,shape; sorry state
꼼꼼하다,to be meticulous; to be thorough
꼼짝,budging; slight movement
꼽히다,to be counted among; to be ranked
꽂다,to insert; to stick in
꽃씨,flower seed
꽉,tightly; fully
꾸다,to borrow (money)
꾸리다,to pack; to manage (a household)
꾸준하다,to be steady; to be persistent
꾸중,scolding
끈,string; strap; cord
끊기다,to be cut off; to be disconnected
끊임없다,to be ceaseless; to be constant
끊임없이,constantly; ceaselessly
끌리다,to be dragged; to be attracted
끌어당기다,to pull toward oneself; to draw in
끝없다,to be endless
끝없이,endlessly
끼,meal (counter)
끼어들다,to cut in; to interrupt
끼우다,to insert; to fasten (a button)
나누어지다,to be divided
나뉘다,to be divided; to be split
나들이,outing; short trip
나란히,side by side
나르다,to carry; to transport
나름,depending on; in one's own way
나아가다,to advance; to move forward
나아지다,to improve; to get better
나침반,compass
낚시꾼,angler; fisherman
낚싯대,fishing rod
난리,uproar; chaos; upheaval
난방,heating
날리다,to fly (something); to let flutter
날아다니다,to fly around
날카롭다,to be sharp
남,others; other people; stranger
남미,South America
남부,southern part; southern region
남북,north and south
납득하다,to accept (an explanation); to be convinced
낭비,waste; squandering
낮아지다,to become lower
낮추다,to lower
낱말,word; vocabulary item
내,within; inside (a period)
내과,internal medicine (department)
내다보다,to look out; to foresee
내달,next month
내려지다,to be lowered; to be handed down
내버리다,to throw away; to abandon
내보내다,to send out; to let out
내부,interior; the inside
내쉬다,to exhale; to breathe out
내외,inside and outside; approximately | husband and wife
내용물,contents
내적,inner; internal
내주다,to hand over; to give out
내후년,year after next
냇물,stream water; brook
냉동,freezing; frozen storage
냉방,air conditioning; cooling (a room)
넉,four (before counters)
넉넉하다,to be ample; to be sufficient
널리,widely
넘겨주다,to hand over; to pass on
넘기다,to turn over; to pass (a deadline); to hand over
넘어뜨리다,to knock down; to topple
넘어오다,to fall toward; to come over
년생,born in (year)
노동,labor; work
노선,route; (transit) line
녹다,to melt; to dissolve
녹이다,to melt (something); to thaw
녹화,(video) recording
논,rice paddy
논리,logic
논리적,logical
논쟁,debate; dispute
논하다,to discuss; to argue
놀리다,to tease; to make fun of
놈,guy; fellow (derogatory)
농민,farmer; peasant
농부,farmer
농사일,farm work
농사짓다,to farm; to do farming
농산물,agricultural products; farm produce
농장,farm
놓아두다,to leave (something) somewhere; to set down
놔두다,to leave alone; to let be
뇌,brain
눈가,area around the eyes
눈감다,to close one's eyes; to pass away
눈길,gaze; glance
눈동자,pupil (of the eye)
눈뜨다,to open one's eyes; to awaken
눈병,eye disease; eye infection
눈부시다,dazzling; blinding
늑대,wolf
늘어놓다,to lay out; to rattle off (excuses)
늘어서다,to line up; to stand in a row
늘어지다,to droop; to sag; to stretch
능동적,active; proactive
늦가을,late autumn; late fall
늦어지다,to be delayed; to get later
다가서다,to step closer; to approach
다듬다,to trim; to polish; to refine
다루다,to handle; to deal with
다름없다,no different (from); just like
다만,only; merely; however
다방,tearoom; (old-style) coffee shop
다소,somewhat; to some extent
다양성,diversity; variety
다양해지다,to become diverse; to diversify
다정하다,affectionate; warm; friendly
다지다,to mince; to firm up; to solidify
다짐하다,to resolve; to vow; to pledge
다투다,to quarrel; to argue
다툼,quarrel; dispute
다행,good fortune; relief
닥치다,to be imminent; to befall
단,tier; column (of text); step
단계,stage; phase; step
단골,regular (customer)
단단하다,hard; solid; firm
단독,alone; solo; single-handed
단순,simplicity; simple
단위,unit (of measure)
단추,button (on clothes)
단편,short story; short piece
단풍,autumn foliage; maple
달다,to weigh (on a scale); to do (something) for me (in requests)
달래다,to soothe; to comfort
달려들다,to rush at; to pounce on
달리,differently; otherwise
달리기,running; a run
달리하다,to differ in; to make different
담,wall; fence
담당,being in charge; responsibility
담당자,person in charge
답,answer; solution
답변,reply; answer (formal)
당당하다,confident; dignified
당분간,for the time being; for now
당시,at that time; those days
당하다,to suffer; to fall victim to
대,stalk; counter (cigarettes); age range (20대)
대가,price; cost; compensation
대강,roughly; briefly
대개,mostly; in general; usually
대규모,large scale
대기,atmosphere; the air
대기하다,to wait; to stand by
대낮,broad daylight; midday
대다,to put against; to touch; to make it in time
대다수,the majority; most
대략,roughly; approximately
대량,large quantity; in bulk
대로,as (it is); according to
대륙,continent
대비,preparation (for); provision
대비하다,to prepare for; to provide against
대사,ambassador; lines (in a script)
대상자,eligible person; candidate
대신하다,to replace; to substitute for
대여섯,five or six
대응,response; countermeasure
대응하다,to respond to; to counter
대입,university entrance (exams)
대접,hospitality; treatment (of guests)
대접하다,to treat (someone); to serve
대중적,popular; mainstream
대책,countermeasure; measures
대처하다,to cope with; to deal with
대체,on earth (in questions); generally
대체로,generally; on the whole
대출,loan; lending
대충,roughly; cursorily
대표하다,to represent
대학로,Daehangno (Seoul street)
대합실,waiting room (at a station)
대형,large-size; large-scale
댐,dam
더더욱,even more; all the more
더러워지다,to get dirty
더불다,to accompany; to be together with
더욱,more; even more
더욱더,even more; all the more
더욱이,moreover; besides
덕,virtue; benefit
덜다,to reduce; to take out (a portion)
덧붙이다,to add; to attach
덩어리,lump; chunk
덮이다,to be covered
데우다,to heat up; to warm
데이트,date (romantic)
도,degree (temperature); province; the Way (moral path)
도달하다,to reach; to arrive at
도대체,on earth (in questions); at all
도덕,morality; ethics
도리어,on the contrary; rather
도마,cutting board
도망,escape; running away
도망치다,to run away; to flee
도심,city center; downtown
도움말,help tip; advice
도입,introduction (adoption); bringing in
도장,seal; stamp
도저히,possibly (with negative); utterly
도전,challenge
독감,flu; influenza
독립,independence
독립하다,to become independent
독창적,original; creative
독특하다,to be unique; to be distinctive
독하다,to be strong (smell); to be fierce
돌멩이,stone; pebble
돌아다니다,to wander around; to go around
동,same (aforementioned); counter for buildings
동그라미,circle
동그랗다,to be round
동기,classmate (same cohort); contemporary
동료,colleague; coworker
동부,eastern part; the east
동서,east and west
동서남북,all four directions
동양인,Asian person; Easterner
동의,agreement; consent
동의하다,to agree; to consent
동일하다,to be identical; to be the same
동작,movement; motion
동포,compatriot; fellow countryman
동행,going together; companion
동화책,storybook; fairy tale book
되돌리다,to turn back; to restore
되돌아가다,to go back; to return
되돌아보다,to look back on; to reflect
되돌아오다,to come back; to return
되살리다,to revive; to bring back
되찾다,to regain; to recover
되풀이되다,to be repeated
되풀이하다,to repeat
두께,thickness
두뇌,brain; brains (intellect)
두드러지다,to be prominent; to be conspicuous
두려움,fear; dread
두려워하다,to fear; to be afraid of
두렵다,to be afraid; to be fearful
두르다,to wrap around; to put on (scarf)
두리번거리다,to look around (restlessly)
두어,a couple of; two or so
둘러싸다,to surround; to wrap around
둘러싸이다,to be surrounded
둥지,nest
뒤늦다,to be belated; to be too late
뒤따르다,to follow behind
뒤지다,to rummage through; to search
뒤편,the back side; rear
뒷골목,back alley
뒷모습,view from behind; one's back
뒷문,back door; back gate
드디어,finally; at last
드러나다,to be revealed; to come to light
드물다,to be rare; to be scarce
들어주다,to grant (a request); to comply with
들여놓다,to bring in; to put inside
들이다,to let in; to spend (time or effort)
들이마시다,to inhale; to breathe in
들이켜다,to gulp down; to drink in one go
듯,as if; seeming like
듯싶다,to seem; to appear
듯하다,to seem like; to look like
등등,et cetera; and so on
등록증,registration card; registration certificate
등록하다,to register; to enroll
등장,appearance (on stage); entrance
등장하다,to appear (on scene); to enter
디스크,disk
따님,daughter (honorific)
따라다니다,to follow around; to tag along
따라서,therefore; accordingly
따로따로,separately; individually
따스하다,to be warm (mild)
딱,exactly; abruptly (to a stop)
딱딱하다,to be hard; to be stiff
딸아이,one's daughter
땅바닥,the ground; bare ground
땅속,underground; in the ground
때,grime; dirt (on skin)
때로,sometimes; at times
때리다,to hit; to beat
떠나가다,to leave; to go away
떠나오다,to come away from; to leave behind
떠들썩하다,to be noisy; to be boisterous
떡국,rice cake soup
떼,flock; herd; crowd
뚫다,to pierce; to drill (a hole)
뛰놀다,to run and play; to frolic
뛰어가다,to run (to); to dash
뛰어나다,to be outstanding; to be excellent
뛰어나오다,to run out; to dash out
뛰어내리다,to jump down; to leap off
뛰어넘다,to jump over; to leap over
뛰어놀다,to run around and play
뛰어오르다,to jump up; to leap up
뜨다,to leave (a place); to depart
뜯다,to tear open; to rip off
뜰,garden; yard
뜻대로,as one wishes; as intended
뜻밖,something unexpected; surprise
뜻밖에,unexpectedly; surprisingly
뜻하다,to mean; to intend
띄다,to catch the eye; to stand out
띄우다,to float (something); to launch
라운드,round (in sports)
라이벌,rival
라인,line
라켓,racket
레이저,laser
레저,leisure
로봇,robot
로터리,rotary; roundabout
리,ri (distance unit)
리그,league
리터,liter
마누라,wife (informal)
마당,yard; courtyard; occasion (bound noun)
마디,joint; knot; word (unit)
마땅하다,suitable; proper; deserving
마라톤,marathon
마련,preparation; arrangement; bound to (-기 마련)
마무리,finishing; wrap-up
마약,narcotics; drugs
마요네즈,mayonnaise
마음가짐,mindset; mental attitude
마음껏,to one's heart's content; freely
마음먹다,to make up one's mind; to resolve
마음씨,disposition; nature (of heart)
마이크,microphone; mic
마주치다,to bump into; to meet (eyes)
마찰,friction; conflict
마크,mark; logo
막걸리,makgeolli (rice wine)
막상,actually; when it comes to it
만,after (a period); reason to (do)
만만하다,easy to deal with; manageable
만세,hurrah; long live
만점,perfect score; full marks
만족,satisfaction
만족스럽다,satisfactory; satisfying
만하다,to be worth doing; to be as big as
만화가,cartoonist; comic artist
말기,late stage; final period
말다,to roll up
말리다,to stop (a fight); to dry (laundry)
말없이,without a word; silently
말투,way of speaking; tone
맘,heart; mind (=마음)
맘대로,as one pleases; freely
맛보다,to taste; to experience
망설이다,to hesitate
망원경,telescope
망치다,to ruin; to spoil
망하다,to go bankrupt; to be ruined
맞이하다,to greet; to welcome
맡다,to smell (sniff)
매,cane; a beating
매너,manners; etiquette
매달,every month; monthly
매달다,to hang; to suspend
매달리다,to hang from; to cling to
매번,every time; each time
매스컴,mass media
매장,store; shop
매주,every week; weekly
매체,medium; media
맺다,to form (drops); to conclude (ties)
머리말,preface; foreword
머리칼,hair (strands)
머물다,to stay; to remain
먹고살다,to make a living
먹다,to go deaf (ears)
먹이,feed; prey
멋지다,wonderful; stylish; cool
멍멍,bow-wow; woof
멎다,to stop; to cease
메우다,to fill (a gap); to plug
면,myeon (administrative division); side; surface; cotton
면담,interview; consultation
면적,area (size)
면접,(job) interview
면하다,to avoid; to escape; to be exempted
멸치,anchovy
명단,name list; roster
명령어,command (computing)
명예,honor; prestige
명의,name (legal title)
명칭,name; designation
명확하다,clear; definite
모,a certain (person); so-and-so
모금,sip; mouthful; puff
모범,model; good example
모색하다,to seek (a way); to explore
모여들다,to flock; to crowd in
모조리,all; entirely; one and all
모집,recruitment
모집하다,to recruit
모처럼,after a long while; for once
모퉁이,corner
목록,list; catalog
목숨,life (one's)
몰려들다,to flock in; to swarm
몰려오다,to come in crowds; to surge in
몸매,figure; body shape
몸속,inside the body
몸짓,gesture; body movement
몸통,torso; trunk (body)
못,nail
못되다,mean; nasty; bad
못생기다,ugly; bad-looking
못지않다,no less than; not inferior to
묘사,description; depiction
묘사하다,to describe; to depict
무,nothingness; nonexistence
무관심,indifference; lack of interest
무관심하다,to be indifferent; to be uninterested
무궁화,rose of Sharon (national flower)
무기,weapon; arms
무너지다,to collapse; to crumble
무대,stage
무덤,grave; tomb
무덥다,to be sweltering; to be muggy
무려,as many as; no less than
무료,free of charge
무리,group; crowd; excessive strain
무리하다,to be unreasonable; to be excessive
무사하다,to be safe; to be unharmed
무용가,dancer (professional)
무의미하다,to be meaningless
무지개,rainbow
무책임하다,to be irresponsible
묵다,to stay (lodge); to be old (stale)
묶이다,to be tied; to be bound
문구,phrase; wording
문득,suddenly; out of the blue
문밖,outside the door
문법,grammar
문서,document
문자,text message; letter (character)
문제되다,to become a problem
문학적,literary
문화재,cultural asset; cultural heritage
문화적,cultural
묻다,to bury
묻히다,to be buried; to get smeared on
물가,prices; cost of living
물결,wave; ripple
물기,moisture; wetness
물러나다,to step back; to retreat; to resign
물리학,physics
물질,matter; substance; material things
물질적,material; materialistic
물체,object; physical body
뭘,not at all; don't mention it
뭣,what (colloquial)
미,beauty
미끄러지다,to slip; to slide
미끄럽다,to be slippery
미니,mini
미루다,to postpone; to put off
미만,under; less than
미사일,missile
미스,Miss
미역,seaweed (wakame)
미용실,hair salon; beauty parlor
미움,hatred; hate
미처,not yet (with negative); not quite
미혼,unmarried; single
민간,civilian; private (sector)
민속,folk customs; folklore
민주,democracy
민주주의,democracy (system)
민주화,democratization
믿어지다,to be believable; to seem credible
밀리다,to be backed up; to be overdue; to be pushed
밀접하다,to be closely related; to be close
밑바닥,the very bottom; rock bottom
바,what (bound noun); bar
바가지,gourd bowl; scoop
바구니,basket
바깥쪽,the outside; outer side
바람,wish; hope
바람직하다,to be desirable
바로잡다,to correct; to straighten
바싹,bone-dry; closely; tightly
바이러스,virus
바치다,to offer; to dedicate; to devote
바퀴,wheel; lap (counter)
바탕,foundation; basis; background
박,night (counter for stays)
박다,to hammer in; to drive in
박히다,to be stuck in; to be embedded
반기다,to welcome; to greet gladly
반대편,opposite side
반말,informal speech; casual talk
반면,on the other hand; whereas
반발,backlash; opposition; resistance
반복되다,to be repeated
반성,self-reflection; introspection
반성하다,to reflect on oneself; to repent
반영하다,to reflect (opinions)
반응,reaction; response
반죽,dough; batter
반짝거리다,to sparkle; to glitter
반짝이다,to twinkle; to sparkle
발걸음,footsteps; pace
발길,one's steps; foot traffic
발끝,tiptoe; tip of the toe
발달되다,to be developed; to be advanced
발레,ballet
발바닥,sole of the foot
발자국,footprint
발전,power generation
발전되다,to be developed; to advance
발톱,toenail; claw
발표되다,to be announced; to be published
발휘하다,to demonstrate (ability); to exert
밝아지다,to brighten; to become bright
밝혀내다,to uncover; to find out
밝혀지다,to be revealed; to come to light
밤새,all night; overnight
밤새우다,to stay up all night
밤색,chestnut brown; dark brown
밤하늘,night sky
밥상,dining table; meal table
방면,direction; area (field)
방바닥,floor of a room
방송사,broadcasting company
방송하다,to broadcast
방식,method; way; style
방안,plan; measure; scheme
방울,drop (of liquid); little bell
방지,prevention
방지하다,to prevent
방해,disturbance; interference; obstruction
방해하다,to disturb; to interfere
배,times (multiplier); -fold
배다,to permeate; to soak in
배우자,spouse
배추김치,cabbage kimchi
배치,arrangement; placement
백두산,Mount Baekdu
백색,white (color)
백성,the people; commoners
백인,white person; Caucasian
백제,Baekje (ancient kingdom)
뱃사람,sailor; seaman
뱉다,to spit out
버려지다,to be abandoned; to be thrown away
버티다,to hold out; to endure
번개,lightning
번거롭다,cumbersome; troublesome
번역하다,to translate
번지,address number; lot number
벌,counter for clothes; bee; punishment
벌금,fine (money); penalty
벌떡,suddenly (springing up)
벌어지다,to widen (gap); to happen
범위,range; scope
범인,criminal; culprit
범죄,crime
법률,law; statute
법원,court (of law)
법적,legal
법칙,law (principle); rule
베다,to cut; to slash
벤치,bench
벼,rice plant; unhusked rice
변경,change; alteration
변동,fluctuation; change
변명,excuse; justification
변신,transformation; makeover
변화되다,to be changed
별다르다,particular; out of the ordinary
별도,separate; extra
별명,nickname
별일,unusual matter; anything particular
병실,hospital room; sickroom
병아리,chick; baby chicken
보고하다,to report
보관,storage; safekeeping
보내오다,to send over (to speaker)
보너스,bonus
보도,news report; press coverage
보도되다,to be reported (news)
보도하다,to report (news)
보라색,purple; violet
보름,fifteen days; full moon day
보리,barley
보살피다,to look after; to care for
보상,compensation; reward
보수,conservatism; repair
보수적,conservative
보안,security
보완하다,to supplement; to make up for
보자기,wrapping cloth; bojagi
보장,guarantee; assurance
보장되다,to be guaranteed
보장하다,to guarantee; to ensure
보전,preservation; conservation
보조,assistance; subsidy
보존,preservation
보존하다,to preserve
보충하다,to supplement; to replenish
보편적,universal; general
보호되다,to be protected
보호하다,to protect
복,luck; fortune; blessing
복사기,photocopier; copy machine
복숭아,peach
볶음,stir-fried dish; stir-fry
본,this (aforementioned); the said
본격적,full-scale; in earnest
본부,headquarters
본사,head office; main office
본성,true nature; innate character
본인,oneself; the person in question
본질,essence; true nature
볼,cheek
볼링,bowling
봉사,volunteer work; service
봉사하다,to volunteer; to serve
부,department; wealth
부담,burden; charge (expense)
부담하다,to bear (cost); to shoulder
부대,military unit; troops
부딪히다,to be bumped into; to collide with
부러지다,to break; to snap
부문,sector; division; category
부분적,partial
부상,injury; wound
부서,department (workplace); division
부서지다,to break; to be smashed
부위,part; region (of body)
부인,married woman; lady
부재,absence
부정,corruption; dishonesty
부정적,negative
부정하다,to deny
부지런히,diligently
부채,fan (handheld)
부친,father (formal)
부품,part; component
부피,volume; bulk
부회장,vice president; vice chairman
북부,northern part; the north
분노,rage; fury
분량,quantity; amount
분리,separation
분리되다,to be separated
분리하다,to separate
분명하다,clear; obvious
분명해지다,to become clear
분석,analysis
분야,field; area (of study)
분주하다,busy; bustling; hectic
분포하다,to be distributed; to be spread
분필,chalk
분홍색,pink; pink color
불가피하다,unavoidable; inevitable
불과,only; merely; no more than
불과하다,to be merely; to be no more than
불구하다,to be unhindered by; despite; in spite of
불러일으키다,to arouse; to evoke; to stir up
불리다,to soak (in water); to soften
불리하다,disadvantageous; unfavorable
불법,illegality; illegal act; Buddhist dharma
불어오다,to blow in (wind)
불완전하다,incomplete; imperfect
불이익,disadvantage; unfair loss
불편,inconvenience; discomfort
불평,complaint; grumbling
불평등하다,unequal; inequitable
불필요하다,unnecessary; needless
불행,unhappiness; misfortune
불확실하다,uncertain; unclear
붐비다,to be crowded; to be congested
붓다,to swell; to swell up
붙들다,to grab; to seize; to hold onto
붙잡다,to grab; to catch; to seize
붙잡히다,to be caught; to be arrested
브랜드,brand
비,stone monument; stele
비극,tragedy
비기다,to tie; to draw (a game)
비난,criticism; blame; censure
비다,to be empty; to be vacant
