Chinese (Simpl.),Pinyin,English
到期,dàoqī,to fall due (loan etc); to expire (visa etc); to mature (investment bond etc)
盗版,dàobǎn,pirated; illegal
道教,Dàojiào,Taoism; Daoism (Chinese system of beliefs)
道歉,dàoqiàn,to apologize
地板,dìbǎn,floor
地名,dìmíng,place name; toponym
地下室,dìxiàshì,basement; cellar
低头,dītóu,to bow the head; to yield; to give in
低温,dīwēn,low temperature
滴,dī,a drop; to drip
抵达,dǐdá,to arrive; to reach (a destination)
抵抗,dǐkàng,to resist; resistance
电车,diànchē,trolleybus
电动,diàndòng,electric-powered; (Tw) video game
电力,diànlì,electrical power; electricity
电器,diànqì,(electrical) appliance; device
吊,diào,to suspend; to hang up; to hang a person; a string of 100 cash (arch.)
调研,diàoyán,to investigate and research; research; investigation
跌,diē,to fall; to tumble; to trip; (of prices etc) to drop
定价,dìngjià,to set a price; to fix a price
定时,dìngshí,to fix a time; fixed time; timed (of explosive etc)
定位,dìngwèi,to orientate; to position; to categorize (as); to characterize (as)
动画,dònghuà,animation; cartoon
都市,dūshì,city; metropolis
斗争,dòuzhēng,a struggle; fight; battle
毒品,dúpǐn,drugs; narcotics; poison
赌,dǔ,to bet; to gamble
赌博,dǔbó,to gamble
渡,dù,to cross; to pass through; to ferry
端,duān,end; extremity; item; port
端午节,Duānwǔjié,Dragon Boat Festival (5th day of the 5th lunar month)
短片,duǎnpiàn,short film; video clip
队伍,duìwǔ,ranks; troops; queue; line
对抗,duìkàng,to withstand; to resist; to stand off; antagonism
对外,duìwài,external; foreign; pertaining to external or foreign (affairs)
蹲,dūn,to crouch; to squat; to stay (somewhere)
多半,duōbàn,most; mostly; most likely
多方面,duōfāngmiàn,many-sided; in many aspects
多媒体,duōméitǐ,multimedia
夺,duó,to seize; to take away forcibly; to wrest control of; to compete or strive for
夺取,duóqǔ,to seize; to capture; to wrest control of
恩人,ēnrén,a benefactor; a person who has significantly helped sb else
儿科,érkē,pediatrics
发病,fābìng,(of an illness) to occur; (of a person) to get sick; to fall ill; onset (of a medical condition)
发电,fādiàn,to generate electricity; to send a telegram
发放,fāfàng,to provide; to give; to grant
发怒,fānù,to get angry
发起,fāqǐ,to originate; to initiate; to launch (an attack an initiative etc); to start
发言人,fāyánrén,spokesperson
发炎,fāyán,to become inflamed; inflammation
法庭,fǎtíng,court of law
法语,Fǎyǔ,French (language)
番,fān,classifier for actions/times; -fold
番茄,fānqié,tomato
凡是,fánshì,each and every; every; all; any
繁殖,fánzhí,to breed; to reproduce; to propagate
反抗,fǎnkàng,to resist; to rebel
反问,fǎnwèn,to ask (a question) in reply; to answer a question with a question; rhetorical question
反响,fǎnxiǎng,repercussions; reaction; echo
犯,fàn,to violate; to offend; to assault; criminal
犯规,fànguī,to break the rules; an illegality; a foul
犯罪,fànzuì,to commit a crime; crime; offense
防范,fángfàn,to be on guard; wariness; to guard against; preventive
防守,fángshǒu,to defend; to protect (against)
房价,fángjià,house price; cost of housing
仿佛,fǎngfú,to seem; as if; alike; similar
飞船,fēichuán,spaceship; spacecraft; dirigible; airship
飞行员,fēixíngyuán,pilot; aviator
肺,fèi,lung
分工,fēngōng,to divide up the work; division of labor
分裂,fēnliè,to split up; to divide; to break up; fission
愤怒,fènnù,angry; indignant; wrath; ire
风暴,fēngbào,storm; violent commotion; fig. crisis (e.g. revolution uprising financial crisis etc)
峰会,fēnghuì,summit meeting
奉献,fèngxiàn,to offer respectfully; to consecrate; to dedicate; to devote
佛,Fó,Buddha; Buddhism (abbr. for 陀); seemingly; (female) head ornament
佛教,Fójiào,Buddhism
服,fú,clothes; dress; garment; to serve (in the military a prison sentence etc)
浮,fú,to float; superficial; floating; unstable
父女,fùnǚ,father and daughter
父子,fùzǐ,father and son
妇女,fùnǚ,woman
负,fù,to bear; to carry (on one's back); to turn one's back on; to be defeated
复苏,fùsū,to recover (health economic); to resuscitate; anabiosis; to recover (health economic)
副,fù,secondary; auxiliary; deputy; assistant
富人,fùrén,rich person; the rich
富有,fùyǒu,rich; wealthy; affluent; to be rich in
改装,gǎizhuāng,to change one's costume; to repackage; to remodel; to refit
杆,gān,pole; stick; pole; lever
肝,gān,liver; (slang) to put in long hours; typically late into the night; playing (a video game); (of a video game) involving a lot of repetition in order to progress; grindy
赶不上,gǎnbùshàng,can't keep up with; can't catch up with; cannot overtake
赶忙,gǎnmáng,to hurry; to hasten; to make haste
赶上,gǎnshàng,to keep up with; to catch up with; to overtake; to chance upon
敢于,gǎnyú,to have the courage to do sth; to dare to; bold in
感人,gǎnrén,touching; moving
干涉,gānshè,to interfere; to meddle; interference
刚好,gānghǎo,just; exactly; to happen to be
岗位,gǎngwèi,a post; a job
港口,gǎngkǒu,port; harbor
高层,gāocéng,high-rise; high level; high class
高档,gāodàng,superior quality; high grade; top grade
高等,gāoděng,high-level; higher (animals education etc); advanced (math etc)
高峰,gāofēng,peak; summit; height
高考,gāokǎo,college entrance exam (especially as abbr. for 普通高等学校招生全国统一考试); (Tw) entrance exam for senior government service posts (abbr. for 公务人员高等考试)
高科技,gāokējì,high tech; high technology
高手,gāoshǒu,expert; past master; dab hand
稿子,gǎozi,draft of a document; script; manuscript; mental plan
歌唱,gēchàng,to sing
歌词,gēcí,song lyric; lyrics
歌星,gēxīng,singing star; famous singer
革新,géxīn,to innovate; innovation
给予,jǐyǔ,(literary) to give; to accord; to render
更是,gèngshì,even more (so)
工商,gōngshāng,industry and commerce
公,gōng,public; collectively owned; common; international (e.g. high seas metric system calendar)
公安,gōngān,(Ministry of) Public Security; public safety; public security
公鸡,gōngjī,cock; rooster
公众,gōngzhòng,public
公主,gōngzhǔ,princess
攻击,gōngjī,to attack; to accuse; to charge; an attack (terrorist or military)
供给,gōngjǐ,to furnish; to provide; supply (as in supply and demand)
宫,gōng,palace; temple; castration (as corporal punishment); first note in pentatonic scale
巩固,gǒnggù,to consolidate; consolidation; to strengthen
贡献,gòngxiàn,to contribute; to dedicate; to devote; contribution
构建,gòujiàn,to construct (sth abstract)
姑姑,gūgu,paternal aunt
孤独,gūdú,lonely; solitary
孤儿,gūér,orphan
古典,gǔdiǎn,classical
股,gǔ,share (stock); (classifier) strand/burst; portion; thigh
股东,gǔdōng,shareholder; stockholder
股票,gǔpiào,share certificate; stock (finance)
故障,gùzhàng,malfunction; breakdown; defect; shortcoming
顾,gù,to look after; to take into consideration; to attend to
刮,guā,to scrape; to blow; to shave; to plunder
拐,guǎi,to turn (a corner etc); to kidnap; to swindle; to misappropriate
关爱,guānài,to show concern and care for
关联,guānlián,to be related; to be connected; relationship; connection
观光,guānguāng,to tour; sightseeing; tourism
官司,guānsi,lawsuit
管道,guǎndào,tubing; pipeline; (fig.) channel; means
光辉,guānghuī,radiance; glory; brilliant; magnificent
广阔,guǎngkuò,wide; vast
轨道,guǐdào,track (for trains etc); orbit (of a satellite); (fig.) a person's established path in life; desired trajectory (of a business or other endeavor)
跪,guì,to kneel
国产,guóchǎn,domestically produced
国歌,guógē,national anthem
国会,Guóhuì,Parliament (UK); Congress (US); Diet (Japan); Legislative Yuan (Taiwan)
国旗,guóqí,flag (of a country)
国王,guówáng,king
果酱,guǒjiàng,jam
果树,guǒshù,fruit tree
过渡,guòdù,to cross over (by ferry); transition; interim; caretaker (administration)
过后,guòhòu,after the event
过时,guòshí,old-fashioned; out of date; to be later than the time stipulated or agreed upon
海报,hǎibào,poster; playbill; notice
海底,hǎidǐ,seabed; seafloor; bottom of the ocean
海军,hǎijūn,navy
海浪,hǎilàng,sea wave
海外,hǎiwài,overseas; abroad
海湾,hǎiwān,bay; gulf
海洋,hǎiyáng,ocean
好不容易,hǎobùróngyì,with great difficulty; very difficult
好容易,hǎoróngyì,(idiomatic usage) with great difficulty; to have a hard time (convincing sb relinquishing sth etc); (literal usage) so easy
好似,hǎosì,to seem; to be like
好学,hǎoxué,easy to learn; eager to study; studious; erudite
好转,hǎozhuǎn,to improve; to take a turn for the better; improvement
合约,héyuē,treaty; contract
和谐,héxié,harmonious; harmony; (euphemism) to censor
核心,héxīn,core; nucleus
黑夜,hēiyè,night
很难说,hěnnánshuō,Hard to say
狠,hěn,ruthless; fierce; ferocious; determined
横,héng,horizontal; across; crosswise; horizontal stroke (in Chinese characters)
衡量,héngliáng,to weigh; to examine; to consider
宏大,hóngdà,great; grand
洪水,hóngshuǐ,deluge; flood
忽略,hūlu:è,to neglect; to overlook; to ignore
壶,hú,pot; classifier for bottled liquid
互动,hùdòng,to interact; interactive
户外,hùwài,outdoor
护,hù,to protect
花费,huāfèi,expense; cost; to spend (time or money); expenditure
花瓶,huāpíng,flower vase; (fig.) female employee considered to be just a pretty face (attractive but not very competent)
花生,huāshēng,peanut; groundnut
化解,huàjiě,to dissolve; to resolve (contradictions); to dispel (doubts); to iron out (difficulties)
幻想,huànxiǎng,delusion; fantasy
患者,huànzhě,patient; sufferer
皇帝,huángdì,emperor
回应,huíyìng,to respond; response
毁,huǐ,to destroy; to ruin; to defame; to slander
会见,huìjiàn,to meet with (sb who is paying a visit)
会长,huìzhǎng,president of a club; committee etc
绘画,huìhuà,drawing; painting
昏,hūn,muddle-headed; twilight; to faint; to lose consciousness
混,hùn,to mix; to mingle; to pass off as; confused; (hún) muddy
混合,hùnhé,to mix; to blend; hybrid; composite
混乱,hùnluàn,confusion; chaos; disorder
活跃,huóyuè,active; lively; excited; to enliven
火箭,huǒjiàn,rocket
机动车,jīdòngchē,motor vehicle
机关,jīguān,mechanism; gear; machine-operated; office
机械,jīxiè,machine; machinery; mechanical; (old) cunning
基督教,Jīdūjiào,Christianity; Christian
激情,jīqíng,passion; fervor; enthusiasm; strong emotion
吉利,jílì,auspicious; lucky; propitious
吉祥,jíxiáng,lucky; auspicious; propitious
极端,jíduān,extreme
急救,jíjiù,to give emergency treatment; first aid
疾病,jíbìng,disease; sickness; ailment
集,jí,to gather; to collect; collected works; classifier for sections of a TV series etc: episode
加盟,jiāméng,to become a member of an alliance or union; to align; to join; participate
茄子,qiézi,eggplant (Solanum melongena L.); aubergine; brinjal; Guinea squash
家电,jiādiàn,household electric appliance
家园,jiāyuán,home; homeland
嘉宾,jiābīn,esteemed guest; honored guest; guest (on a show)
假日,jiàrì,holiday; non-working day
尖,jiān,pointed; tapering; sharp; (of a sound) shrill
监测,jiāncè,to monitor
监督,jiāndū,to control; to supervise; to inspect
捡,jiǎn,to pick up; to collect; to gather
简介,jiǎnjiè,summary; brief introduction
剑,jiàn,double-edged sword; classifier for blows of a sword
鉴定,jiàndìng,to appraise; to identify; to evaluate
箭,jiàn,arrow
将军,jiāngjūn,general (military officer); to checkmate
讲课,jiǎngkè,teach; lecture
酱,jiàng,thick paste of fermented soybean; marinated in soy paste; paste; jam
酱油,jiàngyóu,soy sauce
骄傲,jiāoào,pride; arrogance; conceited; proud of sth
焦点,jiāodiǎn,focal point; focus (lit. and fig.)
脚印,jiǎoyìn,footprint
教堂,jiàotáng,church; chapel
教育部,Jiàoyùbù,Ministry of Education
接收,jiēshōu,reception (of transmitted signal); to receive; to accept; to admit
揭,jiē,to take the lid off; to expose; to unmask
街头,jiētóu,street
节假日,jiéjiàrì,public holiday
节能,jiénéng,to save energy; energy-saving
节奏,jiézòu,rhythm; tempo; musical pulse; cadence
杰出,jiéchū,outstanding; distinguished; remarkable; prominent
截止,jiézhǐ,to close; to stop; to put a stop to sth; cut-off point
截至,jiézhì,up to (a time); by (a time)
解,jiě,to divide; to break up; to split; to separate
解说,jiěshuō,to explain (verbally); to give a running commentary
界,jiè,(bound form) boundary; border; (bound form) realm
借鉴,jièjiàn,to draw on (others' experience); to learn from (how others do things); lesson to be learned (by observing others)
金额,jīné,sum of money; monetary value
金钱,jīnqián,money; currency
金融,jīnróng,banking; finance; financial
尽,jǐn,to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to
近日,jìnrì,(in) the past few days; recently; (within) the next few days
近视,jìnshì,shortsighted; nearsighted; myopia
进攻,jìngōng,to attack; to assault; to go on the offensive; attack
惊人,jīngrén,astonishing
惊喜,jīngxǐ,nice surprise; to be pleasantly surprised
精,jīng,essence; extract; vitality; energy
精美,jīngměi,delicate; fine; refinement
精品,jīngpǐn,quality goods; premium product; fine work (of art)
井,jǐng,a well; neat; orderly
景,jǐng,(bound form) scenery; circumstance; situation; scene (of a play)
景点,jǐngdiǎn,tourist attraction; scenic spot
净,jìng,clean; completely; only; net (income exports etc)
纠纷,jiūfēn,dispute
纠正,jiūzhèng,to correct; to make right
酒水,jiǔshuǐ,beverage; drink
救命,jiùmìng,to save sb's life; (interj.) Help!; Save me!
救援,jiùyuán,to save; to support; to help; to assist
救助,jiùzhù,to help sb in trouble; aid; assistance
就是说,jiùshìshuō,in other words; that is
就算,jiùsuàn,(coll.) even if
剧,jù,theatrical work (play opera TV series etc); dramatic (change increase etc); acute; severe
据,jù,according to; to rely on; evidence; to occupy
捐,juān,to donate; to contribute; to relinquish; tax/levy
捐款,juānkuǎn,to donate money; to contribute funds; donation; contribution (of money)
捐赠,juānzèng,to contribute (as a gift); to donate; benefaction
捐助,juānzhù,to donate; to offer (aid); contribution; donation
决策,juécè,strategic decision; decision-making; policy decision; to determine policy
绝,jué,to cut short; extinct; to disappear; to vanish
绝大多数,juédàduōshù,the vast majority
觉,jué,to feel; to sense; to become aware; (jiào) sleep (睡觉)
觉悟,juéwù,to come to understand; to realize; consciousness; awareness
军队,jūnduì,armed forces; troops
军舰,jūnjiàn,warship; military naval vessel
军事,jūnshì,military affairs; (attributive) military
开创,kāichuàng,to initiate; to start; to found
开关,kāiguān,power switch; gas valve; to open the city (or frontier) gate; to open and close
开设,kāishè,to offer (goods or services); to open (for business etc)
开通,kāitōng,to open (a new road or railway line); to set up (a hotline); to launch (a service); to subscribe to (a members-only service)
开头,kāitóu,beginning; to start
开夜车,kāiyèchē,to burn the midnight oil; to work late into the night
看得见,kàndéjiàn,can see; visible
看得起,kàndeqǐ,to show respect for; to think highly of
看管,kānguǎn,to look after
看好,kānhǎo,to keep an eye on; to regard as having good prospects
看作,kànzuò,to look upon as; to regard as
康复,kāngfù,to recuperate; to recover (health); to convalesce
抗议,kàngyì,to protest; protest
考场,kǎochǎng,exam room
考题,kǎotí,exam question
科研,kēyán,(scientific) research
客车,kèchē,coach; bus; passenger train
肯,kěn,to agree; to consent; to be willing to
空军,kōngjūn,air force
口试,kǒushì,oral examination; oral test
扣,kòu,to fasten; to button; button; buckle
酷,kù,ruthless; strong (e.g. of wine); (loanword) cool; hip
跨,kuà,to step across; to stride over; to straddle; to span
快车,kuàichē,express (train bus etc)
宽阔,kuānkuò,expansive; wide; width; thickness
矿,kuàng,mineral deposit; ore deposit; ore; a mine
阔,kuò,rich; wide; broad
啦,la,(particle) sentence-final fusing 了 and 啊 (exclamation/completion)
来往,láiwǎng,to come and go; to have dealings with; to be in relation with
赖,lài,to rely on; to depend on; to deny; to blame wrongly; bad
栏目,lánmù,regular column or segment (in a publication or broadcast program); program (TV or radio)
蓝领,lánlǐng,blue-collar; blue-collar worker
蓝天,lántiān,blue sky
懒,lǎn,lazy
牢,láo,firm; sturdy; fold (for animals); sacrifice
老乡,lǎoxiāng,fellow townsman; fellow villager; sb from the same hometown
乐曲,yuèqǔ,musical composition
冷气,lěngqì,air conditioning (Tw)
冷水,lěngshuǐ,cold water; unboiled water; fig. not yet ready (of plans)
礼堂,lǐtáng,assembly hall; auditorium
理,lǐ,reason; logic; to manage; to tidy up; (natural) science
理财,lǐcái,to manage wealth; to manage finances; money management
理智,lǐzhì,reason; intellect; rationality; rational
利,lì,sharp; favorable; advantage; benefit
联盟,liánméng,alliance; union; coalition
联赛,liánsài,(sports) league; league tournament
联手,liánshǒu,lit. to join hands; to act together
凉鞋,liángxié,sandal
两侧,liǎngcè,two sides; both sides
两手,liǎngshǒu,one's two hands; two prongs (of a strategy); both aspects; eventualities etc; skills
聊,liáo,to chat; to depend upon (literary); temporarily; just
聊天儿,liáotiānr,to chat; to gossip
料,liào,material; stuff; grain; feed
裂,liè,to split; to crack; to break open; to rend
灵活,línghuó,flexible; nimble; agile
领取,lǐngqǔ,to receive; to draw; to get
领袖,lǐngxiù,leader
另,lìng,other; another; separate; separately
流感,liúgǎn,flu; influenza
留言,liúyán,to leave a message; to leave one's comments; message
楼道,lóudào,corridor; passageway (in storied building)
楼房,lóufáng,a building of two or more stories
陆军,lùjūn,army; ground forces
录像,lùxiàng,to videotape; to videorecord; video recording
录音机,lùyīnjī,(tape) recording machine; tape recorder
路过,lùguò,to pass by or through
露,lù,dew; to reveal; to expose; to show; (lòu) to show (coll.)
旅店,lǚdiàn,inn; small hotel
绿化,lǜhuà,to make green with plants; to reforest; (Internet slang) Islamization
马车,mǎchē,cart; chariot; carriage; buggy
嘛,ma,(particle) indicating the obvious or urging
埋,mái,to bury; used in 怨
馒头,mántou,steamed roll; steamed bun; steamed bread
慢车,mànchē,local bus or train; slow train with many stops
盲人,mángrén,blind person
没收,mòshōu,to confiscate; to seize
梅花,méihuā,plum blossom; clubs ♣ (a suit in card games); wintersweet (dialect)
美容,měiróng,to improve one's appearance (using cosmetics or cosmetic surgery); to make oneself more attractive; to beautify
蒙,méng,to cover; ignorant (启蒙); to receive (承蒙); (mēng) to deceive; to cheat; (Měng) Mongolia
猛,měng,ferocious; fierce; violent; brave
秘书长,mìshūzhǎng,secretary-general
棉,mián,generic term for cotton or kapok; cotton; padded or quilted with cotton
免得,miǎnde,so as not to; so as to avoid
面对面,miànduìmiàn,face to face
面向,miànxiàng,to face; to turn towards; to incline to; geared towards
妙,miào,clever; wonderful
灭,miè,to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown
民歌,míngē,folk song
民工,míngōng,migrant worker (who moved from a rural area of China to a city to find work); temporary worker enlisted on a public project
民警,mínjǐng,civil police; PRC police
民意,mínyì,public opinion; popular will; public will
民主,mínzhǔ,democracy
名额,míngé,quota; number of places; place (in an institution a group etc)
名胜,míngshèng,a place famous for its scenery or historical relics; scenic spot
名义,míngyì,name; titular; nominal; in name
名誉,míngyù,fame; reputation; honor; honorary
明日,míngrì,tomorrow
命,mìng,life; fate; order or command; to assign a name; title etc
膜,mó,membrane; film
磨,mó,to rub; to grind; to polish; to sharpen
墨水,mòshuǐ,ink
母,mǔ,mother; elderly female relative; origin; source
母鸡,mǔjī,hen; don't know (humorous slang mimicking Cantonese 唔知 Jyutping: m4 zi1)
母女,mǔnǚ,mother and daughter; mother-daughter
