Chinese (Simpl.),Pinyin,English
介绍,jièshào,to introduce; to present; introduction
姐,jiě,older sister
姐姐,jiějie,older sister
今年,jīnnián,this year
今天,jīntiān,today; at the present; now
进,jìn,to go forward; to advance; to go in; to enter
进来,jìnlái,to come in
进去,jìnqù,to go in
九,jiǔ,nine; 9
就,jiù,then; in that case; as soon as
觉得,juéde,to think that ...; to feel that ...; to feel (uncomfortable etc)
开,kāi,to open; to turn on; to drive (a vehicle)
开车,kāichē,to drive a car
开会,kāihuì,to hold a meeting; to attend a meeting
开玩笑,kāiwánxiào,to play a joke; to make fun of; to joke
看,kàn,to look; to watch; to read; to see
看病,kànbìng,to visit a doctor; to see a patient
看到,kàndào,to see
看见,kànjiàn,to see; to catch sight of
考,kǎo,to take an exam; to test; to examine
考试,kǎoshì,to take an exam; exam
渴,kě,thirsty
课,kè,subject; course; class; lesson
课本,kèběn,textbook
课文,kèwén,text
口,kǒu,mouth; mouthful (measure word)
块,kuài,lump; chunk; piece; classifier for pieces of cloth; cake; soap etc
快,kuài,rapid; quick; speed; rate
来,lái,to come; to arrive
来到,láidào,to arrive; to come
老,lǎo,old; aged; venerable
老人,lǎorén,old man or woman; the elderly; one's aged parents or grandparents
老师,lǎoshī,teacher
了,le,completed action particle; change-of-state particle
累,lèi,tired; weary
冷,lěng,cold
里,lǐ,lining; interior; inside; internal
里边,lǐbian,inside
两,liǎng,two; both; some; a few
零,líng,zero; nought; zero sign; fractional
六,liù,six; 6
楼,lóu,house with more than 1 story; storied building; floor
楼上,lóushàng,upstairs; (Internet slang) previous poster in a forum thread
楼下,lóuxià,downstairs
路,lù,road; journey; route; line (bus etc)
路口,lùkǒu,crossing; intersection (of roads)
路上,lùshang,on the road; on a journey; road surface
妈,mā,ma; mom; mother
妈妈,māma,mama; mommy; mother
马路,mǎlù,street; road
马上,mǎshàng,at once; right away; immediately; on horseback (i.e. by military force)
吗,ma,(yes-no question particle)
买,mǎi,to buy; to purchase
慢,màn,slow
忙,máng,busy; hurriedly; to hurry; to rush
毛,máo,hair; feather; down; wool
没,méi,(negative prefix for verbs) have not; not; drowned; to end
没关系,méiguānxi,it doesn't matter
没什么,méishénme,nothing; it doesn't matter; it's nothing; never mind
没事儿,méishìr,to have spare time; free from work; it's not important; it's nothing
没有,méiyǒu,haven't; hasn't; doesn't exist; to not have
妹,mèi,younger sister
妹妹,mèimei,younger sister; young woman
门,mén,gate; door; gateway; doorway
门口,ménkǒu,doorway; gate
门票,ménpiào,ticket (for theater cinema etc)
们,men,plural marker for pronouns; and nouns referring to individuals
米饭,mǐfàn,(cooked) rice
面包,miànbāo,bread
面条儿,miàntiáor,noodles
名字,míngzi,name (of a person or thing)
明白,míngbai,clear; obvious; unequivocal; to understand
明年,míngnián,next year
明天,míngtiān,tomorrow
拿,ná,to hold; to seize; to catch; to apprehend
哪,nǎ,which; how
哪儿,nǎr,where?; wherever; anywhere; somewhere
哪里,nǎlǐ,where?; somewhere; anywhere; wherever
哪些,nǎxiē,which ones?; who?; what?
那,nà,that; those
那边,nàbian,over there; yonder
那儿,nàr,there
那里,nàli,there; that place; there; that place
那些,nàxiē,those
奶,nǎi,breast; milk; to breastfeed; mother
奶奶,nǎinai,grandma (paternal); paternal grandmother
男,nán,male; Baron; lowest of five orders of nobility 位
男孩儿,nánháir,boy
男朋友,nánpéngyou,boyfriend
男人,nánrén,a man; a male; men
男生,nánshēng,schoolboy; male student; boy; guy (young adult male)
南,nán,south
南边,nánbian,south; south side; southern part; to the south of
难,nán,difficult (to...); problem; difficulty; difficult
呢,ne,(question particle) and what about ...?; what about ...?
能,néng,can; to be able to; might possibly; ability
你,nǐ,you (informal)
你们,nǐmen,you (plural)
年,nián,year; grain; harvest (old)
您,nín,you (courteous as opposed to informal 你)
牛奶,niúnǎi,cow's milk
女,nǚ,female; woman; daughter; archaic variant of 汝
女儿,nǚér,daughter
女孩儿,nǚháir,girl
女朋友,nǚpéngyou,girlfriend
女人,nǚrén,woman; wife
女生,nǚshēng,schoolgirl; female student; girl
旁边,pángbiān,side; adjacent place
跑,pǎo,to run
朋友,péngyou,friend
票,piào,ticket; ballot; banknote; person held for ransom
七,qī,seven; 7
起,qǐ,to rise; to raise; to get up; to set out
起床,qǐchuáng,to get out of bed; to get up
起来,qǐlai,to stand up; to get up; to rise
汽车,qìchē,car; automobile; bus
前,qián,front; forward; ahead; first
前边,qiánbian,front; the front side; in front of
前天,qiántiān,the day before yesterday
钱,qián,coin; money; unit of weight; one tenth of a tael 两
钱包,qiánbāo,purse; wallet
请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc)
请假,qǐngjià,to request leave of absence
请进,qǐngjìn,'please come in'
请问,qǐngwèn,Excuse me; may I ask...?
请坐,qǐngzuò,please; have a seat
球,qiú,ball; sphere; globe; ball game
去,qù,to go; to go to (a place); (of a time etc) last; just passed
去年,qùnián,last year
热,rè,hot; heat
人,rén,person; people
认识,rènshi,to know; to recognize; to be familiar with; to get acquainted with sb
认真,rènzhēn,conscientious; earnest; serious; to take seriously
日,Rì,sun; day; date; day of the month
日期,rìqī,date
肉,ròu,meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy
三,sān,three; 3
山,shān,mountain; hill; (coll.) small bundle of straw for silkworms to spin cocoons on
商场,shāngchǎng,shopping mall; shopping center; department store; emporium
商店,shāngdiàn,store; shop
上,shàng,up; above; on; to go up
上班,shàngbān,to go to work; to be on duty; to start work; to go to the office
上边,shàngbian,the top; above; overhead; upwards
上车,shàngchē,to get on or into (a bus train car etc)
上次,shàngcì,last time
上课,shàngkè,to go to class; to attend class; to go to teach a class
上网,shàngwǎng,to go online; to surf the Internet
上午,shàngwǔ,morning
上学,shàngxué,to go to school; to attend school
少,shǎo,few; less; to lack; to be missing
身上,shēnshang,on the body; at hand; among
身体,shēntǐ,the body; one's health; in person
什么,shénme,what?; something; anything
生病,shēngbìng,to fall ill
生气,shēngqì,to get angry; to take offense; angry; vitality
生日,shēngrì,birthday
十,shí,ten; 10
时候,shíhou,time; length of time; moment; period
时间,shíjiān,time; period
事,shì,matter; thing; item; work
试,shì,to test; to try; experiment; examination
是,shì,to be (followed by substantives only); correct; right; true
是不是,shìbùshì,is or isn't; yes or no; whether or not
手,shǒu,hand; skilled person
手机,shǒujī,cell phone; mobile phone
书,Shū,book; letter; document; to write
书包,shūbāo,schoolbag; satchel; bookbag
书店,shūdiàn,bookstore
树,shù,tree; to cultivate; to set up
谁,shéi,who
水,shuǐ,water; river; liquid; beverage
水果,shuǐguǒ,fruit
睡,shuì,to sleep; to lie down
睡觉,shuìjiào,to go to bed; to sleep
说,shuō,to speak; to say; to talk
说话,shuōhuà,to speak; to say; to talk; to gossip
四,sì,four; 4
送,sòng,to send; to deliver; to transmit; to give (as a present)
岁,suì,years old; classifier for years (of age); year; year (of crop harvests)
他,tā,he; him
他们,tāmen,they
她,tā,she
她们,tāmen,they; them (for females)
太,tài,too; excessively; very
天,tiān,day; sky; heaven
天气,tiānqì,weather
听,tīng,to listen; to hear
听到,tīngdào,to hear
听见,tīngjiàn,to hear
听写,tīngxiě,dictation; to take dictation
同学,tóngxué,to study at the same school; fellow student; classmate
图书馆,túshūguǎn,library
外,wài,outside; in addition; foreign; external
外边,wàibian,outside; outer surface; abroad; place other than one's home
外国,wàiguó,foreign (country)
外语,wàiyǔ,foreign language
玩儿,wánr,to play; to have fun; to hang out
晚,wǎn,evening; night; late
晚饭,wǎnfàn,evening meal; dinner; supper
晚上,wǎnshang,evening; night; in the evening
网上,wǎngshàng,online
网友,wǎngyǒu,online friend; Internet user
忘,wàng,to forget; to overlook; to neglect
忘记,wàngjì,to forget
问,wèn,to ask; to inquire
我,wǒ,I; me; my
我们,wǒmen,we; us; ourselves; our
五,wǔ,five; 5
午饭,wǔfàn,lunch
洗,xǐ,to wash; to bathe; to develop (photographs); to shuffle (cards etc)
洗手间,xǐshǒujiān,toilet; lavatory; washroom
喜欢,xǐhuan,to like; to be fond of
西,xī,west
西边,xībiān,west; west side; western part; to the west of
下,xià,down; downwards; below; lower
下班,xiàbān,to finish work; to get off work
下边,xiàbian,under; the underside; below
下车,xiàchē,to get off or out of (a bus train car etc)
下次,xiàcì,next time
下课,xiàkè,to finish class; to get out of class; (fig.) to be dismissed
下午,xiàwǔ,afternoon; p.m.
下雨,xiàyǔ,to rain
先,xiān,early; prior; former; in advance
先生,xiānsheng,teacher; gentleman; sir; mister (Mr.)
现在,xiànzài,now; at present; at the moment; modern
想,xiǎng,to think (about); to think of; to devise; to think (that)
小,xiǎo,small; tiny; few; young
小孩儿,xiǎoháir,child
小姐,xiǎojie,young lady; miss; (slang) prostitute
小朋友,xiǎopéngyǒu,child
小时,xiǎoshí,hour
小学,xiǎoxué,elementary school; primary school
小学生,xiǎoxuéshēng,primary school student; schoolchild; (fig.) beginner
笑,xiào,to laugh; to smile; to laugh at
写,xiě,to write
谢谢,xièxie,to thank; thanks; thank you
新,xīn,new; newly
新年,xīnnián,New Year
星期,xīngqī,week; day of the week; Sunday
星期日,Xīngqīrì,Sunday
星期天,Xīngqītiān,Sunday
行,xíng,OK; all right; to walk; to go; capable
休息,xiūxi,rest; to rest
学,xué,to learn; to study; to imitate; science
学生,xuésheng,student; schoolchild
学习,xuéxí,to learn; to study
学校,xuéxiào,school
学院,xuéyuàn,college; educational institute; school; faculty
要,yào,to want; to need; will; must
也,yě,also; too; as well
页,yè,page; leaf; (measure word for pages)
爷爷,yéye,(coll.) father's father; paternal grandfather
一,yī,one; single; a (article); as soon as
一半,yībàn,half
一边,yībiān,one side; either side; on the one hand; on the other hand
一点儿,yīdiǎnr,a little bit; a bit; slightly
一会儿,yīhuìr,a moment; a while; in a moment; now...now...
一块儿,yīkuàir,a piece; a chunk; (coll.) one yuan; one dollar
一起,yīqǐ,in the same place; together; with; altogether (in total)
一下儿,yīxiàr,one time; once; all of sudden
一些,yīxiē,some; a few; a little; (following an adjective) slightly ...er
一样,yīyàng,same; like; equal to; the same as
衣服,yīfu,clothes
医生,yīshēng,doctor
医院,yīyuàn,hospital
用,yòng,to use; to employ; to have to; to eat or drink
有,yǒu,to have; there is; (bound form) having; with
有的,yǒude,(there are) some (who are...); some (exist)
有名,yǒumíng,famous; well-known
有时,yǒushí,sometimes; now and then
有时候,yǒushíhou,sometimes
有些,yǒuxiē,some; somewhat
有一些,yǒuyīxiē,somewhat; rather; some
有用,yǒuyòng,useful
右,yòu,right; right-hand side
右边,yòubian,right side; right; to the right
雨,yǔ,rain; (literary) to rain; (of rain snow etc) to fall; to precipitate
元,yuán,yuan (unit of currency)
远,yuǎn,far; distant; remote; (intensifier in a comparison) by far
月,yuè,moon; month; monthly
再,zài,again; once more; re-; second
再见,zàijiàn,goodbye; see you again later
在,zài,at; to be located at; to exist
在家,zàijiā,to be at home; at home
早,zǎo,early; morning; Good morning!; long ago
早饭,zǎofàn,breakfast
早上,zǎoshang,early morning
怎么,zěnme,how?; what?; why?
站,zhàn,station; to stand; to halt; to stop
找,zhǎo,to try to find; to look for; to call on sb; to find
找到,zhǎodào,to find
这,zhè,(pronoun) this; these; (bound form) this; the (followed by a noun)
这边,zhèbiān,this side; here
这儿,zhèr,here
这里,zhèlǐ,here
这些,zhèxiē,these
着,zhe,(particle) indicating continuous action or state
真,zhēn,really; truly; indeed; real
真的,zhēnde,really; truly; indeed
正,zhèng,straight; upright; correct; main
正在,zhèngzài,just at (that time); right in (that place); right in the middle of (doing sth)
知道,zhīdào,to know; to become aware of
知识,zhīshi,knowledge; intellectual
中,Zhōng,China; Chinese; within; among
中国,Zhōngguó,China
中间,zhōngjiān,the middle; the inside; in the middle; within
中文,Zhōngwén,Chinese language
中午,zhōngwǔ,noon; midday
中学,zhōngxué,middle school
中学生,zhōngxuéshēng,middle-school student; high school student
重,zhòng,heavy; weight
重要,zhòngyào,important; significant; major
住,zhù,to live; to dwell; to stay; to reside
准备,zhǔnbèi,preparation; to prepare; to intend; to be about to
桌子,zhuōzi,table; desk
字,zì,letter; symbol; character; word
子,zǐ,son; child; seed; egg
走,zǒu,to walk; to go; to run; to move (of vehicle)
走路,zǒulù,to walk; to go on foot
最,zuì,most; the most; -est (superlative suffix)
最好,zuìhǎo,best; (you) had better (do what we suggest)
最后,zuìhòu,final; last; finally; ultimate
昨天,zuótiān,yesterday
左,zuǒ,left; the Left (politics); east; unorthodox
左边,zuǒbian,left; the left side; to the left of
坐,zuò,to sit; to take a seat; to take (a bus airplane etc); to bear fruit
坐下,zuòxia,to sit down
做,zuò,to make; to produce; to write; to compose
