Chinese (Simpl.),Pinyin,English
家政,jiāzhèng,housekeeping
家族,jiāzú,family; clan
嘉年华,jiāniánhuá,carnival (loanword)
假定,jiǎdìng,to assume; to suppose; supposed; so-called
假冒,jiǎmào,to impersonate; to pose as (someone else); to counterfeit; to palm off (a fake as a genuine)
假设,jiǎshè,to suppose; to presume; to assume; supposing that ...
假使,jiǎshǐ,if; in case; suppose; given ...
假装,jiǎzhuāng,to feign; to pretend
价位,jiàwèi,price level
价值观,jiàzhíguān,system of values
驾,jià,to harness; to draw (a cart etc); to drive; to pilot
驾车,jiàchē,to drive a vehicle
驾驭,jiàyù,to urge on (of horse); to drive; to steer; to handle
架势,jiàshi,attitude; position (on an issue etc)
架子,jiàzi,shelf; frame; stand; framework
嫁,jià,(of a woman) to marry; to marry off a daughter; to shift (blame etc)
嫁妆,jiàzhuang,dowry
奸诈,jiānzhà,treachery; devious; a rogue
尖端,jiānduān,sharp pointed end; the tip; the cusp; tip-top
尖锐,jiānruì,sharp; intense; penetrating; pointed
坚持不懈,jiānchíbùxiè,to persevere unremittingly (idiom); to keep going until the end
坚韧,jiānrèn,tough and durable; tenacious
坚实,jiānshí,firm and substantial; solid
坚守,jiānshǒu,to hold fast to; to stick to
坚信,jiānxìn,to believe firmly; without any doubt
坚硬,jiānyìng,hard; solid
歼灭,jiānmiè,to wipe out; to crush; to annihilate
间谍,jiàndié,spy
间断,jiànduàn,disconnected; interrupted; suspended; a gap
间隔,jiàngé,gap; interval; compartment; to divide
间隙,jiànxì,interval; gap; clearance
肩膀,jiānbǎng,shoulder
肩负,jiānfù,to shoulder (a burden); to bear; to suffer (a disadvantage)
艰巨,jiānjù,arduous; terrible (task); very difficult; formidable
艰苦奋斗,jiānkǔfèndòu,to struggle arduously
艰险,jiānxiǎn,difficult and dangerous; hardships and perils
艰辛,jiānxīn,hardships; arduous; difficult
兼,jiān,double; twice; simultaneous; holding two or more (official) posts at the same time
兼顾,jiāngù,to attend simultaneously to two or more things; to balance (career and family family and education etc)
兼任,jiānrèn,to hold several jobs at once; concurrent post; working part-time
兼容,jiānróng,compatible
兼职,jiānzhí,to hold concurrent posts; concurrent job; moonlighting
监察,jiānchá,to supervise; to control
监管,jiānguǎn,to oversee; to take charge of; to supervise; to administer
监护,jiānhù,to act as a guardian
监控,jiānkòng,to monitor
监视,jiānshì,to monitor; to keep a close watch over; surveillance
监狱,jiānyù,prison
煎,jiān,to pan fry; to sauté
拣,jiǎn,to choose; to pick; to sort out; to pick up
减免,jiǎnmiǎn,to reduce or waive (taxes punishment rent tuition etc)
减弱,jiǎnruò,to weaken; to diminish
减速,jiǎnsù,to reduce speed; to slow down; to take it easy
减压,jiǎnyā,to reduce pressure; to relax
检察,jiǎnchá,to inspect; (law) to prosecute; to investigate
检讨,jiǎntǎo,to examine or inspect; self-criticism; review
简称,jiǎnchēng,to be abbreviated to; abbreviation; short form
简短,jiǎnduǎn,brief (statement summary etc); briefly; brevity
简化,jiǎnhuà,to simplify
简洁,jiǎnjié,concise; succinct; pithy
简陋,jiǎnlòu,simple and crude
简体字,jiǎntǐzì,simplified Chinese character; as opposed to traditional Chinese character 繁体字
简要,jiǎnyào,concise; brief
简易,jiǎnyì,simple and easy; simplistic; simplicity
见解,jiànjiě,opinion; view; understanding
见钱眼开,jiànqiányǎnkāi,to open one's eyes wide at the sight of profit (idiom); thinking of nothing but personal gain; money-grubbing
见仁见智,jiànrénjiànzhì,opinions differ (idiom)
见识,jiànshi,to gain first-hand knowledge of sth; to experience for oneself; knowledge; experience
见外,jiànwài,to treat sb with the formal courtesy accorded to a host or a guest
见效,jiànxiào,to have the desired effect
见义勇为,jiànyìyǒngwéi,to see what is right and act courageously (idiom from Analects); to stand up bravely for the truth; acting heroically in a just cause
见证,jiànzhèng,to be witness to; witness; evidence
建交,jiànjiāo,to establish diplomatic relations
建树,jiànshù,to make a contribution; to establish; to found; contribution
建筑师,jiànzhùshī,architect
建筑物,jiànzhùwù,building; structure; edifice
贱,jiàn,inexpensive; lowly; despicable; (bound form) (humble) my
健美,jiànměi,healthy and beautiful; to do fitness exercises
健壮,jiànzhuàng,robust; healthy; sturdy
溅,jiàn,to splash
鉴别,jiànbié,to differentiate; to distinguish
鉴赏,jiànshǎng,to appreciate (as a connoisseur)
鉴于,jiànyú,in view of; seeing that; considering; whereas
姜,jiāng,ginger
僵,jiāng,rigid; deadlock; stiff (corpse)
僵化,jiānghuà,to become rigid
僵局,jiāngjú,impasse; deadlock
讲解,jiǎngjiě,to explain
讲述,jiǎngshù,to talk about; to narrate; to give an account
讲学,jiǎngxué,to lecture (on branch of learning)
奖杯,jiǎngbēi,trophy cup
奖牌,jiǎngpái,medal (awarded as a prize)
奖品,jiǎngpǐn,award; prize
奖项,jiǎngxiàng,award; prize
降临,jiànglín,to descend; to arrive; to come
交叉,jiāochā,to cross; to intersect; to overlap
交锋,jiāofēng,to cross swords; to have a confrontation (with sb)
交付,jiāofù,to hand over; to deliver
交集,jiāojí,(of diverse emotions) to occur simultaneously; to intermingle; common ground; points of commonality
交接,jiāojiē,(of two things) to come into contact; to meet; to hand over to; to take over from
交界,jiāojiè,common boundary; common border
交纳,jiāonà,to pay (taxes or dues)
交情,jiāoqing,friendship; friendly relations
交涉,jiāoshè,to negotiate (with); to have dealings (with)
交谈,jiāotán,to discuss; to converse; chat; discussion
交替,jiāotì,to replace; alternately; in turn
交头接耳,jiāotóujiēěr,to whisper to one another's ear
交响乐,jiāoxiǎngyuè,symphony
郊外,jiāowài,outskirts
郊游,jiāoyóu,to go for an outing; to go on an excursion
娇惯,jiāoguàn,to pamper; to coddle; to spoil
娇气,jiāoqì,delicate; squeamish; finicky
浇,jiāo,to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal)
胶囊,jiāonáng,(pharm.) capsule
胶片,jiāopiàn,(photographic) film
焦,jiāo,burnt; scorched; charred; worried
焦急,jiāojí,anxiety; anxious
焦距,jiāojù,focal length; focal distance
焦虑,jiāolǜ,anxious; worried; apprehensive
焦躁,jiāozào,fretful; impatient
礁石,jiāoshí,reef
角落,jiǎoluò,nook; corner
角逐,juézhú,to tussle; to contend; to contest
狡猾,jiǎohuá,crafty; cunning; sly
绞,jiǎo,to twist (strands into a thread); to entangle; to wring; to hang (by the neck)
矫正,jiǎozhèng,to correct; to rectify (e.g. a physical defect such as hearing or vision); to cure; rectification
搅,jiǎo,to disturb; to annoy; to mix; to stir
搅拌,jiǎobàn,to stir; to agitate
缴,jiǎo,to hand in; to hand over; to seize
缴费,jiǎofèi,to pay a fee
缴纳,jiǎonà,to pay (taxes etc)
叫板,jiàobǎn,to signal the musicians (in Chinese opera by prolonging a spoken word before attacking a song); (coll.) to challenge
叫好,jiàohǎo,to applaud; to cheer
轿车,jiàochē,enclosed carriage for carrying passengers; motor carriage; car or bus; limousine
较劲,jiàojìn,to match one's strength with; to compete; more competitive; to set oneself against sb
较量,jiàoliàng,to pit oneself against sb; to compete with sb; contest; battle
教科书,jiàokēshū,textbook
教条,jiàotiáo,doctrine; dogma; creed; dogmatic
教养,jiàoyǎng,to educate; to bring up; to nurture; upbringing
阶层,jiēcéng,social class
阶级,jiējí,(social) class
阶梯,jiētī,flight of steps; (fig.) stepping stone; way to reach the goal of
皆,jiē,all; each and every; in all cases
接班,jiēbān,to take over (from those working the previous shift); to take over (in a leadership role etc); to succeed sb
接班人,jiēbānrén,successor
接二连三,jiēèrliánsān,one after another (idiom); in quick succession
接轨,jiēguǐ,railtrack connection; to integrate into sth; to dock; to connect
接济,jiējì,to give material assistance to
接见,jiējiàn,to receive sb; to grant an interview
接力,jiēlì,relay
接纳,jiēnà,to admit (to membership)
接手,jiēshǒu,to take over (duties etc); catcher (baseball etc)
接送,jiēsòng,to pick up and drop off; to ferry back and forth
接替,jiētì,to replace; to take over (a position or post)
接听,jiētīng,to answer the phone
接通,jiētōng,to connect; to put through
揭发,jiēfā,to expose; to bring to light; to disclose; revelation
揭露,jiēlù,to expose; to unmask; to ferret out; to disclose
揭示,jiēshì,to show; to make known
揭晓,jiēxiǎo,to announce publicly; to publish; to make known; to disclose
节俭,jiéjiǎn,frugal; economical
节气,jiéqi,solar term
节水,jiéshuǐ,to save water
节衣缩食,jiéyīsuōshí,to save on food and clothing (idiom); to live frugally
劫,jié,to rob; to plunder; to seize by force; to coerce
劫持,jiéchí,to kidnap; to hijack; to abduct; to hold under duress
洁净,jiéjìng,clean; to cleanse
结冰,jiébīng,to freeze
结晶,jiéjīng,to crystallize; crystallization; crystal; crystalline
结局,jiéjú,conclusion; ending
结识,jiéshí,to get to know sb; to meet sb for the first time
结尾,jiéwěi,ending; coda; to wind up
截,jié,to cut off (a length); to stop; to intercept; section
截然不同,jiéránbùtóng,entirely different; different as black and white
竭尽全力,jiéjìnquánlì,to spare no effort (idiom); to do one's utmost
竭力,jiélì,to do one's utmost
解答,jiědá,to solve (a problem); to resolve (a difficulty); to provide an answer; solution
解读,jiědú,to decipher; to decode; to interpret
解雇,jiěgù,to fire; to sack; to dismiss; to terminate employment
解救,jiějiù,to rescue; to help out of difficulties; to save the situation
解剖,jiěpōu,to dissect (an animal); to analyze; anatomy
解散,jiěsàn,to dissolve; to disband
解体,jiětǐ,to break up into components; to disintegrate; to collapse; to crumble
解脱,jiětuō,to untie; to free; to absolve of; to get free of
解围,jiěwéi,to lift a siege; to help sb out of trouble or embarrassment
解析,jiěxī,to analyze; to resolve; (math.) analysis; analytic
介入,jièrù,to intervene; to get involved
介意,jièyì,to care about; to take offense; to mind
介于,jièyú,between; intermediate; to lie between
戒备,jièbèi,to take precautions; to guard against (emergency)
戒烟,jièyān,to give up smoking
戒指,jièzhi,(finger) ring
届时,jièshí,when the time comes; at the scheduled time
界定,jièdìng,definition; to delimit
界线,jièxiàn,limits; bounds; dividing line
界限,jièxiàn,boundary
借口,jièkǒu,to use as an excuse; excuse; pretext
借条,jiètiáo,receipt for a loan; IOU
借用,jièyòng,to borrow sth for another use; to borrow an idea for one's own use
借助,jièzhù,to draw support from; with the help of
金属,jīnshǔ,metal
金字塔,jīnzìtǎ,pyramid (building or structure)
金子,jīnzi,gold
津津有味,jīnjīnyǒuwèi,with keen interest (idiom); with great pleasure; with gusto; eagerly
津贴,jīntiē,allowance
筋,jīn,muscle; tendon; veins visible under the skin; sth resembling tendons or veins (e.g. fiber in a vegetable)
仅次于,jǐncìyú,second only to ...; ranking behind only ...
尽情,jìnqíng,as much as one likes
尽头,jìntóu,end; extremity; limit
尽早,jǐnzǎo,as early as possible
紧凑,jǐncòu,compact; terse; tight (schedule)
紧接着,jǐnjiēzhe,immediately afterwards; shortly after that
紧迫,jǐnpò,pressing; urgent
紧缺,jǐnquē,in short supply; scarce
紧缩,jǐnsuō,(economics) to reduce; to curtail; to cut back; to tighten
谨慎,jǐnshèn,cautious; prudent
锦旗,jǐnqí,silk banner (as an award or gift)
劲头,jìntóu,enthusiasm; zeal; vigor; strength
近年来,jìnniánlái,for the past few years
进场,jìnchǎng,to enter the venue; to enter the arena; (aviation) to approach the airfield; (investing) to get into the market
进程,jìnchéng,course of events; process
进出,jìnchū,to enter or exit; to go through
进出口,jìnchūkǒu,import and export
进度,jìndù,rate of progress
进而,jìnér,and then (what follows next)
进修,jìnxiū,to undertake advanced studies; to take a refresher course
晋升,jìnshēng,to promote to a higher position
浸泡,jìnpào,to steep; to soak; to immerse
禁不住,jīnbuzhù,can't help it; can't bear it
禁忌,jìnjì,taboo; contraindication (medicine); to abstain from
禁区,jìnqū,restricted area; forbidden region
经,jīng,classics; sacred book; scripture; to pass through
经度,jīngdù,longitude
经久不息,jīngjiǔbùxī,prolonged (applause cheering etc)
经贸,jīngmào,trade
经商,jīngshāng,to trade; to carry out commercial activities; in business
经受,jīngshòu,to undergo (hardship); to endure; to withstand
茎,jīng,stalk; stem
荆棘,jīngjí,thistles and thorns; brambles; thorny undergrowth
惊,jīng,to startle; to be frightened; to be scared; alarm
惊诧,jīngchà,to be surprised; to be amazed; to be stunned
惊慌,jīnghuāng,to panic; to be alarmed
惊慌失措,jīnghuāngshīcuò,to lose one's head out of fear (idiom)
惊奇,jīngqí,to be amazed; to be surprised; to wonder
惊叹,jīngtàn,to exclaim in admiration; a gasp of surprise
惊天动地,jīngtiāndòngdì,world-shaking (idiom)
惊险,jīngxiǎn,perilous; touch-and-go; nerve-racking; suspenseful
惊心动魄,jīngxīndòngpò,(idiom) heart-stopping; hair-raising; breathtaking
惊醒,jīngxǐng,to rouse; to be woken by sth; to wake with a start; to sleep lightly
惊讶,jīngyà,amazed; astonished; to surprise; amazing
晶莹,jīngyíng,sparkling and translucent
兢兢业业,jīngjīngyèyè,(idiom) conscientious; assiduous
精打细算,jīngdǎxìsuàn,meticulous planning and careful accounting (idiom)
精华,jīnghuá,best feature; most important part of an object; quintessence; essence
精简,jīngjiǎn,to simplify; to reduce
精练,jīngliàn,(textiles) to scour; to degum (silk)
精妙,jīngmiào,exquisite; fine and delicate (usu. of works of art)
精明,jīngmíng,astute; shrewd; smart
精疲力竭,jīngpílìjié,spirit weary; strength exhausted (idiom); spent; drained; washed out
精确,jīngquè,accurate; precise
精神病,jīngshénbìng,mental disorder; psychosis
精髓,jīngsuǐ,marrow; pith; quintessence; essence
精通,jīngtōng,to be proficient in; to master (a subject)
精细,jīngxì,fine; meticulous; careful
精心,jīngxīn,with utmost care; fine; meticulous; detailed
精益求精,jīngyìqiújīng,to perfect sth that is already outstanding (idiom); constantly improving
精英,jīngyīng,cream; elite; essence; quintessence
精致,jīngzhì,delicate; fine; exquisite; refined
颈部,jǐngbù,neck
景观,jǐngguān,landscape
景区,jǐngqū,scenic area
警车,jǐngchē,police car
警官,jǐngguān,constable; police officer
警惕,jǐngtì,to be on the alert; vigilant; alert; on guard
警钟,jǐngzhōng,alarm bell
净化,jìnghuà,to purify
竞技,jìngjì,competition of skill (e.g. sports); athletics tournament
竞相,jìngxiāng,competitive; eagerly; to vie
竞选,jìngxuǎn,to take part in an election; to run for office
竟,jìng,unexpectedly; actually; to go so far as to; indeed
竟敢,jìnggǎn,to have the impertinence; to have the cheek to
敬,jìng,(bound form) respectful; to respect; to offer politely
敬爱,jìngài,to respect and love; to hold in high esteem
敬而远之,jìngéryuǎnzhī,to show respect from a distance (idiom); to remain at a respectful distance
敬酒,jìngjiǔ,to toast; to propose a toast
敬礼,jìnglǐ,to salute; salute
敬佩,jìngpèi,to esteem; to admire
敬请,jìngqǐng,please (do sth) (deferential form)
敬业,jìngyè,dedicated to one's work
敬意,jìngyì,respect; esteem; high regard
敬重,jìngzhòng,to respect deeply; to revere; to esteem
境地,jìngdì,circumstances
境界,jìngjiè,boundary; state; realm
境内,jìngnèi,within the borders; internal (to a country province city etc); domestic
境外,jìngwài,outside (a country's) borders
境遇,jìngyù,circumstance
静止,jìngzhǐ,still; immobile; static; stationary
窘迫,jiǒngpò,poverty-stricken; very poor; hard-pressed; in a predicament
纠缠,jiūchán,to be in a tangle; to nag
揪,jiū,to seize; to clutch; to grab firmly and pull
久违,jiǔwéi,(haven't done sth) for a long time; a long time since we last met
久仰,jiǔyǎng,honorific: I've long looked forward to meeting you.; It's an honor to meet you at last.
酒精,jiǔjīng,alcohol; ethanol CH3CH2OH; ethyl alcohol; grain alcohol
酒楼,jiǔlóu,restaurant
救护车,jiùhùchē,ambulance
救济,jiùjì,emergency relief; to help the needy with cash or goods
救治,jiùzhì,to provide critical care (to a patient or a diseased plant)
就餐,jiùcān,to dine
就地,jiùdì,locally; on the spot
就读,jiùdú,to go to school
就近,jiùjìn,nearby; in a close neighborhood
就任,jiùrèn,to take office; to assume a post
就医,jiùyī,to receive medical treatment
就诊,jiùzhěn,to see a doctor; to seek medical advice
就职,jiùzhí,to take office; to assume a post
就座,jiùzuò,to take a seat
舅舅,jiùjiu,mother's brother; maternal uncle (informal)
居高临下,jūgāolínxià,lit. to be in a high location; overlooking the scene below (idiom); fig. to occupy a commanding position; to assume a haughty attitude
居民楼,jūmínlóu,apartment building; residential tower
拘留,jūliú,to detain (a prisoner); to keep sb in custody
拘束,jūshù,to restrict; to restrain; constrained; awkward
鞠躬,jūgōng,to bow; (literary) to bend down
局部,júbù,part; local
局势,júshì,situation; state (of affairs)
局限,júxiàn,to limit; to confine; to restrict sth within set boundaries
菊花,júhuā,chrysanthemum; (slang) anus
橘子,júzi,tangerine
沮丧,jǔsàng,dispirited; dejected; dismayed
举报,jǔbào,to report (malefactors to the police); to denounce
举措,jǔcuò,move; act; measure
举例,jǔlì,to give an example
举世闻名,jǔshìwénmíng,world-famous (idiom)
举世无双,jǔshìwúshuāng,unrivaled (idiom); world number one; unique; unequaled
举世瞩目,jǔshìzhǔmù,to receive worldwide attention
举一反三,jǔyīfǎnsān,to raise one and infer three; to deduce many things from one case (idiom)
举止,jǔzhǐ,bearing; manner; mien
举重,jǔzhòng,to lift weights; weight-lifting (sports)
巨额,jùé,large sum (of money); a huge amount
巨人,jùrén,giant
巨头,jùtóu,tycoon; magnate; big player (including company country school etc); big shot
巨星,jùxīng,(astronomy) giant star; (fig.) superstar (of opera basketball etc)
巨型,jùxíng,giant; enormous
剧烈,jùliè,violent; acute; severe; fierce
剧目,jùmù,theatrical piece (play or opera); repertoire; list of plays or operas
剧情,jùqíng,story line; plot; drama (genre)
剧团,jùtuán,theatrical troupe
剧院,jùyuàn,theater
剧组,jùzǔ,cast and crew; performers and production team
据此,jùcǐ,according to this; on the ground of the above; (formally introduces reported speech in writing)
据悉,jùxī,according to reports; it is reported (that)
距,jù,at a distance of; distance; to be apart
锯,jù,a saw; to cut with a saw
聚集,jùjí,to assemble; to gather
聚精会神,jùjīnghuìshén,to concentrate one's attention (idiom)
捐献,juānxiàn,to donate; to contribute; donation; contribution
卷入,juǎnrù,to be drawn into; to be involved in
卷子,juǎnzi,steamed roll; spring roll; test paper; examination paper
决议,juéyì,a resolution; to pass a resolution
诀别,juébié,to bid farewell; to part (usually with little hope of meeting again)
诀窍,juéqiào,secret; trick; knack; key
绝技,juéjì,consummate skill; supreme feat; tour-de-force; stunt
绝缘,juéyuán,to have no contact with; to be cut off from; (electricity) to insulate
绝招,juézhāo,unique skill; unexpected tricky move (as a last resort); masterstroke; finishing blow
觉醒,juéxǐng,to awaken; to come to realize; awakened to the truth; the truth dawns upon one
倔,jué,used in 倔强; gruff; surly
倔强,juéjiàng,stubborn; obstinate; unbending
崛起,juéqǐ,to rise abruptly (to a towering position); to tower over; to spring up; to emerge suddenly
爵士,juéshì,knight; Sir; (loanword) jazz
嚼,jiáo,to chew; used in 嚼
军官,jūnguān,officer (military)
君子,jūnzǐ,nobleman; person of noble character
均衡,jūnhéng,equal; balanced; harmony; equilibrium
均匀,jūnyún,even; well-distributed; homogeneous; well-proportioned (figure body etc)
俊,jùn,smart; eminent; handsome; talented
俊俏,jùnqiào,attractive and intelligent; charming; elegant
骏马,jùnmǎ,fine horse; steed
竣工,jùngōng,to complete a project
卡车,kǎchē,truck
卡片,kǎpiàn,card
卡通,kǎtōng,cartoon (loanword)
卡子,qiǎzi,clip; hair fastener; checkpoint
开办,kāibàn,to open; to start (a business etc); to set up
开采,kāicǎi,to extract (ore or other resource from a mine); to exploit; to mine
开场,kāichǎng,to begin; to open; to start; beginning of an event
开场白,kāichǎngbái,prologue of play; opening remarks; preamble (of speeches articles etc)
开除,kāichú,to expel (a member of an organization); to fire (an employee)
开动,kāidòng,to start; to set in motion; to move; to march
开发区,kāifāqū,development zone
开发商,kāifāshāng,developer (of real estate a commercial product etc)
开工,kāigōng,to begin work (of a factory or engineering operation); to start a construction job
开垦,kāikěn,to clear a wild area for cultivation; to put under the plow
开口,kāikǒu,to open one's mouth; to start to talk
开阔,kāikuò,wide; open (spaces); to open up
开朗,kāilǎng,spacious and well-lit; open and clear; (of character) optimistic; cheerful
开辟,kāipì,to open up; to set up; to establish
开启,kāiqǐ,to open; to start; (computing) to enable
开枪,kāiqiāng,to open fire; to shoot a gun
开拓,kāituò,to break new ground (for agriculture); to open up (a new seam); to develop (border regions); fig. to open up (new horizons)
开天辟地,kāitiānpìdì,to split heaven and earth apart (idiom); refers to the Pangu 盘古 creation myth
开销,kāixiāo,to pay (expenses); expenses; (old) to dismiss (an employee)
开张,kāizhāng,to open a business; first transaction of a business day
开支,kāizhī,expenditures; expenses; to spend money; (coll.) to pay wages
凯歌,kǎigē,triumphal hymn; victory song; paean
楷模,kǎimó,model; example
刊登,kāndēng,to carry a story; to publish (in a newspaper or magazine)
刊物,kānwù,publication
勘探,kāntàn,to explore; to survey; to prospect (for oil etc); prospecting
堪称,kānchēng,can be rated as; can be said to be
侃大山,kǎndàshān,to chatter idly; to gossip; to boast or brag
砍,kǎn,to chop; to cut down; to throw sth at sb
看得出,kàndechū,can see; can tell
看护,kānhù,to nurse; to look after; to watch over; (old) hospital nurse
看热闹,kànrènao,to enjoy watching a bustling scene; to go where the crowds are
看似,kànsì,to look as if; to seem
看台,kàntái,terrace; spectator's grandstand; viewing platform
看样子,kànyàngzi,it seems; it looks as if
看中,kànzhòng,to have a preference for; to fancy; to choose after consideration; to settle on
看重,kànzhòng,to regard as important; to value
慷慨,kāngkǎi,vehement; fervent; generous; magnanimous
扛,káng,to carry on the shoulder; to shoulder (a burden)
抗衡,kànghéng,to compete with; to vie with; to counter
抗拒,kàngjù,to resist; to defy; to oppose
抗生素,kàngshēngsù,antibiotic
抗争,kàngzhēng,to resist; to make a stand and fight (against)
考量,kǎoliáng,to consider; to give serious consideration to sth; consideration
烤,kǎo,to roast; to bake; to broil
靠拢,kàolǒng,to draw close to
苛刻,kēkè,harsh; severe; demanding
科幻,kēhuàn,science fiction
科目,kēmù,academic subject; field of study
科普,kēpǔ,(attributive) popular science; (coll.) to explain in layperson's terms
磕,kē,to tap; to knock (against sth hard); to knock (mud from boots ashes from a pipe etc)
壳,ké,shell; husk (贝壳 蛋壳); qiào only for 地壳 甲壳
可悲,kěbēi,lamentable
可不是,kěbushì,that's just the way it is; exactly!
可乘之机,kěchéngzhījī,an opportunity that someone (usually a villain or adversary) can exploit
可耻,kěchǐ,shameful; disgraceful; ignominious
可恶,kěwù,repulsive; vile; hateful; abominable
可歌可泣,kěgēkěqì,lit. you can sing or you can cry (idiom); fig. deeply moving; happy and sad; inspiring and tragic
可观,kěguān,considerable; impressive; significant
可贵,kěguì,to be treasured; praiseworthy
可口,kěkǒu,tasty; to taste good
可谓,kěwèi,it could even be said
可想而知,kěxiǎngérzhī,it is obvious that...; as one can well imagine...
可笑,kěxiào,funny; ridiculous
可信,kěxìn,trustworthy
可行,kěxíng,feasible
可疑,kěyí,suspicious; dubious
克隆,kèlóng,clone (loanword)
克制,kèzhì,to restrain; to control; restraint; self-control
刻苦,kèkǔ,hardworking; assiduous
刻意,kèyì,intentionally; deliberately; purposely; painstakingly
刻舟求剑,kèzhōuqiújiàn,lit. a notch on the side of a boat to locate a sword dropped overboard (idiom); fig. an action made pointless by changed circumstances
客房,kèfáng,guest room; room (in a hotel)
客机,kèjī,passenger plane
客流,kèliú,passenger flow; customer flow
客运,kèyùn,passenger transportation; (Tw) intercity bus
恳求,kěnqiú,to beg; to beseech; to entreat; entreaty
啃,kěn,to gnaw; to nibble; to bite
坑,kēng,pit; depression; hollow; tunnel
空白,kòngbái,blank space
空荡荡,kōngdàngdàng,empty; deserted
空地,kōngdì,air-to-surface (missile); vacant land; open space
空难,kōngnàn,air crash; aviation accident or incident
空前,kōngqián,unprecedented
空隙,kòngxì,crack; gap between two objects; gap in time between two events
空想,kōngxiǎng,daydream; fantasy; to fantasize
空虚,kōngxū,hollow; emptiness; meaningless
恐怖,kǒngbù,terrible; frightful; frightening; terror
恐慌,kǒnghuāng,panic; panicky; panic-stricken
恐惧,kǒngjù,to be frightened; fear; dread
恐龙,kǒnglóng,dinosaur; (old) (slang) ugly person
恐吓,kǒnghè,to threaten; to menace
控告,kònggào,to accuse; to charge; to indict
抠,kōu,to dig out; to pick out (with one's fingers); to carve; to cut
口碑,kǒubēi,public praise; public reputation; commonly held opinions; current idiom
口才,kǒucái,eloquence
口吃,kǒuchī,to stammer; to stutter
口感,kǒugǎn,mouthfeel; texture (of food)
口径,kǒujìng,bore; caliber; diameter; aperture
口令,kǒulìng,oral command; a word of command (used in drilling troops or gymnasts); password (used by sentry)
口气,kǒuqì,tone of voice; the way one speaks; manner of expression; tone
口腔,kǒuqiāng,oral cavity
口哨,kǒushào,whistle
口水,kǒushuǐ,saliva
口头,kǒutóu,oral; verbal
口味,kǒuwèi,a person's preferences; tastes (in food); flavor
口香糖,kǒuxiāngtáng,chewing gum
口音,kǒuyīn,oral speech sounds (linguistics); voice; accent
口罩,kǒuzhào,mask (surgical etc)
口子,kǒuzi,hole; opening; cut; gap
扣除,kòuchú,to deduct
