Chinese (Simpl.),Pinyin,English
亚洲,Yàzhōu,Asia (abbr. for 亚细亚洲)
呀,ya,(particle equivalent to 啊 after a vowel expressing surprise or doubt)
严格,yángé,strict; stringent; tight; rigorous
严重,yánzhòng,grave; serious; severe; critical
研究生,yánjiūshēng,graduate student; postgraduate student; research student
盐,yán,salt
演出,yǎnchū,to act (in a play); to perform; to put on (a performance); performance
演员,yǎnyuán,actor or actress; performer
阳光,yángguāng,sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny)
养成,yǎngchéng,to cultivate; to raise; to form (a habit); to acquire
样子,yàngzi,appearance; manner; pattern; model
邀请,yāoqǐng,to invite; invitation
钥匙,yàoshi,key
也许,yěxǔ,perhaps; maybe
叶子,yèzi,leaf; (slang) marijuana
页,yè,page; leaf; (measure word for pages)
一切,yīqiè,everything; every; all
以,yǐ,to use; by means of; according to; in order to
亿,yì,100 million
艺术,yìshù,art
意见,yìjiàn,idea; opinion; suggestion; objection
因此,yīncǐ,thus; consequently; as a result
引起,yǐnqǐ,to give rise to; to lead to; to cause; to arouse
饮料,yǐnliào,drink; beverage
印象,yìnxiàng,impression (sth that stays in one's mind); a memory
赢,yíng,to beat; to win; to profit
硬,yìng,hard; stiff; solid; (fig.) strong
永远,yǒngyuǎn,forever; eternal
勇敢,yǒnggǎn,brave; courageous
优点,yōudiǎn,merit; benefit; strong point; advantage
优秀,yōuxiù,outstanding; excellent
幽默,yōumò,(loanword) humor; humorous
尤其,yóuqí,especially; particularly
由,yóu,to follow; from; because of; due to
由于,yóuyú,due to; as a result of; thanks to; owing to
有趣,yǒuqù,interesting; fascinating; amusing
友好,yǒuhǎo,friendly; amicable
友谊,yǒuyì,companionship; fellowship; friendship
于是,yúshì,thereupon; as a result; consequently; thus
愉快,yúkuài,cheerful; cheerily; delightful; pleasant
与,yǔ,and; with; together with; to give
羽毛球,yǔmáoqiú,shuttlecock; badminton
语法,yǔfǎ,grammar
语言,yǔyán,language
预习,yùxí,to prepare a lesson
原来,yuánlái,original; former; originally; formerly
原谅,yuánliàng,to excuse; to forgive; to pardon
原因,yuányīn,cause; origin; root cause; reason
圆,yuán,circle; round; circular; spherical
约会,yuēhuì,appointment; engagement; date; to arrange to meet
阅读,yuèdú,to read; reading
允许,yǔnxǔ,to permit; to allow
杂志,zázhì,magazine
咱们,zánmen,we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you
暂时,zànshí,temporary; provisional; for the time being
脏,zāng,dirty; filthy
责任,zérèn,responsibility; blame; duty
增加,zēngjiā,to raise; to increase
增长,zēngzhǎng,to grow; to increase
窄,zhǎi,narrow; narrow-minded; badly off
长城,Chángchéng,the Great Wall
长江,ChángJiāng,Yangtze River; or Chang Jiang
招聘,zhāopìn,to invite applications for a job; to recruit
著名,zhùmíng,famous; noted; well-known; celebrated
真正,zhēnzhèng,genuine; real; true; really
整理,zhěnglǐ,to arrange; to tidy up; to sort out; to straighten out
整齐,zhěngqí,orderly; neat; even; tidy
正常,zhèngcháng,regular; normal; ordinary
正好,zhènghǎo,just (in time); just right; just enough; to happen to
正确,zhèngquè,correct; sound; right; proper
正式,zhèngshì,formal; official
