Chinese (Simpl.),Pinyin,English
不要紧,bùyàojǐn,unimportant; not serious; it doesn't matter; never mind
不足,bùzú,insufficient; lacking; deficiency; not enough
布,bù,cloth; to spread; to announce
步骤,bùzhòu,procedure; step
部门,bùmén,department; branch; section; division
财产,cáichǎn,property; assets; estate
采访,cǎifǎng,to interview; to gather news; to hunt for and collect; to cover
采取,cǎiqǔ,to adopt or carry out (measures policies course of action); to take
彩虹,cǎihóng,rainbow
踩,cǎi,to step on; to tread; to stamp; to press a pedal
参考,cānkǎo,consultation; reference; to consult; to refer
参与,cānyù,to participate (in sth)
餐厅,cāntīng,dining hall; dining room; restaurant
残疾,cánjí,disabled; handicapped; deformity on a person or animal
惭愧,cánkuì,ashamed
操场,cāochǎng,playground; sports field; drill ground
操心,cāoxīn,to worry about
册,cè,book; booklet; classifier for books
厕所,cèsuǒ,toilet; lavatory
测验,cèyàn,test; to test
曾经,céngjīng,once; already; former; previously
叉子,chāzi,fork
插,chā,to insert; stick in; pierce; to take part in
差别,chābié,difference; distinction; disparity
拆,chāi,to tear open; to tear down; to tear apart; to open
产品,chǎnpǐn,goods; merchandise; product
产生,chǎnshēng,to arise; to come into being; to come about; to give rise to
常识,chángshí,common sense; general knowledge
抄,chāo,to make a copy; to plagiarize; to search and seize; to raid
朝,cháo,towards; to face; dynasty
朝代,cháodài,dynasty; reign (of a king)
吵架,chǎojià,to quarrel; to have a row; quarrel
炒,chǎo,to sauté; to stir-fry; to speculate; to hype
车库,chēkù,garage
车厢,chēxiāng,carriage
彻底,chèdǐ,thorough; thoroughly; complete
沉默,chénmò,taciturn; uncommunicative; silent
趁,chèn,to avail oneself of; to take advantage of
称呼,chēnghu,to call; to address as; form of address; appellation
称赞,chēngzàn,to praise; to acclaim; to commend; to compliment
成分,chéngfèn,composition; ingredient; element; component
成果,chéngguǒ,result; achievement; gain; profit
成就,chéngjiù,accomplishment; success; achievement; to achieve (a result)
成立,chénglì,to establish; to set up; to be tenable; to hold water
成语,chéngyǔ,Chinese set expression; typically of 4 characters; often alluding to a story or historical quotation; idiom; proverb; saying
成长,chéngzhǎng,to mature; to grow; growth
承担,chéngdān,to undertake; to assume (responsibility etc)
承认,chéngrèn,to admit; to concede; to recognize; recognition (diplomatic artistic etc)
承受,chéngshòu,to bear; to support; to inherit
诚恳,chéngkěn,sincere; honest; cordial
乘,chéng,to ride; to mount; to make use of; to avail oneself of
程度,chéngdù,degree; level; extent
程序,chéngxù,procedures; sequence; order; computer program
吃亏,chīkuī,to suffer losses; to come to grief; to lose out; to get the worst of it
池子,chízi,pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater)
持续,chíxù,to continue; to persist; to last; sustainable
尺子,chǐzi,ruler (measuring instrument)
翅膀,chìbǎng,wing
充电器,chōngdiànqì,battery charger
充分,chōngfèn,ample; sufficient; adequate; full
充满,chōngmǎn,full of; brimming with; very full; permeated
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse
宠物,chǒngwù,house pet
抽屉,chōuti,drawer
抽象,chōuxiàng,abstract; abstraction
丑,chǒu,ugly; clown
臭,chòu,stench; smelly; to smell (bad); repulsive
出版,chūbǎn,to publish
出口,chūkǒu,an exit; to speak; to export; (of a ship) to leave port
出色,chūsè,remarkable; outstanding
出席,chūxí,to attend; to participate; present
初级,chūjí,junior; primary
除,chú,to get rid of; to remove; to exclude; to eliminate
除非,chúfēi,only if (... or otherwise ...); only when; only in the case that; unless
除夕,Chúxī,lunar New Year's Eve
处理,chǔlǐ,to handle; to deal with; to punish; to treat sth by a special process
传播,chuánbō,to disseminate; to propagate; to spread
传递,chuándì,to transmit; to pass on to sb else; (math.) transitive
传染,chuánrǎn,to infect; contagious
传说,chuánshuō,legend; folk tale; to repeat from mouth to mouth; they say that...
传统,chuántǒng,tradition; traditional; convention; conventional
窗帘,chuānglián,window curtains
闯,chuǎng,to rush; to charge; to dash; to break through
创造,chuàngzào,to create; to bring about; to produce; to set (a record)
吹,chuī,to blow; to play a wind instrument; to blast; to puff
辞职,cízhí,to resign
磁带,cídài,magnetic tape
此外,cǐwài,besides; in addition; moreover; furthermore
次要,cìyào,secondary
刺激,cìjī,to provoke; to irritate; to upset; to stimulate
匆忙,cōngmáng,hasty; hurried
从此,cóngcǐ,from now on; since then; henceforth
从而,cóngér,thus; thereby
从前,cóngqián,previously; formerly; once upon a time
从事,cóngshì,to go for; to engage in; to undertake; to deal with
促进,cùjìn,to promote (an idea or cause); to advance; boost
促使,cùshǐ,to induce; to promote; to urge; to impel
醋,cù,vinegar; jealousy (in love rivalry)
催,cuī,to urge; to press; to prompt; to rush sb
存,cún,to exist; to deposit; to store; to keep
存在,cúnzài,to exist; to be; existence
措施,cuòshī,measure; step
错误,cuòwù,mistaken; false; wrong; error
达到,dádào,to reach; to achieve; to attain
答应,dāying,to answer; to respond; to answer positively; to agree
打工,dǎgōng,to work a temporary or casual job; (of students) to have a job outside of class time; or during vacation
打交道,dǎjiāodào,to come into contact with; to have dealings
打喷嚏,dǎpēntì,to sneeze
打听,dǎting,to ask about; to make some inquiries; to ask around
打招呼,dǎzhāohu,to greet sb by word or action; to give prior notice
大方,dàfang,generous; tasteful; natural and at ease
大象,dàxiàng,elephant
大型,dàxíng,large; large-scale
呆,dāi,foolish; stupid; expressionless; blank
待遇,dàiyù,treatment; pay; salary; status
贷款,dàikuǎn,a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)
单纯,dānchún,simple; pure; unsophisticated; merely
单调,dāndiào,monotonous
单独,dāndú,alone; by oneself; on one's own
单位,dānwèi,unit (of measure); unit (group of people as a whole); work unit (place of employment esp. in the PRC prior to economic reform)
单元,dānyuán,unit (forming an entity); element; (in a residential building) entrance or staircase
担任,dānrèn,to hold a governmental office or post; to assume office of; to take charge of; to serve as
耽误,dānwu,to delay; to hold up; to waste time; to interfere with
胆小鬼,dǎnxiǎoguǐ,coward
淡,dàn,insipid; diluted; weak; mild
当代,dāngdài,the present age; the contemporary era
挡,dǎng,to resist; to obstruct; to hinder; to keep off
导演,dǎoyǎn,to direct; director (film etc)
导致,dǎozhì,to lead to; to create; to cause; to bring about
岛,dǎo,island
到达,dàodá,to reach; to arrive
倒,dǎo,to fall; to collapse; to lie horizontally; to fail
倒霉,dǎoméi,to have bad luck; to be out of luck
道德,dàodé,virtue; morality; ethics
道理,dàoli,reason; argument; sense; principle
地道,dìdao,authentic; genuine; typical
地理,dìlǐ,geography
地区,dìqū,local; regional; district (not necessarily formal administrative unit); region
地毯,dìtǎn,carpet; rug
地位,dìwèi,position; status; place
地震,dìzhèn,earthquake
的确,díquè,really; indeed
登机牌,dēngjīpái,boarding pass
登记,dēngjì,to register (one's name)
等待,děngdài,to wait; to wait for
等候,děnghòu,to wait; to wait for
等于,děngyú,to equal; to be tantamount to
滴,dī,a drop; to drip
敌人,dírén,enemy
递,dì,to hand over; to pass on; to deliver; (bound form) progressively
点头,diǎntóu,to nod
点心,diǎnxin,light refreshments; pastry; dim sum (in Cantonese cooking); dessert
电池,diànchí,battery
电台,diàntái,transmitter-receiver; broadcasting station; radio station
钓,diào,to fish with a hook and bait
调皮,tiáopí,naughty; mischievous; unruly
调整,tiáozhěng,to adjust; adjustment; revision
丁,dīng,male adult; the 4th of the 10 Heavenly Stems 干; fourth (used like '4' or 'D'); small cube of meat or vegetable
顶,dǐng,apex; crown of the head; top; roof
动画片,dònghuàpiàn,animated film
冻,dòng,to freeze; to feel very cold; aspic or jelly
洞,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers)
豆腐,dòufu,tofu; bean curd
逗,dòu,to tease (playfully); to entice; (coll.) to joke; (coll.) funny
独立,dúlì,independent; independence; to stand alone
独特,dútè,unique; distinctive
度过,dùguò,to pass; to spend (time); to survive; to get through
短信,duǎnxìn,text message; SMS
堆,duī,to pile up; to heap up; a mass; pile
对比,duìbǐ,to contrast; contrast; ratio
对待,duìdài,to treat; treatment
对方,duìfāng,the other person; the other side; the other party
对手,duìshǒu,opponent; rival; competitor; (well-matched) adversary
对象,duìxiàng,target; object; partner; boyfriend
对于,duìyú,regarding; as far as (sth) is concerned; with regard to
吨,dūn,ton (loanword)
蹲,dūn,to crouch; to squat; to stay (somewhere)
多亏,duōkuī,thanks to; luckily
多余,duōyú,superfluous; unnecessary; surplus
躲藏,duǒcáng,to conceal oneself; to go into hiding; to take cover
恶劣,èliè,vile; nasty; of very poor quality
发表,fābiǎo,to issue; to publish
发愁,fāchóu,to worry; to fret; to be anxious; to become sad
发达,fādá,well-developed; flourishing; to develop; to promote
发抖,fādǒu,to tremble; to shake; to shiver
发挥,fāhuī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral)
发明,fāmíng,to invent; an invention
发票,fāpiào,invoice; receipt or bill for purchase
发言,fāyán,to make a speech; statement; utterance
罚款,fákuǎn,to fine; penalty; fine (monetary)
法院,fǎyuàn,court of law; court
翻,fān,to turn over; to flip over; to overturn; to rummage through
凡是,fánshì,each and every; every; all; any
繁荣,fánróng,prosperous; booming (economy)
反而,fǎnér,on the contrary; instead
反复,fǎnfù,repeatedly; over and over; to upend; unstable
反应,fǎnyìng,to react; to respond; reaction; response
反正,fǎnzhèng,anyway; in any case; to come over from the enemy's side
方,fāng,square; power or involution (math.); upright; honest
方案,fāngàn,plan; program (for action etc); proposal; proposed bill
方式,fāngshì,way; manner; style; mode
妨碍,fángài,to hinder; to obstruct
房东,fángdōng,landlord
仿佛,fǎngfú,to seem; as if; alike; similar
放松,fàngsōng,to relax; to slacken; to loosen
非,fēi,not; non-; wrong
肥皂,féizào,soap
废话,fèihuà,nonsense; rubbish; superfluous words; You don't say!
肺,fèi,lung
费用,fèiyòng,cost; expenditure; expense
分别,fēnbié,to part; to leave each other; to distinguish; to tell apart
分布,fēnbù,to scatter; to distribute; to be distributed (over an area etc); (statistical geographic) distribution
分配,fēnpèi,to distribute; to assign; to allocate; to partition (a hard drive)
分析,fēnxī,to analyze; analysis
纷纷,fēnfēn,one after another; in succession; one by one; continuously
奋斗,fèndòu,to strive; to struggle
愤怒,fènnù,angry; indignant; wrath; ire
风格,fēnggé,style
风俗,fēngsú,social custom
风险,fēngxiǎn,risk; hazard
疯狂,fēngkuáng,crazy; frenzied; wild
讽刺,fěngcì,to satirize; to mock; irony; satire
否定,fǒudìng,to negate; to deny; to reject; negative (answer)
否认,fǒurèn,to declare to be untrue; to deny
扶,fú,to support with the hand; to help sb up; to support oneself by holding onto something; to help
服从,fúcóng,to obey (an order); to comply; to defer
服装,fúzhuāng,dress; clothing; costume; clothes
幅,fú,width; roll; classifier for textiles or pictures
辅导,fǔdǎo,to give guidance; to mentor; to counsel; to coach
付款,fùkuǎn,to pay a sum of money; payment
妇女,fùnǚ,woman
复制,fùzhì,to duplicate; to make a copy of; to copy; to reproduce
改革,gǎigé,reform; to reform
改进,gǎijìn,to improve; to make better; improvement
改善,gǎishàn,to make better; to improve
改正,gǎizhèng,to correct; to amend; to put right; correction
盖,gài,lid; top; cover; canopy
概括,gàikuò,to summarize; to generalize; briefly; in broad outline
概念,gàiniàn,concept; idea
赶紧,gǎnjǐn,hurriedly; without delay
赶快,gǎnkuài,quickly; at once
感激,gǎnjī,to be grateful; to appreciate; thankful
感受,gǎnshòu,to sense; perception; to feel (through the senses); to experience
感想,gǎnxiǎng,impressions; reflections; thoughts
干脆,gāncuì,candid; direct and to the point; simply; just
干活儿,gànhuór,(coll.) to work; (coll.) to be employed
钢铁,gāngtiě,steel
高档,gāodàng,superior quality; high grade; top grade
高速,gāosù,high speed; expressway (abbr. for 路)
搞,gǎo,to do; to make; to go in for; to set up
告别,gàobié,to leave; to part from; to bid farewell to; to say goodbye to
胳膊,gēbo,arm
鸽子,gēzi,pigeon; dove; various birds of the family Columbidae
革命,gémìng,revolution; revolutionary; to revolt
格外,géwài,especially; particularly
隔壁,gébì,next door; neighbor
个别,gèbié,individually; one by one; just one or two; exceptional
个人,gèrén,individual; personal; oneself
个性,gèxìng,individuality; personality
各自,gèzì,each; respective; apiece
根,gēn,root; basis; classifier for long slender objects; e.g. cigarettes; guitar strings; radical (chemistry)
根本,gēnběn,fundamental; basic; root; simply
更加,gèngjiā,more (than sth else); even more
工厂,gōngchǎng,factory
工程师,gōngchéngshī,engineer
工人,gōngrén,worker
工业,gōngyè,industry
公布,gōngbù,to announce; to make public; to publish
公开,gōngkāi,open; overt; public; to make public
公平,gōngpíng,fair; impartial
公寓,gōngyù,apartment building; block of flats
公元,gōngyuán,CE (Common Era); Christian Era; AD (Anno Domini)
公主,gōngzhǔ,princess
功夫,gōngfu,skill; art; kung fu; labor
功能,gōngnéng,function; capability
贡献,gòngxiàn,to contribute; to dedicate; to devote; contribution
沟通,gōutōng,to join; to connect; to link up; to communicate
构成,gòuchéng,to constitute; to form; to compose; to make up
姑姑,gūgu,paternal aunt
姑娘,gūniang,girl; young woman; young lady; daughter
古代,gǔdài,ancient times
古典,gǔdiǎn,classical
古老,gǔlǎo,ancient; old; age-old
股票,gǔpiào,share certificate; stock (finance)
骨头,gǔtou,bone; moral character; bitterness
鼓舞,gǔwǔ,heartening (news); to boost (morale)
固定,gùdìng,to fix; to fasten; to set rigidly in place; fixed
固体,gùtǐ,solid
雇佣,gùyōng,to employ; to hire
挂号,guàhào,to register (at a hospital etc); to send by registered mail
乖,guāi,(of a child) obedient; well-behaved; clever; shrewd; alert
拐弯,guǎiwān,to go round a curve; to turn a corner; fig. a new direction
怪不得,guàibude,no wonder!; so that's why!
关闭,guānbì,to close; to shut (a window etc); (of a shop school etc) to shut down
关怀,guānhuái,care; solicitude; to show care for; concerned about
观察,guānchá,to observe; to watch; to survey
观点,guāndiǎn,point of view; viewpoint; standpoint
观念,guānniàn,notion; thought; concept; sense
官,guān,government official; governmental; official; public
冠军,guànjūn,champion
管子,guǎnzi,tube; pipe
罐头,guàntou,tin; can
光滑,guānghuá,glossy; sleek; smooth
光临,guānglín,(formal) to honor with one's presence; to attend
光明,guāngmíng,light; radiance; (fig.) bright (prospects etc); openhearted
光盘,guāngpán,compact disc (CD); DVD; CD-ROM
光荣,guāngróng,honor and glory; glorious
广场,guǎngchǎng,public square; plaza
广大,guǎngdà,(of an area) vast or extensive; large-scale; widespread; (of people) numerous
广泛,guǎngfàn,extensive; wide range
规矩,guīju,lit. compass and set square; fig. established standard; rule; customs
规律,guīlǜ,rule (e.g. of science); law of behavior; regular pattern; rhythm
规模,guīmó,scale; scope; extent
规则,guīzé,rule; regulation; rules and regulations
柜台,guìtái,sales counter; front desk; bar; (of markets medicines etc) OTC (over-the-counter)
滚,gǔn,to boil; to roll; to take a hike; Get lost!
锅,guō,pot; pan; wok; cauldron
国籍,guójí,nationality
国庆节,Guóqìngjié,PRC National Day (October 1st)
果实,guǒshí,fruit (produced by a plant); (fig.) fruits (of success etc); results; gains
过分,guòfèn,excessive; undue; overly
过敏,guòmǐn,oversensitive; allergic; allergy
过期,guòqī,to be overdue; to exceed the time limit; to expire (as in expiration date)
哈,Hā,(interj.) ha!; (onom. for laughter); (slang) to be infatuated with; to adore
海关,hǎiguān,customs (i.e. border crossing inspection)
海鲜,hǎixiān,seafood
喊,hǎn,to yell; to shout; to call out for (a person)
豪华,háohuá,luxurious
好奇,hàoqí,inquisitive; curious; inquisitiveness; curiosity
合法,héfǎ,lawful; legitimate; legal
合理,hélǐ,rational; reasonable; sensible; fair
合同,hétong,(business) contract
合影,héyǐng,to take a joint photo; group photo
合作,hézuò,to cooperate; to collaborate; to work together; cooperation
何必,hébì,there is no need; why should
何况,hékuàng,let alone; to say nothing of; besides; what's more
和平,hépíng,peace; peaceful
核心,héxīn,core; nucleus
恨,hèn,to hate; to regret
横,héng,horizontal; across; crosswise; horizontal stroke (in Chinese characters)
后果,hòuguǒ,consequences; aftermath
呼吸,hūxī,to breathe
忽视,hūshì,to neglect; to overlook; to disregard; to ignore
胡说,húshuō,to talk nonsense; drivel
胡同,hútòng,lane; alley
胡须,húxū,beard
壶,hú,pot; classifier for bottled liquid
蝴蝶,húdié,butterfly
糊涂,hútu,muddled; silly; confused
花生,huāshēng,peanut; groundnut
华裔,Huáyì,ethnic Chinese; non-Chinese citizen of Chinese ancestry
滑冰,huábīng,to skate; skating
化学,huàxué,chemistry; chemical
划船,huáchuán,to row a boat; rowing boat; rowing (sport)
话题,huàtí,subject (of a talk or conversation); topic
怀念,huáiniàn,to cherish the memory of; to think of; to reminisce
缓解,huǎnjiě,to bring relief; to alleviate (a crisis); to dull (a pain)
幻想,huànxiǎng,delusion; fantasy
慌张,huāngzhāng,flustered; agitated
皇帝,huángdì,emperor
皇后,huánghòu,empress; imperial consort
黄瓜,huángguā,cucumber
黄金,huángjīn,gold; golden (opportunity); prime (time)
灰,huī,ash; dust; lime; gray
灰尘,huīchén,dust
灰心,huīxīn,to lose heart; to be discouraged
恢复,huīfù,to reinstate; to resume; to restore; to recover
挥,huī,to wave; to brandish; to command; to conduct
汇率,huìlǜ,exchange rate
会计,kuàijì,accountant; accountancy; accounting
婚礼,hūnlǐ,wedding ceremony; wedding
婚姻,hūnyīn,matrimony; wedding; marriage
活跃,huóyuè,active; lively; excited; to enliven
火柴,huǒchái,match (for lighting fire)
伙伴,huǒbàn,partner; companion; comrade
机器,jīqì,machine
肌肉,jīròu,muscle; flesh
基本,jīběn,basic; fundamental; main; elementary
激烈,jīliè,(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned
及格,jígé,to pass an exam or a test; to meet a minimum standard
急忙,jímáng,hastily
集体,jítǐ,collective (decision); joint (effort); a group; a team
集中,jízhōng,to concentrate; to centralize; to focus; centralized
计算,jìsuàn,to count; to calculate; to compute
记录,jìlù,to record; record (written account); note-taker; record (in sports etc)
记忆,jìyì,to remember; to recall; memory
纪录,jìlù,record (e.g. world record); to record
纪律,jìlǜ,discipline
纪念,jìniàn,to commemorate; to honor the memory of; memento; keepsake
寂寞,jìmò,lonely; lonesome; (of a place) quiet; silent
夹子,jiāzi,clip; clamp; tongs; folder
家庭,jiātíng,family; household
家务,jiāwù,household duties; housework
家乡,jiāxiāng,hometown; native place
嘉宾,jiābīn,esteemed guest; honored guest; guest (on a show)
甲,jiǎ,first; grade A; (party) A; fingernail
假如,jiǎrú,if
假装,jiǎzhuāng,to feign; to pretend
价值,jiàzhí,value; worth; fig. values (ethical cultural etc)
驾驶,jiàshǐ,to pilot (ship airplane etc); to drive
嫁,jià,(of a woman) to marry; to marry off a daughter; to shift (blame etc)
尖锐,jiānruì,sharp; intense; penetrating; pointed
坚决,jiānjué,firm; resolute; determined
坚强,jiānqiáng,staunch; strong
肩膀,jiānbǎng,shoulder
艰巨,jiānjù,arduous; terrible (task); very difficult; formidable
艰苦,jiānkǔ,difficult; hard; arduous
煎,jiān,to pan fry; to sauté
捡,jiǎn,to pick up; to collect; to gather
剪刀,jiǎndāo,scissors
简历,jiǎnlì,curriculum vitae (CV); résumé; biographical notes
简直,jiǎnzhí,simply; really
建立,jiànlì,to establish; to set up; to found
建设,jiànshè,to build; to construct; to establish; to develop
建议,jiànyì,to propose; to suggest; to recommend; proposal
建筑,jiànzhù,to construct; building
健身房,jiànshēnfáng,gym; gymnasium
键盘,jiànpán,keyboard
讲究,jiǎngjiu,to pay particular attention to; carefully selected for quality; tastefully chosen
讲座,jiǎngzuò,a course of lectures
降落,jiàngluò,to descend; to land
酱油,jiàngyóu,soy sauce
交换,jiāohuàn,to exchange; to swap; to switch (telecom); commutative (math)
交际,jiāojì,communication; social intercourse
郊区,jiāoqū,suburban district; outskirts; suburbs
浇,jiāo,to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal)
胶水,jiāoshuǐ,glue
角度,jiǎodù,angle; point of view
角色,juésè,role; character in a novel; persona
狡猾,jiǎohuá,crafty; cunning; sly
教材,jiàocái,teaching material
教练,jiàoliàn,instructor; sports coach; trainer
教训,jiàoxun,to provide guidance; to lecture sb; to upbraid; a talking-to
阶段,jiēduàn,stage; section; phase; period
接触,jiēchù,to touch; to contact; access; in touch with
接待,jiēdài,to receive (a visitor); to admit (allow sb to enter)
接近,jiējìn,to approach; to get close to
接着,jiēzhe,to catch and hold on; to continue; to go on to do sth; to follow
节,jié,festival; section; joint; node
节省,jiéshěng,saving; to save; to use sparingly; to cut down on
结构,jiégòu,structure; composition; makeup; architecture
结合,jiéhé,to combine; to link; to integrate; binding
结论,jiélùn,conclusion; verdict; to conclude; to reach a verdict
结实,jiēshí,to bear fruit; rugged; sturdy; strong
结账,jiézhàng,to pay the bill; to settle accounts
解放,jiěfàng,to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949
解说员,jiěshuōyuán,commentator
戒烟,jièyān,to give up smoking
戒指,jièzhi,(finger) ring
届,jiè,classifier for sessions/terms; (of time) to fall due
借口,jièkǒu,to use as an excuse; excuse; pretext
金属,jīnshǔ,metal
尽力,jìnlì,to strive one's hardest; to spare no effort
尽量,jǐnliàng,as much as possible; to the greatest extent; as much as possible; to the greatest extent
紧,jǐn,tight; strict; close at hand; near
紧急,jǐnjí,urgent; emergency
谨慎,jǐnshèn,cautious; prudent
近代,jìndài,the not-very-distant past; modern times; excluding recent decades; (in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919); capitalist times (pre-1949)
进步,jìnbù,progress; improvement; to improve; to progress
进口,jìnkǒu,to import; imported; entrance; inlet (for the intake of air water etc)
经典,jīngdiǎn,the classics; scriptures; classical; classic (example case etc)
经营,jīngyíng,to engage in (business etc); to run; to operate
精力,jīnglì,energy
景色,jǐngsè,scenery; scene; landscape; view
敬爱,jìngài,to respect and love; to hold in high esteem
酒吧,jiǔbā,bar; pub; saloon
救,jiù,to save; to assist; to rescue
救护车,jiùhùchē,ambulance
舅舅,jiùjiu,mother's brother; maternal uncle (informal)
居然,jūrán,unexpectedly; to one's surprise; go so far as to
桔子,júzi,tangerine
举,jǔ,to lift; to hold up; to cite; to enumerate
巨大,jùdà,huge; immense; very large; tremendous
具备,jùbèi,to possess; to have; equipped with; able to fulfill (conditions or requirements)
具体,jùtǐ,concrete; definite; specific
俱乐部,jùlèbù,club (the organisation or its premises) (loanword)
据说,jùshuō,it is said that; reportedly
聚会,jùhuì,party; gathering; to meet; to get together
捐,juān,to donate; to contribute; to relinquish; tax/levy
卷,juǎn,to roll up; roll; classifier for small rolled things (wad of paper money movie reel etc); scroll
决赛,juésài,finals (of a competition)
决心,juéxīn,determination; resolution; determined; firm and resolute
绝对,juéduì,absolute; unconditional
军事,jūnshì,military affairs; (attributive) military
均匀,jūnyún,even; well-distributed; homogeneous; well-proportioned (figure body etc)
卡车,kǎchē,truck
开发,kāifā,to exploit (a resource); to open up (for development); to develop
开放,kāifàng,to bloom; to open; to be open (to the public); to open up (to the outside)
开幕式,kāimùshì,opening ceremony
开心,kāixīn,to feel happy; to rejoice; to have a great time; to make fun of sb
砍,kǎn,to chop; to cut down; to throw sth at sb
看不起,kànbuqǐ,to look down upon; to despise
看来,kànlai,apparently; it seems that
抗议,kàngyì,to protest; protest
烤鸭,kǎoyā,roast duck
颗,kē,classifier for small spheres; pearls; corn grains; teeth; hearts; satellites etc
可见,kějiàn,it can clearly be seen (that this is the case); it is (thus) clear; clear; visible
可靠,kěkào,reliable
可怕,kěpà,awful; dreadful; fearful; formidable
克,kè,gram; to overcome; to restrain
克服,kèfú,(try to) overcome (hardships etc); to conquer; to put up with; to endure
刻苦,kèkǔ,hardworking; assiduous
客观,kèguān,objective; impartial
客厅,kètīng,drawing room (room for arriving guests); living room
课程,kèchéng,course; academic program
空间,kōngjiān,space; room; (fig.) scope; leeway
空闲,kòngxián,idle; free time; leisure; unused (place)
恐怖,kǒngbù,terrible; frightful; frightening; terror
控制,kòngzhì,to control
口味,kǒuwèi,a person's preferences; tastes (in food); flavor
夸,kuā,to praise; to boast; to exaggerate
矿泉水,kuàngquánshuǐ,mineral water
蜡烛,làzhú,candle
辣椒,làjiāo,hot pepper; chili
来自,láizì,to come from (a place); From: (in email header)
拦,lán,to block sb's path; to obstruct; to flag down (a taxi)
烂,làn,soft; mushy; well-cooked and soft; to rot
狼,láng,wolf
劳动,láodòng,work; toil; physical labor
劳驾,láojià,excuse me
老百姓,lǎobǎixìng,ordinary people; the 'person in the street'
老板,lǎobǎn,Robam (brand); boss; business proprietor
老实,lǎoshi,honest; sincere; well-behaved; naive
