French,English
liquidation; la liquidation,liquidation; clearance sale
redressement; le redressement,recovery; turnaround
stock; le stock,stock; inventory
entrepôt; l'entrepôt; un entrepôt,warehouse
logistique; la logistique,logistics
expédier,to ship; to send off
étiquette; l'étiquette; une étiquette,label; price tag
facturer,to invoice; to charge
tarif; le tarif,rate; price list
remise; la remise,discount; handing over
prélèvement; le prélèvement,direct debit; deduction
versement; le versement,payment; instalment
acompte; l'acompte; un acompte,deposit; down payment
caution; la caution,deposit (rental); guarantee
endettement; l'endettement; un endettement,debt; indebtedness
s'endetter,to get into debt
remboursement; le remboursement,refund; repayment
inflation; l'inflation; une inflation,inflation
récession; la récession,recession
relance; la relance,stimulus; follow-up
relancer,to boost; to follow up
conjoncture; la conjoncture,economic climate
déficit; le déficit,deficit; shortfall
excédent; l'excédent; un excédent,surplus
rentabilité; la rentabilité,profitability
rentable,profitable; worthwhile
marge; la marge,margin; leeway
patrimoine; le patrimoine,assets; heritage
investir,to invest
retrait; le retrait,withdrawal
dépôt; le dépôt,deposit; depot
relevé; le relevé,statement (bank)
découvert; le découvert,overdraft
commission; la commission,commission; committee
subvention; la subvention,subsidy; grant
allocation; l'allocation; une allocation,benefit; allowance
pension; la pension,pension; boarding house
fiscal,tax; fiscal
exportation; l'exportation; une exportation,export
exporter,to export
importation; l'importation; une importation,import
importer,to import; to matter
commercial,commercial; sales
cible; la cible,target
monopole; le monopole,monopoly
offre; l'offre; une offre,offer; supply
demande; la demande,demand; request
pénurie; la pénurie,shortage
consommation; la consommation,consumption; use
consommer,to consume; to use up
consommateur; le consommateur,consumer
producteur; le producteur,producer; grower
production; la production,production; output
fabrication; la fabrication,manufacturing; making
fabricant; le fabricant,manufacturer; maker
atelier; l'atelier; un atelier,workshop; studio
matière première; la matière première,raw material
ressource; la ressource,resource
norme; la norme,standard; norm
garantie; la garantie,guarantee; warranty
réclamation; la réclamation,complaint; claim
litige; le litige,dispute
négociation; la négociation,negotiation
partenariat; le partenariat,partnership
fusion; la fusion,merger; melting
racheter,to buy out; to buy back
reprise; la reprise,recovery; takeover; resumption
délocalisation; la délocalisation,offshoring; relocation
sous-traitant; le sous-traitant,subcontractor
mondialisation; la mondialisation,globalization
secteur; le secteur,sector; area
filière; la filière,sector; course of study
domaine; le domaine,field; area; estate
siège social; le siège social,head office; headquarters
vitrine; la vitrine,shop window; display case
comptoir; le comptoir,counter; bar
approvisionnement; l'approvisionnement; un approvisionnement,supply; procurement
grande surface; la grande surface,superstore; large retail store
point de vente; le point de vente,retail outlet; sales point
marchandise; la marchandise,goods; merchandise
gamme; la gamme,range (of products)
notoriété; la notoriété,reputation; brand awareness
échantillon; l'échantillon; un échantillon,sample
essai; l'essai; un essai,trial; test; attempt
inventaire; l'inventaire; un inventaire,inventory; stocktaking
comptabilité; la comptabilité,accounting; bookkeeping
comptable; le comptable,accountant
clause; la clause,clause
arbitrage; l'arbitrage; un arbitrage,arbitration; refereeing
résilier,to terminate (a contract); to cancel
engagement; l'engagement; un engagement,commitment; pledge
juridique,legal
réglementation; la réglementation,regulations; rules
autorisation; l'autorisation; une autorisation,permission; permit
démarche; la démarche,procedure; approach; step
formulaire; le formulaire,form (to fill in)
justifier,to justify; to prove
notaire; le notaire,notary
banquier; le banquier,banker
assureur; l'assureur; un assureur,insurer
consultant; le consultant,consultant
chercheur; le chercheur,researcher
enseignant; l'enseignant; un enseignant,teacher
traducteur; le traducteur,translator
interprète; l'interprète; un interprète,interpreter; performer
intérimaire; l'intérimaire; un intérimaire,temp worker; temporary employee
qualification; la qualification,qualification; skill level
informaticien; l'informaticien; un informaticien,IT specialist
développeur; le développeur,developer
technicien; le technicien,technician
polyvalent,versatile; multi-skilled
hôtesse; l'hôtesse; une hôtesse,hostess; flight attendant
gendarme; le gendarme,police officer (rural)
militaire; le militaire,soldier; serviceman
sage-femme; la sage-femme,midwife
manifester,to demonstrate (protest); to show
convention collective; la convention collective,collective agreement
éleveur; l'éleveur; un éleveur,livestock farmer; breeder
préfet; le préfet,prefect; senior state official
mineur; le mineur,miner; minor (underage)
syndicaliste; le syndicaliste,trade unionist
comédien; le comédien,actor; performer
animateur; l'animateur; un animateur,host; activity leader
spécialiste; le spécialiste,specialist; expert
chef d'entreprise; le chef d'entreprise,company head; business owner
savoir-faire; le savoir-faire,know-how; expertise
aptitude; l'aptitude; une aptitude,ability; aptitude
boulot; le boulot,job; work (informal)
bosser,to work (informal)
télétravail; le télétravail,remote work; working from home
lettre de motivation; la lettre de motivation,cover letter
entretien d'embauche; l'entretien d'embauche; un entretien d'embauche,job interview
parcours; le parcours,career path; route
référence; la référence,reference
recommandation; la recommandation,recommendation
opportunité; l'opportunité; une opportunité,opportunity
débouché; le débouché,job prospect; outlet
perspective; la perspective,prospect; outlook
stratégie; la stratégie,strategy
prévision; la prévision,forecast; prediction
tendance; la tendance,trend; tendency
essor; l'essor; un essor,boom; rapid growth
expansion; l'expansion; une expansion,expansion; growth
ralentissement; le ralentissement,slowdown
effondrement; l'effondrement; un effondrement,collapse
s'effondrer,to collapse; to break down
spéculation; la spéculation,speculation
pouvoir d'achat; le pouvoir d'achat,purchasing power
charge; la charge,expense; burden; load
montant; le montant,amount; sum
part de marché; la part de marché,market share
indice; l'indice; un indice,index; indicator; clue
lot; le lot,batch; lot; prize
niveau de vie; le niveau de vie,standard of living
contribuable; le contribuable,taxpayer
usager; l'usager; un usager,user (of a service)
retraité; le retraité,pensioner; retired person
rémunération; la rémunération,pay; remuneration
brut,gross (before tax); raw
toucher,to receive (pay); to touch
percevoir,to collect (taxes); to perceive
épargner,to save (money); to spare
gaspiller,to waste; to squander
financer,to finance; to fund
financement; le financement,funding; financing
imposable,taxable; liable to tax
marchander,to haggle; to bargain
revendre,to resell; to sell on
sous-traiter,to subcontract; to outsource
bail; le bail,lease; tenancy agreement
céder,to give in; to hand over; to sell
acquérir,to acquire; to gain
promouvoir,to promote
satisfaire,to satisfy; to meet (needs)
qualifié,qualified; skilled
compétent,competent; skilled
coûteux,costly; expensive
abordable,affordable; approachable
industriel,industrial
monétaire,monetary
bancaire,banking; bank
durable,sustainable; lasting
exercer,to practise (a profession); to exert
effectuer,to carry out; to perform
contrôler,to check; to control
valider,to validate; to approve
rejeter,to reject; to turn down
soumettre,to submit; to subject
transmettre,to pass on; to forward
traiter,to deal with; to process; to treat
rédiger,to draft; to write up
déduire,to deduct; to deduce
joindre,to get hold of; to attach
reporter,to postpone; to put back
retarder,to delay; to hold up
assumer,to take on; to shoulder (responsibility)
répartir,to share out; to distribute
attribuer,to allocate; to award
accorder,to grant; to give
consacrer,to devote; to dedicate
affecter,to assign; to affect
motiver,to motivate; to justify
virer,to fire (informal); to transfer money
décrocher,to land (a job); to pick up
s'installer,to set up; to settle in
trésorerie; la trésorerie,cash flow; treasury
arnaque; l'arnaque; une arnaque,scam; rip-off
fraude; la fraude,fraud
corruption; la corruption,corruption; bribery
sanction; la sanction,penalty; sanction
revendication; la revendication,demand; claim
délégué; le délégué,representative; delegate
représentant; le représentant,representative; sales rep
harcèlement; le harcèlement,harassment
pression; la pression,pressure
épuisement; l'épuisement; un épuisement,exhaustion; depletion
initiative; l'initiative; une initiative,initiative
autonomie; l'autonomie; une autonomie,independence; autonomy
hériter,to inherit
don; le don,gift; donation; talent
sécurité sociale; la sécurité sociale,French social security system
député; le député,MP; member of parliament
parlement; le parlement,parliament
assemblée; l'assemblée; une assemblée,assembly; gathering
ministère; le ministère,ministry; government department
scrutin; le scrutin,ballot; vote (poll)
urne; l'urne; une urne,ballot box; urn
abstention; l'abstention; une abstention,abstention
référendum; le référendum,referendum
mandat; le mandat,term of office; mandate; warrant
élu; l'élu; un élu,elected official
militant; le militant,activist; campaigner
coalition; la coalition,coalition
majorité; la majorité,majority
minorité; la minorité,minority
opposition; l'opposition; une opposition,opposition
dictature; la dictature,dictatorship
souveraineté; la souveraineté,sovereignty
diplomatie; la diplomatie,diplomacy
ambassade; l'ambassade; une ambassade,embassy
traité; le traité,treaty
allié; l'allié; un allié,ally
populisme; le populisme,populism
promesse; la promesse,promise; pledge
compromis; le compromis,compromise
décret; le décret,decree
constitution; la constitution,constitution
amendement; l'amendement; un amendement,amendment
comité; le comité,committee
porte-parole; le porte-parole,spokesperson
territoire; le territoire,territory
département; le département,department (administrative area)
préfecture; la préfecture,prefecture; regional state office
commune; la commune,municipality; local council area
scandale; le scandale,scandal
transparence; la transparence,transparency
coup d'État; le coup d'État,coup
cessez-le-feu; le cessez-le-feu,ceasefire
otage; l'otage; un otage,hostage
attentat; l'attentat; un attentat,attack (terrorist)
terrorisme; le terrorisme,terrorism
révolution; la révolution,revolution
répression; la répression,crackdown; repression
censure; la censure,censorship
propagande; la propagande,propaganda
migrant; le migrant,migrant
asile; l'asile; un asile,asylum
expulsion; l'expulsion; une expulsion,deportation; eviction
intégration; l'intégration; une intégration,integration
citoyenneté; la citoyenneté,citizenship
ressortissant; le ressortissant,national (of a country); citizen
permis; le permis,permit; licence
infraction; l'infraction; une infraction,offence; breach
délit; le délit,offence; misdemeanour
contravention; la contravention,fine (ticket); minor offence
condamnation; la condamnation,conviction; sentence
accusé; l'accusé; un accusé,defendant; accused
poursuite; la poursuite,prosecution; pursuit
procureur; le procureur,prosecutor
audience; l'audience; une audience,hearing (court); viewing figures
verdict; le verdict,verdict
jugement; le jugement,ruling; judgement
jury; le jury,jury; panel
appel; l'appel; un appel,appeal; call
témoignage; le témoignage,testimony; account
aveu; l'aveu; un aveu,confession; admission
suspect; le suspect,suspect
conjoint; le conjoint,spouse; partner
adoption; l'adoption; une adoption,adoption; passing (of a law)
escroquerie; l'escroquerie; une escroquerie,scam; swindle
cambriolage; le cambriolage,burglary
meurtre; le meurtre,murder
agression; l'agression; une agression,assault; attack
trafic; le trafic,trafficking; traffic
détention; la détention,custody; detention
libération; la libération,release; liberation
arrestation; l'arrestation; une arrestation,arrest
commissariat; le commissariat,police station
surveillance; la surveillance,surveillance; monitoring
justificatif; le justificatif,supporting document; proof
attestation; l'attestation; une attestation,certificate; official statement
fiscalité; la fiscalité,taxation
procédure; la procédure,procedure; proceedings
refus; le refus,refusal
recours; le recours,appeal; recourse
domicile; le domicile,home; place of residence
décès; le décès,death (official)
consentement; le consentement,consent
élite; l'élite; une élite,elite
exclusion; l'exclusion; une exclusion,exclusion
sans-abri; le sans-abri,homeless person
solidarité; la solidarité,solidarity
pétition; la pétition,petition
mobilisation; la mobilisation,mobilisation; rallying
rassemblement; le rassemblement,rally; gathering
émeute; l'émeute; une émeute,riot
polémique; la polémique,row; controversy
controverse; la controverse,controversy
préjugé; le préjugé,prejudice
racisme; le racisme,racism
féminisme; le féminisme,feminism
laïcité; la laïcité,secularism
scolarité; la scolarité,schooling; school career
établissement; l'établissement; un établissement,institution; establishment
diversité; la diversité,diversity
délinquance; la délinquance,petty crime; delinquency
insécurité; l'insécurité; une insécurité,lack of safety; insecurity
prévention; la prévention,prevention
épidémie; l'épidémie; une épidémie,epidemic
vaccination; la vaccination,vaccination
confinement; le confinement,lockdown
secours; le secours,help; emergency services
deuil; le deuil,mourning; bereavement
rédacteur; le rédacteur,writer (press); editor
éditorial; l'éditorial; un éditorial,editorial
chronique; la chronique,column; chronicle
dépêche; la dépêche,news dispatch
communiqué; le communiqué,press release; statement
diffusion; la diffusion,broadcasting; spread; circulation
téléspectateur; le téléspectateur,TV viewer
abonné; l'abonné; un abonné,subscriber
tirage; le tirage,print run; circulation; draw
documentaire; le documentaire,documentary
présentateur; le présentateur,presenter; anchor
intervention; l'intervention; une intervention,intervention; speech; operation
propos; le propos,remarks; words
désinformation; la désinformation,disinformation
plateforme; la plateforme,platform
utilisateur; l'utilisateur; un utilisateur,user
contenu; le contenu,content
nouvelle; la nouvelle,news item; short story
enjeu; l'enjeu; un enjeu,stake; key issue
défi; le défi,challenge
alerte; l'alerte; une alerte,alert; warning
constat; le constat,finding; observation; report
soutien; le soutien,support; backing
gouverner,to govern; to rule
élire,to elect
voter,to vote; to pass (a law)
militer,to campaign; to be an activist
nommer,to appoint; to name
réprimer,to crack down on; to repress
censurer,to censor
expulser,to deport; to evict
condamner,to sentence; to condemn
accuser,to accuse; to charge
poursuivre,to prosecute; to continue; to chase
témoigner,to testify; to show
divorcer,to get divorced
adopter,to pass (a law); to adopt
libérer,to release; to free
convoquer,to summon; to call (a meeting)
suspendre,to suspend; to hang up (an object)
prolonger,to extend
renouveler,to renew
appliquer,to apply; to enforce
revendiquer,to demand; to claim responsibility for
protester,to protest
révéler,to reveal
diffuser,to broadcast; to spread
débattre,to debate
intervenir,to intervene; to speak up
aborder,to bring up; to approach
évoquer,to mention; to bring to mind
dénoncer,to denounce; to report
s'opposer,to oppose; to object
soutenir,to support; to claim
renforcer,to strengthen; to tighten
limiter,to limit; to restrict
élargir,to widen; to broaden
instaurer,to introduce; to establish
maintenir,to maintain; to keep
veiller,to make sure; to watch over
déplorer,to deplore; to regret
craindre,to fear
envisager,to consider; to plan
démentir,to deny; to refute
conclure,to conclude; to close (a deal)
entamer,to begin; to open
reprendre,to resume; to take back
interrompre,to interrupt; to halt
aboutir,to succeed; to lead to
se dérouler,to take place; to unfold
trancher,to settle (a question); to slice
judiciaire,judicial; court
illégal,illegal
légitime,legitimate; rightful
coupable,guilty
innocent,innocent
majeur,major; of legal age
constitutionnel,constitutional
municipal,municipal; town
administratif,administrative
électoral,electoral
médiatique,media
démocratique,democratic
autoritaire,authoritarian; bossy
flagrant,blatant; glaring
civil,civil; civilian
clandestin,undocumented; secret
conservateur,conservative
libéral,liberal; free-market
scolaire,school
civique,civic
rural,rural
urbain,urban
écologique,environmental; green
crucial,crucial
décisif,decisive
controversé,controversial
sensible,sensitive; noticeable
massif,massive; large-scale
historique,historic; historical
récent,recent
actuel,current; present
éventuel,possible; potential
provisoire,temporary; provisional
définitif,final; definitive
collectif,collective; joint
régional,regional
hebdomadaire,weekly
précaire,insecure; precarious
défavorisé,disadvantaged; deprived
fiable,reliable
voire,or even; indeed
certes,admittedly; certainly
d'après,according to
face à,faced with; in the face of
lors de,during; at the time of
dans le cadre de,as part of; within
atome; l'atome; un atome,atom
molécule; la molécule,molecule
particule; la particule,particle
noyau; le noyau,nucleus; core; stone (fruit)
électron; l'électron; un électron,electron
masse; la masse,mass; bulk
densité; la densité,density
gravité; la gravité,gravity; seriousness
onde; l'onde; une onde,wave (physics)
rayonnement; le rayonnement,radiation; influence
substance; la substance,substance
mélange; le mélange,mixture; blend
acide; l'acide; un acide,acid
carbone; le carbone,carbon
hydrogène; l'hydrogène; un hydrogène,hydrogen
oxygène; l'oxygène; un oxygène,oxygen
vapeur; la vapeur,steam; vapour
protocole; le protocole,protocol; set of rules
microscope; le microscope,microscope
lentille; la lentille,lens; lentil
capteur; le capteur,sensor
dispositif; le dispositif,device; setup; scheme
simulation; la simulation,simulation
calcul; le calcul,calculation; arithmetic
équation; l'équation; une équation,equation
formule; la formule,formula; set phrase
courbe; la courbe,curve; graph line
graphique; le graphique,chart; graph
statistique; la statistique,statistic; statistics
probabilité; la probabilité,probability; likelihood
moyenne; la moyenne,average; mean
immunité; l'immunité; une immunité,immunity
composé; le composé,compound (chemical)
univers; l'univers; un univers,universe
orbite; l'orbite; une orbite,orbit
satellite; le satellite,satellite
fusée; la fusée,rocket
atmosphère; l'atmosphère; une atmosphère,atmosphere
organisme; l'organisme; un organisme,organism; body; agency
bactérie; la bactérie,bacterium
gène; le gène,gene
génétique; la génétique,genetics
cellule; la cellule,cell
numérique,digital
navigateur; le navigateur,web browser; navigator
algorithme; l'algorithme; un algorithme,algorithm
automatique,automatic
processeur; le processeur,processor
stockage; le stockage,storage
base de données; la base de données,database
mise à jour; la mise à jour,update
paramètre; le paramètre,setting; parameter
réglage; le réglage,setting; adjustment
interface; l'interface; une interface,interface
identifiant; l'identifiant; un identifiant,username; login ID
piratage; le piratage,hacking; piracy
confidentialité; la confidentialité,privacy; confidentiality
chiffrement; le chiffrement,encryption
fuite; la fuite,leak; escape
défaillance; la défaillance,failure; breakdown
maintenance; la maintenance,maintenance; servicing
débit; le débit,flow rate; bandwidth
borne; la borne,terminal; charging point; boundary marker
tactile,touch (screen); tactile
notification; la notification,notification; alert
fonctionnement; le fonctionnement,operation; working; running
conception; la conception,design; conception
percée; la percée,breakthrough
numériser,to digitize; to scan
télécharger,to download
programmer,to program; to schedule
coder,to code; to encode
pirater,to hack; to pirate
actualiser,to refresh; to bring up to date
héberger,to host; to accommodate
afficher,to display; to post up
s'abonner,to subscribe
recharger,to recharge; to refill; to reload
redémarrer,to restart; to reboot
virtuel,virtual
connecté,connected; online
performant,high-performing; efficient
innovant,innovative
électrique,electric; electrical
renouvelable,renewable
biodiversité; la biodiversité,biodiversity
écosystème; l'écosystème; un écosystème,ecosystem
extinction; l'extinction; une extinction,extinction; extinguishing
disparition; la disparition,disappearance; dying out
conservation; la conservation,conservation; preservation
éolienne; l'éolienne; une éolienne,wind turbine
éolien,wind (power)
solaire,solar
nucléaire,nuclear
rejet; le rejet,discharge; emission; rejection
empreinte; l'empreinte; une empreinte,footprint; imprint; print
gaspillage; le gaspillage,waste; squandering
polluer,to pollute
polluant; le polluant,pollutant
contamination; la contamination,contamination
toxique,toxic; poisonous
nocif,harmful; damaging
dégradation; la dégradation,deterioration; damage
sécheresse; la sécheresse,drought; dryness
canicule; la canicule,heatwave
glacier; le glacier,glacier
fonte; la fonte,melting; cast iron
fondre,to melt; to dissolve
marée; la marée,tide
déforestation; la déforestation,deforestation
agriculture; l'agriculture; une agriculture,agriculture; farming
agricole,agricultural; farming
pesticide; le pesticide,pesticide
engrais; l'engrais; un engrais,fertilizer
biologique,organic; biological
élevage; l'élevage; un élevage,livestock farming; breeding
barrage; le barrage,dam; roadblock
réservoir; le réservoir,tank; reservoir
filtre; le filtre,filter
tri; le tri,sorting; waste separation
jetable,disposable; throwaway
décharge; la décharge,landfill; electric shock
transition; la transition,transition; shift
habitat; l'habitat; un habitat,habitat; housing
faune; la faune,wildlife; fauna
flore; la flore,flora; plant life
réserve; la réserve,nature reserve; stock; reservation
migration; la migration,migration
prédateur; le prédateur,predator
proie; la proie,prey
averse; l'averse; une averse,rain shower; downpour
grêle; la grêle,hail
humidité; l'humidité; une humidité,humidity; damp
ouragan; l'ouragan; un ouragan,hurricane
tornade; la tornade,tornado
séisme; le séisme,earthquake; upheaval
éruption; l'éruption; une éruption,eruption; rash
avalanche; l'avalanche; une avalanche,avalanche
crue; la crue,flood; rise in water level
ruisseau; le ruisseau,stream; brook
sentier; le sentier,path; trail
tronc; le tronc,tree trunk; torso
pollen; le pollen,pollen
algue; l'algue; une algue,seaweed; alga
vigne; la vigne,vine; vineyard
souterrain,underground; subterranean
maritime,maritime; sea
terrestre,land; terrestrial
vivant,living; alive; lively
soin; le soin,care; treatment
hygiène; l'hygiène; une hygiène,hygiene
dépistage; le dépistage,screening; testing
pandémie; la pandémie,pandemic
contagieux,contagious; infectious
anticorps; l'anticorps; un anticorps,antibody
inflammation; l'inflammation; une inflammation,inflammation
tumeur; la tumeur,tumour
cancer; le cancer,cancer
diabète; le diabète,diabetes
obésité; l'obésité; une obésité,obesity
cholestérol; le cholestérol,cholesterol
asthme; l'asthme; un asthme,asthma
angine; l'angine; une angine,throat infection; tonsillitis
rétablissement; le rétablissement,recovery; restoration
rechute; la rechute,relapse
antibiotique; l'antibiotique; un antibiotique,antibiotic
anesthésie; l'anesthésie; une anesthésie,anaesthetic; anaesthesia
greffe; la greffe,transplant; graft
donneur; le donneur,donor
radiographie; la radiographie,X-ray
scanner; le scanner,CT scan; scanner
dose; la dose,dose; amount
dépendance; la dépendance,addiction; dependence
tabac; le tabac,tobacco; tobacconist's
drogue; la drogue,drug (narcotic)
nutrition; la nutrition,nutrition
vitamine; la vitamine,vitamin
protéine; la protéine,protein
calorie; la calorie,calorie
digestion; la digestion,digestion
intestin; l'intestin; un intestin,intestine; gut
articulation; l'articulation; une articulation,joint (body); articulation
artère; l'artère; une artère,artery
organe; l'organe; un organe,organ (body)
hormone; l'hormone; une hormone,hormone
grossesse; la grossesse,pregnancy
accouchement; l'accouchement; un accouchement,childbirth; delivery
enceinte,pregnant
vieillissement; le vieillissement,ageing
mortalité; la mortalité,mortality; death rate
bien-être; le bien-être,well-being; wellness
dépression; la dépression,depression
anxiété; l'anxiété; une anxiété,anxiety
trouble; le trouble,disorder; disturbance
thérapie; la thérapie,therapy
psychologue; le psychologue,psychologist
psychiatre; le psychiatre,psychiatrist
suivi; le suivi,follow-up; monitoring
soignant; le soignant,carer; health worker
réanimation; la réanimation,intensive care; resuscitation
hospitalisation; l'hospitalisation; une hospitalisation,hospital stay; hospitalization
opérer,to operate on; to carry out
diagnostiquer,to diagnose
prescrire,to prescribe
soulager,to relieve; to ease
saigner,to bleed
tousser,to cough
sain,healthy; wholesome; sound
mortel,deadly; fatal
aigu,acute; sharp; high-pitched
aveugle,blind
sourd,deaf; muffled
observer,to observe; to watch
analyser,to analyse
prouver,to prove
démontrer,to demonstrate; to prove
concevoir,to design; to conceive
résoudre,to solve; to resolve
refroidir,to cool down; to chill
s'aggraver,to worsen; to get worse
absorber,to absorb; to take in
émettre,to emit; to broadcast; to issue
filtrer,to filter; to screen
extraire,to extract; to mine
exploiter,to exploit; to operate; to farm
épuiser,to exhaust; to use up
préserver,to preserve; to protect
détecter,to detect
alerter,to alert; to warn
prédire,to predict; to foretell
se propager,to spread
infecter,to infect
expérimenter,to experiment; to try out
chimique,chemical
pur,pure; clean
vital,vital; essential
résistant,resistant; tough; hard-wearing
chagrin; le chagrin,grief; sorrow
rancune; la rancune,grudge; resentment
mépris; le mépris,contempt; scorn
dégoût; le dégoût,disgust
nostalgie; la nostalgie,nostalgia; homesickness
frustration; la frustration,frustration
malaise; le malaise,unease; faintness
panique; la panique,panic
terreur; la terreur,terror; dread
désespoir; le désespoir,despair
compassion; la compassion,compassion
pitié; la pitié,pity; mercy
culpabilité; la culpabilité,guilt
reconnaissance; la reconnaissance,gratitude; recognition
sensibilité; la sensibilité,sensitivity
choc; le choc,shock; impact
affection; l'affection; une affection,affection; fondness
attachement; l'attachement; un attachement,attachment; fondness
amertume; l'amertume; une amertume,bitterness
indignation; l'indignation; une indignation,indignation; outrage
embarras; l'embarras; un embarras,embarrassment; awkwardness
admiration; l'admiration; une admiration,admiration
empathie; l'empathie; une empathie,empathy
humiliation; l'humiliation; une humiliation,humiliation
irritation; l'irritation; une irritation,irritation; annoyance
ressentir,to feel; to experience
éprouver,to feel (emotion); to undergo
bouleverser,to upset deeply; to overturn
apaiser,to soothe; to calm
consoler,to console; to comfort
rassurer,to reassure
effrayer,to frighten; to scare
décevoir,to disappoint
déprimer,to depress; to feel down
vexer,to hurt; to offend
agacer,to annoy; to irritate
haïr,to hate
redouter,to dread; to fear
se réjouir,to be delighted; to rejoice
s'épanouir,to blossom; to flourish
supporter,to bear; to put up with
ému,moved; touched
anxieux,anxious
soulagé,relieved
ravi,delighted; thrilled
serein,serene; untroubled
désespéré,desperate; hopeless
amer,bitter
honteux,ashamed; shameful
reconnaissant,grateful
furieux,furious
effrayant,frightening; scary
inquiétant,worrying; disturbing
rassurant,reassuring
émouvant,moving; touching
pénible,tiresome; trying; hard
insupportable,unbearable
désagréable,unpleasant
tendre,tender; fond
passionné,passionate; keen
enthousiaste,enthusiastic
optimiste,optimistic
pessimiste,pessimistic
indifférent,indifferent; unconcerned
vertu; la vertu,virtue
sincérité; la sincérité,sincerity
loyauté; la loyauté,loyalty
sagesse; la sagesse,wisdom; good sense
prudence; la prudence,caution; prudence
lâcheté; la lâcheté,cowardice
rigueur; la rigueur,rigour; strictness
douceur; la douceur,gentleness; softness
bonté; la bonté,kindness; goodness
maturité; la maturité,maturity
timidité; la timidité,shyness
discrétion; la discrétion,discretion; tact
tolérance; la tolérance,tolerance
persévérance; la persévérance,perseverance
détermination; la détermination,determination
paresse; la paresse,laziness
charme; le charme,charm; spell
trait; le trait,trait; feature; stroke
honnêteté; l'honnêteté; une honnêteté,honesty
audace; l'audace; une audace,daring; nerve
orgueil; l'orgueil; un orgueil,pride; arrogance
arrogance; l'arrogance; une arrogance,arrogance
égoïsme; l'égoïsme; un égoïsme,selfishness
ambitieux,ambitious
travailleur,hard-working
rigoureux,rigorous; thorough; harsh
exigeant,demanding
compréhensif,understanding
bienveillant,kind; caring
dévoué,devoted; dedicated
fidèle,faithful; loyal
hypocrite,hypocritical; two-faced
menteur,lying; untruthful
digne,worthy; dignified
lucide,clear-headed; lucid
raisonnable,reasonable; sensible
réfléchi,thoughtful; considered
impulsif,impulsive
spontané,spontaneous
susceptible,touchy; liable to
naïf,naive
humble,humble
prétentieux,pretentious; conceited
indulgent,lenient; forgiving
dynamique,dynamic; lively
passif,passive
sociable,sociable
solitaire,solitary; lonely
réservé,reserved; booked
grossier,rude; coarse; rough
distrait,absent-minded; distracted
attentif,attentive; careful
rupture; la rupture,break-up; breakdown
séparation; la séparation,separation
dispute; la dispute,argument; quarrel
malentendu; le malentendu,misunderstanding
rivalité; la rivalité,rivalry
trahison; la trahison,betrayal
reproche; le reproche,reproach; criticism
solitude; la solitude,loneliness; solitude
compliment; le compliment,compliment
gêne; la gêne,embarrassment; discomfort
entente; l'entente; une entente,understanding; agreement
intimité; l'intimité; une intimité,intimacy; privacy
hostilité; l'hostilité; une hostilité,hostility
accueil; l'accueil; un accueil,welcome; reception
entourage; l'entourage; un entourage,circle; people around one
insulte; l'insulte; une insulte,insult
ironie; l'ironie; une ironie,irony
s'entendre,to get along; to agree
se fier,to trust; to rely on
se confier,to confide
