Chinese (Simpl.),Pinyin,English
拜会,bàihuì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on
拜见,bàijiàn,to pay a formal visit; to call to pay respects; to meet one's senior or superior
拜年,bàinián,to pay a New Year call; to wish sb a Happy New Year
拜托,bàituō,to request sb to do sth; please!
扳,bān,to pull; to turn (sth) around; to turn around (a situation); to recoup
颁布,bānbù,to issue; to proclaim; to enact (laws decrees etc)
颁发,bānfā,to issue; to promulgate; to award
颁奖,bānjiǎng,to confer an award
斑点,bāndiǎn,spot; stain; speckle
搬迁,bānqiān,to move; to relocate; removal
板块,bǎnkuài,slab; (geology) tectonic plate; (fig.) sector (of the stock market or of industry); (economic) bloc
办不到,bànbudào,impossible; can't be done; no can do; unable to accomplish
半边天,bànbiāntiān,half the sky; women of the new society; womenfolk
半场,bànchǎng,half of a game or contest; half-court
半岛,bàndǎo,peninsula
半路,bànlù,halfway; midway; on the way
半数,bànshù,half the number; half
半途而废,bàntúérfèi,to give up halfway (idiom); leave sth unfinished
半信半疑,bànxìnbànyí,half doubting; dubious; skeptical
半真半假,bànzhēnbànjiǎ,(idiom) half true and half false
伴,bàn,partner; companion; comrade; associate
伴侣,bànlǚ,companion; mate; partner
伴随,bànsuí,to accompany; to follow; to occur together with; concomitant
伴奏,bànzòu,to accompany (musically)
拌,bàn,to mix; to mix in; to toss (a salad)
扮,bàn,to disguise oneself as; to dress up; to play (a role); to put on (an expression)
帮手,bāngshǒu,helper; assistant
绑,bǎng,to tie; bind or fasten together; to kidnap
绑架,bǎngjià,to kidnap; to abduct; to hijack; a kidnapping
榜样,bǎngyàng,example; model
棒球,bàngqiú,baseball
磅,bàng,scale (instrument for weighing); to weigh; (loanword) pound (unit of weight about 454 grams); (printing) point (unit used to measure the size of type)
包袱,bāofu,wrapping cloth; a bundle wrapped in cloth; load; weight
包容,bāoróng,to pardon; to forgive; to show tolerance; to contain
包扎,bāozā,to wrap up; to pack; to bind up (a wound)
煲,bāo,to cook slowly over a low flame; pot; saucepan
宝藏,bǎozàng,precious mineral deposits; hidden treasure; (fig.) treasure; (Buddhism) the treasure of Buddha's law
宝库,bǎokù,treasure-house; treasury; treasure-trove (often fig. book of treasured wisdom)
饱和,bǎohé,saturated; filled to capacity
饱满,bǎomǎn,full; plump
保管,bǎoguǎn,to hold in safekeeping; to have in one's care; to guarantee; certainly
保姆,bǎomǔ,nanny; housekeeper
保暖,bǎonuǎn,to keep warm
保鲜,bǎoxiān,to keep fresh
保修,bǎoxiū,to promise to keep sth in good repair; guarantee; warranty
保佑,bǎoyòu,to bless and protect; blessing
保障,bǎozhàng,to ensure; to guarantee; to safeguard
保质期,bǎozhìqī,shelf life; expiration date
保重,bǎozhòng,to take care of oneself
堡垒,bǎolěi,fort
报仇,bàochóu,to take revenge; to avenge
报酬,bàochou,reward; remuneration
报废,bàofèi,to scrap; to dispose of (sth worn-out or damaged)
报复,bàofù,to make reprisals; to retaliate; revenge; retaliation
报社,bàoshè,newspaper (i.e. a company)
报亭,bàotíng,kiosk; newsstand
报销,bàoxiāo,to submit an expense account; to apply for reimbursement; to write off; to wipe out
抱负,bàofù,aspiration; ambition
豹,bào,leopard; panther
暴风骤雨,bàofēngzhòuyǔ,violent wind and rainstorm; hurricane; tempest
暴利,bàolì,sudden huge profits
暴躁,bàozào,irascible; irritable; violent
爆冷门,bàolěngmén,an upset (esp. in sports); unexpected turn of events; to pull off a coup; a breakthrough
爆满,bàomǎn,filled to capacity (of theater stadium gymnasium etc)
爆竹,bàozhú,firecracker
卑鄙,bēibǐ,base; mean; contemptible; despicable
悲哀,bēiāi,grieved; sorrowful
悲观,bēiguān,pessimistic
悲欢离合,bēihuānlíhé,joys and sorrows; partings and reunions; the vicissitudes of life
悲痛,bēitòng,grieved; sorrowful
碑,bēi,a monument; an upright stone tablet; stele
贝壳,bèiké,shell; conch; cowry; mother of pearl
备课,bèikè,(of a teacher) to prepare lessons
备受,bèishòu,to fully experience (good or bad)
备用,bèiyòng,reserve; spare; alternate; backup
背面,bèimiàn,the back; the reverse side; the wrong side
背叛,bèipàn,to betray
背诵,bèisòng,to recite; to repeat from memory
被捕,bèibǔ,to be arrested; under arrest
奔,bēn,to hurry; to rush; to run quickly; to elope
奔波,bēnbō,to rush about; to be constantly on the move
奔赴,bēnfù,to rush to; to hurry to
本分,běnfèn,(to play) one's part; one's role; one's duty; (to stay within) one's bounds
本能,běnnéng,instinct
本钱,běnqián,capital; (fig.) asset; advantage; the means (to do sth)
本色,běnsè,inherent qualities; natural qualities; distinctive character; true qualities
本性,běnxìng,natural instincts; nature; inherent quality
本意,běnyì,original idea; real intention; etymon
本着,běnzhe,based on...; in conformance with..; taking as one's main principle
笨蛋,bèndàn,fool; idiot
笨重,bènzhòng,heavy; cumbersome; unwieldy
崩溃,bēngkuì,to collapse; to crumble; to fall apart
绷,bēng,to draw tight; to stretch taut; to tack (with thread or pin); embroidery hoop
绷带,bēngdài,bandage (loanword)
蹦,bèng,to jump; to bounce; to hop
逼近,bījìn,to press on towards; to close in on; to approach; to draw near
逼迫,bīpò,to force; to compel; to coerce
逼真,bīzhēn,lifelike; true to life; distinctly; clearly
鼻涕,bítì,nasal mucus; snivel; snot
比比皆是,bǐbǐjiēshì,can be found everywhere
比不上,bǐbùshàng,can't compare with
比起,bǐqǐ,compared with
比试,bǐshì,to have a competition; to measure with one's hand or arm; to make a gesture of measuring
比喻,bǐyù,to compare; to liken to; metaphor; analogy
鄙视,bǐshì,to despise; to disdain; to look down upon
必不可少,bìbùkěshǎo,absolutely necessary; indispensable; essential
必定,bìdìng,to be bound to; to be sure to
弊病,bìbìng,malady; evil; malpractice; drawback
弊端,bìduān,systemic problem (sometimes refers specifically to corrupt practices)
碧绿,bìlǜ,dark green
壁画,bìhuà,mural (painting); fresco
避难,bìnàn,refuge; to take refuge; to seek asylum (political etc)
避暑,bìshǔ,to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke
边疆,biānjiāng,border area; borderland; frontier; frontier region
边界,biānjiè,boundary; border
边远,biānyuǎn,far from the center; remote; outlying
编号,biānhào,to number; numbering; serial number
编剧,biānjù,to write a play; scenario; dramatist; screenwriter
编排,biānpái,to arrange; to lay out
编写,biānxiě,to compile
编造,biānzào,to compile; to draw up; to fabricate; to invent
鞭策,biāncè,to spur on; to urge on; to encourage sb (e.g. to make progress)
鞭炮,biānpào,firecrackers; string of small firecrackers
贬值,biǎnzhí,to become devaluated; to devaluate; to depreciate
变革,biàngé,to transform; to change
变幻莫测,biànhuànmòcè,to change unpredictably; unpredictable; erratic; treacherous
变迁,biànqiān,changes; vicissitudes
变异,biànyì,variation
变质,biànzhì,to degenerate; to deteriorate; (of food) to go bad; to go off
便道,biàndào,pavement; sidewalk; shortcut; makeshift road
便饭,biànfàn,an ordinary meal; simple home cooking
便捷,biànjié,convenient and fast
便利店,biànlìdiàn,convenience store
遍布,biànbù,to cover the whole (area); to be found throughout
辨别,biànbié,to distinguish; to differentiate; to discern; to recognize
辨认,biànrèn,to recognize; to identify
辩,biàn,to dispute; to debate; to argue; to discuss
辩护,biànhù,to speak in defense of; to argue in favor of; to defend; to plead
辩解,biànjiě,to explain; to justify; to defend (a point of view etc); to provide an explanation
辫子,biànzi,plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent
标,biāo,mark; sign; label; to mark with a symbol; label; lettering etc
标榜,biāobǎng,to flaunt; to advertise; to parade; boost
标本,biāoběn,specimen; sample; the root cause and symptoms of a disease
标签,biāoqiān,label; tag; (computing) tab (GUI element)
标示,biāoshì,to indicate
标语,biāoyǔ,written slogan; placard
标致,biāozhì,beautiful (of a woman); pretty; handsome
飙升,biāoshēng,to rise rapidly; to soar
表白,biǎobái,to explain oneself; to express; to reveal one's thoughts or feelings; declaration
表决,biǎojué,to decide by vote; to vote
表率,biǎoshuài,example; model
表述,biǎoshù,to formulate; enunciation; to explain sth precisely
表态,biǎotài,to declare one's position; to say where one stands
表彰,biǎozhāng,to honor; to commend; to cite (in dispatches)
憋,biē,to choke; to stifle; to restrain; to hold back
别具匠心,biéjùjiàngxīn,to show ingenuity; (of a design) clever; brilliantly conceived
别看,biékàn,don't be fooled by the fact that
别扭,bièniu,awkward; difficult; uncomfortable; not agreeing
别墅,biéshù,villa
别说,biéshuō,to say nothing of; not to mention; let alone
别提了,biétíle,say no more; don't bring it up; drop the subject
别致,biézhì,unusual; unique
彬彬有礼,bīnbīnyǒulǐ,refined and courteous; urbane
滨海,bīnhǎi,coastal; seaside; bordering the sea
缤纷,bīnfēn,vast and various; rich and diverse
冰棍儿,bīnggùnr,ice lolly; popsicle
冰山,bīngshān,iceberg
丙,bǐng,third of the ten Heavenly Stems 干; third in order; letter 'C' or Roman 'III' in list 'A; B; C'; or 'I; II; III' etc; ancient Chinese compass point: 165°
秉承,bǐngchéng,to take orders; to receive commands; to carry on (a tradition)
并非,bìngfēi,really isn't
并购,bìnggòu,merger and acquisition (M and A); acquisition; to take over
并列,bìngliè,to stand side by side; to be juxtaposed
并行,bìngxíng,to proceed in parallel; side by side (of two processes developments thoughts etc)
病床,bìngchuáng,hospital bed; sickbed
病症,bìngzhèng,disease; illness
拨,bō,to push aside with the hand; foot; a stick etc; to dial; to allocate; to set aside (money)
拨款,bōkuǎn,to allocate funds; appropriation
拨通,bōtōng,to get through to sb on the phone
波及,bōjí,to spread to; to involve; to affect
波澜,bōlán,billows; great waves (fig. of a story with great momentum)
波涛,bōtāo,great waves; billows
波折,bōzhé,twists and turns
剥,bāo,to peel; to skin; to shell; to shuck
剥夺,bōduó,to deprive; to expropriate; to strip (sb of his property)
剥削,bōxuē,to exploit; exploitation
伯伯,bóbo,father's elder brother; uncle
伯父,bófù,father's elder brother; term of respect for older man
伯母,bómǔ,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother)
驳回,bóhuí,to reject; to turn down; to overrule
脖子,bózi,neck
搏斗,bódòu,to wrestle; to fight; to struggle
补给,bǔjǐ,supply; replenishment; to replenish
补救,bǔjiù,to remedy
哺育,bǔyù,to feed; (fig.) to nurture; to foster
捕捉,bǔzhuō,to catch; to seize; to capture
不耻下问,bùchǐxiàwèn,not feel ashamed to ask and learn from one's subordinates
不辞而别,bùcíérbié,to leave without saying good-bye
不得而知,bùdéérzhī,unknown; unable to find out
不得已,bùdéyǐ,to act against one's will; to have no alternative but to; to have to; to have no choice
不定,bùdìng,indefinite; indeterminate; (botany) adventitious
不妨,bùfáng,there is no harm in; might as well
不服,bùfú,not to accept sth; to want to have sth overruled or changed; to refuse to obey or comply; to refuse to accept as final
不服气,bùfúqì,unwilling to concede; defiant; indignant; to find it galling
不假思索,bùjiǎsīsuǒ,(idiom) to act without taking time to think; to react instantly; to fire from the hip
不见得,bùjiànde,not necessarily; not likely
不解,bùjiě,to not understand; to be puzzled by; indissoluble
不经意,bùjīngyì,not paying attention; carelessly; by accident
不景气,bùjǐngqì,slack; in a slump
不堪,bùkān,cannot bear; cannot stand; utterly; extremely
不可避免,bùkěbìmiǎn,unavoidably
不可思议,bùkěsīyì,inconceivable (idiom); unimaginable; unfathomable
不肯,bùkěn,Refuse
不了了之,bùliǎoliǎozhī,to settle a matter by leaving it unsettled; to end up with nothing definite
不理,bùlǐ,to refuse to acknowledge; to pay no attention to; to take no notice of; to ignore
不利于,bùlìyú,is harmful to
不难,bùnán,Not difficult
不平,bùpíng,uneven; injustice; unfairness; wrong
不起眼,bùqǐyǎn,unremarkable; nothing out of the ordinary
不容,bùróng,must not; cannot; to not allow; cannot tolerate
不如说,bùrúshuō,rather say
不慎,bùshèn,incautious; inattentive
不适,bùshì,unwell; indisposed; out of sorts
不算,bùsuàn,to not calculate; to not count; to not be considered (as); to have no weight
不同寻常,bùtóngxúncháng,out of the ordinary; unusual
不为人知,bùwéirénzhī,not known to anyone; secret; unknown
不惜,bùxī,not stint; not spare; not hesitate (to do sth); not scruple (to do sth)
不相上下,bùxiāngshàngxià,equally matched; about the same
不像话,bùxiànghuà,unreasonable; shocking; outrageous
不屑,bùxiè,to disdain to do sth; to think sth not worth doing; to feel it beneath one's dignity
不懈,bùxiè,untiring; unremitting; indefatigable
不亚于,bùyàyú,no less than; not inferior to
不已,bùyǐ,endlessly; incessantly
不以为然,bùyǐwéirán,not to accept as correct (idiom); to object; to disapprove; to take exception to
不亦乐乎,bùyìlèhū,lit. isn't that a joy? (quote from Confucius); fig. (jocular) extremely; awfully
不翼而飞,bùyìérfēi,to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire
不宜,bùyí,not suitable; inadvisable; inappropriate
不用说,bùyòngshuō,needless to say; it goes without saying
不由得,bùyóude,can't help; cannot but
不由自主,bùyóuzìzhǔ,can't help; involuntarily (idiom)
不予,bùyǔ,to withhold; to refuse
不约而同,bùyuēértóng,to agree by chance (idiom); taking the same action without prior consultation
不正之风,bùzhèngzhīfēng,unhealthy tendency
不知,bùzhī,not to know; unaware; unknowingly; fig. not to admit (defeat hardships tiredness etc)
不知不觉,bùzhībùjué,unconsciously; unwittingly
不准,bùzhǔn,not to allow; to forbid; to prohibit
布局,bùjú,arrangement; composition; layout; opening (chess jargon)
步伐,bùfá,pace; (measured) step; march
步入,bùrù,to step into; to enter
步骤,bùzhòu,procedure; step
部件,bùjiàn,part; component
部署,bùshǔ,to dispose; to deploy; deployment
猜谜,cāimí,to answer a riddle; to guess (i.e. form an opinion without much evidence)
猜想,cāixiǎng,to guess; to conjecture; to suppose; (math.) hypothesis
才华,cáihuá,talent
财经,cáijīng,finance and economics
财力,cáilì,financial resources
财物,cáiwù,property; belongings
财务,cáiwù,financial affairs
财政,cáizhèng,finances (public); financial
裁,cái,to cut out (as a dress); to cut; to trim; to reduce
裁定,cáidìng,ruling
裁决,cáijué,ruling; adjudication
采,cǎi,to pick; to pluck; to collect; to select
采集,cǎijí,to gather; to collect; to harvest
采矿,cǎikuàng,mining
彩电,cǎidiàn,color TV
彩虹,cǎihóng,rainbow
彩霞,cǎixiá,clouds tinged with sunset hues
菜市场,càishìchǎng,food market
参见,cānjiàn,to refer to; compare (cf.); to pay respect to
参军,cānjūn,to join the army
参谋,cānmóu,staff officer; to give advice
参照,cānzhào,to consult a reference; to refer to (another document)
餐桌,cānzhuō,dining table; dinner table
残,cán,incomplete; remnant; disabled; cruel; to injure
残留,cánliú,to remain; to be left over; residual; remnant
残缺,cánquē,badly damaged; shattered
残忍,cánrěn,cruel; mean; merciless; ruthless
惭愧,cánkuì,ashamed
惨白,cǎnbái,deathly pale
惨痛,cǎntòng,bitter; painful; deeply distressed
惨重,cǎnzhòng,disastrous
灿烂,cànlàn,to glitter; brilliant; splendid
掺,chān,to mix; to grasp
沧桑,cāngsāng,great changes; ups and downs; vicissitudes; abbr. of 沧海桑田
苍蝇,cāngying,housefly
舱,cāng,cabin; the hold of a ship or airplane
藏匿,cángnì,to cover up; to conceal; to go into hiding
藏品,cángpǐn,museum piece; collector's item; precious object
藏身,cángshēn,to hide; to go into hiding; to take refuge
操控,cāokòng,to control; to manipulate
操劳,cāoláo,to work hard; to look after
操心,cāoxīn,to worry about
槽,cáo,trough; manger; groove; channel
草案,cǎoàn,draft (legislation proposal etc)
草坪,cǎopíng,lawn
侧面,cèmiàn,lateral side; side; aspect; profile
侧重,cèzhòng,to place particular emphasis on
测算,cèsuàn,to take measurements and calculate
测验,cèyàn,test; to test
层出不穷,céngchūbùqióng,more and more emerge; innumerable succession; breeding like flies (idiom)
蹭,cèng,to rub against; to walk slowly; (coll.) to freeload
插手,chāshǒu,to get involved in; to meddle; interference
插图,chātú,illustration
插嘴,chāzuǐ,to interrupt (sb talking); to butt in; to cut into a conversation
查处,cháchǔ,to investigate and handle (a criminal case)
查明,chámíng,to investigate and find out; to ascertain
查找,cházhǎo,to search for; to look up
茶道,chádào,Japanese tea ceremony; sado
茶馆儿,cháguǎnr,a teashop
察觉,chájué,to sense; to perceive; to become aware of; to detect
察看,chákàn,to watch; to look carefully at
诧异,chàyì,flabbergasted; astonished
差错,chācuò,mistake; slip-up; fault; error
差额,chāé,balance (financial); discrepancy (in a sum or quota); difference
搀,chān,to take by the arm and assist; to mix; to blend; to dilute
禅杖,chánzhàng,the staff of a Buddhist monk
馋,chán,gluttonous; greedy; to have a craving
缠,chán,to wind around; to wrap round; to coil; tangle
产,chǎn,to give birth; to reproduce; to produce; product
产地,chǎndì,source (of a product); place of origin; manufacturing location
产物,chǎnwù,product; result (of)
产值,chǎnzhí,value of output; output value
铲,chǎn,to level off; to root up; to shovel; to remove
铲子,chǎnzi,shovel; spade; trowel; spatula (kitchen utensil)
阐述,chǎnshù,to expound (a position); to elaborate (on a topic); to treat (a subject)
颤抖,chàndǒu,to shudder; to shiver; to shake; to tremble
猖狂,chāngkuáng,savage; furious
偿还,chánghuán,to repay; to reimburse
常理,chánglǐ,common sense; conventional reasoning and morals
常人,chángrén,ordinary person
常态,chángtài,normal state
常温,chángwēn,room temperature; ordinary temperatures
嫦娥,Chángé,Chang'e; the lady in the moon (Chinese mythology); one of the Chang'e series of PRC lunar spacecraft
厂家,chǎngjiā,factory; manufacturer; (coll.) a factory owner; the factory management
畅谈,chàngtán,to talk freely; to discuss without inhibition
畅销,chàngxiāo,to sell well; bestselling; chart-topping
倡议,chàngyì,to suggest; to initiate; proposal; initiative
敞开,chǎngkāi,to open wide; unrestrictedly
抄袭,chāoxí,to plagiarize; to copy; to attack the flank or rear of an enemy
钞票,chāopiào,paper money; a bill (e.g. 100 yuan)
超标,chāobiāo,to cross the limit; to be over the accepted norm; excessive
超车,chāochē,to overtake (another car)
超前,chāoqián,to be ahead of one's time; to surpass or outdo one's predecessors; to be ahead of the pack; to take the lead
超速,chāosù,to exceed the speed limit; to speed; high-speed
朝代,cháodài,dynasty; reign (of a king)
朝气蓬勃,zhāoqìpéngbó,full of youthful energy (idiom); vigorous; energetic; a bright spark
朝三暮四,zhāosānmùsì,lit. say three in the morning but four in the evening (idiom); to change sth that is already settled upon; indecisive; to blow hot and cold
朝夕相处,zhāoxīxiāngchǔ,to spend all one's time together (idiom)
朝着,cháozhe,towards
嘲弄,cháonòng,to tease; to poke fun at; to make fun of
嘲笑,cháoxiào,to jeer at; to deride; to ridicule; mockery
吵嘴,chǎozuǐ,to quarrel
车道,chēdào,traffic lane; driveway
车祸,chēhuò,traffic accident; car crash
车间,chējiān,workshop
车轮,chēlún,wheel
车速,chēsù,vehicle speed
车位,chēwèi,parking spot; unloading point; garage place; stand for taxi
车厢,chēxiāng,carriage
车型,chēxíng,vehicle model (i.e. particular version of a car or motorcycle etc)
车轴,chēzhóu,axle
扯,chě,to pull; to tear; (of cloth thread etc) to buy; to chat
彻夜,chèyè,the whole night
撤,chè,to remove; to take away
撤换,chèhuàn,to dismiss and replace (sb); to replace (sb or sth)
沉甸甸,chéndiàndiàn,heavy
沉淀,chéndiàn,to settle; to precipitate; sedimentation
沉浸,chénjìn,to soak; to permeate; to immerse
沉闷,chénmèn,oppressive (of weather); heavy; depressed; not happy
沉迷,chénmí,to be engrossed; to be absorbed with; to lose oneself in; to be addicted to
沉思,chénsī,to contemplate; to ponder; contemplation; meditation
沉稳,chénwěn,steady; calm; unflustered
沉着,chénzhuó,steady; calm and collected; not nervous
陈旧,chénjiù,old-fashioned
陈列,chénliè,to display; to exhibit
陈述,chénshù,an assertion; to declare; to state
衬托,chèntuō,to set off
趁,chèn,to avail oneself of; to take advantage of
趁机,chènjī,to seize an opportunity; to take advantage of situation
趁早,chènzǎo,as soon as possible; at the first opportunity; the sooner the better; before it's too late
趁着,chènzhe,while
称呼,chēnghu,to call; to address as; form of address; appellation
称作,chēngzuò,to be called; to be known as
成才,chéngcái,to make sth of oneself; to become a person who is worthy of respect
成家,chéngjiā,to settle down and get married (of a man); to become a recognized expert
成年,chéngnián,to grow to adulthood; fully grown; adult; the whole year
成千上万,chéngqiānshàngwàn,lit. by the thousands and tens of thousands (idiom); untold numbers; innumerable; thousands upon thousands
成群结队,chéngqúnjiéduì,making up a group; forming a troupe (idiom); in large numbers; as a large crowd
成天,chéngtiān,(coll.) all day long; all the time
成问题,chéngwèntí,to be a problem; problematic; questionable
成型,chéngxíng,to become shaped; to become formed
呈现,chéngxiàn,to appear; to emerge; to present (a certain appearance); to demonstrate
承包,chéngbāo,to contract; to undertake (a job)
承载,chéngzài,to bear the weight; to sustain
诚恳,chéngkěn,sincere; honest; cordial
诚心诚意,chéngxīnchéngyì,earnestly and sincerely (idiom); with all sincerity
诚意,chéngyì,sincerity; good faith
诚挚,chéngzhì,sincere; cordial
城墙,chéngqiáng,city wall
乘人之危,chéngrénzhīwēi,to take advantage of sb's precarious position
惩处,chéngchǔ,to punish; to administer justice
惩罚,chéngfá,penalty; punishment; to punish
澄清,chéngqīng,clear (of liquid); limpid; to clarify; to make sth clear
橙汁,chéngzhī,orange juice
逞能,chěngnéng,to show off one's ability; to boast one's merits
逞强,chěngqiáng,to show off; to try to be brave
秤,chèng,balance; weighing scale; steelyard
吃不上,chībushàng,unable to get anything to eat; to miss a meal
吃喝玩乐,chīhēwánlè,to eat; drink and be merry (idiom); to abandon oneself to a life of pleasure
吃苦,chīkǔ,to bear hardships
吃亏,chīkuī,to suffer losses; to come to grief; to lose out; to get the worst of it
痴呆,chīdāi,imbecility; dementia; imbecility; dementia
痴迷,chīmí,infatuated; obsessed
痴心,chīxīn,infatuation
池塘,chítáng,pool; pond
驰名,chímíng,famous
迟迟,chíchí,late (with a task etc); slow
迟疑,chíyí,to hesitate
迟早,chízǎo,sooner or later
持,chí,to hold; to grasp; to support; to maintain
持久,chíjiǔ,lasting; enduring; persistent; permanent
持之以恒,chízhīyǐhéng,to pursue unremittingly (idiom); to persevere
尺度,chǐdù,scale; yardstick
耻辱,chǐrǔ,disgrace; shame; humiliation
耻笑,chǐxiào,to sneer at sb; to ridicule
赤字,chìzì,(financial) deficit; red letter
翅膀,chìbǎng,wing
充,chōng,sufficient; full; to fill; to serve as
充当,chōngdāng,to serve as; to act as; to play the role of
充沛,chōngpèi,abundant; plentiful; vigorous
充实,chōngshí,rich; full; substantial; to enrich
冲刺,chōngcì,(sports) to sprint; to spurt; to dash; to put in a big effort to achieve a goal as the deadline approaches
冲浪,chōnglàng,to surf; surfing
冲洗,chōngxǐ,to rinse; to wash; to develop (photographic film)
冲撞,chōngzhuàng,to collide; jerking motion; to impinge; to offend
崇高,chónggāo,majestic; sublime
崇尚,chóngshàng,to hold up (as an model); to hold in esteem; to revere; to advocate
宠,chǒng,to love; to pamper; to spoil; to favor
宠爱,chǒngài,to dote on sb
抽签,chōuqiān,to perform divination with sticks; to draw lots; a ballot (in share dealing)
抽屉,chōuti,drawer
抽象,chōuxiàng,abstract; abstraction
仇,chóu,hatred; animosity; enmity; foe
仇恨,chóuhèn,to hate; hatred; enmity; hostility
仇人,chóurén,foe; one's personal enemy
愁眉苦脸,chóuméikǔliǎn,to look anxious (idiom); to look miserable
稠,chóu,dense; crowded; thick; many
稠密,chóumì,dense
筹,chóu,chip (in gambling); token (for counting); ticket; to prepare
筹办,chóubàn,to arrange; to make preparations
筹备,chóubèi,preparations; to get ready for sth
筹措,chóucuò,to raise (money)
筹划,chóuhuà,to plan and prepare
筹集,chóují,to collect money; to raise funds
筹码,chóumǎ,bargaining chip; gaming chip; casino token
丑恶,chǒuè,ugly; repulsive
丑陋,chǒulòu,ugly
丑闻,chǒuwén,scandal
瞅,chǒu,(dialect) to look at
出版社,chūbǎnshè,publishing house
出厂,chūchǎng,to leave the factory (of finished goods)
出丑,chūchǒu,shameful; scandalous; to be humiliated; to make a fool of sb or oneself
出道,chūdào,to start one's career; (of an entertainer) to make one's debut
出发点,chūfādiǎn,starting point; (fig.) basis; motive
出风头,chūfēngtou,to push oneself forward; to seek fame; to be in the limelight; same as 出锋头
出境,chūjìng,to leave a country or region; outbound (tourism)
出局,chūjú,(of a batter) to be put out (in baseball); to be dismissed (in cricket); (of a player or team) to be eliminated from a competition; (fig.) to be weeded out
出具,chūjù,to issue (document certificate etc); to provide
出口成章,chūkǒuchéngzhāng,(idiom) (of one's speech) eloquent; articulate
出卖,chūmài,to offer for sale; to sell; to sell out; to betray
出毛病,chūmáobìng,a problem appears; to break down
出难题,chūnántí,to raise a tough question
出人意料,chūrényìliào,unexpected (idiom); surprising
出任,chūrèn,to take up a post; to start in a new job
出山,chūshān,to leave the mountain (of a hermit); to come out of obscurity to a government job; to take a leading position
出身,chūshēn,to be born of; to come from; family background; class origin
出示,chūshì,to show; to take out and show to others; to display
出手,chūshǒu,to dispose of; to spend (money); to undertake a task
出头,chūtóu,to get out of a predicament; to stick out; to take the initiative; remaining odd fraction after a division
出土,chūtǔ,to dig up; to appear in an excavation; unearthed; to come up out of the ground
