English,Definition
both,the two together; one and the other
bottle,a glass or plastic container for drinks
bottom,the lowest part
bowl,a deep round dish for food
box,a square container for keeping things
boy,a male child
boyfriend,a male partner in love (not married)
brain,the part inside your head that thinks
bread,a soft baked food made from flour
break,to make something come apart in pieces
breakfast,the first meal of the day
breathe,to take air in and out of your body
bridge,a road built over a river
bright,full of light; shining
bring,to carry something to a place or person
broken,in pieces; not working
brother,a boy or man with the same parents as you
brown,the color of chocolate or earth
brush,a tool with hairs for cleaning or painting
bucket,an open container with a handle for carrying water
build,to make something by putting parts together
building,a house or office with walls and a roof
burger,a round flat piece of meat in bread
bus,a large vehicle that carries many people
business,buying and selling; a company
busy,having much to do; not free
but,however; on the other hand
butter,a soft yellow food made from milk
butterfly,an insect with large colorful wings
button,a round thing that closes clothes; a thing you press
buy,to get something by paying money
by,next to; near
bye,a word you say when leaving
cafe,a small place that sells coffee and light food
cake,a sweet baked food for parties
call,talking to someone on the phone
camera,a thing that takes photos
camp,a place with tents where people stay outside
can,to be able to
candy,a sweet food made of sugar
cap,a soft hat with a flat front part
car,a road vehicle with four wheels
card,small stiff paper with words or pictures
care,the act of looking after someone
careful,paying attention to avoid mistakes or danger
carefully,with close attention; not in a hurried way
carry,to hold something and take it somewhere
cartoon,a funny film or drawing with characters
case,a box for keeping things in; a situation
cat,a small animal that says meow
catch,the act of stopping a moving ball
CD,a round disc that holds music
CD player,a machine for listening to music discs
celebrate,to do something fun for a special day
celebration,a party for a special happy event
chair,a seat for one person with a back
change,money given back; something becoming different
character,a person in a story or film
check,a quick look to see if something is right
cheese,a yellow or white food made from milk
chicken,a farm bird kept for eggs and meat
child,a young boy or girl
chocolate,a sweet brown food made from cocoa
choose,to pick one thing from many
church,a building where Christians pray
cinema,a place where people watch films
circle,a perfectly round shape
city,a very large town
class,a group of students learning together
classmate,a student in the same group as you
classroom,a place in a school where lessons happen
clean,not dirty; washed
clever,quick to learn and understand
climb,an act of going up a mountain
clock,a machine on a wall that shows time
close,near; not far
closed,not open; shut
cloth,material used for making things to wear
clothes,things you wear like shirts and pants
cloud,a white or gray shape in the sky
cloudy,with a gray sky; not sunny
club,a group of people who share a hobby
coach,a person who trains a sports team
coat,warm clothing worn over other clothes outside
code,secret letters or numbers with a meaning
coffee,a hot brown drink that wakes you up
coke,a sweet dark fizzy drink
cold,not warm; having a low temperature
collect,to gather things together as a hobby
collection,a group of things gathered as a hobby
college,a school for study after high school
color,the way something looks such as red blue or green
come,to move toward the speaker
computer,an electronic machine for work and games
concert,a show where people play music
contest,a game to see who is best
conversation,a talk between two or more people
cook,a person who makes food
cookie,a small flat sweet baked cake
cool,a little cold; very nice (informal)
cop,a police officer (informal)
copy,a thing made to look exactly like another
corn,a tall plant with yellow seeds we eat
corner,the point where two sides or streets meet
correct,right; with no mistakes
couch,a long soft seat for two or more people
could,was able to; past form of can
course,a set of lessons on one subject
cousin,the child of your aunt or uncle
cover,the outside part of a book
cow,a large farm animal that gives milk
cream,the thick white part of milk
credit card,plastic used to buy things and pay later
cry,a loud sound of sadness with tears
culture,the art and ways of life of a people
cup,a small container you drink tea from
cut,to divide something with a knife
cute,pretty and sweet like a baby
dad,your father (informal)
daddy,your father (child's word)
dance,moving your body to music
dancing,the activity of moving your body to music
dark,with little or no light
date,the day of the month and year
daughter,a person's female child
day,a time of twenty-four hours
dear,loved; used to start a letter
December,the last month of the year
delicious,tasting very good
describe,to say what something is like
design,a drawing that shows how to make something
desk,a table for writing and working
dictionary,a book that explains what words mean
did,past form of do
difference,the way one thing is not like another
different,not the same
difficult,not easy; hard to do
dig,an act of making a hole in the ground
dining room,the part of a house for eating meals
dinner,the main meal in the evening
dirty,not clean; needing a wash
discuss,to talk about something with others
dish,a plate; food made in a special way
do,to perform an action or task
doctor,a person who helps sick people
does,form of do used with he or she
dog,a friendly animal that barks
doing,-ing form of do
doll,a toy that looks like a small person
dollar,the money used in the United States
door,the part you open to enter a room
down,toward a lower place
drama,a serious play or television story
draw,to make a picture with a pen or pencil
dream,pictures in your mind while you sleep
dress,a piece of clothing for women or girls
drink,a liquid you swallow
drive,a trip in a car
driver,a person who controls a car or bus
drop,to let something fall
drum,a musical instrument you hit with sticks
dry,not wet; without water
due,expected at a certain time
DVD,a disc that holds a film
each,every one seen separately
each other,used when two people do the same thing back
ear,the body part you hear with
early,before the usual or planned time
easy,not hard to do
eat,to chew and swallow food
egg,an oval food that comes from a hen
eight,the number after seven
eighteen,the number after seventeen
eighty,the number after seventy-nine
either,also (after a negative)
elementary,basic; for beginners
eleven,the number after ten
else,other; more; different
email,a message sent by computer
end,the last part of something
engineer,a person who designs machines or roads
enjoy,to get pleasure from something
evening,the time between afternoon and night
event,something important that happens
every,all of the things in a group
everybody,all the people
everyday,normal; happening daily
everyone,all the people
everything,all the things
everywhere,in all places
example,a thing that shows what others are like
excellent,very good; of the best quality
excited,feeling very happy about something happening
exciting,making you feel very happy and interested
excuse,a reason given for doing something wrong
exercise,to move your body to stay strong
expensive,costing a lot of money
eye,the body part you see with
face,the front part of your head
factory,a building where things are made
fair,treating everyone the same way; equal
fairy,a small magic person with wings (in stories)
false,not true; wrong
family,a group of parents and children
famous,known by many people
fan,someone who really likes a star or team
farm,land where food is grown and animals kept
farmer,a person who grows food or keeps animals
fast,moving or happening quickly
fat,having a big heavy body
father,a male parent; dad
favorite,liked more than all others
February,the second month of the year
feed,food for animals
feel,to have an emotion; to touch
feeling,an emotion like joy or anger
festival,a big public event with music and fun
fever,when your body is too hot from sickness
field,an open area of grass
fifteen,the number 15
fifty,the number 50
fight,when people hit or argue with each other
file,a set of papers or computer data
fill,to make something full
find,to get something you were looking for
fine,good enough; in good health
finish,the end of something
fire,heat and light from something burning
first,before all others; number one
fish,an animal that swims in water
fishing,the sport of catching water animals
five,the number 5
flag,a colored cloth that stands for a country
flat,a home inside a big building; apartment
floor,the part of a room you walk on
flower,the colorful part of a plant
fly,a small black insect with wings
focus,to give all your attention to one thing
foggy,hard to see because of low cloud
following,coming next; the one after
food,things that people and animals eat
football,a sport where teams kick a ball
for,used to show purpose or who receives something
foreign,from another country
foreigner,a person from another country
forget,to not remember something
form,a paper with spaces to write answers
forty,the number 40
four,the number 4
fourteen,the number 14
free,costing no money; not busy
Friday,the day after Thursday
friend,a person you like and know well
frog,a small green animal that jumps near water
from,used to show where something starts
front,at the side that faces forward
fruit,sweet plant food like apples
full,with no space left inside
fun,enjoyable; nice to do
funny,making people laugh
future,the time that has not come yet
game,something you play with rules
garbage,things you throw away; trash
garden,a place by a house where plants grow
get,to receive or take something
ghost,the spirit of a dead person
gift,something given to someone; a present
girl,a female child
girlfriend,a female partner you date
give,to hand something to someone
glad,happy about something
glass,a hard clear material; a drinking cup
glasses,things worn over eyes to see better
go,to move from one place to another
goal,something you try to reach; a score in sport
gold,having a shiny yellow color
good,nice; of high quality
good afternoon,a polite greeting after midday
good morning,a greeting said early in the day
good night,words said before bed or sleep
grade,a school year level; a mark for schoolwork
grammar,the rules of a language
grandfather,the male parent of your parent
grandma,your parent's mother (informal)
grandmother,the female parent of your parent
grandpa,your parent's father (informal)
grandparent,the mother or father of your mother or father
grape,a small round green or purple fruit
grass,the short green plants on the ground
gray,of the color between black and white
great,very good; very big
green,of the color of grass
greet,to say hello when meeting someone
ground,the earth under your feet
group,a number of people or things together
grow,to get bigger; to become taller
guess,to answer without knowing for sure
guest,a visitor to your home or event
guitar,a music instrument with six strings
guy,a man or boy (informal)
habit,something you do often without thinking
had,past form of have
hair,thin threads that grow on your head
haircut,when your hair is made shorter
half,one of two equal parts
hall,a large room for meetings or events
hamburger,a bread roll with flat beef inside
hand,the body part at the end of your arm
handsome,nice to look at (usually for men)
happen,to take place
happy,feeling very pleased; full of joy
hard,not soft; difficult
has,form of have used with he or she
hat,clothing worn on your head
have,to own or keep something
have to,must; to need to do something
he,that man or boy (as subject)
head,the body part above your neck
headache,a pain inside your head
health,how well your body and mind are
healthy,not sick; good for your body
hear,to notice sounds with your ears
heart,the body part that moves blood around
heavy,weighing a lot; hard to lift
hello,a word said when you meet someone
help,to do something useful for someone
her,belonging to a woman or girl
here,in this place
hers,the one belonging to a woman or girl
hi,a short friendly hello
hide,to put something where nobody can see
high,far above the ground; tall
hill,a small mountain
him,that man or boy (as object)
his,belonging to a man or boy
history,the study of past events
hobby,an activity you enjoy in free time
hold,keeping something in your hands
hole,an opening in or through something
holiday,a day off from work or school
home,the place where you live
hometown,the place where you were born or grew up
homework,school tasks done at your house
hope,a feeling that good things will happen
horse,a big animal people ride
hospital,a building where doctors help sick people
hot,very warm; not cold
hotel,a building where travelers pay to sleep
hour,sixty minutes
house,a building where people live
how,in what way
hungry,wanting to eat
hurry,a need to move fast
hurt,to cause pain; to feel pain
husband,the man a woman is married to
I,the person who is speaking
ice,frozen water
ice cream,a sweet frozen food made from milk
idea,a thought or plan in your mind
ideal,perfect; the best possible
if,in the case that
imagine,to make a picture in your mind
important,having great value or meaning
in,inside a place or thing
information,facts about something or someone
inside,in the inner part of
interested,wanting to know more about something
interesting,making you want to know more
Internet,the worldwide computer network
interview,a meeting where someone answers questions
interviewer,a person who asks questions in a meeting
into,to the inside of
introduce,to tell someone another person's name
is,present form of be (he/she/it)
island,land with water all around it
it,the thing already talked about
item,one thing in a list or group
its,belonging to a thing or animal
jacket,a short light coat
January,the first month of the year
jeans,pants made of strong blue cloth
jet,a very fast plane
jewelry,rings and other pretty things you wear
job,work you do for money
join,to become a member of; to put together
judge,to decide if something is good or bad
juice,drink made from fruit
July,the seventh month of the year
jump,to push yourself into the air
June,the sixth month of the year
just,only; a moment ago
keep,to continue to have
key,most important; central
kick,a hit with the foot
kid,a child
kill,to make someone or something die
kind,a type or sort
king,a man who rules a country
kiss,a touch with the lips
kitchen,the room where food is cooked
kite,a toy that flies on a string
knee,the part where your leg bends
knife,a tool for cutting
know,to have facts in your mind
lady,a polite word for a woman
language,words people use to speak and write
large,big; great in size
last name,what your family is called
late,after the expected time
later,afterwards; at a following time
laugh,to make sounds because something is funny
lazy,not wanting to work
leader,the person who guides a group
leaf,a flat green part of a plant
learn,to get new knowledge or skill
leave,to go away from
left,on the side opposite the right
leg,the long body part used for walking
lesson,a time when you are taught something
let,to allow
letter,a written message you send; a written symbol (like A)
library,a place where you can borrow books
life,the time from birth to death
light,not heavy; not dark
like,similar to
lily,a large white or colored flower
line,a long thin mark
lion,a big wild cat
list,words or names written one below another
listen,to pay attention with your ears
little,small; not big
live,to have your home in a place
living,not dead; still breathing
living room,the room where a family sits together
lonely,sad from being by yourself
long,not short; going a great distance
look,an act of using your eyes to see
lot,very much; often
love,a strong feeling of liking someone
lovely,beautiful; very nice
luck,good things that happen by chance
lucky,having good things happen by chance
lunch,the meal eaten in the middle of the day
'm,short form of am
machine,a tool with moving parts that does work
magazine,a thin book with stories and pictures
mail,letters and packages sent to people
make,to produce or build something
man,an adult male person
many,a large number of
map,a drawing of an area showing roads and places
March,the third month of the year
match,a sports game between two teams; a small stick for making fire
math,the study of numbers
matter,a subject or problem
may,might; to be allowed to
maybe,possibly; perhaps
me,the person speaking (object form)
meal,food eaten at one time
mean,to express a certain idea; to plan to do
meat,food from the body of animals
medicine,what you take to treat sickness
meet,to come together with someone
meeting,when people come together to talk
memory,the power to keep past things in mind
merry,happy and cheerful
message,words sent to another person
middle,in the center
milk,white drink from cows
mind,the part of you that thinks
mine,the one belonging to me
minute,sixty seconds
Miss,a title for an unmarried woman
mobile,a phone you carry with you
mobile phone,something small you carry to make calls
mom,your female parent (informal)
moment,a very short time
mommy,a child's word for mother
Monday,the day after Sunday
money,coins and paper used to buy things
monkey,an animal that climbs trees and has a long tail
month,one of the twelve parts of a year
moon,the bright round object in the night sky
more,a greater amount of
morning,the early part of the day
most,the greatest amount of; nearly all
mother,a female parent
mountain,a very high hill
mouse,a small animal with a long tail
mouth,the part of the face used for eating and speaking
move,a change of place; a step in a game
movie,a film you watch
Mr.,title before a man's family name
Mrs.,title before a married woman's family name
much,a lot; to a great degree
mum,mother (informal British)
music,sounds made by singing or instruments
musician,a person who plays or writes songs
must,to have to do something
my,belonging to me
name,the word people call you by
nationality,the country a person belongs to
near,close to; not far from
neck,body part between head and shoulders
need,to have to; must
neighbor,a person who lives next to you
never,not at any time
new,just made; not old
news,reports about recent events
newspaper,printed pages with daily reports
nice,pleasant; kind
night,the dark time of the day
nine,the number after eight
nineteen,the number after eighteen
ninety,the number 90
no,word used to refuse or disagree
noise,a loud or unpleasant sound
nose,face part used for smelling
not,word that makes a sentence negative
note,a short written message
notebook,a book of empty pages for writing
nothing,not anything
November,the eleventh month of the year
now,at this moment
number,a word or sign for counting
nurse,a person who cares for sick people
o'clock,used to say the exact hour
October,the tenth month of the year
of,belonging to; made from
off,not turned on; not working
office,a room where people work at desks
officer,a person with power in the police or army
often,many times
OK,all right; fine
old,having lived many years; not new
Olympics,world sports games held every four years
on,touching the top of something
once,one time
one,the number 1; a single thing
only,no more than; single
open,not closed
opera,a play where people sing the story
or,word used to give a choice
orange,of the color between red and yellow
order,a request for food in a restaurant
other,different from the one already named
our,belonging to us
ours,the thing that belongs to us
out,away from the inside
outside,not in a building; in the open air
over,above; across
own,belonging to yourself only
owner,the person a thing belongs to
p.m.,after twelve noon
page,one side of a sheet in a book
paint,colored liquid you put on walls or art
painting,a picture made with colors and a brush
pair,two things that go together
palace,a very large house of a king
pants,clothing that covers the legs
paper,thin sheets you write on
paragraph,a group of sentences about one idea
pardon,word asking someone to say it again (polite)
parent,a mother or father
park,a green open space in a town
partner,a person you do something with
party,a happy meeting with food and friends
past,beyond a place; after the hour
pay,money you get for work
peace,a time without war
pen,a tool that writes with ink
pencil,a wooden writing tool you can erase
people,more than one person
period,a length of time; a dot ending a sentence
person,one human being
personal,belonging to one single human; private
pet,an animal kept at home
phone,a device for calling people
photo,a picture taken with a camera
piano,a big instrument with black and white keys
pick,to choose; to take with fingers
picnic,a meal eaten outside for fun
picture,a drawing or photo of something
piece,a part of something bigger
pig,a fat farm animal kept for meat
pink,of a light red color
pizza,flat round bread with cheese on top
place,a point or area where something is
plan,an idea of what you will do
plane,a machine that flies in the sky
play,a story acted on a stage
player,a person who takes part in a game
please,word used to ask nicely (polite)
pleasure,a feeling of enjoyment
pocket,a small bag sewn into clothes
poem,a short piece of writing with rhythm
point,a score in a game; a sharp end
pollution,dirt that harms air or water
pool,a place of water for swimming
poor,having very little money
pop,modern music that many people like
post,letters sent by mail
poster,a large printed picture for a wall
potato,a round vegetable that grows underground
practice,doing something again to get better
pray,to speak to God
present,a gift; the time now
pretty,nice to look at
price,the money something costs
prince,the son of a king
princess,the daughter of a king
problem,something difficult to deal with
program,a show on TV; a plan of events
purple,the color of red mixed with blue
push,to press something away from you
put,to place something somewhere
quarter,one of four equal parts
question,words you say to ask something
quickly,at a fast speed
quiet,making little or no sound
rabbit,a small animal with long ears
radio,a device that plays sound broadcasts
rain,water that falls from clouds
rainy,with a lot of wet weather
rat,an animal like a big mouse
're,short form of are
read,to look at words and understand them
reader,a person who looks at books
reading,looking at words to understand them
ready,prepared to do something
real,true; not fake
really,very; truly
reason,why something happens
red,of the color of blood
remember,to keep something in your mind
repeat,to say or do again
reporter,a person who writes the news
restaurant,a place where you buy and eat meals
result,what happens because of something
review,a text giving an opinion about something
ribbon,a thin band of cloth for tying
rice,small white grains cooked as food
rich,having a lot of money
ride,a trip on a horse or in a car
right,correct; not wrong
ring,to make a bell sound
river,water that flows across land to the sea
role,an actor's part; a job in a group
room,a part of a house with walls
rose,a flower that smells sweet (often red)
row,a line of people or things
rude,not polite; without good manners
rule,what you must or must not do
ruler,a tool for drawing straight lines; a king or leader
run,moving fast with your legs
's,short form of is
sad,feeling unhappy; not glad
sailor,a person who works on a ship
salad,a cold dish of raw vegetables
sale,a time when shops cut prices
same,not different; exactly alike
sandwich,two pieces of bread with food inside
Saturday,the day after Friday
save,to keep for later; to help from danger
saw,a tool with teeth for cutting wood
say,to speak words
school,a place where children learn
science,the study of nature and how things work
scientist,a person who studies how nature works
sea,the big area of salt water
seat,something you sit on
second,coming after the first
section,one part of something
see,to notice with your eyes
self,the person you are
sell,to give something for money
sentence,a group of words with full meaning
September,the ninth month of the year
set,to put something in a place
seven,the number after six
seventeen,the number after sixteen
seventy,the number after sixty-nine
shake,a cold milk drink; a quick side-to-side move
share,to use something together with others
she,that woman or girl
sheep,a farm animal that gives wool
shelf,a flat board for holding things
ship,a large boat for the sea
shirt,clothes with sleeves for the upper body
shoe,something you wear on your foot
shop,a place where you buy things
shopping,buying things at stores
short,not long; not tall
should,used to say what is right to do
shoulder,the body part between neck and arm
show,to let someone see something
shower,a wash under falling water; a short rain
shy,nervous around other people
sick,not well; ill
side,the left or right part of something
sight,the power to see; something you can see
sign,a board with words or pictures giving information
sing,to make music with your voice
singer,a person who makes music with the voice
sir,polite word for a man
sister,a girl with the same parents as you
sit,to rest your body on a chair
site,a place where something is or happens
six,the number after five
sixteen,the number after fifteen
sixty,the number after fifty-nine
size,how big or small something is
skill,the ability to do something well
skirt,clothing that hangs from the waist
sky,the space above the earth
sleep,to rest with eyes closed at night
slow,not fast; taking much time
small,not big; little
smart,clever; quick to learn
smell,what you notice with your nose
smile,a happy look on your face
smith,a person who makes things from metal
smoke,gray cloud that comes from fire
smoking,the habit of using cigarettes
snake,a long animal with no legs
snow,soft white ice falling from the sky
snowy,with white winter ice falling from the sky
so,for that reason; therefore
soccer,a game where teams kick a ball
social,relating to people in a group
sofa,a long soft seat for two or more
solve,to find the answer to a problem
some,a few; an amount of something
someone,a person you do not name
something,an object or idea that is not named
son,a male child
song,a piece of music with words
soon,in a short time
sorry,feeling bad about something you did
soup,liquid food eaten with a spoon
speak,to say words; to talk
special,not usual; very important
speech,a talk given to many people
spell,magic words; a short period of time
spend,to pay money; to use time
sport,a game you play with your body
spot,a small round mark; a place
spring,the season after winter
spy,a person who secretly watches others
stage,the place where actors perform; one step in a process
stand,a table or small shop that sells things
star,a small light in the night sky
start,the beginning of something
station,a place where trains stop
stay,to keep being in a place
step,to move your foot when walking
still,not moving; quiet
stone,a small piece of rock
stop,the end of movement; a place where buses wait
store,a shop; a place that sells things
story,a tale about people and events
straight,in a line without turning
strange,unusual; hard to explain
street,a road in a town or city
strict,making people follow rules exactly
strong,having much power; not weak
student,a person who learns at school
study,to learn about a subject
subject,an area of learning; a topic
subway,an underground train in a city
successful,getting the results you wanted
sugar,a sweet white food for drinks and cakes
suggestion,an idea you offer to someone
sum,the answer when numbers are added; an amount of money
summer,the hottest season of the year
sun,the star that gives us daylight
Sunday,the day after Saturday
sunny,with bright daylight and no clouds
sunshine,the bright warm light of day
super,very good; great
supermarket,a big store selling food and goods
sure,certain; having no doubt
surf,white waves breaking on the beach
surprise,an event you did not expect
survey,a set of questions for many people
sweet,tasting like sugar
swim,time spent moving through water
swimming,the sport of moving through water
swimming pool,a place built and filled with water for exercise
table,furniture with a flat top and legs
take,to get something and carry it with you
talk,to speak with someone
tall,very high; not short
taxi,a car you pay to ride in
tea,a hot drink made from dried leaves
teach,to help someone learn something
teacher,a person who helps students learn
team,a group playing or working together
technology,machines and tools made using science
telephone,an object for talking to people far away
television,a machine that shows moving pictures at home
tell,to give information to someone by speaking
temple,a building where people pray
ten,the number 10
tennis,a game hitting a small ball with rackets
terrible,very bad
test,a set of questions checking what you know
than,word used when comparing two things
thank,to say you are happy for someone's help
thanks,words showing you are glad for help
that,word introducing a reported statement
the,word used before a specific known thing
theater,a building where plays are shown
their,belonging to those people
them,those people or things (object)
then,next; after; at a certain moment
there,in or at another place
these,the ones near me (plural)
they,those people or things (subject)
thick,wide from side to side; not thin
thin,not fat; not thick
thing,an object you can see or touch
think,to use your mind to form ideas
thirteen,the number 13
thirty,the number 30
this,the one near me (singular)
those,the ones far from me (plural)
three,the number 3
through,from one side to the other
throw,an act of sending something through the air with your arm
Thursday,the day after Wednesday
ticket,a paper letting you enter or ride
tiger,a big wild cat with black stripes
tight,fitting very closely; not loose
time,hours and minutes; what clocks measure
tired,needing rest or sleep
to,word placed before a verb's base form
today,on the present date
together,with each other
toilet,a bowl used for body waste
tomato,a soft round red fruit eaten in salads
tomorrow,on the day after today
tonight,in the evening of this day
too,also; more than is good
tool,a thing used to do a job
tooth,one of the hard white parts in your mouth
top,the highest part of something
topic,the subject people talk or write about
touch,the sense that lets you feel things with your skin
towel,a cloth for drying your body
tower,a tall narrow building
town,a place with houses and shops smaller than a city
toy,a thing children play with
train,a line of cars running on rails
travel,to go to faraway places
tree,a tall plant with branches and leaves
trip,an act of traveling somewhere
trousers,clothing covering the legs; pants
truck,a big car for carrying heavy things
true,real and correct; not false
try,an attempt to do something
T-shirt,a light cotton top with short sleeves
tube,a long round pipe
Tuesday,the day after Monday
turkey,a large bird eaten at holidays
turn,your time to do something in a game
TV,a machine for watching shows at home
twelve,the number 12
twenty,the number 20
two,the number 2
type,a kind or sort of thing
ugly,not nice to look at
umbrella,a thing you hold to stop rain
uncle,the brother of your mother or father
under,below something
underline,a mark drawn below a word
until,up to a certain time
up,toward a higher place
us,me and other people (object)
use,to do something with a tool or object
usually,most of the time
vacation,time away from work or school to rest
vase,a container for cut flowers
vegetable,a plant eaten as food
very,to a great degree
video,a recording of moving pictures
visit,a trip to see a person or place
volleyball,a game where teams hit over a net with their hands
vote,a choice made in an election
wait,to stay until something happens
waiter,a man who brings food in a restaurant
waitress,a woman who brings food in a restaurant
wake,the trail of waves behind a moving boat
walk,a trip taken on foot
wall,the side of a room or building
want,to wish to have something
war,fighting between countries
warm,a little hot; not cold
was,past form of am or is
wash,an act of cleaning something with water
watch,a small clock worn on the wrist
water,the clear liquid that falls as rain
way,a road to a place; how something is done
we,me and other people (subject)
wear,to have clothes on your body
weather,the state of the sky and air outside
Wednesday,the day after Tuesday
week,a period of seven days
weekend,Saturday and Sunday
welcome,word used to greet an arriving person
well,healthy; not sick
were,past form of are
what,word asking about a thing
wheel,a round part that turns under a car
when,word asking about time
where,word asking about a place
which,word asking about a choice between things
white,the color of snow and milk
who,word asking about a person
whose,belonging to which person
why,word asking about a reason
wife,the woman a man is married to
will,word used to show future actions
win,to beat others in a game
wind,moving air outside
window,a glass opening in a wall
winter,the coldest season of the year
wish,a strong feeling of wanting something
with,in the company of; using
woman,an adult female person
wonderful,very good; making you very happy
word,a single unit of language with meaning
work,a job; activity done to earn money
worker,a person who does a job
world,the earth and all its people
worry,a feeling that something bad may happen
would,past form of will; used in polite requests
write,to make words on paper with a pen
writer,a person who creates books or stories
wrong,not correct; not right
yard,open ground area next to a house
year,a period of twelve months
yellow,the color of the sun or a lemon
yes,word used to agree; opposite of no
yesterday,on the day before today
yet,until now (in negatives and questions)
yogurt,a thick sour food made from milk
you,the person or people I am speaking to
young,not old; having lived a short time
your,belonging to the person spoken to
yours,the thing that belongs to the person spoken to
yourself,the same person that is being spoken to
zoo,a place where wild animals are kept for people to see
