Abendessen; das Abendessen,dinner
Getränk; das Getränk,drink; beverage
Teller; der Teller,plate
Tasse; die Tasse,cup
Glas; das Glas,glass
Flasche; die Flasche,bottle
Gabel; die Gabel,fork
Messer; das Messer,knife
Löffel; der Löffel,spoon
Hunger; der Hunger,hunger
Durst; der Durst,thirst
lecker,tasty; delicious
süß,sweet
frisch,fresh
rot,red
blau,blue
grün,green
gelb,yellow
schwarz,black
weiß,white
braun,brown
grau,grey
rosa,pink
orange,orange (colour)
bunt,colourful
Farbe; die Farbe,colour
Körper; der Körper,body
Kopf; der Kopf,head
Haar; das Haar,hair
Gesicht; das Gesicht,face
Auge; das Auge,eye
Ohr; das Ohr,ear
Nase; die Nase,nose
Mund; der Mund,mouth
Zahn; der Zahn,tooth
Hals; der Hals,neck; throat
Arm; der Arm,arm
Hand; die Hand,hand
Finger; der Finger,finger
Bein; das Bein,leg
Fuß; der Fuß,foot
Herz; das Herz,heart
gesund,healthy
krank,sick; ill
Arzt; der Arzt,doctor (male)
Ärztin; die Ärztin,doctor (female)
Krankenhaus; das Krankenhaus,hospital
Apotheke; die Apotheke,pharmacy
Medikament; das Medikament,medicine
Schmerz; der Schmerz,pain
Fieber; das Fieber,fever
Termin; der Termin,appointment
Kleidung; die Kleidung,clothing
Hemd; das Hemd,shirt
Hose; die Hose,trousers
Rock; der Rock,skirt
Kleid; das Kleid,dress
Jacke; die Jacke,jacket
Mantel; der Mantel,coat
Pullover; der Pullover,sweater
T-Shirt; das T-Shirt,t-shirt
Schuh; der Schuh,shoe
Socke; die Socke,sock
Mütze; die Mütze,cap; beanie
Hut; der Hut,hat
Brille; die Brille,glasses
Tasche; die Tasche,bag; pocket
Haus; das Haus,house
Wohnung; die Wohnung,flat; apartment
Zimmer; das Zimmer,room
Küche; die Küche,kitchen
Bad; das Bad,bathroom
Schlafzimmer; das Schlafzimmer,bedroom
Wohnzimmer; das Wohnzimmer,living room
Toilette; die Toilette,toilet
Tür; die Tür,door
Fenster; das Fenster,window
Wand; die Wand,wall
Boden; der Boden,floor; ground
Treppe; die Treppe,stairs
Tisch; der Tisch,table
Stuhl; der Stuhl,chair
Sofa; das Sofa,sofa
Bett; das Bett,bed
Schrank; der Schrank,cupboard; wardrobe
Lampe; die Lampe,lamp
Fernseher; der Fernseher,television
Kühlschrank; der Kühlschrank,fridge
Garten; der Garten,garden
Schlüssel; der Schlüssel,key
Miete; die Miete,rent
Stadt; die Stadt,city; town
Straße; die Straße,street
Platz; der Platz,square; place
Weg; der Weg,way; path
Park; der Park,park
Bahnhof; der Bahnhof,train station
Flughafen; der Flughafen,airport
Haltestelle; die Haltestelle,stop (bus)
Supermarkt; der Supermarkt,supermarket
Geschäft; das Geschäft,shop; business
Laden; der Laden,shop; store
Markt; der Markt,market
Bank; die Bank,bank; bench
Post; die Post,post office; mail
Kirche; die Kirche,church
Schule; die Schule,school
Universität; die Universität,university
Kino; das Kino,cinema
Hotel; das Hotel,hotel
Café; das Café,cafe
Restaurant; das Restaurant,restaurant
Polizei; die Polizei,police
Land; das Land,country; countryside
Welt; die Welt,world
Auto; das Auto,car
Bus; der Bus,bus
Zug; der Zug,train
Bahn; die Bahn,railway; train
Straßenbahn; die Straßenbahn,tram
U-Bahn; die U-Bahn,underground; subway
Fahrrad; das Fahrrad,bicycle
Taxi; das Taxi,taxi
Flugzeug; das Flugzeug,airplane
Schiff; das Schiff,ship
Reise; die Reise,journey; trip
Urlaub; der Urlaub,holiday; vacation
Ticket; das Ticket,ticket
Fahrkarte; die Fahrkarte,ticket (transport)
Koffer; der Koffer,suitcase
Pass; der Pass,passport
Grenze; die Grenze,border
Karte; die Karte,map; card
Parkplatz; der Parkplatz,car park
Fahrer; der Fahrer,driver
Arbeit; die Arbeit,work
Beruf; der Beruf,profession; job
Büro; das Büro,office
Chef; der Chef,boss
Kollege; der Kollege,colleague (male)
Kollegin; die Kollegin,colleague (female)
Job; der Job,job
Computer; der Computer,computer
Handy; das Handy,mobile phone
Telefon; das Telefon,telephone
E-Mail; die E-Mail,email
Internet; das Internet,internet
Papier; das Papier,paper
Stift; der Stift,pen
Buch; das Buch,book
Lehrer; der Lehrer,teacher (male)
Lehrerin; die Lehrerin,teacher (female)
Schüler; der Schüler,pupil
Student; der Student,student (male)
Studentin; die Studentin,student (female)
Klasse; die Klasse,class
Frage; die Frage,question
Antwort; die Antwort,answer
Wort; das Wort,word
Satz; der Satz,sentence
Sprache; die Sprache,language
Deutsch; das Deutsch,German
Englisch; das Englisch,English
Ingenieur; der Ingenieur,engineer
Verkäufer; der Verkäufer,salesperson (male)
Verkäuferin; die Verkäuferin,salesperson (female)
Kellner; der Kellner,waiter
Kellnerin; die Kellnerin,waitress
Koch; der Koch,cook; chef
Polizist; der Polizist,police officer
Krankenschwester; die Krankenschwester,nurse
Bäcker; der Bäcker,baker
Friseur; der Friseur,hairdresser
Bauer; der Bauer,farmer
Wetter; das Wetter,weather
Sonne; die Sonne,sun
Mond; der Mond,moon
Stern; der Stern,star
Himmel; der Himmel,sky; heaven
Wolke; die Wolke,cloud
Regen; der Regen,rain
Schnee; der Schnee,snow
Wind; der Wind,wind
Sturm; der Sturm,storm
Temperatur; die Temperatur,temperature
Baum; der Baum,tree
Blume; die Blume,flower
Wald; der Wald,forest
Berg; der Berg,mountain
Fluss; der Fluss,river
See; der See,lake
Meer; das Meer,sea
Strand; der Strand,beach
Natur; die Natur,nature
Luft; die Luft,air
Feuer; das Feuer,fire
Tier; das Tier,animal
Hund; der Hund,dog
Katze; die Katze,cat
Vogel; der Vogel,bird
Pferd; das Pferd,horse
Kuh; die Kuh,cow
Schwein; das Schwein,pig
Schaf; das Schaf,sheep
Huhn; das Huhn,hen; chicken
Maus; die Maus,mouse
Bär; der Bär,bear
Ente; die Ente,duck
Kaninchen; das Kaninchen,rabbit
Insekt; das Insekt,insect
Geld; das Geld,money
Euro; der Euro,euro
Cent; der Cent,cent
Preis; der Preis,price
Kasse; die Kasse,checkout; till
Rechnung; die Rechnung,bill; invoice
Kreditkarte; die Kreditkarte,credit card
Bargeld; das Bargeld,cash
Größe; die Größe,size
teuer,expensive
billig,cheap
günstig,cheap; favourable
Gefühl; das Gefühl,feeling
Liebe; die Liebe,love
Angst; die Angst,fear
Freude; die Freude,joy
Glück; das Glück,luck; happiness
Spaß; der Spaß,fun
Stress; der Stress,stress
sein,to be
haben,to have
werden,to become
können,can; to be able to
müssen,must; to have to
wollen,to want
sollen,should; ought to
dürfen,may; to be allowed
mögen,to like
machen,to do; to make
gehen,to go
kommen,to come
fahren,to drive; to go
fliegen,to fly
laufen,to run; to walk
stehen,to stand
sitzen,to sit
liegen,to lie
schlafen,to sleep
aufstehen,to get up
essen,to eat
trinken,to drink
kochen,to cook
backen,to bake
kaufen,to buy
verkaufen,to sell
bezahlen,to pay
kosten,to cost
arbeiten,to work
lernen,to learn
studieren,to study
lesen,to read
schreiben,to write
sprechen,to speak
sagen,to say
fragen,to ask
antworten,to answer
hören,to hear; to listen
sehen,to see
finden,to find
suchen,to look for
geben,to give
nehmen,to take
bringen,to bring
tragen,to carry; to wear
halten,to hold; to stop
öffnen,to open
schließen,to close
beginnen,to begin
anfangen,to start
enden,to end
aufhören,to stop
warten,to wait
bleiben,to stay
wohnen,to live; to reside
leben,to live
spielen,to play
singen,to sing
tanzen,to dance
lachen,to laugh
weinen,to cry
lieben,to love
brauchen,to need
benutzen,to use
helfen,to help
treffen,to meet
besuchen,to visit
einladen,to invite
reisen,to travel
putzen,to clean
waschen,to wash
rufen,to call
schicken,to send
bekommen,to get; to receive
verstehen,to understand
wissen,to know (a fact)
kennen,to know (a person)
denken,to think
glauben,to believe
vergessen,to forget
sich erinnern,to remember
entscheiden,to decide
versuchen,to try
zeigen,to show
fallen,to fall
schwimmen,to swim
regnen,to rain
ankommen,to arrive
anrufen,to call up
heißen,to be called
groß,big; tall
klein,small
lang,long
kurz,short
hoch,high; tall
schwer,heavy; difficult
leicht,light; easy
alt,old
jung,young
neu,new
reich,rich
arm,poor
gut,good
schlecht,bad
schön,beautiful; nice
sauber,clean
schmutzig,dirty
voll,full
leer,empty
offen,open
hell,bright; light
dunkel,dark
laut,loud
leise,quiet
schnell,fast
langsam,slow
warm,warm
kalt,cold
heiß,hot
einfach,easy; simple
schwierig,difficult
wichtig,important
richtig,correct; right
falsch,wrong; false
gleich,same; equal
verschieden,different
möglich,possible
frei,free
fertig,ready; finished
müde,tired
hungrig,hungry
glücklich,happy
traurig,sad
böse,angry; evil
nett,nice; kind
freundlich,friendly
klug,clever
dumm,stupid
stark,strong
interessant,interesting
langweilig,boring
lustig,funny
ruhig,calm; quiet
nervös,nervous
hier,here
da,there; here
oben,above; upstairs
unten,below; downstairs
links,left
rechts,right
draußen,outside
sehr,very
ganz,quite; whole
zu,too; to
genug,enough
fast,almost
nur,only
auch,also; too
noch,still; yet
schon,already
wieder,again
wirklich,really
natürlich,of course; naturally
gern,gladly; with pleasure
zusammen,together
allein,alone
vielleicht,maybe
leider,unfortunately
sofort,immediately
dann,then
später,later
immer,always
oft,often
manchmal,sometimes
nie,never
mehr,more
etwas,something; a bit
nichts,nothing
alles,everything
jeder,everyone; each
viel,much; a lot
wenig,little; few
in,in
an,at; on
auf,on; onto
unter,under; among
über,over; about
vor,in front of; before
hinter,behind
neben,next to
zwischen,between
bei,at; near
mit,with
ohne,without
für,for
gegen,against
um,around; at
durch,through
aus,out of; from
von,from; of
nach,after; to
seit,since; for
bis,until
während,during
wegen,because of
und,and
oder,or
aber,but
denn,because; for
weil,because
dass,that
wenn,if; when
ob,whether
als,when; than
obwohl,although
damit,so that
sondern,but rather
also,so; therefore
deshalb,therefore
trotzdem,nevertheless
Sache; die Sache,thing; matter
Idee; die Idee,idea
Problem; das Problem,problem
Musik; die Musik,music
Film; der Film,film; movie
Spiel; das Spiel,game
Sport; der Sport,sport
Fußball; der Fußball,football; soccer
Ball; der Ball,ball
Geschenk; das Geschenk,gift; present
