English,Definition
chef,professional cook in a restaurant
chemical,about substances studied in science
cheque,printed paper you sign to pay money
chess,board game with kings and queens
chest,front of the body between neck and stomach
childhood,time of life when you are young
chili,small hot-tasting pepper
chimpanzee,African ape similar to humans
chin,part of the face below the mouth
chirp,short high sound a small bird makes
choice,act of picking between things; option
cigarette,thin paper tube of tobacco for smoking
citizen,person who legally belongs to a country
claim,to say something is true without proof
classic,famous and good for a long time
classical music,serious old European music (like Mozart)
cleaner,person paid to make rooms tidy
clear,easy to understand; easy to see through
clearly,in a way easy to understand or see
clerk,office worker who keeps records; shop worker
click,to press a mouse button
climbing,sport of going up rocks or mountains
clone,to make an exact living copy
clown,funny circus performer with a painted face
clue,piece of information that helps solve something
coast,land next to the sea
coin,flat round piece of metal money
cola,sweet brown fizzy drink
colorful,having many bright shades
column,tall stone post; vertical line of text
comb,flat tool with teeth for tidying hair
comfortable,making you feel relaxed and at ease
comic,funny; making you laugh
commitment,promise to do something
committee,group of people chosen to make decisions
common,seen often; shared by many
communicate,to share information with others
communication,sharing of information between people
company,business that sells things; being with others
comparative,word form meaning more (like bigger)
compare,to look at how things are alike or different
competition,event where people try to win
complain,to say you are unhappy about something
complaint,statement that you are unhappy about something
complete,whole; with nothing missing
composer,person who writes music
concentrate,to give all your attention to something
concern,feeling of worry
condition,state something is in
confident,sure about your own ability
confuse,to make someone unsure what is true
confused,unable to think or understand clearly
consequence,result of an action
consider,to think about carefully
consist,to be made of parts
contact,communication with someone; touching
container,box or bottle for holding things
context,words or situation around something
continent,very large area of land (like Asia)
continue,to keep doing without stopping
contrast,clear difference between things
control,power to make things do what you want
convenience,quality of being easy to use
convenient,easy to use or reach; saving time
cooker,machine for heating food; stove
cooking,making food ready to eat with heat
cooler,box that keeps food and drinks cold
correctly,in the right way; without mistakes
cost,amount of money you pay
count,to say numbers in order; to find how many
country,nation with its own government; land outside cities
countryside,land outside towns with fields and farms
couple,two people together; a pair
court,place where a judge works; area for tennis
crazy,very silly; not sensible
create,to make something new
creative,good at making new things or ideas
creativity,ability to make new things or ideas
creature,living animal of any kind
credit,buying now and paying later; praise for work
cricket,English ball game with bats; jumping insect
crime,action that breaks the law
crisp,thin fried slice of potato
criticize,to say what is bad about someone
cross,mark like an x; shape like +
crowd,large group of people together
crowded,full of people
crown,gold circle a king wears on the head
cruise,holiday trip on a large ship
cupboard,piece of furniture with doors for storing things
curry,dish cooked with hot spices (from India)
curse,bad word; magic wish for harm
custom,traditional way of doing things
customer,person who buys from a shop
cycling,riding a bicycle
daily,happening every day
dam,wall built to hold back river water
dancer,person who moves to music
danger,possibility of harm
dangerous,able to hurt or harm you
daylight,natural light from the sun
dead,no longer alive
deal,business agreement
death,end of life
debate,formal public argument about a topic
decide,to choose after thinking
deep,far down or far in
deeply,very strongly; very much
degree,unit of temperature or angles; title from finishing university
delay,time when something happens later than planned
dentist,a doctor who cares for teeth
department store,a big shop selling many kinds of goods
depend,to need someone's help; to be decided by something
description,words that say what something is like
desert,very dry land covered with sand
dessert,sweet food eaten after a meal
destroy,to break something completely
detail,a small piece of information
develop,to grow slowly into something better
developed,rich and modern (country)
diamond,a clear very hard stone used in rings
diary,a book where you write daily events
die,to stop living
diet,the food a person usually eats
differently,in another way
difficulty,a problem; something hard to do
digital camera,device that takes photos as computer files
dinosaur,a very large animal that lived long ago
direct,going straight without stops
direction,the way something moves or points
director,a person who leads a company or makes films
disadvantage,a bad point that makes something harder
disagree,to have a different opinion
disappear,to go out of sight
disappointed,sad because something was not as good as hoped
disappointing,not as good as hoped
disco,a place for dancing to pop music
discover,to find something for the first time
discussion,a talk about a subject with others
dishonest,lying or cheating; not truthful
dislike,a feeling of not liking someone or something
display,a show of things for people to see
disturb,to break someone's peace or rest; to bother
divide,to split into parts
dizzy,feeling that everything is turning around you
done,finished; completed; over
double,two times as much; with two parts
doubt,a feeling of not being sure
download,to copy a file from the internet
downstairs,to or on a lower floor
downtown,to or in the city center
drawer,a sliding box in a desk or chest
drawing,a picture made with pencil or pen
dressed,having clothes on your body
drill,a tool for making holes
driver's license,official card that lets you legally use a car
drug,a medicine; an illegal chemical people take
drugstore,a shop selling medicines and small goods
duck,a water bird with a flat beak
during,through the whole time of; at some point in
dust,very small dry dirt that covers things
earn,to get money by working
earring,small piece of jewelry worn on the ear
earth,the planet we live on; soil
earthquake,sudden strong shaking of the ground
easily,with no trouble
east,in the direction of the sunrise
editor,a person who prepares texts for printing
education,teaching and learning at school
educational,helping people learn
effect,a change caused by something; a result
effort,hard work to do something; a try
elderly,rather old (polite)
electric,using power that runs through wires
elephant,a very large gray animal with a long nose
elevator,a machine that carries people between floors
elsewhere,in or to another place
embarrassing,making you feel shy or foolish
emergency,a sudden dangerous situation needing quick help
empty,with nothing inside
encourage,to help someone feel brave enough to try
endangered,(animals) close to dying out completely
ending,the last part of a story or film
energetic,very active and lively
enormous,very very big; huge
enough,as much as needed
enter,to go into a place
entertainment,shows and fun things people enjoy
entrance,a door or gate where you go in
envelope,a paper cover for a letter
envy,wanting what another person has
episode,one part of a TV series
error,a mistake; a wrong action
escalator,moving stairs that carry people up or down
escape,the act of getting away from danger
especially,more than usually; above all
essay,a short piece of writing about one subject
establish,to set up a company or school
euro,the shared money of many EU countries
even,used to show something is surprising
ever,at any time
evidence,facts that show something is true
exactly,completely correctly; not more or less
exam,an important test of knowledge
except,not including; apart from
exchange,giving one thing and getting another
exhibition,a public show of art or objects
exist,to be real; to live
expect,to think something will happen
experience,knowledge from doing things; an event you lived through
expert,a person who knows a subject very well
explain,to make something clear to someone
explanation,words that make something clear
explore,to look around a new place carefully
express,a fast train or bus with few stops
expression,the look on a face; a common phrase
extra,more than usual or needed
extremely,to a very great degree
fact,something known to be true
fail,to not succeed; to not pass a test
fairly,quite; rather; in a just way
fall,to drop down to the ground
familiar,well known to you
fancy,expensive and decorated; not plain
fantastic,extremely good; wonderful
far,at a great distance
fare,money paid for a bus or train ride
fascinating,so interesting it holds your attention
fashion,popular style of clothes
fast food,cheap meals served very quickly
fault,blame for something bad; a weakness
favor,a kind act done to help someone
fear,the feeling of being afraid
feather,one of the soft light things on a bird
feature,an important part or quality of something
fee,money paid for a service
female,of the sex that can have babies
fence,a wood or wire wall around a yard
few,not many; a small number of
fiction,stories about people and events that are not real
fighter,a boxer; a fast military plane
figure,a number; the shape of a body
film,a movie; a story shown on a screen
final,last; coming at the end
finally,after a long time; at last
first name,the name your parents chose for you
fisherman,a man whose job is catching fish
fit,healthy and strong in body
fix,a repair; an answer to a problem
flea,a tiny jumping insect that bites animals
flight,a trip by plane
float,a decorated truck in a parade
flood,a lot of water covering dry land
flour,powder from grain used for baking bread
fog,thick cloud near the ground
folder,a cover for papers; a place for computer files
follow,to go behind someone
fool,a silly person; a stupid person
footballer,a person who plays soccer
forbid,to order someone not to do something
force,physical power; strength used on something
forest,a large area covered with trees
forever,for all time; always
fork,a tool with points for eating
fortunately,luckily; by good luck
fortune,a very large amount of money; luck
forward,toward the front
frame,a border that holds a picture
frank,honest and direct in speech
freedom,being able to do what you want
freeze,to turn into ice
fresh,newly made or picked; not old
fridge,a machine that keeps food cold
fried,cooked in hot oil
friendship,a close relation between people who like each other
frighten,to make someone afraid
frightened,feeling fear; afraid
frightening,making you feel fear; scary
fry,a thin potato piece cooked in oil
fully,completely; totally
function,to work; to operate
furniture,things like tables and chairs
further,more distant; additional
gallery,a building that shows art
garage,a building where you keep a car
garlic,a strong-tasting plant used in cooking
gas,a substance like air; fuel for cars
gate,a door in a fence or wall
gather,to come together; to collect
gender,being male or female
generation,all people born around the same time
gentle,soft and calm; not rough
given,particular; already stated; already decided
globe,a round model of the earth
glove,a cover for the hand
golden,of a shiny yellow color
golf,a game of hitting a small ball into holes
good-looking,attractive; beautiful; handsome
government,the group that rules a country
grace,beautiful smooth movement
gradually,slowly over time; little by little
graduate,to finish school or university
gram,a small unit of weight
grandchild,your son's or daughter's son or daughter
granddad,your parent's father (informal)
granddaughter,the female child of your child
grandson,the male child of your child
granny,your parent's mother (informal)
grateful,feeling thanks toward someone; thankful
greatly,very much; a lot
greedy,wanting more than you need
grilled,cooked over an open fire
grocery store,a shop that sells food
guard,a person who protects a place
guidebook,a book that gives information for visitors
gun,a weapon that shoots bullets
half-price,costing fifty percent of the normal cost
ham,meat from a pig's leg
handbag,a woman's small carrying case for personal items
handicapped,disabled; unable to use body parts fully
handle,the part of an object made for holding
happily,in a glad and pleased way
happiness,the feeling of being glad; joy
hardly,almost not; barely
harm,to hurt; to damage
harmful,causing hurt; causing damage
harmony,peaceful agreement; pleasant sounds together
harvest,the gathering of ripe crops
hate,to dislike very strongly
headphone,a device worn on the ears for listening
headteacher,the leader of a school; principal
heat,high temperature; warmth
heating,a system that keeps a building warm
heavily,in large amounts; with much weight
helpful,useful; willing to do things for others
hero,a very brave admired person
herself,the same female person doing the action
hey,a word to get attention (informal)
high school,a place of study for teenagers
highway,a big fast road between cities
hike,a long walk in nature
hiking,the activity of long walks in nature
himself,the same male person doing the action
hip hop,a music style with rap and beats
hit,to strike someone or something hard
hockey,a team game using sticks to score
honey,sweet sticky food made by bees
honor,great respect given to someone
horror,a strong feeling of fear and shock
host,a person who receives guests
however,but; in spite of that
hug,to hold someone closely in your arms
human,of people; not animal or machine
hundred,ten times ten; 100
hunter,a person who chases and kills wild animals
ID,a document showing who you are
ID card,an official document proving who you are
ill,sick; not healthy
illegal,against the law
image,a picture; how something looks
imagination,the ability to form pictures in the mind
impact,a strong effect; a hit
impatient,not able to wait calmly
importance,how much something matters; great value
importantly,in a way that matters much
impossible,not able to happen; not able to be done
impress,to make someone admire you
improve,to make better; to become better
inch,a small unit of length (2.54 cm)
include,to have as a part
increase,to become larger; to make larger
indeed,really; truly; in fact
independence,freedom from control by others
indicate,to show; to point out
indoor,inside a building; not outside
inexpensive,cheap; costing little money
influence,the power to change someone or something
injure,to hurt a person's body
inner,on the inside; near the center
insect,a small animal with six legs
inspiration,something that gives you new ideas
instant,happening right away; immediate
instead,in place of something else
instrument,a tool; an object for making music
intelligence,the ability to learn and think
intelligent,smart; quick to learn and understand
interest,a wish to know more about something
international,between many countries; among many countries
invade,to enter a country to attack it
invent,to create something completely new
invention,a new thing someone has created
invite,to ask someone to come
issue,an important topic; a problem
itself,the same thing doing the action
jam,sweet fruit spread for bread
jelly,a soft sweet food that shakes
joke,a funny story that makes people laugh
journey,a long trip from one place to another
joy,a feeling of great pleasure
junior,lower in rank; younger
junk,useless old things; rubbish
killer,a person who murders
kilo,a unit of weight (1000 grams)
kilogram,a metric unit of weight (about 2.2 pounds)
kilometer,a metric unit of distance (about 0.62 miles)
kindly,warm and gentle toward others
kingdom,a country ruled by a royal family
kit,a set of tools or equipment
knock,the sound of hitting a door
knowledge,facts and understanding you have
labor,hard physical work
lack,not having enough of something
lake,a big area of inland water
lamp,a device that gives light
land,to come down to the ground
landscape,a wide view of countryside
lane,a narrow road
last,final; after all the others
latest,newest; most recent
latter,the second of two mentioned
law,an official rule of a country
lawyer,a person who defends people in court
laziness,the habit of avoiding work
lead,the front position in a race
learner,a person who is studying
least,the smallest amount
leather,material made from animal skin
left-hand,on the side opposite the right
leisure,free time for fun
lemon,a sour yellow fruit
lemonade,a sweet yellow fruit drink
lend,to let someone borrow something
less,to a smaller degree; not so much
level,the height or amount of something
liberty,freedom to act as you wish
license,to give official permission
lie,to say untrue things; to rest flat
lifestyle,a person's daily habits and choices
likely,probably going to happen
lip,the soft edge of your mouth
liter,a unit for measuring liquid
lively,full of energy and action
load,things carried at one time
local,belonging to the nearby area
lock,a device keeping a door shut
logical,based on clear thinking
loose,not tight; not firmly fixed
lose,to no longer have; to fail to win
lost,unable to find your way
loudly,in a very noisy way
lover,a romantic partner
low,not high; near the ground
luckily,by good chance
lunchtime,the midday meal hour
lyric,expressing personal feelings (poetry)
mad,very angry; crazy
magic,having strange wonderful powers
main course,the biggest dish of a meal
mainly,mostly; for the most part
major,very large or important
maker,a person or company producing something
make-up,beauty products for the face
male,a man or boy
mall,a large building with many shops
manage,to be in charge of; to succeed in doing
manager,a person running a business
manner,the way something is done
mark,a spot or line; a school grade
market,a place for buying and selling
married,having a husband or wife
marry,to become someone's husband or wife
marvelous,extremely good; wonderful
material,what things are made from
max,the largest possible amount
meaning,the idea a word expresses
medal,a flat metal prize for winners
medical,connected with doctors and health
melon,a large sweet juicy fruit
member,a person belonging to a group
mention,a short comment about something
menu,a list of food choices
metal,hard material like iron or gold
meter,a unit of length (100 cm)
method,a way of doing something
midday,twelve o'clock; noon
midnight,the hour a new day begins
might,used to say something is possible
military,connected with soldiers or the army
million,a thousand thousands (1000000)
mineral water,bottled drink from a natural spring
mirror,glass where you see yourself
missing,not in its place; not found
mistake,something done wrongly; an error
mix,to put different things together
model,a small copy; a person showing clothes
modern,of the present time; new in style
mood,the way you feel now
mosque,a building where Muslims pray
mostly,mainly; in general
motorway,a wide fast road for cars
MP3 player,a small device for hearing music
Ms.,a title before a woman's name
mug,a large cup with straight sides
murder,the crime of killing a person
museum,a building displaying art or history
mushroom,a small umbrella-shaped vegetable
musical,relating to songs and instruments
myself,used when 'I' does something to 'me'
mysterious,strange and hard to explain
mystery,something strange that cannot be explained
napkin,cloth for wiping your mouth
nation,a country and its people
national,relating to a whole country
native,of the place you were born
natural,not made by people
nature,the world of plants and animals
nearly,almost; not quite
necessary,needed; that must be done
negative,expressing no; bad or harmful
nervous,worried and a little afraid
net,remaining after costs are taken away
next,immediately after this
next to,beside; at the side of
no one,not any person; nobody
nobody,not a single person
noisy,making a lot of loud sound
noon,twelve o'clock; midday
normal,usual; ordinary; not special
north,in the direction opposite south
notice,a written sign giving information
noun,a word that names a thing
novel,a long book with an invented story
nowadays,at the present time
oak,a big tree with hard wood
occupation,a job; regular work
offer,a proposal to give or help
official,approved by people in power
oil,thick liquid used in cooking or engines
olive oil,cooking liquid pressed from green fruit
Olympic,of the world sports games
omelet,a dish of beaten fried eggs
onion,a round strong-smelling vegetable
online,connected to the internet
operate,to make a machine work; to do surgery
opinion,what you think about something
opportunity,a chance to do something
oppose,to be against something
opposite,completely different; facing
organize,to plan and arrange something
organized,well planned and tidy
original,first; not copied
orphan,a child whose parents are dead
ourselves,used when 'we' do something to 'us'
out of,away from the inside
oven,a hot box for baking food
overseas,in or to a foreign country
overweight,heavier than is healthy
pacific,calm and peaceful by nature
pack,a set of things wrapped together
painter,an artist who makes pictures with a brush
pal,a close friend
pan,a metal pot for cooking food
panic,sudden strong fear you cannot control
part,one piece of something bigger
partly,not completely; to some degree
pass,a card that lets you enter
passage,a narrow way through; a short piece of writing
passenger,a person traveling in a vehicle but not driving
pasta,Italian noodle food like spaghetti
path,a narrow way for walking
patient,a sick person getting medical care
PC,a small computer used at home or work
pea,a small round green vegetable seed
peaceful,calm and quiet; without war
pear,a sweet green fruit narrow at the top
pence,small units of British money
penfriend,a person you exchange letters with
pepper,a spicy powder put on food
perfect,without any mistakes; as good as possible
perfectly,completely; without any mistakes
perform,to sing or act in front of people
performance,a show given in front of people
perfume,a liquid with a sweet smell for the body
perhaps,maybe; it is possible
permission,being allowed to do something
personality,the kind of character someone has
petrol,liquid fuel for cars
petrol station,a place where you buy fuel for a car
photograph,a picture taken with a camera
photographer,a person who takes pictures with a camera
photography,the art of taking pictures with a camera
physical,of the body not the mind
physically,in a way connected with the body
pile,many things placed on top of each other
pilgrim,a person who travels to a holy place
pill,a small round piece of medicine you swallow
pilot,a person who flies a plane
pity,sadness you feel for someone's trouble
planet,a large round body moving around a star
plant,a living thing that grows in the ground
plastic,made of a light man-made material
plate,a flat round dish for food
playful,full of fun; liking jokes and games
playground,an outside area where children have fun
pleasant,nice and enjoyable
pleased,happy and satisfied
pleasing,giving enjoyment or happiness
plenty,more than enough
plural,the word form for more than one
plus,added to; and also
police,people whose job is stopping crime
police officer,a person whose job is catching criminals
police station,the building where law officers work
policeman,a man whose job is stopping crime
policewoman,a woman whose job is stopping crime
polite,showing good manners
political,connected with government
pollute,to make air or water dirty
popular,liked by many people
population,the number of people living in a place
portrait,a picture of a person's face
position,the place where something is
possible,able to happen or be done
possibly,maybe; perhaps; it could happen
post office,a place where you send letters
pour,to make liquid flow from a container
power,the ability to control others; energy
powerful,very strong; having great control
precise,exact and correct
predict,to say what will happen before it does
prediction,a statement about what will happen later
prefer,to like one thing more than another
prepare,to make something ready
pressure,the force pushing on something; stress
pretend,to act as if something false is true
prevent,to stop something from happening
pride,a good feeling about what you have done
principal,main; most important
print,to put words or pictures onto paper by machine
printer,a machine that puts text onto paper
private,only for certain people; not public
pro,someone paid to play a sport
probably,almost certainly; very likely
produce,to make or grow something
product,a thing made to be sold
production,the making of goods
professional,doing something as a paid job
progressive,favoring new ideas and change
promise,words saying you will surely do something
pronounce,to make the sound of a word
pronunciation,the way a word is said
proper,correct and suitable
provide,to give someone something they need
psychologist,a scientist who studies the mind
public,all ordinary people in general
publish,to print a book or article for sale
pull,to move something toward you
punctuation,marks such as periods used in writing
purpose,the reason for doing something
pursue,to chase; to try hard to achieve
quality,how good or bad something is
queen,a woman who rules a country
quick,fast; taking little time
quietly,with little or no noise
quit,to stop doing something; to leave a job
quite,fairly; rather; completely
quiz,a short test of knowledge
racket,a bat with strings for hitting balls
raincoat,clothing worn to stay dry outside
raise,to lift up; to increase
range,a variety of different things
rap,music with fast spoken words
rate,the speed at which something happens
rather,quite; fairly; more willingly
rating,a score showing how good something is
raw,not cooked; in natural state
ray,a narrow line of light
reach,to arrive at; to stretch out to touch
realize,to suddenly understand something
receipt,a paper showing you paid for something
receive,to get something sent or given to you
recent,happening a short time ago
recently,a short time ago; lately
receptionist,a person who greets visitors at a front desk
record,to save sound or video; to write down information
recycle,to use materials again
refer,to mention or speak about something
reflect,to throw back light; to think carefully
refrigerator,a machine that keeps food cold
regret,to feel sad about something you did
regular,happening at fixed times; usual
regularly,often at fixed times
relax,to rest and become calm
relaxed,calm and not worried
release,the act of setting someone free
remain,to stay in the same place or state
remind,to help someone remember something
remote,far away from other places
rent,money paid regularly to use a home
repair,the fixing of something broken
replace,to change something old for something new
reply,an answer to a question or letter
report,a written description of facts or events
represent,to speak for others; to be a sign of
request,an act of asking for something
research,careful study to find new facts
response,an answer; a reply
retire,to stop working because of age
retired,no longer working because of age
return,the act of coming back
reunion,a meeting after time apart
reveal,to show something hidden
rhythm,a regular pattern of beats
right-hand,on the side opposite the left
road,a way for cars to travel
roast,to cook meat in an oven
rob,to steal from someone or somewhere
robbery,the crime of stealing money
robin,a small bird with a red chest
rock,a large stone
roll,a small round piece of bread
romance,a love story; a love relationship
romantic,about love; showing feelings of love
roof,the top cover of a building
root,the underground part of a plant
rope,very thick strong string
roughly,about; more or less; not exactly
round,in a circle; on all sides
roundabout,a circle where roads meet
royal,belonging to a king or queen
rugby,a sport with an oval ball
ruin,to damage something completely
rumor,talk that may not be true
runner,a person who races on foot
running,the sport of racing on foot
rush,a great hurry; a sudden fast movement
sadly,in an unhappy way; unfortunately
safe,free from danger
sailing,moving a boat using the wind
sake,the good or benefit of someone
salt,white grains that make food tasty
sample,a small part used for testing
sandy,covered with fine beach grains
satisfy,to give someone what they want
sauce,a thick liquid put on food
sausage,meat inside a long thin skin
scale,the size or level of something
scarf,a cloth worn around the neck
scene,a part of a film or play
scenery,the natural beauty of a place
schedule,a list of times and events
schoolchild,a young student
schoolwork,study tasks given to students
scientific,based on careful study and testing
scissors,a cutting tool with two blades
scream,a loud high cry of fear
screen,the surface where images appear
screw,a metal pin twisted into wood
script,the written words of a play
seafood,fish and shellfish that people eat
search,an attempt to find something
seaside,the land next to the ocean
secret,something you keep hidden from others
secretary,an office worker who manages papers
seed,the tiny part plants grow from
seek,to look for something
seem,to appear to be something
semester,one half of a school year
send,to make something go somewhere else
senior,older or higher in position
sense,a feeling or understanding of something
separate,not joined or together
seriously,in a real way; not joking
serve,to bring food to people
several,more than two but not many
sew,to join cloth using a needle
shade,a dark cool area without sunlight
shadow,a dark shape made by blocked light
shall,will (formal with I or we)
shampoo,liquid soap for washing hair
shape,the outer form of something
shell,a hard outer covering (egg or nut)
shine,to give out bright light
shock,a sudden unpleasant surprise
shoot,to fire a gun
shop assistant,a store worker who helps buyers
shore,land at the edge of water
shot,the firing of a gun
shout,a loud call or cry
shut,to close something
sightseeing,visiting famous places as a tourist
significant,important or large in effect
silence,complete quiet; no sound at all
silently,without making any sound
silly,foolish; not showing good sense
silver,shiny gray-white in color
similar,almost the same; alike
simple,easy to understand or do
simply,only; just; in a plain way
since,from a past time until now
singing,making music with your voice
single,only one; not married
singular,meaning just one (grammar)
sink,a bowl with taps for washing
sitting room,the relaxing area of a house
situation,the conditions at a certain time
skate,a boot with blade or wheels
skateboarding,the sport of riding a wheeled plank
skating,moving on ice wearing special boots
ski,a long narrow board for snow
skiing,moving down snow on long boards
slave,a person owned by another person
sleepless,without any rest at night
sleepy,tired and wanting to rest
slice,a thin flat piece cut off
slide,a smooth playground slope to go down
slim,thin in an attractive way
slowly,not quickly; at low speed
smooth,flat and even; not rough
smoothly,evenly and without problems
snack,a small quick meal
snowboarding,a winter sport on one wide plank
soap,a substance for washing your body
society,people living together as a group
sock,soft clothing worn on the foot
soda,a sweet drink with bubbles
soft,not hard; easy to press
soft drink,a cold sweet liquid with no alcohol
softly,gently and quietly
software,programs that run on computers
soldier,a member of an army
solution,an answer to a problem
somebody,a person not known or named
someday,at an unknown future time
somewhere,in or to an unnamed place
sound,something you can hear
source,the place something comes from
south,in the direction opposite north
space,the area beyond Earth; an empty place
spaceship,a vehicle that travels between planets
spaghetti,long thin pasta strings
speaker,a person giving a talk
specific,exact and particular
speed,how fast something moves
spill,to let liquid fall by accident
splash,to make water fly in drops
split,divided into parts
spoon,a small tool for eating soup
sports center,a building for exercise and games
spread,movement of something to more places
square,having four equal sides
stadium,a large building for sports events
staff,the workers of a company
stair,one of a set of steps
stamp,a small paper stuck on mail
state,the condition something is in; a nation
statement,words that explain or announce something
statue,a stone or metal figure of a person
steak,a thick slice of meat for cooking
steal,to take something without permission
stomach,the body part that digests food
stomachache,pain in your belly
storm,very bad weather with strong wind and rain
stove,a kitchen appliance used for cooking
stranger,someone you have never met
strategy,a careful plan to reach a goal
strength,how powerful or tough something is
strike,when workers stop working to protest
string,thin cord used for tying things
strongly,with great force or feeling
structure,the way parts of something are arranged
stuff,things; belongings; items in general
style,a particular way of doing something
succeed,to achieve what you tried to do
success,the achieving of a goal
successfully,in a way that achieves the goal
such,of this kind; so much
sudden,happening fast with no warning
suggest,to offer an idea to consider
suit,a matching jacket and trousers
suitable,right or fitting for a purpose
