Chinese (Simpl.),Pinyin,English
辩解,biànjiě,to explain; to justify; to defend (a point of view etc); to provide an explanation
辩证,biànzhèng,to investigate; dialectical
辫子,biànzi,plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent
标本,biāoběn,specimen; sample; the root cause and symptoms of a disease
标记,biāojì,sign; mark; symbol; to mark up
标题,biāotí,title; heading; headline; caption
飙升,biāoshēng,to rise rapidly; to soar
表决,biǎojué,to decide by vote; to vote
表态,biǎotài,to declare one's position; to say where one stands
表彰,biǎozhāng,to honor; to commend; to cite (in dispatches)
憋,biē,to choke; to stifle; to restrain; to hold back
别扭,bièniu,awkward; difficult; uncomfortable; not agreeing
别墅,biéshù,villa
别致,biézhì,unusual; unique
濒临,bīnlín,on the edge of; (fig.) on the verge of; close to
冰雹,bīngbáo,hail; hailstone
并存,bìngcún,to exist at the same time; to coexist
并非,bìngfēi,really isn't
并列,bìngliè,to stand side by side; to be juxtaposed
拨打,bōdǎ,to call; to dial
波浪,bōlàng,wave
波涛汹涌,bōtāoxiōngyǒng,waves surging forth; roaring sea
剥削,bōxuē,to exploit; exploitation
播放,bōfàng,to broadcast; to transmit (by radio or TV)
播种,bōzhǒng,to sow seeds; to grow (maize etc) from seed; to plant (maize etc) by sowing seed
伯母,bómǔ,aunt; wife of father's elder brother
博大精深,bódàjīngshēn,wide-ranging and profound; broad and deep
博览会,bólǎnhuì,exposition; international fair
搏斗,bódòu,to wrestle; to fight; to struggle
补偿,bǔcháng,to compensate; to make up
补救,bǔjiù,to remedy
补贴,bǔtiē,to subsidize; subsidy; allowance; to supplement (one's salary etc)
哺乳,bǔrǔ,breastfeeding; to suckle; to nurse
捕捉,bǔzhuō,to catch; to seize; to capture
不得已,bùdéyǐ,to act against one's will; to have no alternative but to; to have to; to have no choice
不妨,bùfáng,there is no harm in; might as well
不敢当,bùgǎndāng,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me
不顾,bùgù,in spite of; regardless of
不禁,bùjīn,can't help (doing sth); can't refrain from
不堪,bùkān,cannot bear; cannot stand; utterly; extremely
不可思议,bùkěsīyì,inconceivable (idiom); unimaginable; unfathomable
不愧,bùkuì,to be worthy of; to deserve to be called; to prove oneself to be
不料,bùliào,unexpectedly; to one's surprise
不时,bùshí,from time to time; now and then; occasionally; frequently
不惜,bùxī,not stint; not spare; not hesitate (to do sth); not scruple (to do sth)
不相上下,bùxiāngshàngxià,equally matched; about the same
不像话,bùxiànghuà,unreasonable; shocking; outrageous
不屑一顾,bùxièyīgù,to disdain as beneath contempt (idiom)
不言而喻,bùyánéryù,it goes without saying; it is self-evident
不由得,bùyóude,can't help; cannot but
不择手段,bùzéshǒuduàn,by fair means or foul; by hook or by crook; unscrupulously
不止,bùzhǐ,incessantly; without end; more than; not limited to
布告,bùgào,posting on a bulletin board; notice; bulletin; to announce
布局,bùjú,arrangement; composition; layout; opening (chess jargon)
布置,bùzhì,to put in order; to arrange; to decorate; to fix up
步伐,bùfá,pace; (measured) step; march
部署,bùshǔ,to dispose; to deploy; deployment
部位,bùwèi,part (esp. of the body); position; area
才干,cáigàn,ability; competence
财富,cáifù,wealth; riches
财务,cáiwù,financial affairs
财政,cáizhèng,finances (public); financial
裁缝,cáiféng,to make an item of clothing; to tailor; tailor; dressmaker
裁判,cáipàn,judgment; to referee; umpire; judge
裁员,cáiyuán,to cut staff; to lay off employees
采购,cǎigòu,to procure (for an enterprise etc); to purchase
采集,cǎijí,to gather; to collect; to harvest
采纳,cǎinà,to accept; to adopt
彩票,cǎipiào,lottery ticket
参谋,cānmóu,staff officer; to give advice
参照,cānzhào,to consult a reference; to refer to (another document)
残酷,cánkù,cruel; cruelty
残留,cánliú,to remain; to be left over; residual; remnant
残忍,cánrěn,cruel; mean; merciless; ruthless
灿烂,cànlàn,to glitter; brilliant; splendid
仓促,cāngcù,all of a sudden; hurriedly
仓库,cāngkù,depot; storehouse; warehouse
苍白,cāngbái,pale; wan
舱,cāng,cabin; the hold of a ship or airplane
操劳,cāoláo,to work hard; to look after
操练,cāoliàn,drill; practice
操纵,cāozòng,to operate; to control; to rig; to manipulate
操作,cāozuò,to work; to operate; to manipulate
嘈杂,cáozá,noisy; clamorous
草案,cǎoàn,draft (legislation proposal etc)
草率,cǎoshuài,careless; negligent; sloppy; not serious
侧面,cèmiàn,lateral side; side; aspect; profile
测量,cèliáng,survey; to measure; to gauge; to determine
策略,cèlu:è,strategy; tactics; crafty; adroit
策划,cèhuà,to plot; to scheme; to bring about; to engineer
层出不穷,céngchūbùqióng,more and more emerge; innumerable succession; breeding like flies (idiom)
层次,céngcì,layer; level; gradation; arrangement of ideas
查获,cháhuò,to track down and seize (a criminal suspect contraband etc)
岔,chà,fork in road; bifurcation; branch in road; river; mountain range etc; to branch off
诧异,chàyì,flabbergasted; astonished
差距,chājù,disparity; gap
柴油,cháiyóu,diesel fuel
搀,chān,to take by the arm and assist; to mix; to blend; to dilute
馋,chán,gluttonous; greedy; to have a craving
缠绕,chánrào,twisting; to twine; to wind; to pester
产业,chǎnyè,industry; estate; property; industrial
阐述,chǎnshù,to expound (a position); to elaborate (on a topic); to treat (a subject)
颤抖,chàndǒu,to shudder; to shiver; to shake; to tremble
昌盛,chāngshèng,prosperous
猖狂,chāngkuáng,savage; furious
尝试,chángshì,to try; to attempt
偿还,chánghuán,to repay; to reimburse
常年,chángnián,all year round; for years on end; average year
常务,chángwù,routine; everyday business; daily operation (of a company)
场合,chǎnghé,situation; occasion; context; setting
场面,chǎngmiàn,scene; spectacle; occasion; situation
场所,chǎngsuǒ,location; place
畅通,chàngtōng,unimpeded; free-flowing; straight path; unclogged
畅销,chàngxiāo,to sell well; bestselling; chart-topping
倡导,chàngdǎo,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)
倡议,chàngyì,to suggest; to initiate; proposal; initiative
敞开,chǎngkāi,to open wide; unrestrictedly
钞票,chāopiào,paper money; a bill (e.g. 100 yuan)
超级,chāojí,super-; ultra-; hyper-
超越,chāoyuè,to surpass; to exceed; to transcend
朝气蓬勃,zhāoqìpéngbó,full of youthful energy (idiom); vigorous; energetic; a bright spark
嘲笑,cháoxiào,to jeer at; to deride; to ridicule; mockery
潮流,cháoliú,tide; current; trend
潮湿,cháoshī,damp; moist
撤退,chètuì,to retreat
撤销,chèxiāo,to repeal; to revoke; (computing) to undo
沉淀,chéndiàn,to settle; to precipitate; sedimentation
沉闷,chénmèn,oppressive (of weather); heavy; depressed; not happy
沉思,chénsī,to contemplate; to ponder; contemplation; meditation
沉着,chénzhuó,steady; calm and collected; not nervous
沉重,chénzhòng,heavy; hard; serious; critical
陈旧,chénjiù,old-fashioned
陈列,chénliè,to display; to exhibit
陈述,chénshù,an assertion; to declare; to state
称号,chēnghào,name; term of address; title
称心如意,chènxīnrúyì,(idiom) after one's own heart; gratifying; satisfactory; everything one could wish
成本,chéngběn,(manufacturing production etc) costs
成交,chéngjiāo,to complete a contract; to reach a deal
成天,chéngtiān,(coll.) all day long; all the time
成效,chéngxiào,effect; result
成心,chéngxīn,intentional; deliberate; on purpose
成员,chéngyuán,member
呈现,chéngxiàn,to appear; to emerge; to present (a certain appearance); to demonstrate
承办,chéngbàn,to undertake; to accept a contract
承包,chéngbāo,to contract; to undertake (a job)
承诺,chéngnuò,to promise; to undertake to do something; commitment
诚挚,chéngzhì,sincere; cordial
城堡,chéngbǎo,castle; rook (chess piece)
乘务员,chéngwùyuán,attendant on an airplane; train; boat etc
惩罚,chéngfá,penalty; punishment; to punish
澄清,chéngqīng,clear (of liquid); limpid; to clarify; to make sth clear
橙,chéng,orange tree; orange (color)
秤,chèng,balance; weighing scale; steelyard
吃苦,chīkǔ,to bear hardships
吃力,chīlì,to entail strenuous effort; to toil at a task; strenuous; laborious
池塘,chítáng,pool; pond
迟缓,chíhuǎn,slow; sluggish
迟疑,chíyí,to hesitate
持久,chíjiǔ,lasting; enduring; persistent; permanent
赤道,chìdào,equator (of the earth or a celestial body); celestial equator
赤字,chìzì,(financial) deficit; red letter
充当,chōngdāng,to serve as; to act as; to play the role of
充沛,chōngpèi,abundant; plentiful; vigorous
充实,chōngshí,rich; full; substantial; to enrich
充足,chōngzú,adequate; sufficient; abundant
冲动,chōngdòng,to have an urge; to be impetuous; impulse; urge
冲击,chōngjī,to attack; to batter; (of waves) to pound against; shock
冲突,chōngtū,conflict; to conflict; clash of opposing forces; collision (of interests)
崇拜,chóngbài,to worship; adoration
崇高,chónggāo,majestic; sublime
崇敬,chóngjìng,to revere; to venerate; high esteem
抽空,chōukòng,to find the time to do sth
稠密,chóumì,dense
筹备,chóubèi,preparations; to get ready for sth
踌躇,chóuchú,to hesitate
丑恶,chǒuè,ugly; repulsive
出路,chūlù,a way out; way forward; outlet
出卖,chūmài,to offer for sale; to sell; to sell out; to betray
出身,chūshēn,to be born of; to come from; family background; class origin
出神,chūshén,spellbound; entranced; lost in thought
出息,chūxī,to yield interest; profit etc; to exhale (Buddhism); future prospects; profit
出洋相,chūyángxiàng,to make a fool of oneself
初步,chūbù,initial; preliminary; tentative
储备,chǔbèi,reserves; to store up
储存,chǔcún,stockpile; to store; to stockpile; storage
储蓄,chǔxù,to deposit money; to save; savings
处分,chǔfèn,to discipline sb; to punish; disciplinary action; to deal with (a matter)
处境,chǔjìng,situation (of a person)
处置,chǔzhì,to handle; to take care of; to punish
畜牧,xùmù,to raise animals
触犯,chùfàn,to violate; to offend
川流不息,chuānliúbùxī,the stream flows without stopping (idiom); unending flow
穿越,chuānyuè,to pass through; to traverse; to cross
传达,chuándá,to pass on; to convey; to relay; to transmit
传单,chuándān,leaflet; flier; pamphlet
传记,zhuànjì,biography
传授,chuánshòu,to impart; to pass on; to teach
船舶,chuánbó,shipping; boats
喘气,chuǎnqì,to breathe deeply; to pant; to gasp; to take a breather
串,chuàn,to string together; to skewer; to connect wrongly; to gang up
床单,chuángdān,bed sheet
幢,zhuàng,classifier for buildings (chuáng = banner; literary)
创立,chuànglì,to establish; to set up; to found
创新,chuàngxīn,to bring forth new ideas; to blaze new trails; innovation
创业,chuàngyè,to begin an undertaking; to start a major task; to initiate; to venture
创作,chuàngzuò,to create; to produce; to write; creative work
吹牛,chuīniú,to talk big; to shoot off one's mouth; to chat (dialect)
吹捧,chuīpěng,to flatter; to laud sb's accomplishments; adulation
垂直,chuízhí,perpendicular; vertical
锤,chuí,hammer; to hammer
纯粹,chúncuì,pure; unadulterated; purely; completely
纯洁,chúnjié,pure; clean and honest; to purify
词汇,cíhuì,vocabulary; list of words (e.g. for language teaching purposes); word
慈祥,cíxiáng,kindly; benevolent (often of older person)
雌雄,cíxióng,male and female
次品,cìpǐn,substandard products; defective; seconds
次序,cìxù,sequence; order
伺候,cìhou,to serve; to wait upon
刺,cì,thorn; to prick; to stab; sting
从容不迫,cóngróngbùpò,calm; unruffled
丛,cóng,cluster; collection; collection of books; thicket
凑合,còuhe,to bring together; to make do in a bad situation; to just get by; to improvise
粗鲁,cūlǔ,coarse; crude (in one's manner); boorish
窜,cuàn,to flee; to scuttle; to exile or banish; to amend or edit
摧残,cuīcán,to ravage; to ruin
脆弱,cuìruò,weak; frail
搓,cuō,to rub or roll between the hands or fingers; to twist
磋商,cuōshāng,to consult; to discuss seriously; to negotiate; to confer
挫折,cuòzhé,setback; reverse; check; defeat
搭,dā,to put up; to build (scaffolding); to hang (clothes on a pole); to connect
搭档,dādàng,to cooperate; partner
搭配,dāpèi,to pair up; to match; to arrange in pairs; to add sth into a group
达成,dáchéng,to reach (an agreement); to accomplish
答辩,dábiàn,to reply (to an accusation); to defend one's dissertation
答复,dáfù,to answer; to reply; Reply to: (in email header)
打包,dǎbāo,to pack; to wrap; to get leftovers to go
打官司,dǎguānsi,to file a lawsuit; to sue; to dispute
打击,dǎjī,to hit; to strike; to attack; to crack down on sth
打架,dǎjià,to fight; to scuffle; to come to blows
打量,dǎliang,to size sb up; to look sb up and down; to take the measure of; to suppose
打猎,dǎliè,to go hunting
打仗,dǎzhàng,to fight a battle; to go to war
大不了,dàbùliǎo,at worst; if worst comes to worst; (usu. in the negative) serious; alarming
大臣,dàchén,chancellor (of a monarchy); cabinet minister
大伙儿,dàhuǒr,everybody; everyone
大厦,dàshà,large building; edifice; mansion
大肆,dàsì,wantonly; without restraint (of enemy or malefactor); unbridled
大体,dàtǐ,in general; more or less; in rough terms; basically
大意,dàyì,general idea; main idea; careless
大致,dàzhì,more or less; roughly; approximately
歹徒,dǎitú,evildoer; malefactor; gangster; hoodlum
逮捕,dàibǔ,to arrest; to apprehend; an arrest
代价,dàijià,price; cost; consideration (in share dealing)
代理,dàilǐ,to act as agent; proxy; to act on behalf of sb
带领,dàilǐng,to guide; to lead
怠慢,dàimàn,to slight; to neglect
担保,dānbǎo,to guarantee; to vouch for
胆怯,dǎnqiè,timidity; timid; cowardly
诞辰,dànchén,birthday
诞生,dànshēng,to be born
弹性,tánxìng,flexibility; elasticity
淡季,dànjì,off season; slow business season
淡水,dànshuǐ,fresh water
蛋白质,dànbáizhì,protein
当场,dāngchǎng,at the scene; on the spot
当初,dāngchū,at that time; originally
当面,dāngmiàn,to sb's face; in sb's presence
当前,dāngqián,the present time; to be faced with
当事人,dāngshìrén,persons involved or implicated; party (to an affair)
当务之急,dāngwùzhījí,top priority job; matter of vital importance
当心,dāngxīn,to take care; to look out
当选,dāngxuǎn,to be elected; to be selected
党,dǎng,party; association; club; society
档案,dàngàn,file; record; archive
档次,dàngcì,grade; class; quality; level
导弹,dǎodàn,(guided) missile
导航,dǎoháng,navigation
导向,dǎoxiàng,to be oriented towards; orientation
岛屿,dǎoyǔ,island
捣乱,dǎoluàn,to disturb; to look for trouble; to stir up a row; to bother sb intentionally
倒闭,dǎobì,to go bankrupt; to close down
盗窃,dàoqiè,to steal
稻谷,dàogǔ,unhusked rice; paddy
地步,dìbù,stage; degree (to which a situation has evolved); situation; leeway
地势,dìshì,terrain; topography relief
地质,dìzhì,geology
得不偿失,débùchángshī,the gains do not make up for the losses (idiom)
得力,délì,able; capable; competent; efficient
得天独厚,détiāndúhòu,blessed by heaven (idiom); enjoying exceptional advantages; favored by nature
得罪,dézuì,to commit an offense; to violate the law; excuse me! (formal); to offend sb
灯笼,dēnglóng,lantern
登陆,dēnglù,to land; to come ashore; to make landfall
登录,dēnglù,to register; to log in
蹬,dēng,to step on; to tread on; to wear (shoes); (slang) to dump (sb)
等级,děngjí,grade; rank; status
瞪,dèng,to open (one's eyes) wide; to stare at; to glare at
堤坝,dībà,dam; dike
敌视,díshì,hostile; malevolence; antagonism; to view as enemy
抵达,dǐdá,to arrive; to reach (a destination)
抵抗,dǐkàng,to resist; resistance
抵制,dǐzhì,to resist; to boycott; to refuse (to cooperate); to reject
递增,dìzēng,to increase by degrees; in increasing order; incremental; progressive
颠簸,diānbǒ,to jolt; to bump about; to be jolted around
颠倒,diāndǎo,to turn upside down; to reverse; back to front; confused
典礼,diǎnlǐ,celebration; ceremony
典型,diǎnxíng,model; typical case; archetype; typical
点缀,diǎnzhuì,to decorate; to adorn; sprinkled; studded
电源,diànyuán,electric power source
垫,diàn,pad; cushion; mat; to pad out
惦记,diànjì,to think of; to keep thinking about; to be concerned about
奠定,diàndìng,to establish; to fix; to settle
叼,diāo,to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
雕刻,diāokè,to carve; to engrave; carving
雕塑,diāosù,a statue; a Buddhist image; sculpture; to carve
吊,diào,to suspend; to hang up; to hang a person; a string of 100 cash (arch.)
调动,diàodòng,to transfer; to maneuver (troops etc); movement of personnel; to mobilize
调和,tiáohé,harmonious; to mediate; to reconcile; mediation
调剂,tiáojì,to adjust; to balance; to make up a medical prescription
调节,tiáojié,to adjust; to regulate; to harmonize; to reconcile (accountancy etc)
调解,tiáojiě,to mediate; to bring parties to an agreement
调料,tiáoliào,condiment; seasoning; flavoring
跌,diē,to fall; to tumble; to trip; (of prices etc) to drop
叮嘱,dīngzhǔ,to warn repeatedly; to urge; to exhort again and again
盯,dīng,to watch attentively; to fix one's attention on; to stare at; to gaze at
定期,dìngqī,at set dates; at regular intervals; periodic; limited to a fixed period of time
定义,dìngyì,definition; to define
丢人,diūrén,to lose face
丢三落四,diūsānlàsì,forgetful; empty-headed
东道主,dōngdàozhǔ,host; official host (e.g. venue for games or a conference)
东张西望,dōngzhāngxīwàng,to look in all directions (idiom); to glance around
董事长,dǒngshìzhǎng,chairman of the board of directors
动荡,dòngdàng,unrest (social or political); turmoil; upheaval; commotion
动机,dòngjī,motive; motivation
动静,dòngjìng,(detectable) movement; (sign of) activity; movement and stillness
动力,dònglì,motive power; force; (fig.) motivation; impetus
动脉,dòngmài,artery
动身,dòngshēn,to go on a journey; to leave
动手,dòngshǒu,to set about (a task); to hit; to punch; to touch
动态,dòngtài,movement; motion; development; trend
动员,dòngyuán,to mobilize; mobilization
冻结,dòngjié,to freeze (water etc); (fig.) to freeze (assets prices etc)
栋,dòng,classifier for houses or buildings; ridgepole (old)
洞穴,dòngxué,cave; cavern
都市,dūshì,city; metropolis
兜,dōu,pocket; bag; to wrap up or hold in a bag; to move in a circle
陡峭,dǒuqiào,precipitous
斗争,dòuzhēng,a struggle; fight; battle
督促,dūcù,to supervise and urge completion of a task; to urge on
毒品,dúpǐn,drugs; narcotics; poison
独裁,dúcái,dictatorship
堵塞,dǔsè,to clog up; blockage
赌博,dǔbó,to gamble
杜绝,dùjué,to put an end to
端,duān,end; extremity; item; port
端午节,Duānwǔjié,Dragon Boat Festival (5th day of the 5th lunar month)
端正,duānzhèng,upright; regular; proper; correct
短促,duǎncù,short in time; fleeting; brief; gasping (breath)
断定,duàndìng,to conclude; to determine; to come to a judgment
断断续续,duànduànxùxù,intermittent; off and on; discontinuous; stop-go
断绝,duànjué,to sever; to break off
堆积,duījī,to pile up; to heap; accumulation
队伍,duìwǔ,ranks; troops; queue; line
对策,duìcè,countermeasure for dealing with a situation
对称,duìchèn,symmetry; symmetrical
对付,duìfu,to handle; to deal with; to tackle; to get by with
对抗,duìkàng,to withstand; to resist; to stand off; antagonism
对立,duìlì,to oppose; to set sth against; to be antagonistic to; antithetical
对联,duìlián,rhyming couplet; pair of lines of verse written vertically down the sides of a doorway
对应,duìyìng,to correspond (to); to be equivalent to; to be a counterpart to
对照,duìzhào,to contrast; to compare; to check
兑换,duìhuàn,to convert; to exchange
兑现,duìxiàn,(of a check etc) to cash; to honor a commitment
顿时,dùnshí,immediately; suddenly
多元化,duōyuánhuà,diversification; pluralism; to diversify
哆嗦,duōsuo,to tremble; to shiver; uncontrolled shaking of the body
堕落,duòluò,to degrade; to degenerate; to become depraved; corrupt
额外,éwài,extra; added; additional
恶化,èhuà,to worsen
恶心,ěxīn,nausea; to feel sick; disgust; nauseating
掠夺,lu:èduó,to plunder; to rob
略微,lu:èwēi,a little bit; slightly
遏制,èzhì,to check; to contain; to hold back; to keep within limits
恩怨,ēnyuàn,gratitude and grudges; resentment; grudges; grievances
而已,éryǐ,that's all; nothing more
耳环,ěrhuán,earring
二氧化碳,èryǎnghuàtàn,carbon dioxide CO2
发布,fābù,to release; to issue; to announce; to distribute
发财,fācái,to get rich
发呆,fādāi,to stare blankly; to be stunned; to be lost in thought
发动,fādòng,to start; to launch; to unleash; to mobilize
发火,fāhuǒ,to catch fire; to ignite; to detonate; to get angry
发觉,fājué,to become aware; to detect; to realize; to perceive
发射,fāshè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle)
发誓,fāshì,to vow; to pledge; to swear
发行,fāxíng,to publish; to issue (stocks currency etc); to release; to distribute (a film)
发炎,fāyán,to become inflamed; inflammation
发扬,fāyáng,to develop; to make full use of
发育,fāyù,to develop; to mature; growth; development
法人,fǎrén,legal person; corporation
番,fān,classifier for actions/times; -fold
繁华,fánhuá,flourishing; bustling
繁忙,fánmáng,busy; bustling
繁体字,fántǐzì,traditional Chinese character
繁殖,fánzhí,to breed; to reproduce; to propagate
反驳,fǎnbó,to retort; to refute
反常,fǎncháng,unusual; abnormal
反倒,fǎndào,but on the contrary; but expectedly
反动,fǎndòng,reaction; reactionary
反感,fǎngǎn,to be disgusted with; to dislike; bad reaction; antipathy
反抗,fǎnkàng,to resist; to rebel
反馈,fǎnkuì,to send back information; feedback
反面,fǎnmiàn,reverse side; backside; the other side (of a problem etc); negative
反射,fǎnshè,to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism)
反思,fǎnsī,to think back over sth; to review; to revisit; to rethink
反问,fǎnwèn,to ask (a question) in reply; to answer a question with a question; rhetorical question
反之,fǎnzhī,on the other hand...; conversely...
泛滥,fànlàn,to be in flood; to overflow (the banks); to inundate; to spread unchecked
范畴,fànchóu,category
贩卖,fànmài,to sell; to peddle; to traffic
方位,fāngwèi,direction; points of the compass; bearing; position
方言,fāngyán,dialect; topolect
方针,fāngzhēn,policy; guidelines
防守,fángshǒu,to defend; to protect (against)
防疫,fángyì,to prevent epidemics
防御,fángyù,defense; to defend
防止,fángzhǐ,to prevent; to guard against; to take precautions
防治,fángzhì,to prevent and cure; prevention and cure
纺织,fǎngzhī,spinning and weaving
放大,fàngdà,to enlarge; to magnify
放射,fàngshè,to radiate; radioactive
放手,fàngshǒu,to let go one's hold; to give up; to have a free hand
飞禽走兽,fēiqínzǒushòu,birds and animals; the beasts of the field and the birds of the air
飞翔,fēixiáng,to circle in the air; to soar
飞跃,fēiyuè,to leap
非法,fēifǎ,illegal
肥沃,féiwò,fertile
匪徒,fěitú,gangster; bandit
诽谤,fěibàng,to slander; to libel
废除,fèichú,to abolish; to abrogate; to repeal
废墟,fèixū,ruins
