French,English
coude; le coude,elbow
front; le front,forehead
joue; la joue,cheek
menton; le menton,chin
ongle; l'ongle; un ongle,nail (finger)
talon; le talon,heel
pouce; le pouce,thumb
chirurgie; la chirurgie,surgery
chirurgien; le chirurgien,surgeon
pharmacien; le pharmacien,pharmacist
handicap; le handicap,disability
logement; le logement,housing; accommodation
loyer; le loyer,rent
propriétaire; le propriétaire,owner; landlord
locataire; le locataire,tenant
déménagement; le déménagement,moving house
sortie; la sortie,exit; outing
espace; l'espace; un espace,space
confort; le confort,comfort
ordures; les ordures,garbage; rubbish
réparation; la réparation,repair
bricolage; le bricolage,DIY
jardinage; le jardinage,gardening
serrure; la serrure,lock
sonnette; la sonnette,doorbell
clôture; la clôture,fence
surface; la surface,surface; floor area
équipement; l'équipement; un équipement,equipment
installation; l'installation; une installation,installation; facility
nettoyage; le nettoyage,cleaning
lessive; la lessive,laundry; detergent
nourriture; la nourriture,food
alimentation; l'alimentation; une alimentation,diet; food supply
portion; la portion,portion; serving
tranche; la tranche,slice
saveur; la saveur,flavor
odeur; l'odeur; une odeur,smell
parfum; le parfum,perfume; flavor
boîte; la boîte,box; can
paquet; le paquet,packet; parcel
céréale; la céréale,cereal
pâtisserie; la pâtisserie,pastry; cake shop
boucherie; la boucherie,butcher's shop
épicerie; l'épicerie; une épicerie,grocery store
cantine; la cantine,canteen
pourboire; le pourboire,tip (gratuity)
région; la région,region
capitale; la capitale,capital city
banlieue; la banlieue,suburb
habitant; l'habitant; un habitant,inhabitant; resident
paysage; le paysage,landscape; scenery
côte; la côte,coast; rib
falaise; la falaise,cliff
désert; le désert,desert
fleuve; le fleuve,river (large)
sommet; le sommet,summit; top
grotte; la grotte,cave
volcan; le volcan,volcano
tremblement de terre; le tremblement de terre,earthquake
inondation; l'inondation; une inondation,flood
incendie; l'incendie; un incendie,blaze; fire
catastrophe; la catastrophe,disaster
visite; la visite,visit
guide; le guide,guide
monument; le monument,monument
aventure; l'aventure; une aventure,adventure
sac à dos; le sac à dos,backpack
réservation; la réservation,reservation; booking
assurance; l'assurance; une assurance,insurance; confidence
trajet; le trajet,journey; commute
arrivée; l'arrivée; une arrivée,arrival
délai; le délai,deadline; time limit
rythme; le rythme,rhythm; pace
étape; l'étape; une étape,stage; step
période; la période,period
fréquence; la fréquence,frequency
nombre; le nombre,number
numéro; le numéro,number (phone or room)
chiffre; le chiffre,figure; digit
somme; la somme,sum; amount
pourcentage; le pourcentage,percentage
taux; le taux,rate
mesure; la mesure,measure; measurement
million; le million,million
milliard; le milliard,billion
paire; la paire,pair
série; la série,series
reste; le reste,rest; remainder
hauteur; la hauteur,height
largeur; la largeur,width
longueur; la longueur,length
profondeur; la profondeur,depth
volume; le volume,volume
dimension; la dimension,dimension
vitesse; la vitesse,speed
proportion; la proportion,proportion
total; le total,total
point; le point,point; dot
ligne; la ligne,line
cercle; le cercle,circle
angle; l'angle; un angle,angle
côté; le côté,side
bord; le bord,edge; side
milieu; le milieu,middle; environment
centre; le centre,center
limite; la limite,limit
matériel; le matériel,equipment; hardware
métal; le métal,metal
fer; le fer,iron
bois; le bois,wood; woods
pierre; la pierre,stone
plastique; le plastique,plastic
tissu; le tissu,fabric; tissue
coton; le coton,cotton
cuir; le cuir,leather
or; l'or; un or,gold
exprimer,to express
s'exprimer,to express oneself
exiger,to demand; to require
atteindre,to reach; to achieve
augmenter,to increase
diminuer,to decrease
baisser,to lower; to drop
réduire,to reduce
développer,to develop
entraîner,to cause; to train
consister,to consist
concerner,to concern
correspondre,to correspond
appartenir,to belong
dépendre,to depend
représenter,to represent
remplacer,to replace
produire,to produce
fournir,to provide; to supply
présenter,to present; to introduce
considérer,to consider
remarquer,to notice
apercevoir,to catch sight of
reconnaître,to recognize
prévoir,to foresee; to plan
prévenir,to warn; to prevent
empêcher,to prevent
protéger,to protect
défendre,to defend; to forbid
attaquer,to attack
lutter,to fight; to struggle
gérer,to manage
diriger,to lead; to run
organiser,to organize
participer,to take part
contribuer,to contribute
négocier,to negotiate
convaincre,to convince
encourager,to encourage
féliciter,to congratulate
se plaindre,to complain
souffrir,to suffer
subir,to undergo
manquer,to miss; to lack
échouer,to fail
abandonner,to give up; to abandon
renoncer,to give up; to renounce
hésiter,to hesitate
douter,to doubt
ignorer,to be unaware of; to ignore
admettre,to admit
avouer,to confess
nier,to deny
affirmer,to assert
déclarer,to declare
annoncer,to announce
prononcer,to pronounce
traduire,to translate
résumer,to summarize
décrire,to describe
définir,to define
citer,to quote; to cite
mentionner,to mention
souligner,to underline; to stress
insister,to insist
répéter,to repeat
préciser,to specify
indiquer,to indicate
signaler,to report; to point out
avertir,to warn
rappeler,to remind; to call back
retenir,to remember; to hold back
enseigner,to teach
former,to train; to form
corriger,to correct
évaluer,to assess
juger,to judge
critiquer,to criticize
comparer,to compare
distinguer,to distinguish
classer,to classify; to file
trier,to sort
mélanger,to mix
séparer,to separate
diviser,to divide
réunir,to gather
attacher,to attach; to tie
relier,to link; to connect
brancher,to plug in
installer,to install; to set up
fabriquer,to manufacture
cultiver,to grow; to cultivate
planter,to plant
arroser,to water
chasser,to hunt; to chase away
pêcher,to fish
élever,to raise; to bring up
nourrir,to feed
sauver,to save; to rescue
accompagner,to accompany
guider,to guide
mener,to lead
commander,to order; to command
imposer,to impose
obliger,to force; to oblige
forcer,to force
autoriser,to authorize
interdire,to forbid
tolérer,to tolerate
approuver,to approve
confirmer,to confirm
garantir,to guarantee
assurer,to ensure; to insure
promettre,to promise
jurer,to swear
s'engager,to commit
s'inscrire,to sign up; to register
enregistrer,to record
marquer,to mark; to score
effacer,to erase
supprimer,to delete; to remove
modifier,to modify
transformer,to transform
adapter,to adapt
régler,to settle; to adjust
fixer,to set; to fix
établir,to establish
déterminer,to determine
calculer,to calculate
mesurer,to measure
peser,to weigh
estimer,to estimate; to reckon
planifier,to plan
exister,to exist
apparaître,to appear
disparaître,to disappear
se produire,to happen; to occur
avoir lieu,to take place
évoluer,to evolve; to change
progresser,to progress
avancer,to move forward
reculer,to move back
dépasser,to overtake; to exceed
franchir,to cross; to get over
rejoindre,to join; to catch up with
s'approcher,to approach
s'éloigner,to move away
entourer,to surround
couvrir,to cover
exposer,to display; to exhibit
faible,weak
lourd,heavy
léger,light (weight)
large,wide; broad
étroit,narrow
profond,deep
haut,high; tall
bas,low
mouillé,wet
rond,round
pointu,pointed
mou,soft
dur,hard; tough
solide,solid; sturdy
fragile,fragile
souple,flexible; supple
épais,thick
mince,thin; slim
serré,tight
vaste,vast
immense,huge; immense
énorme,enormous
minuscule,tiny
nombreux,numerous
rare,rare
fréquent,frequent
constant,constant
régulier,regular
irrégulier,irregular
habituel,usual
courant,common; fluent
normal,normal
général,general
particulier,particular; private
spécial,special
principal,main
essentiel,essential
évident,obvious
précis,precise
exact,exact
correct,correct
juste,fair; right
injuste,unfair
égal,equal
différent,different
semblable,similar
pareil,same; alike
identique,identical
divers,various
complet,complete; full
entier,whole; entire
partiel,partial
suffisant,sufficient
supplémentaire,extra; additional
secondaire,secondary
local,local
national,national
international,international
mondial,global; worldwide
privé,private
social,social
économique,economic; cheap
professionnel,professional
individuel,individual
commun,common; shared
culturel,cultural
naturel,natural
réel,real
concret,concrete
abstrait,abstract
pratique,practical; handy
technique,technical
scientifique,scientific
médical,medical
physique,physical
mental,mental
moral,moral
légal,legal
officiel,official
responsable,responsible
sûr,sure; safe
certain,certain
probable,probable; likely
efficace,effective; efficient
inutile,useless
précieux,precious; valuable
célèbre,famous
populaire,popular
riche,rich
pauvre,poor
autrement,otherwise
sinon,otherwise; if not
néanmoins,nevertheless
toutefois,however
en revanche,on the other hand
par ailleurs,moreover; besides
en outre,furthermore
de plus,moreover
en fait,in fact; actually
au fond,deep down; basically
en général,in general
en particulier,in particular
par conséquent,consequently
du coup,as a result (informal)
à peine,hardly; barely
de nouveau,again
tout de même,all the same
quant à,as for
au cas où,in case
à condition que,provided that
de sorte que,so that
au fur et à mesure,gradually
peu à peu,little by little
de plus en plus,more and more
de moins en moins,less and less
tôt ou tard,sooner or later
à la fois,at the same time; both
en même temps,at the same time
jusqu'ici,so far; up to now
entre-temps,meanwhile
par la suite,afterwards; later
avant tout,above all
avant-hier,the day before yesterday
après-demain,the day after tomorrow
autant,as much; as many
tellement,so; so much
à peu près,roughly; about
de nos jours,nowadays
en train de,in the process of
sur le point de,about to
fait; le fait,fact
réalité; la réalité,reality
existence; l'existence; une existence,existence
présence; la présence,presence
absence; l'absence; une absence,absence
manque; le manque,lack; shortage
excès; l'excès; un excès,excess
désir; le désir,desire
intention; l'intention; une intention,intention
ambition; l'ambition; une ambition,ambition
attente; l'attente; une attente,wait; expectation
souhait; le souhait,wish
signification; la signification,meaning
importance; l'importance; une importance,importance
intérêt; l'intérêt; un intérêt,interest
utilité; l'utilité; une utilité,usefulness
nécessité; la nécessité,necessity
obligation; l'obligation; une obligation,obligation
permission; la permission,permission
interdiction; l'interdiction; une interdiction,ban; prohibition
condition; la condition,condition
exception; l'exception; une exception,exception
cas; le cas,case
circonstance; la circonstance,circumstance
contexte; le contexte,context
aspect; l'aspect; un aspect,aspect
élément; l'élément; un élément,element
caractéristique; la caractéristique,feature; characteristic
capacité; la capacité,capacity; ability
possibilité; la possibilité,possibility
changement; le changement,change
transformation; la transformation,transformation
amélioration; l'amélioration; une amélioration,improvement
baisse; la baisse,drop; fall
hausse; la hausse,rise; increase
croissance; la croissance,growth
évolution; l'évolution; une évolution,evolution
incident; l'incident; un incident,incident
événement; l'événement; un événement,event
phénomène; le phénomène,phenomenon
action; l'action; une action,action
activité; l'activité; une activité,activity
influence; l'influence; une influence,influence
impact; l'impact; un impact,impact
rôle; le rôle,role
contrôle; le contrôle,control; check
protection; la protection,protection
défense; la défense,defense
attaque; l'attaque; une attaque,attack
menace; la menace,threat
violence; la violence,violence
faute; la faute,fault; mistake
excuse; l'excuse; une excuse,excuse; apology
punition; la punition,punishment
récompense; la récompense,reward
méfiance; la méfiance,distrust
soupçon; le soupçon,suspicion
accusation; l'accusation; une accusation,accusation
réputation; la réputation,reputation
gloire; la gloire,glory
culture; la culture,culture
civilisation; la civilisation,civilization
tradition; la tradition,tradition
coutume; la coutume,custom
religion; la religion,religion
croyance; la croyance,belief
dieu; le dieu,god
foi; la foi,faith
prière; la prière,prayer
cérémonie; la cérémonie,ceremony
inégalité; l'inégalité; une inégalité,inequality
injustice; l'injustice; une injustice,injustice
discrimination; la discrimination,discrimination
misère; la misère,poverty; misery
catégorie; la catégorie,category
statut; le statut,status
identité; l'identité; une identité,identity
origine; l'origine; une origine,origin
communauté; la communauté,community
association; l'association; une association,association
organisation; l'organisation; une organisation,organization
institution; l'institution; une institution,institution
administration; l'administration; une administration,administration
fonctionnaire; le fonctionnaire,civil servant
maire; le maire,mayor
mairie; la mairie,town hall
honneur; l'honneur; un honneur,honor
dignité; la dignité,dignity
célébrité; la célébrité,celebrity; fame
renommée; la renommée,fame; renown
planète; la planète,planet
réchauffement; le réchauffement,warming
océan; l'océan; un océan,ocean
source; la source,source; spring
récolte; la récolte,harvest
flamme; la flamme,flame
fumée; la fumée,smoke
goutte; la goutte,drop
boue; la boue,mud
cendre; la cendre,ash
gel; le gel,frost; gel
tige; la tige,stem
graine; la graine,seed
buisson; le buisson,bush
prairie; la prairie,meadow
troupeau; le troupeau,herd
mammifère; le mammifère,mammal
reptile; le reptile,reptile
baleine; la baleine,whale
dauphin; le dauphin,dolphin
aigle; l'aigle; un aigle,eagle
hibou; le hibou,owl
corbeau; le corbeau,crow
pigeon; le pigeon,pigeon
perroquet; le perroquet,parrot
écureuil; l'écureuil; un écureuil,squirrel
rat; le rat,rat
chauve-souris; la chauve-souris,bat
escargot; l'escargot; un escargot,snail
ver; le ver,worm
guêpe; la guêpe,wasp
crabe; le crabe,crab
huître; l'huître; une huître,oyster
plume; la plume,feather
bec; le bec,beak
nid; le nid,nest
griffe; la griffe,claw
corne; la corne,horn
fourrure; la fourrure,fur
toile; la toile,web; canvas
crâne; le crâne,skull
colonne; la colonne,column; spine
hanche; la hanche,hip
cuisse; la cuisse,thigh
paume; la paume,palm
sourcil; le sourcil,eyebrow
cil; le cil,eyelash
paupière; la paupière,eyelid
mâchoire; la mâchoire,jaw
veine; la veine,vein
rein; le rein,kidney
tension; la tension,blood pressure
pouls; le pouls,pulse
cicatrice; la cicatrice,scar
bosse; la bosse,bump
entorse; l'entorse; une entorse,sprain
fracture; la fracture,fracture
brûlure; la brûlure,burn
crampe; la crampe,cramp
vertige; le vertige,dizziness
nausée; la nausée,nausea
migraine; la migraine,migraine
insomnie; l'insomnie; une insomnie,insomnia
infection; l'infection; une infection,infection
microbe; le microbe,germ
virus; le virus,virus
remède; le remède,remedy
pilule; la pilule,pill
seringue; la seringue,syringe
plâtre; le plâtre,cast; plaster
béquille; la béquille,crutch
fauteuil roulant; le fauteuil roulant,wheelchair
thermomètre; le thermomètre,thermometer
balance; la balance,scales
gorgée; la gorgée,sip; mouthful
bouchée; la bouchée,mouthful; bite
cuillerée; la cuillerée,spoonful
poêle; la poêle,frying pan
casserole; la casserole,saucepan
marmite; la marmite,cooking pot
couvercle; le couvercle,lid
planche; la planche,board; plank
louche; la louche,ladle
passoire; la passoire,colander; strainer
torchon; le torchon,dish towel
nappe; la nappe,tablecloth
plateau; le plateau,tray
bol; le bol,bowl
saladier; le saladier,salad bowl
gobelet; le gobelet,cup; tumbler
paille; la paille,straw
levure; la levure,yeast
pâte; la pâte,dough; batter
mie; la mie,crumb (of bread)
croûte; la croûte,crust
tartine; la tartine,slice of bread
galette; la galette,flat cake
pâté; le pâté,pâté
omelette; l'omelette; une omelette,omelette
purée; la purée,mash
ragoût; le ragoût,stew
rôti; le rôti,roast
grillade; la grillade,grilled meat
brochette; la brochette,skewer; kebab
assaisonnement; l'assaisonnement; un assaisonnement,seasoning
moutarde; la moutarde,mustard
mayonnaise; la mayonnaise,mayonnaise
épinard; l'épinard; un épinard,spinach
chou; le chou,cabbage
chou-fleur; le chou-fleur,cauliflower
brocoli; le brocoli,broccoli
betterave; la betterave,beetroot
navet; le navet,turnip
radis; le radis,radish
poireau; le poireau,leek
aubergine; l'aubergine; une aubergine,eggplant; aubergine
abricot; l'abricot; un abricot,apricot
prune; la prune,plum
framboise; la framboise,raspberry
myrtille; la myrtille,blueberry
pastèque; la pastèque,watermelon
pamplemousse; le pamplemousse,grapefruit
figue; la figue,fig
noisette; la noisette,hazelnut
amande; l'amande; une amande,almond
cacahuète; la cacahuète,peanut
olive; l'olive; une olive,olive
gingembre; le gingembre,ginger
cannelle; la cannelle,cinnamon
menthe; la menthe,mint
basilic; le basilic,basil
persil; le persil,parsley
dinde; la dinde,turkey (meat)
agneau; l'agneau; un agneau,lamb
côtelette; la côtelette,chop; cutlet
filet; le filet,fillet; net
thon; le thon,tuna
saumon; le saumon,salmon
truite; la truite,trout
morue; la morue,cod
coquillage; le coquillage,shellfish; seashell
cidre; le cidre,cider
champagne; le champagne,champagne
limonade; la limonade,lemonade
infusion; l'infusion; une infusion,herbal tea
tisane; la tisane,herbal tea
alcool; l'alcool; un alcool,alcohol
glaçon; le glaçon,ice cube
laine; la laine,wool
soie; la soie,silk
velours; le velours,velvet
caoutchouc; le caoutchouc,rubber
carton; le carton,cardboard
brique; la brique,brick
ciment; le ciment,cement
béton; le béton,concrete
acier; l'acier; un acier,steel
bronze; le bronze,bronze
argile; l'argile; une argile,clay
marbre; le marbre,marble
charbon; le charbon,coal
fil; le fil,thread; wire
corde; la corde,rope
ficelle; la ficelle,string
nœud; le nœud,knot
clou; le clou,nail (metal)
vis; la vis,screw
échelle; l'échelle; une échelle,ladder; scale
pelle; la pelle,shovel
scie; la scie,saw
tournevis; le tournevis,screwdriver
pince; la pince,pliers; clip
perceuse; la perceuse,drill
pinceau; le pinceau,paintbrush
colle; la colle,glue
ruban; le ruban,ribbon
aiguille; l'aiguille; une aiguille,needle
fermeture; la fermeture,zip; closing
poche; la poche,pocket
manche; la manche,sleeve
col; le col,collar; mountain pass
capuche; la capuche,hood
gant; le gant,glove
bonnet; le bonnet,woolly hat
casquette; la casquette,cap
sandale; la sandale,sandal
botte; la botte,boot
pantoufle; la pantoufle,slipper
maillot; le maillot,swimsuit; jersey
costume; le costume,suit; costume
cravate; la cravate,tie
sous-vêtement; le sous-vêtement,underwear
pyjama; le pyjama,pajamas
tablier; le tablier,apron
uniforme; l'uniforme; un uniforme,uniform
bijou; le bijou,jewel
bague; la bague,ring
collier; le collier,necklace
bracelet; le bracelet,bracelet
boucle d'oreille; la boucle d'oreille,earring
parapluie; le parapluie,umbrella
portefeuille; le portefeuille,wallet
mouchoir; le mouchoir,handkerchief; tissue
peigne; le peigne,comb
gomme; la gomme,eraser
rasoir; le rasoir,razor
maquillage; le maquillage,makeup
dentifrice; le dentifrice,toothpaste
shampooing; le shampooing,shampoo
déodorant; le déodorant,deodorant
éponge; l'éponge; une éponge,sponge
seau; le seau,bucket
cintre; le cintre,coat hanger
coffre; le coffre,trunk; chest
placard; le placard,cupboard; closet
commode; la commode,chest of drawers
sculpture; la sculpture,sculpture
statue; la statue,statue
galerie; la galerie,gallery
artiste; l'artiste; un artiste,artist
chef-d'œuvre; le chef-d'œuvre,masterpiece
teinte; la teinte,shade; tint
cadre; le cadre,frame; setting
photographie; la photographie,photography
appareil photo; l'appareil photo; un appareil photo,camera
cliché; le cliché,snapshot; cliché
tournage; le tournage,filming; shoot
réalisateur; le réalisateur,film director
scénario; le scénario,screenplay; scenario
personnage; le personnage,character (in a story)
intrigue; l'intrigue; une intrigue,plot
comédie; la comédie,comedy
tragédie; la tragédie,tragedy
conte; le conte,tale
légende; la légende,legend; caption
auteur; l'auteur; un auteur,author
lecteur; le lecteur,reader; player (device)
lecture; la lecture,reading
librairie; la librairie,bookstore
éditeur; l'éditeur; un éditeur,publisher; editor
rédaction; la rédaction,essay; editing
brouillon; le brouillon,rough draft
mélodie; la mélodie,melody
refrain; le refrain,chorus (song)
parole; la parole,spoken word; lyrics
voix; la voix,voice; vote
flûte; la flûte,flute
trompette; la trompette,trumpet
tambour; le tambour,drum
partition; la partition,sheet music
haut-parleur; le haut-parleur,speaker
micro; le micro,microphone
antenne; l'antenne; une antenne,antenna
câble; le câble,cable
touche; la touche,key (keyboard)
sauvegarde; la sauvegarde,backup
téléchargement; le téléchargement,download
puce; la puce,chip; flea
pile; la pile,battery (cell)
interrupteur; l'interrupteur; un interrupteur,switch
réveil; le réveil,alarm clock
horloge; l'horloge; une horloge,clock
cadran; le cadran,dial; clock face
échéance; l'échéance; une échéance,deadline; due date
décennie; la décennie,decade
aube; l'aube; une aube,dawn
crépuscule; le crépuscule,dusk
coucher du soleil; le coucher du soleil,sunset
lever du soleil; le lever du soleil,sunrise
quotidien; le quotidien,daily life; daily paper
emploi du temps; l'emploi du temps; un emploi du temps,timetable; schedule
pause; la pause,break; pause
jour férié; le jour férié,public holiday
réveillon; le réveillon,festive eve dinner
stage; le stage,internship
stagiaire; le stagiaire,intern
apprenti; l'apprenti; un apprenti,apprentice
mission; la mission,mission; assignment
embauche; l'embauche; une embauche,hiring
licenciement; le licenciement,layoff; dismissal
démission; la démission,resignation
prime; la prime,bonus
devis; le devis,quote; estimate
chiffre d'affaires; le chiffre d'affaires,turnover; revenue
taxe; la taxe,tax; duty
amende; l'amende; une amende,fine
économies; les économies,savings
épargne; l'épargne; une épargne,savings
emprunt; l'emprunt; un emprunt,loan
distributeur; le distributeur,cash machine
virement; le virement,bank transfer
chèque; le chèque,check; cheque
liquide; le liquide,cash
devise; la devise,currency; motto
héritage; l'héritage; un héritage,inheritance; heritage
propriété; la propriété,property; ownership
possession; la possession,possession
faillite; la faillite,bankruptcy
commerçant; le commerçant,shopkeeper
artisan; l'artisan; un artisan,craftsman
fournisseur; le fournisseur,supplier
livreur; le livreur,delivery person
plombier; le plombier,plumber
électricien; l'électricien; un électricien,electrician
mécanicien; le mécanicien,mechanic
menuisier; le menuisier,carpenter
maçon; le maçon,bricklayer; mason
jardinier; le jardinier,gardener
serveuse; la serveuse,waitress
caissière; la caissière,cashier (female)
vendeuse; la vendeuse,saleswoman
femme de ménage; la femme de ménage,cleaning lady
gardien; le gardien,guard; caretaker
pilote; le pilote,pilot
marin; le marin,sailor
agent; l'agent; un agent,agent; officer
camarade; le camarade,classmate; comrade
partenaire; le partenaire,partner
adversaire; l'adversaire; un adversaire,opponent
ennemi; l'ennemi; un ennemi,enemy
foule; la foule,crowd
individu; l'individu; un individu,individual
jumeau; le jumeau,twin
neveu; le neveu,nephew
nièce; la nièce,niece
beau-père; le beau-père,stepfather; father-in-law
belle-mère; la belle-mère,stepmother; mother-in-law
beau-frère; le beau-frère,brother-in-law
belle-sœur; la belle-sœur,sister-in-law
gendre; le gendre,son-in-law
appuyer,to press; to lean
frapper,to hit; to knock
serrer,to squeeze; to tighten
saisir,to grab; to seize
lâcher,to let go
ramasser,to pick up
soulever,to lift
glisser,to slide; to slip
rouler,to roll; to drive along
freiner,to brake
démarrer,to start up
accélérer,to speed up
ralentir,to slow down
se garer,to park
gâcher,to spoil; to waste
abîmer,to damage
déchirer,to tear
plier,to fold
coudre,to sew
repasser,to iron
balayer,to sweep
frotter,to scrub; to rub
essuyer,to wipe
verser,to pour
remuer,to stir
éplucher,to peel
bouillir,to boil
griller,to grill; to toast
réchauffer,to reheat
avaler,to swallow
mordre,to bite
respirer,to breathe
souffler,to blow
éternuer,to sneeze
trembler,to tremble; to shake
transpirer,to sweat
vomir,to vomit
s'évanouir,to faint
blesser,to injure
tuer,to kill
se battre,to fight
crier,to shout
chuchoter,to whisper
se taire,to be quiet
espérer,to hope
souhaiter,to wish
imaginer,to imagine
supposer,to suppose
deviner,to guess
prétendre,to claim
soupçonner,to suspect
se méfier,to be wary
se rendre compte,to realize
constater,to note; to observe
apprécier,to appreciate
admirer,to admire
envier,to envy
mépriser,to despise
pardonner,to forgive
s'excuser,to apologize
regretter,to regret
