English,Definition
deputy,a person who acts for a leader when needed
descend,to move down from a higher place
descriptive,giving a detailed picture in words
desirable,worth having; wanted by many
desktop,a fixed computer for one location; the main screen on a computer
desolation,a feeling of great sadness and loneliness
desperately,in an urgent almost hopeless way
desperation,a feeling of hopelessness that pushes reckless action
despise,to dislike someone or something strongly
destiny,the future events that will happen to someone
detach,to remove one part from another
detachment,a lack of emotional involvement; the act of separating something
detailed,having many small facts included
detect,to notice or discover something hidden
determined,having a firm plan to succeed
determiner,a word placed before a noun (grammar)
developing,becoming more advanced and industrialized
devil,an evil spirit in some religions
devote,to give all your time to something
devoted,showing great love and loyalty
diarrhea,an illness causing frequent watery bowel movements
dictator,a ruler with total power over a country
digest,a short summary of a longer text
dignify,to make something seem more important than it is
dignity,a calm manner that deserves respect
dilemma,a hard choice between two options
dim,not bright; giving little light
dime,a US coin worth ten cents
dimension,a measurable size such as length or width
dip,to put something briefly into a liquid
diphtheria,a serious infectious disease of the throat
diploma,a certificate given after finishing a course
diplomat,an official who represents their country abroad
disappearance,the act of no longer being seen
disapproval,a feeling that something is wrong or bad
disapprove,to think that something is wrong
discharge,the act of letting someone leave; a fluid that flows out
disciple,a follower of a teacher or leader
discipline,training that teaches self-control and order
disconnect,to stop two things being joined
discredit,to make people stop trusting someone
discriminate,to treat someone unfairly because of their group
disgrace,shame after doing something wrong
disguise,clothes worn to hide who you are
dishonesty,the quality of not telling the truth
disillusion,to show someone that a belief was false
dismiss,to send someone away; to remove someone from a job
disorder,a state of confusion or untidiness; an illness of body or mind
disorderly,untidy or badly behaved
disorganized,not arranged in a neat or planned way
dispensable,not essential; able to be done without
displace,to force someone from their home; to take over another's role
displeasure,a feeling of annoyance or dislike
disposal,the act of getting rid of something
disposition,a person's natural way of behaving
dispute,a strong disagreement between people
disqualify,to officially stop someone from taking part
disregard,a lack of care or attention given to something
disrupt,to interrupt something and stop it from working
dissatisfaction,a feeling of not being happy with something
dissatisfied,not happy with something
dissident,a person who opposes their government publicly
distinguished,famous and respected for great skill
distortion,a change that makes something look or sound wrong
distract,to take someone's attention away from something
distraction,something that takes your attention away
distressing,making you feel very upset or worried
distributor,a company that sends goods to shops
diversion,a change to a different route or activity
divert,to change the direction of something
divided,split into separate parts or groups
division,the act of splitting something into parts
divorce,the legal ending of a marriage
DNA,the material inside cells that carries genetic information
dock,a place where ships load and unload
domestic,relating to the home or one's own country
dominate,to have the most power or control over something
donate,to give money or goods to help others
donation,money or goods given to help others
donkey,a farm animal like a small horse with long ears
doom,a very bad fate that cannot be avoided
doorkeeper,a person who guards or watches a door
doorway,the opening where a door is
dorm,a bedroom shared by students at college
dormitory,a building where students live and sleep
dose,an amount of medicine taken at one time
doubly,even more so than usual
doubtful,not sure that something is true or will happen
dove,a white bird that is a symbol of peace
downfall,a sudden loss of power or success
downsize,to reduce the size of a company by cutting jobs
dowry,money or property a bride's family gives at marriage
draft,an early version of a piece of writing
drain,a pipe that carries away waste water
dramatically,in a sudden and very noticeable way
drapery,heavy cloth hung as a curtain
dread,to fear something that will happen soon
dreadful,very bad or unpleasant
dreamy,seeming lost in thought or half asleep
drinkable,safe or good enough to drink
droop,the state of hanging down weakly
dropout,a person who leaves school before finishing
drought,a long period with little or no rain
duel,a fight between two people using weapons
dumb,not smart (informal); unable to speak
duplicate,an exact copy of something
duplication,the act of making an exact copy
dwarf,a person or thing much smaller than normal
dye,a substance used to change the color of something
dynamic,full of energy and new ideas
eagerly,with great enthusiasm and interest
eagle,a large powerful bird that hunts other animals
earnings,the money you earn from work
ease,the state of being simple or comfortable
eastward,toward the east
ecologically,in a way that relates to nature and the environment
ecologist,a scientist who studies nature and living things
economical,using as little money or resources as possible
economist,an expert who studies money and trade
ecstatic,extremely happy and excited
edit,a change made to improve a piece of writing
editorial,an article giving a newspaper's opinion
educated,having learned a lot through school or study
educator,a person whose job is teaching
effectively,in a way that produces the result you want
effectiveness,the degree to which something produces the wanted result
elect,to choose someone by voting
elective,optional rather than required
electrician,a worker who installs and repairs electric wiring
electronically,by using electronic devices
electronics,electronic devices such as computers and phones
elegance,a graceful and stylish quality
elegant,graceful and stylish in appearance
elegantly,in a graceful and stylish way
elemental,relating to the most basic parts of something
eligible,allowed to do or receive something
elite,the richest or most powerful group of people
eloquence,skill in speaking or writing well
eloquent,able to speak or write very well
embassy,a country's official office in another country
embrace,the act of holding someone closely with your arms
emergence,the process of coming into existence
emphatically,in a very strong and clear way
employ,to pay someone to do work for you
employee,a person who works for someone else for pay
employer,a person or company that pays people to work
endeavor,a serious effort to achieve something
endlessly,without ever stopping
endorse,to publicly say you support something
endurance,the ability to keep doing something hard for a long time
enduring,lasting for a very long time
energy,power that makes things work or move
enforce,to make sure a rule or law is obeyed
engagement,a promise to marry someone; an appointment
engulf,to completely cover or surround something
enhance,to make something better or more attractive
enroll,to officially join a course or school
enterprise,a business or company; a bold plan
entertaining,fun and enjoyable to watch or listen to
enthusiastically,showing strong excitement and interest
entitle,to give someone the right to have something
entrepreneur,a person who starts and runs their own business
environment,the natural world including air water and land
environmentally,in a way connected to the natural environment
environmentally friendly,not harmful to the natural environment
equation,a statement that says two things are equal
equip,to provide someone with the tools they need
equity,fairness; share value in a company
erect,standing straight up
erupt,to burst out suddenly and violently
eruption,a sudden violent burst of something such as lava
essayist,a person who writes essays
essentially,in the most basic and important way
estate,a large piece of land; all someone's money and property
estimated,roughly calculated rather than exact
eternally,forever without end
ethic,a moral rule about what is right and wrong
ethnic,relating to a group sharing culture or ancestry
evacuate,to move people away from a dangerous place
evacuation,the act of moving people away from danger
evaluate,to judge the value or quality of something
evaluation,a judgment about the value or quality of something
everlasting,existing forever without ending
evidently,clearly based on what can be seen
evil,very bad and cruel
evolution,the gradual change of living things over time
evolve,to change and develop gradually over time
exactness,the quality of being precise and correct
exaggerate,to describe something as bigger than it really is
exaggeration,a description that makes something seem bigger than it is
exalt,to praise or honor someone greatly
examinee,a person taking an exam
exceed,to be greater than a limit or amount
excel,to be very good at something
exception,someone or something that is not included in a rule
exceptional,unusually good or great
exceptionally,to an unusually high degree
excessive,much more than what is needed or reasonable
exclaim,to say something suddenly and loudly
exclamation mark,the punctuation mark used to show strong feeling
exclude,to keep someone or something out of a group
exclusion,the act of keeping someone out of a group
exclusively,only and not shared with anyone else
excursion,a short trip taken for pleasure
execute,to carry out a plan; to kill as punishment
execution,the carrying out of a plan; a killing as legal punishment
executive,relating to managing a company
exhaust,waste gas that comes out of an engine
exhausting,making you very tired
exhaustion,a feeling of being very tired
exhibit,to show something to the public
exile,a period of being forced to live away from home
existing,already present now; current
exotic,unusual and from a faraway country
expansion,the act of becoming bigger
expectation,a strong belief that something will happen
expected,thought likely to happen or arrive
expedition,a long trip to explore a place
explode,to burst suddenly with great force
exploit,to use someone or something unfairly for your own gain
explorer,a person who travels to discover new places
explosive,able to burst violently
export,a product sold to another country
expressive,showing feelings clearly
exquisite,extremely beautiful and delicate
extension,an added part that makes something longer
extensive,covering a large area or amount
external,on or from the outside
extract,a short part taken from a book or film
extraordinarily,very unusually; remarkably
exultant,filled with great joy after success
eyebrow,the line of hair above an eye
eyelash,a short hair growing at the edge of the eye
eyelid,the skin that covers an eye when closed
fabric,cloth used to make clothes
fabulous,wonderful; extremely good
facilitate,to make something easier to do
facilities,buildings or equipment provided for a purpose
factor,something that helps cause a result
faculty,a department of a university; a natural ability
faith,strong trust in someone or something
falter,to become weak or unsteady while doing something
fame,the state of being known by many people
familiarize,to make yourself know something well
fantastically,extremely; in a wonderful way
fascinated,very interested in something
fascination,a strong interest in something
fatal,causing death; extremely dangerous
fate,the power believed to control future events
father-in-law,the father of your husband or wife
faulty,not working correctly
fearsome,very frightening because of great size or power
feat,an act that needs great skill or strength
fed up,annoyed and tired of something (informal)
federal,relating to the central government of a group of states
feedback,comments about how well something worked
ferryboat,a boat that carries people across water
fiber,a thin thread that forms cloth or plant tissue
fictional,invented for a story; not real
fierce,very strong and aggressive
fighting,a violent struggle between people
figurative,used with a meaning other than the literal one
filial,relating to a son or daughter's duty (formal)
financially,in a way related to money
finely,into very small pieces; in a delicate way
fingernail,the hard part at the tip of a finger
fire brigade,a group of people trained to stop fires
firearm,a weapon such as a gun
fireplace,a place in a room where a fire burns
firmness,the quality of being solid or determined
first language,the language you learn from birth
first person,the grammatical form used to refer to yourself
firstly,before anything else
fiscal,relating to government money or taxes
fixed,not able to be changed
flame,the bright hot part of a fire
flap,to move up and down quickly
flaw,a mistake or weak point in something
flawless,perfect; without any mistake
flax,a plant used to make cloth and oil
flee,to run away from danger
fleet,a group of ships or vehicles owned together
flesh,the soft part of a body under the skin
flexibility,the ability to change or adapt easily
flexible,able to change or bend easily
flexibly,in a way that can change easily
flip,to turn something over quickly
fluency,the ability to speak smoothly and easily
fluid,able to flow like a liquid; likely to change
flutter,a quick light movement of wings
follower,a person who supports or copies someone
folly,a very foolish action
fondly,with warm affection
foolishly,in a silly way that shows poor judgment
footnote,a short note at the bottom of a page
forcefully,with strong power or determination
foreman,a person who leads a team of workers
foresee,to know something will happen before it does
forestry,the science of growing and caring for trees
formation,the way something is arranged or shaped
formerly,at an earlier time; in the past
formidable,very impressive or hard to deal with
forthcoming,about to happen soon
foul,very dirty or smelly; against the rules
found,to start an organization or institution
fox,a small wild animal with a bushy tail
fragrance,a pleasant smell
frankly,speaking honestly and directly
frantically,in a wild and hurried way caused by fear
fraud,the crime of lying to gain money
freak,to become suddenly very upset or excited (informal)
friendly,kind and pleasant toward others
frigate,a fast warship
frontier,the border between two countries; the edge of knowledge
frugal,careful not to spend too much money
fulfill,to do or achieve what was promised
fume,a strong-smelling gas or smoke
functional,working properly; useful
functionality,the range of things a machine can do
fundamental,forming a basic and necessary part
funk,a type of rhythmic dance music
funky,modern and stylish in an unusual way (informal)
furious,extremely angry; very mad
furiously,in a very angry way
furor,a sudden outburst of public anger
gaiety,a feeling of cheerful fun
gambling,risking money on games of chance
gang,a group of people who cause trouble together
gangster,a member of a group of violent criminals
gardener,a person who takes care of plants
gasp,a short quick breath of surprise
gateway,an entrance or way into a place
gaudy,too brightly colored or decorated
gaze,a long steady look
gear,equipment needed for an activity
generalization,a broad statement based on limited examples
generalize,to make a broad statement about a whole group
generosity,the quality of giving freely
generously,in a giving and kind way
genius,a person with extremely great ability
genre,a category of art or writing
gently,in a soft and careful way
genuine,real and true; not fake
genuinely,in a true and honest way
geographic,relating to the features of the earth's surface
germ,a tiny living thing that causes illness
getaway,a quick escape; a short holiday
ghetto,a poor area of a city
giveaway,something offered for free; a clue that reveals a secret
glacis,a sloping bank in front of a fort
glamorous,attractive and exciting in a stylish way
glare,an angry fixed look; strong unpleasant light
gleam,a small bright flash of light
glee,a feeling of great delight
global warming,the gradual rise in the earth's temperature
globally,across the whole world
glocal,considering both worldwide and local needs
gloomy,dark and sad
glorify,to praise something as very great
glow,soft steady light from something
goat,a horned farm animal giving milk
god,a being people worship as holy
godly,very religious and good
goodwill,friendly kind feelings toward others
gook,a sticky messy substance (informal)
gorge,a deep narrow valley between hills
governmental,about a nation's leaders and administration
gracefulness,a smooth attractive way of moving
gradual,happening slowly over time
grain,small seeds from crops like wheat
grand,large and impressive
graphically,vividly and in detail; using charts or diagrams
grasp,a firm hold with the hand; an understanding of something
gravestone,a stone marking a burial place
gravitation,the natural force pulling objects together
greatness,the quality of being excellent
grief,deep sadness after a loss
grieve,to feel sad about a loss
grim,serious and unpleasant; without hope
grin,a wide happy smile
grip,a tight hold on something
gross,total before deductions; disgusting (informal)
growing,becoming bigger or more common
grown-up,typical of an adult
guerrilla,a fighter in an unofficial army
guideline,advice on how to act
gulp,a quick big swallow
gum,a soft chewy sweet; (mouth) flesh around teeth
gunshot,the sound of firing a weapon
guts,courage to do something hard; (body) inner organs
gymnastic,about exercises using strength and balance
habitant,a person living in a place
hail,to wave down a taxi; to praise someone highly
hairy,having a lot of body fur
handicap,a condition limiting someone's abilities
handicraft,objects skillfully made without machines
handout,a printed sheet of information; free aid for the poor
handrail,a bar held while on stairs
hard drive,a computer part that stores data
