English,Definition
smugly,in a way that shows too much self-satisfaction
ferocious,very fierce and aggressive
ferociously,in a fierce and violent way
hostile,unfriendly and ready to fight or argue
hostility,unfriendly or angry behavior
dismay,to make someone feel worried or disappointed
methodical,done in a careful and orderly way
ruthless,having no pity for others
ruthlessness,a complete lack of pity for others
clan,a large group of related families
privileged,having special rights or advantages others lack
crumble,to break into small pieces
crumb,a tiny piece of bread or cake
closeness,a strong feeling of friendship or connection
rarity,something uncommon; the quality of being uncommon
evoke,to bring a feeling or memory to mind
repel,to push something away; to disgust
repellant,a substance that keeps insects or pests away
aqua,light blue-green in color
aquarium,a glass tank for keeping fish
insightfully,in a wise and understanding way
flashback,a scene showing an earlier event in a story
self-worth,a person's sense of their own value
cite,to mention a source as proof or example
citation,a quoted reference to a source
ecstatically,with extreme joy and excitement
pleasurable,giving enjoyment or delight
substantially,by a large amount
favorably,in a positive or approving way
diversity,a wide range of different types or people
elitist,a person who believes only a select few deserve special treatment
grumble,to complain in a low annoyed voice
rumble,to make a deep continuous rolling sound
neglectful,failing to take proper care of someone
roundup,a brief summary of recent events; a gathering of animals or people
conscientious,careful and thorough in one's duties
conscientiously,in a careful and thorough way
indefinite,not fixed or certain; without a clear end
indefinitely,for an unknown length of time
atmospheric,creating a particular mood or feeling
fuse,to join two things into one
fusion,the joining of two or more things into one
robust,strong and healthy; not easily broken
robustly,in a strong and sturdy way
dismal,very gloomy or depressing
dismally,in a gloomy or depressing way
crave,to want something very strongly
craving,a very strong desire for something
prospective,expected or likely in the future
swap,to exchange one thing for another
remotely,by a small amount; from a distant place
violet,having a purple-blue color
bubbly,full of energy and cheerfulness; fizzy
chaotically,in a confused and disorderly way
apprehensive,worried about something that might happen
settee,a long soft seat for two or more people
trampoline,a stretched sheet used for jumping and bouncing
stamina,the physical or mental strength to keep going
ploy,a clever trick used to gain an advantage
dither,to hesitate and be unable to decide
overalls,loose trousers with a piece covering the chest
unison,doing something together at the same time
snail,a small slow creature with a spiral shell
bliss,complete happiness
inexhaustible,never running out; endless
acre,a unit of land area
heifer,a young female cow that has not had a calf
ewe,a female sheep
adversary,an opponent in a fight or contest
victorious,having won a fight or contest
victoriously,in a triumphant way after achieving success
profound,very deep and serious
profoundly,very deeply or strongly
baldly,in a plain and direct way with no details hidden
bearded,having hair growing on the chin
professionalism,skill and proper conduct expected in a job
artistically,in a creative or skillful way
popularization,the act of making something widely known or liked
pendulum,a weight that swings back and forth
predecessor,a person who held a job before someone else
lapse,a brief failure or mistake; a gap in time
ceaseless,never stopping
ceaselessly,without ever stopping
climax,the most exciting or important point of something
climactic,relating to the most exciting point of a story
anticlimactic,disappointing after something exciting was expected
forfeit,to lose a right or privilege as punishment
twitch,to move suddenly and quickly in a small way
intellect,the ability to think and understand
descent,a movement downward; family origin
exodus,a mass departure of people
immortalize,to make someone remembered forever
genome,the complete set of genes in a living thing
fraction,a small part of something
faction,a small group within a larger organization
physique,the shape and size of a person's body
utensil,a tool used for cooking or eating
otter,a furry animal that swims and lives near water
clammy,unpleasantly damp and sticky
dispense,to give out or provide something
dispensary,a place where medicine is given out
diverge,to split and go in different directions
divergence,a growing difference between two things that were once similar
divergent,moving apart or different from each other
superficial,only on the surface; not deep or thorough
superficially,only on the surface; not in depth
aesthetic,relating to beauty or artistic taste
aesthetically,in a way related to beauty
scrutinize,to look at something very closely
scrutiny,close and careful examination
quip,a short clever remark
woo,to try to win someone's love
criteria,standards used to judge something
plausible,seeming likely to be true
plausibility,the quality of seeming true
plausibly,in a believable way
instinctive,done without thinking; natural
instinctively,without thinking; naturally
stylistic,relating to artistic technique
stylistically,in terms of artistic manner
inheritance,wealth left to someone after a death
inherent,naturally built into something
inherently,by nature; naturally
spontaneous,done suddenly without any planning
spontaneously,suddenly and without planning
honk,to make a loud horn sound
goose,a large water bird
innovate,to introduce new ideas
connoisseur,a person with expert taste
abstraction,an idea not tied to reality
tantrum,a child's sudden outburst of anger
discard,to throw something away
fatality,a death caused by an accident
stiffen,to become rigid
wooded,covered with trees
flatter,to praise someone insincerely
flattery,insincere praise meant to please
aimless,without any clear purpose
aimlessly,without any clear purpose
meaningless,having no real purpose
meaninglessly,in a way with no purpose
candid,honest and direct
candidly,in an honest direct way
vitality,energy and liveliness
provoke,to cause a strong reaction; to anger on purpose
provocative,likely to cause a strong reaction
provocatively,meant to stir strong feelings
clench,to close tightly; to grip something firmly
haggle,to argue over a price
scorn,strong dislike and lack of respect
scornful,showing strong dislike and disrespect
scornfully,in a way that shows disrespect
animatedly,in a lively excited way
obscure,to make something hard to see
obscurely,in an unclear confusing way
elevate,to raise to a higher level
elevation,the height of a place above sea level
tediously,in a long and boring way
succession,a series of things in order
formality,a strict rule of polite behavior
mountaineer,a person who climbs mountains
pioneer,to be first to try something
quest,a long search for something
transatlantic,crossing the ocean between continents
rudiments,basic parts of a subject
rudimentary,very basic
immense,extremely large in size
immensely,very much; extremely
advisory,giving guidance
trying,difficult and annoying to deal with
adrenaline,a body chemical released under stress
tinker,to make small adjustments to something
lavatory,a toilet (formal word)
pinnacle,the highest point of success
insecure,not confident about oneself; not safe
insecurely,in an unconfident way; in an unsafe way
reassure,to make someone feel less worried
reassurance,words that ease someone's worry
insensitive,not caring about others' feelings
insensitively,without caring about others' feelings
profess,to claim something openly
drawback,a disadvantage of something
oversee,to watch and manage a task
overseer,a person who manages workers
estimation,a rough judgment of value
liaison,a person who connects two groups
stressfully,in a tense worrying way
loom,to appear as a big threat
notwithstanding,despite; in spite of
structurally,in terms of its construction
structural,relating to how something is built
chauffer,a person hired to drive
sedentary,involving a lot of sitting
rapport,a friendly understanding between people
consultation,a meeting to get expert advice
consultancy,a business that gives expert advice
retention,the act of keeping something
quarry,a place where stone is cut
specification,a detailed list of requirements
contractor,a person hired to build things
possessor,a person who owns something
chill,to make something cold
chilly,a little cold
frosty,very cold; unfriendly
frostily,in a cold unfriendly manner
unmanned,operated with no person on board
impersonal,cold and distant in manner
impersonally,in a cold distant manner
impersonate,to pretend to be someone else
impersonator,a person who imitates someone else
impersonation,an act of imitating someone else
buzzer,a device that signals with sound
desertion,leaving a duty behind; leaving someone without permission
unoccupied,empty; not being used
stuffy,lacking fresh air; dull and formal
stuffily,in a dull overly formal way
stuffiness,lack of fresh air; dull formality
gape,to stare with your mouth open
repute,to be widely considered as
toughness,strength and ability to endure hardship
plumbing,water pipes in a building
glum,sad and gloomy
glumly,in a sad gloomy way
gamely,bravely despite difficulty
dissect,to cut apart to study
dissection,careful cutting apart for study
commend,to praise someone officially
commendation,official praise; an award for good work
thereby,by that means; as a result
flick,to move with a quick motion
flicker,a quick unsteady light; a brief trembling movement
unenviable,difficult and not wanted by anyone
unenviably,in a difficult unwanted way
allege,to claim something without proof
bribe,to pay someone to act dishonestly
bribery,paying someone to act dishonestly
inclusion,adding someone to a group
inclusive,leaving no one out
inclusively,without leaving anyone out
unconvincing,hard to believe
unconvincingly,in a way hard to believe
recharge,to fill with power again
facilitation,making a process easier
conditional,depending on something else being true
conditionally,only if certain requirements are met
supple,bending easily; flexible
manicure,a beauty treatment for the hands
pedicure,a beauty treatment for the feet
facial,relating to the face
bouquet,a bunch of flowers arranged together
refurbish,to repair and improve something old
refurbishment,repair and improvement of something old
grounds,land around a building; reasons for something
lethargy,a lack of energy
lethargic,lacking energy; slow and tired
lethargically,in a slow tired way
stately,grand and dignified in appearance
conserve,to protect and not waste something
conservatory,a glass room for plants; a music school
disquieting,making you feel anxious or uneasy
fiercely,in a very intense way
grapefruit,a large tart yellow citrus fruit
exotically,in a strange foreign way
flask,a small bottle for liquid
spacious,having lots of room inside
gourmet,relating to fancy food
conjure,to make something appear magically
creamy,smooth and rich in texture
sauna,a hot steamy room for relaxing
remedial,meant to help you catch up
posture,the way you hold your body
sedate,to give someone calming medicine
sedately,in a calm unhurried way
clutch,to hold something very tightly
staggering,extremely shocking or surprising
dutiful,always responsible and obedient
dutifully,in a responsible obedient way
calorie,a unit measuring energy in food
fabulously,extremely well or impressively
premises,a business building and its land
eclectic,mixing many different styles
eclectically,by mixing many different styles
revere,to deeply respect and admire
recognizable,easy to identify or know
recognizably,in an easily identifiable way
batter,to hit again and again
unreliably,in a way you cannot trust
waterfront,land next to the water
amply,fully; more than enough
amplification,making a sound much louder
battered,damaged from repeated hits
comply,to follow a rule
compliance,obeying rules or orders
compliant,willing to obey rules
compliantly,while willingly following rules
blankness,a look with no expression
exuberant,full of lively energy
exuberance,lively energy and excitement
exuberantly,with lively energy and excitement
linear,shaped like a straight line
linearly,in a straightforward step-by-step way
flourish,a bold sweeping gesture
anchored,firmly fixed in place
domination,total control over others
dominant,having the most power
dominantly,in a powerful controlling way
interject,to suddenly say something
interjection,a sudden interrupting remark
gush,to flow out heavily; to talk too enthusiastically
gushing,showing too much enthusiasm
gushingly,with too much enthusiasm
voracious,eagerly wanting large amounts
voraciously,in an eager greedy way
sketchbook,a book for drawing
prop,to support by leaning
imp,a small mischievous creature
impish,playfully naughty and harmless
impishly,in a playfully naughty way
wicked,morally bad or cruel
wickedly,in a cruel mischievous way
macabre,disturbing and related to death
gusto,great enthusiasm and enjoyment
tantamount,equivalent in effect (often bad)
antics,silly playful behavior for laughs
relapse,to become sick again; to return to a bad habit
impede,to slow down progress
impediment,something that blocks progress
taut,pulled very tight and firm
tautly,in a tight stretched way
jersey,a knitted sports shirt; a soft stretchy fabric
startling,very surprising and sudden
startlingly,in a very surprising way
slack,to avoid needed work; to become loose
slackly,in a loose careless way
unwavering,never changing or weakening
unwaveringly,without ever changing or weakening
removed,kept apart and distant
buffoon,a silly foolish person
beguiling,charming but slightly deceptive
beguilingly,in a charmingly deceptive way
blithely,casually without any worry
stray,to wander off course
mythological,from ancient traditional stories
mythology,a set of ancient legends
venerate,to deeply respect someone
veneration,deep respect and honor
ethical,morally right and fair
ethically,in a morally right way
heroine,the brave female main character
refreshing,pleasantly new or cooling
zany,funny in a strange way
devotee,someone very enthusiastic about something
salve,a soothing cream for wounds
salvation,being rescued from danger
salvage,to save from being ruined
staccato,made of short sharp sounds
verve,lively energy and style
motley,made of very different types
preach,to give a moral talk
preacher,someone who gives religious talks
justly,in a fair deserved way
wry,showing dry mocking humor
wryly,with dry mocking humor
poetess,a woman who writes poems
confide,to share a private secret
sentient,able to feel and sense
sentiment,a feeling or opinion
sentimental,showing tender emotion easily
sentimentally,in a tenderly emotional way
tangle,to twist into a knot
tangled,twisted into a messy knot
untangle,to separate a twisted knot
untangled,no longer twisted or knotted
perceptive,quick to notice things
perceptively,with quick understanding or insight
outset,the very beginning
tycoon,a rich powerful businessperson
engross,to hold full attention
engrossing,holding your full attention
detritus,waste or debris left behind
detriment,harm done to someone
detrimental,causing harm or damage
detrimentally,in a harmful damaging way
domestically,at home rather than abroad
domesticate,to tame a wild animal
domestication,taming wild animals for humans
eccentrically,in an odd unusual way
render,to cause to become; to depict artistically
rendering,a picture of a planned design
pathos,a feeling of sadness or pity
tailor,someone who makes and fits clothes
personalize,to suit something to one person
personalization,making something suited to one person
limitless,having no end at all
apprentice,someone learning a skilled trade
apprenticeship,a period of learning a trade
precision,great accuracy and exactness
silhouette,a dark outline against light
nondescript,plain with no notable features
negligible,too small to matter
negligent,careless about one's duties
negligently,in a careless irresponsible way
principally,mainly or most importantly
altruism,unselfish concern for others
altruistic,unselfishly caring about others
scenario,a possible sequence of events
voluntary,done by free choice
voluntarily,by one's own free choice
reap,to cut and gather a crop
paternal,relating to or like a father
maternal,relating to or like a mother
maternalistic,acting like an overprotective mother
paternalistic,acting like an overly controlling father
provisions,supplies of food and other goods
injustice,unfair treatment of someone
impoverished,extremely poor and lacking money
unsustainable,not able to continue at this rate
unsustainably,in a way that cannot continue
sustainable,able to continue without causing harm
sustainably,in a way that avoids lasting harm
bypass,to go around something instead of through it
cynic,someone who doubts good intentions
cynical,distrustful of people's motives
cynically,in a distrustful doubting way
cynicism,a distrustful attitude toward others
sarcasm,mocking speech meaning the opposite
sarcastic,mocking by saying the opposite
sarcastically,in a mocking ironic way
misplace,to lose something by mistake
symptomatic,showing signs of a problem
degrade,to make something worse
degrading,causing loss of dignity
degradation,the process of becoming worse
discourse,serious talk or writing on a topic
amid,in the middle of; surrounded by
hedgehog,a small spiny wild animal
nocturnal,active mainly at night
hibernate,to sleep through the winter
hibernation,a long winter sleep
convict,to declare someone guilty in court
conviction,a strong belief; a guilty verdict
latent,present but hidden for now
snooze,to sleep lightly for a while
classy,stylish and high quality
wrench,to twist or pull suddenly
reminisce,to talk fondly about the past
reminiscent,reminding you of something else
intuit,to know without being told
intuition,a feeling of knowing without proof
intuitive,easy to use without explanation
intuitively,in a natural way without thinking
marginal,very small and unimportant
marginally,only to a small degree
crude,rough and not refined; rude
crudely,in a rough basic way
strap,a narrow strip that fastens things
strapping,tall and physically strong
scoff,to speak of something with scorn
fiddly,awkward to handle with your fingers
fiddler,a person who plays the violin
fiddle,to touch something restlessly with your hands
unmusical,lacking skill or talent in music
unmusically,in a way that lacks skill in music
repertory,a stock of plays ready to perform
concerto,a piece for solo instrument and orchestra
premier,first in importance; the best
fanatic,someone with extreme enthusiasm
fanatically,with extreme excessive enthusiasm
acoustically,in terms of how sound travels
acoustic,relating to sound; not electric
acoustics,the sound qualities of a room
compromised,weakened or made unsafe
daunt,to make someone feel discouraged
daunting,seeming difficult and intimidating
realist,someone who accepts facts as they are
realism,the attitude of accepting facts as they are
recess,a short break from work or school
recessive,(genetics) hidden unless paired with another copy
prolific,producing a large amount of work
prolifically,producing a great deal; abundantly
proliferate,to increase quickly in number
fragmentation,the breaking apart into small pieces
astray,away from the right path
duration,the length of time something lasts
durable,able to last a long time
likelihood,the chance that something will happen
naive,too trusting from lack of experience
naively,in a too trusting simple way
naivety,lack of experience and too much trust
impervious,not affected or changed by something
ludicrous,so foolish it seems funny
ludicrously,in an extremely foolish way
cost-effective,giving good value for the price paid
gruesome,causing horror and disgust
gruesomely,in a horrifying disgusting way
envisage,to imagine as a future possibility
screenwriter,a person who writes film scripts
mingle,to mix and talk with people
churn,to move or stir violently; to produce quickly in bulk
buffer,to protect against a sudden shock
irate,extremely angry and upset
irately,in an extremely angry way
docile,easy to control and calm
docilely,in a calm easily controlled way
fiend,a very cruel wicked person
fiendish,extremely cruel or wickedly clever
fiendishly,in an extremely clever cruel way
transfix,to freeze someone with amazement
gypsy,a member of a traveling people
temperament,a person's basic nature or character
temperamental,having moods that change easily
temperamentally,in a way related to one's nature
screenplay,the written script for a film
disillusionment,disappointment from discovering an unpleasant truth
demise,the end or death of something
raunchy,crude and sexual in tone
raunchily,in a crude sexual way
overdraft,to withdraw more than your account holds
synopsis,a short summary of a story
renown,fame for good achievements or qualities
contested,disputed and argued about by many
verandah,a covered porch attached to a house
occupational,relating to a person's job
verdict,the decision reached in a court case
ventilate,to let fresh air into a space
ventilation,the supply of fresh air to a room
occupant,a person who lives in a place
radiator,a device that heats a room
homely,simple and comfortable like home
bureaucratic,involving many official rules and steps
bureaucratically,in a way full of official rules
adjustable,able to be changed to fit needs
fatigue,a feeling of extreme tiredness
muscular,having strong well-built muscles
versatile,able to do many things well
versatility,the ability to do many things well
stimuli,things that cause a reaction
uninspiring,not exciting or interesting
mutually,shared equally by both sides
somber,serious and sad in mood
somberly,in a serious sad way
clutter,an untidy pile of things
dislodge,to force something out of place
carpenter,a person who builds things from wood
carpentry,the skill of building things from wood
transit,the act of traveling through a place
plummet,to fall suddenly and quickly
circulate,to move around and spread out
circulation,the flow of blood around the body
demography,the study of populations and their changes
demographic,relating to the study of populations
demographically,in terms of population statistics
phenomenal,extremely impressive or remarkable
phenomenally,to an extremely impressive degree
prophet,a person who speaks messages from God
prophetic,correctly predicting what will happen
paywall,a system requiring payment for online content
firewall,software that blocks unwanted computer access
invoice,a written bill for goods or services
demolition,the act of tearing down a building
demo,a short example showing how a product works
gig,a single paid performance by a musician
socialization,the process of learning to interact well with others
antiquity,the very distant past in history
antiquated,very old and no longer useful
restoration,the act of bringing something back to good condition
restorative,helping to bring back health or energy
rotate,to turn around a central point
coupled,joined together with something else
itinerary,a planned list of stops on a trip
charter,to hire a vehicle or plane for private use
terrain,the natural features of an area of land
resilient,able to recover quickly from difficulty
resilience,the ability to recover quickly from difficulty
enterprising,willing to try new and bold plans
integral,necessary as a basic part of a whole
canoe,a light narrow boat moved with a paddle
magnetic,able to attract metal objects; very attractive
magnetism,the power to attract metal or people
magnetically,in a way that attracts strongly
credible,believable and trustworthy
credibly,in a believable way
credibility,the quality of being believable
credential,an official document proving a qualification
acutely,very strongly or sharply
prohibitive,too expensive to afford
prohibitively,to a degree that is too costly
fissure,a narrow crack in rock or earth
pendulous,hanging down loosely and swinging
suspension,a temporary stop or pause
anthropology,the study of human societies and customs
anthropologist,a person who studies human societies and customs
squander,to waste money or time carelessly
munch,to chew food noisily
adjoin,to be next to and connected with
adjoining,next to and joined with something
wizened,small and wrinkled from old age
graft,to join a piece of one plant onto another
orchard,a piece of land planted with fruit trees
seedling,a young plant grown from a seed
tract,a large area of land; a group of connected organs
folktale,a traditional story passed down among people
sprout,to begin to grow from a seed
hypocrisy,the act of saying one thing and doing another
hypocrite,a person who says one thing but does another
hypocritical,saying one thing while doing the opposite
hypocritically,while saying one thing and doing another
midwife,a trained helper for childbirth
commercially,in a way meant to make profit
uniformity,the state of being all the same
numb,unable to feel anything physically
tastebud,a tiny organ on the tongue that senses flavor
amateur,someone who does an activity for enjoyment not money
retrace,to go back over the same path
insubordinate,refusing to obey someone in authority
insubordination,refusal to obey someone in authority
insubordinately,in a way that refuses to obey orders
subordinate,a person who works under someone else
primitively,in a very simple and basic way
embark,to start a new project; to get on a ship
expedite,to make something happen faster
contextual,related to the situation around something
contextually,in relation to the surrounding situation
whilst,during the same time that; although
maneuver,to move skillfully around obstacles
riveting,extremely interesting and hard to stop watching
plunge,to fall or jump suddenly downward
debut,the first public appearance of someone
turmoil,a state of great confusion and disorder
scathing,extremely harsh and critical
unscathing,not harsh or critical in tone
convoluted,very complicated and hard to follow
undaunted,not discouraged by danger or difficulty
gutsy,brave and full of determination
deprivation,the state of lacking something needed
farce,a ridiculous and disorganized situation
portray,to show or describe someone in a certain way
portrayal,a way of showing or describing someone
elusive,hard to find or catch
elude,to escape from someone cleverly
incisor,a sharp front tooth used for cutting
incision,a cut made into the body during surgery
chisel,to shape wood or stone with a sharp tool
chiselled,having strong and clearly defined features
gnaw,to bite something again and again
elongate,to make something longer
telltale,showing a clear sign of something
cavity,a hollow space; a hole in a tooth
rustle,to make a soft dry sound
glean,to gather information little by little
niche,a specialized part of a market
somersault,a full body roll or flip
exhilarate,to make someone feel very excited
exhilarating,very exciting and thrilling
exhilaration,a feeling of great excitement
physicality,the use of the body in an activity
hack,to cut with rough blows; to break into a computer
lust,a very strong desire especially sexual
unsettling,making someone feel worried or uneasy
unsettle,to make someone feel worried or uneasy
suburban,relating to a residential area near a city
suburbia,residential areas outside a city center
dramatist,a person who writes plays
characterization,the way a person is shown in a story
quirky,unusual in a charming way
sprawl,an area of buildings spread out widely
ingenuity,cleverness at solving problems or inventing things
panorama,a wide view of an area
panoramic,showing a wide view of an area
benign,gentle and not harmful; not cancerous
benignly,in a gentle and harmless way
explosively,in a sudden and violent way
bequeath,to leave property to someone after death
legacy,money left to someone after death; a lasting effect
synthetic,made artificially rather than by nature
synthetically,in an artificial rather than natural way
lackluster,dull and not impressive
elastic,a stretchy band or material
appall,to shock someone deeply
appalling,shockingly bad or unpleasant
appallingly,in a shockingly bad way
pounce,to jump suddenly to grab something
abound,to exist in large numbers
sap,the liquid inside a plant
monotonous,boring because it never changes
monotonously,in a boring unchanging way
monotony,a lack of variety that causes boredom
turn to,to go to someone for help
ingenious,very clever and original
plaque,a flat panel with words; a coating on teeth
neutralize,to stop something from having an effect
neutralization,the act of stopping an effect
salivate,to produce liquid in the mouth
cessation,the act of stopping something
remorse,a strong feeling of guilt
remorseless,showing no guilt at all
remorsefully,in a way that shows deep guilt
remorselessly,in a way that shows no guilt
inexcusable,too bad to be forgiven
inexcusably,in a way too bad to forgive
unassisted,done without any help
heighten,to make a feeling stronger
fixture,a permanent piece of equipment; a scheduled sports match
bulk,the main part or size of something
bulky,large and awkward to carry
bulk up,to gain muscle or size
digitalize,to change information into computer form
digitalization,the change of information into computer form
mark-up,extra amount added to a price
complementary,going well together; matching well with something else
complimentary,given free of charge; praising someone kindly
staple,a basic food used often; a small wire fastener
wares,goods offered for sale
testament,clear proof of something; document stating who inherits your things
succulent,a plant with thick juicy leaves
succulently,in a juicy and tender way
tranquil,calm and peaceful; quiet and still
tranquility,a calm and peaceful state; peace and quiet
spartan,very plain and basic; without comfort or luxury
peninsula,land almost surrounded by water
billiards,a ball game played with cues
