English,Definition
comprehension,the ability to understand what you read or hear
computation,the working out of a result by a set method or by machine
conceive,to imagine or think of a new idea; to become pregnant
conception,an idea or understanding of something; the start of pregnancy
conceptual,based on ideas rather than on real things
conditional,true or possible only if something else happens
conduction,the passing of heat or electricity through a material
cone,a shape with a round base and a point at the top
configuration,the way the parts of a system are arranged
confine,to keep someone or something inside limits
confound,to confuse someone; to mix up two causes so results are unclear
congruent,matching in shape and size; fitting well together
connector,a part that joins two things; a word that links ideas
connotation,a feeling or idea a word suggests beyond its plain meaning
conscious,awake and aware of what is happening
consciousness,the state of being awake and aware of things
consensus,general agreement among a group of people
consent,permission for something to happen; to agree to something
conservation,the protection of nature or of historic things
conserve,to protect something from harm or waste
consonant,a speech sound that is not a vowel
constitution,the basic set of laws of a country; the general health of a person
constrain,to limit what someone or something can do
consultation,a meeting to get advice or opinions
consumption,the using up of goods energy or food
container,a box or jar that holds things inside
continent,one of the huge land areas of the world such as Africa
continuity,the state of going on without a break
contour,the outline shape of something; a map line showing height
contradict,to say the opposite of what someone else says
contradiction,a statement that goes against another one
contradictory,saying two opposite things that cannot both be true
contrary,opposite in nature or direction
controversy,a public argument about something people disagree on
converge,to come together at one point
convergence,the coming together of things at one point
coordinate,to organize people or parts so they work well together
coordination,the smooth working together of people or body parts
cord,a thick string or a covered electric wire
coronary,relating to the blood vessels of the heart
corpus,a large collection of written or spoken texts for study
correction,a change that puts right a mistake
correctly,in a way that has no mistakes
correlate,to be closely linked so that one changes with another
correlation,a link where two things change together
correspondence,letters and emails sent between people; a close match
corruption,dishonest use of power for money or gain
cortex,the outer layer of the brain or of an organ
credibility,how much someone or something can be believed
criteria,the standards used to judge or decide something
critically,in a way that judges faults; in a very serious way
critique,a careful judgment of the good and bad points of something
crude,rough and simple; oil in its raw state from the ground
crystal,a clear hard mineral with a regular shape
cue,a signal for someone to start doing something
cure,to make an illness go away; a medicine that ends an illness
curriculum,the set of subjects taught in a school or course
cyclic,happening again and again in a regular order
cylinder,a solid or hollow tube shape with round ends
damp,slightly wet
deadline,the latest time by which work must be finished
decay,to slowly rot or break down; a slow fall into ruin
deceive,to make someone believe something untrue
defect,a fault that makes something not work properly
deficiency,a lack of something needed such as a vitamin
definite,certain and clearly fixed
deflection,a change of direction after hitting something
degrade,to lower the quality of something; to treat with no respect
deliberately,on purpose and not by accident
delta,flat land where a river splits before the sea; a change in amount
demonstrator,a person who joins a public protest; someone who shows how a thing works
denominator,the number below the line in a fraction
denote,to be a sign of; to mean
dense,packed tightly together; thick and hard to see through
dependence,the state of needing someone or something else
depict,to show something in a picture or in words
derivative,something taken and developed from another source
descendent,a person born later in the family line of someone from the past
descriptor,a word or phrase that tells you what something is like
destination,the place someone or something is going to
detection,the finding of something hidden or hard to notice
developmental,relating to growth and change over time
deviation,a difference from the usual or expected level
diagnose,to find out what illness or fault someone or something has
diagnosis,the naming of an illness after examining someone
diagnostic,used to find the cause of an illness or fault
diagram,a simple drawing that explains how something works
dialect,a form of a language spoken in one area
diameter,the distance straight across a circle through its center
diary,a book where you write what happens each day
dictate,to say words aloud for someone to write; to give firm orders
dictionary,a book listing words and their meanings
differential,an amount by which two rates or values are unequal
differentiate,to see or show how two things are not the same
differentiation,the act of showing how two things are not the same
diffusion,the slow spreading of a gas or liquid through a space
dilemma,a hard choice between two poor options
dilute,to make a liquid weaker by adding water
dimensional,relating to how many directions a thing can be measured in
dioxide,a substance whose units each hold two oxygen atoms
directive,an official order or instruction
disability,a condition that limits what the body or mind of a person can do
disadvantage,something that makes a situation worse or harder
discharge,to let out liquid or gas; to allow a patient to leave hospital
discourse,serious talk or writing about a subject
discrete,separate and clearly different from others
discrimination,unfair treatment of a group of people; the noticing of fine differences
displacement,the moving of something from its usual place
dissection,the cutting open of a body to study its parts
dissertation,a long written study done for a university degree
dissolve,to mix into a liquid until it disappears
distribution,the way things are shared out or spread over an area
disturbance,something that breaks the peace or stops normal activity
diverse,very different from each other; of many kinds
domain,an area of knowledge or activity; a website address
dominance,the state of having the most power or control
dominant,strongest or most important
domination,control over others by power or force
donor,a person who gives money blood or an organ
dose,a measured amount of medicine taken at one time
drain,to make liquid flow away; a pipe that carries water off
drift,to be carried slowly by water or air; a slow change over time
duration,the length of time something lasts
dye,a substance used to change the color of cloth or hair
dynamic,full of energy and change; the forces that cause movement
ecological,relating to living things and their surroundings
ecology,the study of living things and their surroundings
economically,in a way that saves money; in terms of trade and wealth
economist,an expert who studies wealth trade and money
effectiveness,how well something works and gets results
elaborate,having many careful details; to explain in more detail
elastic,able to stretch and go back to its old shape
elasticity,how well a material stretches and returns to shape
electron,a tiny part of an atom with a negative charge
elementary,basic and simple; for young school children
elevate,to lift something to a higher place or level
elevation,the height of a place above sea level
elimination,the complete removal of something
elite,the small group with the most power or skill
embed,to fix something firmly inside another thing
emergence,the process of coming out or becoming known
emission,the sending out of gas heat or light
emit,to send out gas heat light or sound
emperor,a man who rules a group of countries
empirical,based on real observation rather than on theory
encode,to change information into a set of signs or signals
enforcement,the act of making people obey a law
enormously,very greatly; to a huge degree
entity,a separate thing that exists on its own
entrant,a person who takes part in a race or contest
enzyme,a substance in living things that speeds up chemical changes
epidemic,a disease that spreads fast among many people
epidemiology,the study of how diseases spread in groups of people
equality,the state of everyone having the same rights and status
equilibrium,a state of balance between opposing forces
equivalence,the state of being equal in value or meaning
erase,to rub out or remove writing or stored data
essence,the most basic and important quality of something
essentially,in the most basic way; really
estimation,a rough calculation of size or value; an opinion of worth
ethical,morally right; following rules of good behavior
ethics,rules about what is morally right and wrong
evident,easy to see or understand; clear
evolutionary,relating to slow natural change in living things over time
ex,a former husband or partner
execute,to carry out a plan or order; to put to death as punishment
execution,the carrying out of a plan or order; a legal killing as punishment
exit,a way out of a place; to leave
expertise,deep skill or knowledge in a subject
explicit,stated clearly and in detail; leaving no doubt
explicitly,in a clear and direct way
exploit,to use unfairly for your own gain; to make full use of something
exponential,growing faster and faster as it gets bigger
fabric,cloth or material; the basic structure of a society
facet,one part or side of a situation or object
facilitate,to make something easier to happen
factorial,the result of multiplying a number by every whole number below it down to 1
faculty,the teaching staff of a university; a natural ability of the mind or body
fatigue,great tiredness after work or effort
feedback,comments about how well someone has done
fertility,the ability to produce babies or crops
fetal,relating to an unborn baby
fever,a body temperature that is higher than normal
fiber,a thin thread of material; rough food that helps digestion
fin,a flat thin part on a fish used for swimming
finite,having a limit or an end
flesh,the soft part of a body between skin and bone
flexibility,the ability to bend or to change easily
flip,to turn over quickly with a light movement
fluid,a liquid or gas that can flow; smooth and easy in movement
flux,constant change; a flowing of something
footnote,a short remark printed at the bottom of a page
formally,in an official way; following strict rules of behavior
formulation,the careful creation of a plan or a mixture
forum,a place or meeting for public discussion
fossil,the hard remains of an animal or plant from long ago
found,to start an organization or a city
fraction,a small part of something; a number such as 1/2 or 3/4
fracture,a break or crack in bone or hard material; to break apart
freely,without limits or control; openly
friction,the force that slows things rubbing together; disagreement
fringe,the outer edge of something; hair cut across the forehead
fundamentally,in a basic and important way
fungus,a living thing such as a mushroom or mold
fusion,the joining of two or more things into one
gauge,to measure or judge something; a tool for measuring
generalization,a broad statement based on only a few cases
generalize,to make a broad statement from only a few cases
genetically,in a way controlled by what parents pass to their young
genetics,the study of how features pass from parents to children
ghost,the spirit of a dead person that some people believe they see
globalization,the spread of business and culture around the whole world
goat,a farm animal with horns kept for milk and meat
goodness,the quality of being kind and morally right
goods,things that are made to be sold
gradient,how steeply a line or a road rises or falls
gram,a small unit of weight; one thousandth of a kilo
grammatical,relating to the rules for putting words together
graph,a drawing that shows how numbers relate to each other
grasp,to hold firmly; to understand fully
gravity,the force that pulls objects towards the earth; seriousness
grid,a pattern of crossing lines; a network supplying electricity
gross,total before anything is taken away; very unpleasant
gut,the tube in the body that digests food; a strong inner feeling
habitat,the natural home of an animal or plant
halfway,at the middle point of a distance or a time
handout,a printed sheet given to a class; money or food given to the needy
harvest,to gather crops from the fields; the crops that are gathered
hawk,a large bird that hunts small animals
headquarter,to base the main office of an organization in a particular place
hedge,a line of bushes around a field; to protect against loss
helix,a shape that curves round like a spiral
hepatitis,a disease that causes swelling of the liver
herbicide,a chemical used to kill unwanted plants
hierarchy,a system where people or things are ranked by importance
hip,the joint at each side of the body above the leg
historically,in the past; through the study of past events
homework,school tasks that pupils must finish outside the classroom
horizon,the line where the sky seems to meet the land or sea
horizontal,flat and level; going from side to side
hormone,a chemical made by the body that controls how it works
hydrogen,the lightest gas; one of the two parts of water
identical,exactly the same in every way
identification,proof of who someone is; the naming of what something is
ideology,a set of political or social beliefs
illusion,a false idea; something that seems real but is not
immune,protected from a disease; not affected by something
impact,a strong effect; the force of one thing hitting another
implicit,suggested but not said directly; complete and total
importantly,in a way that matters a lot
impulse,a sudden urge to act; a short push of energy
incidence,how often something bad happens in a group
incline,to lean or slope; to tend towards an opinion
inclusion,the act of putting someone or something inside a group
incredible,very hard to believe; extremely good
incredibly,extremely; in a way that is hard to believe
incumbent,the person who currently holds an office or job
independently,on your own; without help or control from others
indicator,a sign that shows what a situation is like
indifference,a lack of interest or care
indigenous,belonging naturally to a place from the earliest times
indirect,not going straight; not caused immediately by something
individually,one at a time; separately
induce,to cause something to happen; to persuade someone to act
induction,reasoning from single cases to a general rule; a ceremony for joining a group
industrialization,the growth of factories and large-scale production in a country
industrialize,to build many factories in a country or area
inequality,an unfair difference between groups of people
inevitably,in a way that cannot be avoided
infect,to pass a disease to a person or a thing
infectious,able to spread from one person to another
inference,a conclusion reached from facts or reasoning
inferior,lower in quality or rank
infinite,without any limit or end
infinity,a number or amount bigger than any that can be counted
influential,having the power to change what others think or do
informal,relaxed and friendly; not official
inhibit,to slow down or stop something from happening
inhibition,a shy feeling that stops you acting freely; a blocking effect
initiate,to start a process; to bring someone into a group
initiation,the start of a process; a ceremony for joining a group
inject,to put liquid into the body with a needle
injection,the act of forcing liquid into the body with a needle
innate,present in a person from birth; natural
insect,a small animal with six legs such as an ant or a bee
insert,to put something inside something else
instability,the state of being likely to change or fall suddenly
instinct,a natural way of behaving that is not learned
integral,necessary as a basic part of something
integration,the act of joining parts or groups into one whole
intensity,great strength or force of something
intensive,using a lot of effort or work in a short time
interact,to talk with or have an effect on each other
interestingly,used to show that a fact is surprising or worth noting
interface,the way a user controls a machine; a shared boundary
interfere,to get involved where you are not wanted; to block
intermediate,at a middle level or stage
interrupt,to stop someone speaking or something happening
interval,a period of time between two events; a gap
intervene,to become involved in order to change what happens
interviewer,the person who asks the questions in a meeting or on a show
invade,to enter a country by force; to enter in large numbers
invasion,the entry of an army into a country by force
inversion,a change that puts things in the opposite order or position
invert,to turn upside down or put in the opposite order
ion,an atom that carries an electric charge
irrelevant,not connected with the matter being discussed
irrigation,the supply of water to land for growing crops
jazz,a music style with a strong beat and free playing
junior,lower in rank or age
justification,a good reason for doing something
kidney,one of two organs that clean the blood and make urine
kilometer,a unit for measuring distance; about six tenths of a mile
lab,a room for scientific tests and experiments
lateral,relating to the side; moving sideways
layout,the way parts are arranged on a page or in a space
leaf,a flat green part growing from the stem of a plant
lecturer,a teacher at a university
legend,an old story from the past; a very famous person
legitimate,allowed by law; fair and reasonable
leisure,free time when you can relax
lever,a bar used to lift or move something heavy
lexical,relating to the words of a language
liable,legally responsible; likely to do something
lifestyle,the usual habits and daily routine of a person
lifetime,the whole period during which someone is alive
likelihood,the chance that something will happen
likewise,in the same way; also
limb,an arm or a leg; a large branch of a tree
linear,in a straight line; going in one direct order
linguistic,relating to language or its study
linguistics,the scientific study of language
liter,a unit for measuring liquid; about two pints
liver,the large organ that cleans the blood and helps digest food
locally,in or near the area where you are
locus,the exact place where something happens
logical,sensible and based on clear reasoning
longitudinal,following the same people over many years; lengthwise
loop,a shape or path that curves back to its start
lump,a solid piece with no clear shape; a swelling on the body
lung,one of two organs used for breathing
machinery,heavy equipment with moving parts; the working system of a group
magnetic,able to pull iron towards it; strongly attractive
magnitude,the size or importance of something; how big an effect is
mall,a large covered area with many shops
manipulate,to control someone unfairly; to handle skillfully
manipulation,unfair control of people; skilled handling of things
manual,done with the hands; a book of instructions
manuscript,a book or paper written by hand or before printing
marble,a hard smooth stone used for statues; a small glass ball
marginal,very small and not important; at the edge
marker,a sign that shows a place or a fact; a thick pen
marrow,the soft tissue inside bones
maternal,relating to a mother
mathematical,relating to numbers and their study
matrix,numbers set out in rows and columns; a setting where things grow
maximize,to make as large or as good as possible
meaningful,having a clear purpose or real importance
mechanic,a person who repairs engines and machines
mechanical,relating to machines or worked by them; done without thinking
media,the main sources of news such as television and newspapers
mediate,to help two sides reach an agreement
membrane,a thin layer of tissue covering a part of the body
memorize,to learn something so you can repeat it exactly
mentor,an experienced person who advises a younger one
mercury,a heavy silver liquid metal used in thermometers
merge,to join together into one
messenger,a person who carries news or letters
metabolism,the way the body turns food into energy
metaphor,a way of describing one thing as if it were another
methodology,the system of ways used to do research or work
micro,very small; on a tiny scale
mid,in the middle part of something
migrate,to move to another place to live or for the season
migration,the movement of people or animals to a new place
millimeter,one thousandth of a meter; a very small unit of length
mineral,a solid substance found naturally in the earth
minimal,as small as possible; very little
minimize,to make as small as possible; to reduce to a low level
minus,showing that one number is taken away from another; below zero
missile,a flying weapon aimed at a target
mobility,the ability to move or to change job or class
modification,a small change made to improve something
mole,a small dark spot on the skin; a small animal that digs
molecular,relating to the smallest units that make up a substance
molecule,the smallest unit of a substance that keeps its qualities
momentum,the strength that keeps a moving object going
monetary,relating to money or to a country's supply of it
monkey,an animal with a long tail that climbs trees
monopoly,full control of a market by one company
morality,ideas about what is right and wrong behavior
morphological,relating to the form and structure of things or words
morphology,the study of form and structure
mortality,the number of deaths in a group; the fact of having to die
motif,a design or idea that repeats through a work
motive,a reason for doing something
multi,many; more than one
multinational,working or trading in many countries
multiply,to add a number to itself a set number of times; to increase greatly
mutation,a change in the genes of a living thing
myth,an old story about gods or heroes; a false common belief
naked,wearing no clothes; not covered
namely,that is to say; more exactly
nasty,very unpleasant or unkind
nationalism,strong love of your own country and its interests
neat,tidy and in good order
necessity,something you must have; the state of being needed
neo-,used at the start of a word to mean new or brought back
nest,a home built by a bird for its eggs
neural,relating to the nerves or the brain
neuron,a cell that carries signals in the brain
neutral,not supporting either side; having no strong quality
nicely,in a pleasant or good way
niche,a small special part of a market; a hollow in a wall
nitrogen,a gas that makes up most of the air
noble,morally good and honest; of high social rank
node,a point where lines or parts join in a network
noisy,making a lot of loud sound
nominal,in name only; very small in amount
non-,not; the opposite of
nonetheless,in spite of that; however
nonlinear,not following a straight or simple order
norm,a way of behaving that a group accepts as usual
notation,a system of signs used to write music or numbers
novice,a person who is new at doing something
nucleus,the central part of an atom or a cell
null,having no value or no legal force
numerical,shown or measured in figures rather than words
nutrient,a substance in food that helps living things grow
objection,a reason for disagreeing with a plan
obscure,not well known; hard to understand
observer,a person who watches events without taking part
obtain,to get or gain something
occupation,a job or profession; control of a country by an army
occurrence,something that happens; an event
offspring,the young of a person or animal
onset,the beginning of something bad
onwards,forward in time or space; from that point on
optical,relating to light or to seeing
optimal,the best possible in a situation
optimum,the best or most favorable level
oral,spoken rather than written; relating to the mouth
organ,a body part with a special job such as the heart
organism,any living thing such as an animal or a plant
orient,to find your position; to aim something in a direction
orientation,the direction something faces; training for a new job
oscillation,a regular movement from side to side
outer,on the outside; further from the center
outlet,a way out for liquid or feelings; a shop that sells goods
overhead,above your head; the regular costs of running a business
overlap,to cover part of something else; to share a common area
overview,a short general description of something
oxidize,to react with air so that metal rusts or fruit turns brown
oxygen,the gas in the air that living things need to breathe
painful,causing hurt in the body or the mind
par,the usual or expected standard
paradigm,a typical pattern or model of how things work
paradox,a statement that seems to contradict itself but may be true
parameter,a limit that controls what can be done; a value in a formula
parcel,something wrapped for sending; a piece of land
pardon,to forgive or free from punishment
parental,relating to a mother or father
parenthesis,a round bracket used in writing
partial,not complete; unfairly favoring one side
partially,not completely; only to some degree
particle,a very small piece of matter
partition,a wall that divides a room; to split into separate pieces
pathway,a track or route to a place; a series of steps to a goal
peasant,a poor farmer who works a small piece of land
periodic,happening again and again at regular times
peripheral,not central or important; at the outer edge
pest,an insect or animal that harms crops
pesticide,a chemical used to kill harmful insects
phenomenal,extremely impressive or remarkable
philosopher,a person who studies deep questions about life and what is true
philosophical,about deep questions of life; calm about accepting trouble
phonological,about the sound system of a language
phosphate,a chemical salt used in fertilizers and found in living things
photographic,relating to pictures made with a camera; exact in every detail
physically,in a way relating to the body or to real objects
physician,a doctor of medicine especially one who is not a surgeon
physics,the science of matter and energy and how things move
physiological,about how the body and its parts work
pi,the number about 3.14 used in working out the size of circles
planner,a person who works out what should be done; a book for future dates
plantation,a large farm where a crop like tea sugar or cotton is grown
plausible,seeming true or reasonable
plug,the part on a wire that goes into an electric socket; to block a hole
plural,the form of a word used for more than one thing
polar,about the far north or far south of the earth; completely opposite
pole,a long thin round stick of wood or metal; the far north or south of earth
politically,in a way relating to government and power
portfolio,a set of examples of an artist's work; a group of investments
portray,to show or describe someone in a picture or story
portrayal,the way a person is shown or described in art or writing
positively,in a good or hopeful way; certainly
poster,a large printed sheet put on a wall to give news or decorate
postgraduate,about study done after a first university degree
potassium,a soft light metal element found in food and needed by the body
powder,a dry substance made of very fine grains like flour or dust
practitioner,a doctor or other person who works in a skilled profession
pragmatic,dealing with things in a practical way rather than by fixed ideas
pre-,before; earlier than
precede,to come or go before something else in time or order
precipitate,to make something bad happen suddenly; a solid that forms in a liquid
precipitation,water falling from the sky as rain or snow or hail
predator,an animal that hunts and eats other animals
prediction,a statement about what someone thinks will happen
predominantly,mainly; for the most part
prejudice,an unfair opinion about someone formed without knowing them
preliminary,coming before the main event or as a first step
presume,to suppose that something is true without proof
prevalence,how common or widespread something is
prey,an animal that is hunted and eaten by another
primer,a simple book that teaches the basics of a subject; a first coat of paint
primitive,from a very early time; simple and not developed
probe,to examine or search into something carefully; a tool for exploring
problematic,causing difficulty or doubt
processor,the part of a computer that does the work; a machine for cutting food
productive,making or doing a lot; giving good results
productivity,the rate at which work or goods are made
profound,very great or deep; showing deep understanding
progression,a gradual movement or development towards a later stage
progressive,happening or developing bit by bit; in favor of social change
projection,a guess about future numbers; the showing of an image on a screen
prominent,important and well known; easy to see or notice
pronounce,to say the sounds of a word; to state something officially
proposition,a statement that may be true or false; an offer or suggested deal
protocol,a set of rules for how something must be done; correct official behavior
proton,a tiny part of an atom with a positive electric charge
psychiatric,about the medical treatment of mental illness
psychologist,a person who studies the mind and how people behave
psychology,the study of the mind and why people behave as they do
publish,to print a book or paper and sell it; to make news known
pulse,the beat of blood as the heart pumps; a regular short beat
punch,to hit hard with a closed hand; to make a hole in paper or a ticket
punish,to make someone suffer for doing something wrong
punishment,something bad done to a person because they broke a rule
purely,only; in a way that is completely one thing
puzzle,a game or question that is hard to work out; to confuse someone
qualitative,based on how good or what kind rather than on numbers
quantitative,based on amounts and numbers that can be measured
quantum,the smallest amount of energy that can exist; a sudden big change
questionnaire,a printed list of things to answer used to collect information
quiz,a short test or game with things to answer
quotation,words taken from a book or speech; a stated price for a job
rack,a frame or shelf with bars for holding or hanging things
radar,a system that uses radio waves to find ships or aircraft
radiation,energy sent out as rays or waves; harmful rays from atoms
radius,the distance from the middle of a circle to its edge
rainfall,the amount of water that comes down from clouds onto an area
randomize,to put things in an order chosen by chance
randomly,in a way chosen by chance and not planned
rational,based on clear thinking and good reasons; able to think clearly
rationality,the quality of thinking clearly and sensibly
ray,a narrow line of light or energy; a flat sea fish
reactive,acting only in answer to events; easily changing in a chemical way
reactor,a large machine that produces nuclear energy
readily,quickly and easily; willingly
realism,showing life the way it truly is; accepting facts as they are
realistic,sensible about what can happen; showing life as it truly is
realm,an area of activity or knowledge; a kingdom
receptor,a part of the body or a cell that senses signals
recipe,a set of instructions for cooking a dish
reconstruct,to build something again after damage; to work out how an event happened
regime,a government especially a strict one; a fixed system or method
regression,a return to an earlier or worse state; a way of finding trends in data
rehabilitation,help given to someone to get well or return to normal life
reinforce,to make something stronger; to give more support to an idea
rejection,the act of refusing to accept a person or thing
reliability,the quality of being able to be trusted to work well
render,to cause someone or something to be in a certain state; to give help
repertoire,all the songs or plays that a performer knows and can do
replacement,a person or thing that takes the place of another
replicate,to copy something exactly; to repeat a study to check its result
replication,an exact copy of something; a repeat of a study to check it
reproduce,to make a copy of something; to have babies or young
reproduction,the making of babies or young; a copy of a work of art
republic,a country ruled by elected leaders and having no king or queen
resemble,to look or be like someone or something else
reservoir,a large lake made for storing water; a large supply of something
residual,left over after most has gone or been used
residue,a small amount left after most is gone or used up
resistant,not harmed or affected by something; opposed to a change
respiratory,about breathing and the parts of the body used for it
retrieve,to get something back from where it was left or stored
revolutionary,completely new and different; about a violent change of government
rewrite,to put a text into new words to make it better
rhetoric,the art of speaking well to persuade; fine words with little meaning
rhythm,a regular repeated pattern of sounds or movements
ridiculous,very silly and deserving to be laughed at
ritual,a set of fixed actions done in a ceremony or always in the same way
robot,a machine that can move and do jobs by itself
rope,thick strong cord made by twisting threads together
rotate,to turn around a central point; to take turns in a job
rotation,one full turn around a central point; a regular order of taking turns
rub,to move your hand or a cloth over a surface with pressure
ruler,a person who governs a country; a flat strip used for measuring lines
scatter,to throw or spread things over a wide area
scenario,a possible situation that may happen; an outline of a film story
scholarship,money given to help a student study; serious academic study
scripture,the holy writings of a religion such as the Bible
scroll,to move text up or down on a screen; a rolled sheet of paper
secrete,to produce a liquid from a part of the body; to hide something
sediment,solid matter that sinks to the bottom of a liquid
selective,careful about choosing only the best; affecting only some things
semantic,about the meaning of words and sentences
semester,one of the two main parts of a school or college year
semi,half; partly
seminar,a small class where students discuss a subject with a teacher
sensation,a feeling in the body; something that causes great excitement
sensible,showing good judgment and clear thinking
sensitivity,the ability to notice small changes; care about the feelings of others
sensory,about seeing hearing touching tasting and smelling
separately,one by one and not together; on its own
separation,the act of moving two things apart; a time of living apart
sexuality,a person's feelings of physical attraction and who it is felt for
shallow,not deep; not serious in thinking
