French,English
tasse; la tasse,cup
assiette; l'assiette; une assiette,plate
couteau; le couteau,knife
fourchette; la fourchette,fork
cuillère; la cuillère,spoon
bouteille; la bouteille,bottle
maison; la maison,house; home
appartement; l'appartement; un appartement,apartment; flat
chambre; la chambre,bedroom; room
salon; le salon,living room
salle de bains; la salle de bains,bathroom
toilettes; les toilettes,toilet; restroom
jardin; le jardin,garden; yard
porte; la porte,door
fenêtre; la fenêtre,window
mur; le mur,wall
sol; le sol,floor; ground
escalier; l'escalier; un escalier,stairs; staircase
ascenseur; l'ascenseur; un ascenseur,elevator; lift
clé; la clé,key
table; la table,table
chaise; la chaise,chair
canapé; le canapé,sofa; couch
lit; le lit,bed
armoire; l'armoire; une armoire,wardrobe; cupboard
lampe; la lampe,lamp
télévision; la télévision,television; TV
radio; la radio,radio
téléphone; le téléphone,telephone; phone
portable; le portable,cell phone; mobile
ordinateur; l'ordinateur; un ordinateur,computer
frigo; le frigo,fridge
four; le four,oven
douche; la douche,shower
savon; le savon,soap
serviette; la serviette,towel; napkin
brosse à dents; la brosse à dents,toothbrush
poubelle; la poubelle,trash can; bin
étage; l'étage; un étage,floor; storey
adresse; l'adresse; une adresse,address
ville; la ville,city; town
village; le village,village
rue; la rue,street
place; la place,square (in town); place; seat
magasin; le magasin,shop; store
marché; le marché,market
supermarché; le supermarché,supermarket
boulangerie; la boulangerie,bakery
pharmacie; la pharmacie,pharmacy; drugstore
banque; la banque,bank
poste; la poste,post office
hôpital; l'hôpital; un hôpital,hospital
école; l'école; une école,school
université; l'université; une université,university
bibliothèque; la bibliothèque,library
musée; le musée,museum
cinéma; le cinéma,cinema; movie theater
parc; le parc,park
église; l'église; une église,church
hôtel; l'hôtel; un hôtel,hotel
gare; la gare,train station
aéroport; l'aéroport; un aéroport,airport
centre-ville; le centre-ville,city center; downtown
piscine; la piscine,swimming pool
plage; la plage,beach
argent; l'argent; un argent,money; silver
prix; le prix,price; prize
euro; l'euro; un euro,euro
cadeau; le cadeau,gift; present
sac; le sac,bag
liste; la liste,list
courses; les courses,shopping; groceries
client; le client,customer; client
vendeur; le vendeur,salesperson; seller
voyage; le voyage,trip; journey
voiture; la voiture,car
bus; le bus,bus
train; le train,train
métro; le métro,subway; metro
avion; l'avion; un avion,plane; airplane
bateau; le bateau,boat; ship
vélo; le vélo,bicycle; bike
moto; la moto,motorbike; motorcycle
taxi; le taxi,taxi; cab
billet; le billet,ticket; banknote
passeport; le passeport,passport
valise; la valise,suitcase
bagages; les bagages,luggage; baggage
pays; le pays,country
monde; le monde,world
carte postale; la carte postale,postcard
touriste; le touriste,tourist
arrêt; l'arrêt; un arrêt,stop (bus)
étranger; l'étranger; un étranger,foreigner; abroad
campagne; la campagne,countryside
montagne; la montagne,mountain
mer; la mer,sea
lac; le lac,lake
rivière; la rivière,river
forêt; la forêt,forest
travail; le travail,work; job
métier; le métier,job; profession
bureau; le bureau,office; desk
entreprise; l'entreprise; une entreprise,company; business
patron; le patron,boss
collègue; le collègue,colleague; coworker
réunion; la réunion,meeting
rendez-vous; le rendez-vous,appointment; date
médecin; le médecin,doctor
professeur; le professeur,teacher; professor
étudiant; l'étudiant; un étudiant,student
classe; la classe,class; classroom
cours; le cours,course; lesson; class
leçon; la leçon,lesson
devoirs; les devoirs,homework
examen; l'examen; un examen,exam; test
question; la question,question
réponse; la réponse,answer; reply
mot; le mot,word
phrase; la phrase,sentence
langue; la langue,language; tongue
livre; le livre,book
cahier; le cahier,notebook
stylo; le stylo,pen
crayon; le crayon,pencil
papier; le papier,paper
lettre; la lettre,letter
journal; le journal,newspaper; diary
photo; la photo,photo; picture
histoire; l'histoire; une histoire,story; history
idée; l'idée; une idée,idea
exemple; l'exemple; un exemple,example
cuisinier; le cuisinier,cook; chef
policier; le policier,police officer
corps; le corps,body
tête; la tête,head
visage; le visage,face
œil; l'œil; un œil,eye
yeux; les yeux,eyes
oreille; l'oreille; une oreille,ear
nez; le nez,nose
bouche; la bouche,mouth
dent; la dent,tooth
cheveux; les cheveux,hair
main; la main,hand
bras; le bras,arm
jambe; la jambe,leg
pied; le pied,foot
dos; le dos,back
ventre; le ventre,stomach; belly
cœur; le cœur,heart
santé; la santé,health
maladie; la maladie,illness; disease
malade,sick; ill
médicament; le médicament,medicine; medication
rhume; le rhume,cold (illness)
fièvre; la fièvre,fever
douleur; la douleur,pain
accident; l'accident; un accident,accident
lunettes; les lunettes,glasses
vêtements; les vêtements,clothes; clothing
pantalon; le pantalon,pants; trousers
jean; le jean,jeans
robe; la robe,dress
jupe; la jupe,skirt
chemise; la chemise,shirt
tee-shirt; le tee-shirt,T-shirt
pull; le pull,sweater; jumper
manteau; le manteau,coat
veste; la veste,jacket
chaussure; la chaussure,shoe
chaussette; la chaussette,sock
chapeau; le chapeau,hat
écharpe; l'écharpe; une écharpe,scarf
montre; la montre,watch (wristwatch)
taille; la taille,size; waist
couleur; la couleur,color; colour
rouge,red
bleu,blue
vert,green
jaune,yellow
noir,black
blanc,white
gris,gray; grey
marron,brown
rose,pink
violet,purple; violet
clair,light (color); bright
foncé,dark (color)
météo; la météo,weather forecast; weather
soleil; le soleil,sun
pluie; la pluie,rain
neige; la neige,snow
vent; le vent,wind
nuage; le nuage,cloud
orage; l'orage; un orage,storm; thunderstorm
ciel; le ciel,sky
étoile; l'étoile; une étoile,star
lune; la lune,moon
terre; la terre,earth; ground; land
air; l'air; un air,air
feu; le feu,fire
fleur; la fleur,flower
arbre; l'arbre; un arbre,tree
plante; la plante,plant
nature; la nature,nature
île; l'île; une île,island
animal; l'animal; un animal,animal
chien; le chien,dog
chat; le chat,cat
oiseau; l'oiseau; un oiseau,bird
cheval; le cheval,horse
vache; la vache,cow
cochon; le cochon,pig
mouton; le mouton,sheep
lapin; le lapin,rabbit
souris; la souris,mouse
sport; le sport,sport
football; le football,soccer; football
tennis; le tennis,tennis
natation; la natation,swimming
jeu; le jeu,game
musique; la musique,music
chanson; la chanson,song
film; le film,movie; film
danse; la danse,dance; dancing
équipe; l'équipe; une équipe,team
ballon; le ballon,ball; balloon
plaisir; le plaisir,pleasure
être,to be
avoir,to have
aller,to go
venir,to come
faire,to do; to make
dire,to say; to tell
parler,to speak; to talk
écouter,to listen; to listen to
entendre,to hear
voir,to see
regarder,to watch; to look at
lire,to read
écrire,to write
comprendre,to understand
savoir,to know (facts)
connaître,to know (people or places)
apprendre,to learn
étudier,to study
penser,to think
vouloir,to want
pouvoir,can; to be able to
devoir,must; to have to
aimer,to like; to love
adorer,to love; to adore
détester,to hate
préférer,to prefer
donner,to give
prendre,to take
mettre,to put; to put on
porter,to wear; to carry
acheter,to buy
vendre,to sell
payer,to pay
coûter,to cost
manger,to eat
boire,to drink
dormir,to sleep
se réveiller,to wake up
se lever,to get up
se coucher,to go to bed
se laver,to wash (oneself)
s'habiller,to get dressed
travailler,to work
jouer,to play
chanter,to sing
danser,to dance
nager,to swim
courir,to run
marcher,to walk
voyager,to travel
visiter,to visit (a place)
partir,to leave
arriver,to arrive; to happen
rester,to stay; to remain
rentrer,to go home; to come back
entrer,to enter; to go in
sortir,to go out; to exit
monter,to go up; to climb
descendre,to go down; to get off
tomber,to fall
ouvrir,to open
fermer,to close; to shut
commencer,to start; to begin
finir,to finish; to end
arrêter,to stop
continuer,to continue
attendre,to wait; to wait for
chercher,to look for; to search
trouver,to find
perdre,to lose
oublier,to forget
aider,to help
demander,to ask; to ask for
répondre,to answer; to reply
appeler,to call
envoyer,to send
montrer,to show
expliquer,to explain
rencontrer,to meet
inviter,to invite
habiter,to live (reside)
vivre,to live
changer,to change
choisir,to choose
essayer,to try; to try on
gagner,to win; to earn
nettoyer,to clean
pleuvoir,to rain
préparer,to prepare
avoir besoin de,to need
avoir faim,to be hungry
avoir soif,to be thirsty
avoir peur,to be afraid; to be scared
il y a,there is; there are
il faut,one must; it is necessary
s'amuser,to have fun
grand,big; tall
petit,small; little
gros,big; fat
jeune,young
vieux,old
nouveau,new
beau,beautiful; handsome
joli,pretty
bon,good
mauvais,bad
facile,easy
difficile,difficult; hard
long,long
court,short
rapide,fast; quick
lent,slow
chaud,hot; warm
froid,cold
propre,clean
sale,dirty
plein,full
vide,empty
ouvert,open
fermé,closed
cher,expensive; dear
gratuit,free (no cost)
libre,free; available
occupé,busy; occupied
fatigué,tired
content,happy; glad
heureux,happy
triste,sad
fort,strong; loud
gentil,kind; nice
sympa,nice; friendly (informal)
drôle,funny
intéressant,interesting
important,important
vrai,true; real
faux,false; wrong
même,same
autre,other; another
seul,alone; lonely
premier,first
dernier,last
prochain,next
français,French
anglais,English
délicieux,delicious
super,great; awesome
