Korean,English
공항버스,airport bus
과거,the past
과목,school subject; course
과장,section chief; manager
과제,assignment; task; homework
과학,science
과학자,scientist
과학적,scientific
관객,audience; spectator
관계,relationship; relation
관광,tourism; sightseeing
관광객,tourist
관광지,tourist attraction; tourist spot
관련,relation; connection
관련되다,to be related; to be connected
관련하다,to relate to; to concern
관리,management; administration
관심,interest; concern
관찰하다,to observe
관하다,to concern; to be about
광고,advertisement; ad
광주,Gwangju (city)
괜히,in vain; needlessly; for nothing
괴롭다,to be distressed; to be painful
굉장히,very; extremely; tremendously
교류,exchange; interchange
교문,school gate
교육,education
교통사고,traffic accident; car accident
교포,overseas Korean
교환,exchange; swap
구경하다,to look around; to sightsee; to watch
구멍,hole
구체적,concrete; specific
구하다,to seek; to obtain; to save (rescue)
국,soup; broth
국가,nation; state; country
국기,national flag
국내,domestic; within the country
국립,national (state-established)
국물,soup broth; liquid of a dish
국민,the people (of a nation); citizens
국수,noodles
국어,national language; Korean (subject)
국제,international
국회의원,member of the National Assembly; lawmaker
군,the military; Mr. (young man)
군대,army; the military
군데,place; spot (counter)
굳이,insistently; unnecessarily; going out of one's way
굵다,to be thick (in girth)
굽다,to grill; to roast; to bake
궁금하다,to be curious; to wonder
권투,boxing
권하다,to recommend; to advise; to offer
귀국,return to one's country
귀국하다,to return to one's country
귀엽다,to be cute; to be adorable
규칙,rule; regulation
규칙적,regular; routine
그냥,just; simply; as it is
그늘,shade
그다음,the next; after that
그다지,not that much; not particularly
그대로,as it is; unchanged
그래도,even so; still; nevertheless
그램,gram
그러므로,therefore; thus
그러하다,to be so; to be like that
그런,such; that kind of
그렇게,like that; so; that way
그렇지,that's right!; exactly!
그려지다,to be drawn; to be pictured
그룹,group
그리,not so (much); that way
그림자,shadow
그립다,to miss; to long for
그만,stop it; only that much; just
그만두다,to quit; to stop doing
그만큼,that much; to that extent
그만하다,to be about that much (no better or worse)
그중,among them; of those
그치다,to stop (rain etc.); to cease
그해,that year
근데,but; by the way (casual)
근로자,worker; laborer
근무,work; duty; service
근무하다,to work (at a job); to be on duty
글,writing; text
글쎄,well (hesitation); let me see
글쎄요,well (polite); I am not sure
글쓰기,writing (composition)
글씨,handwriting; letters
글자,letter; written character
금,gold
금년,this year
금방,just now; soon; right away
금연,no smoking; quitting smoking
금지,prohibition; ban
금지하다,to prohibit; to ban
급하다,to be urgent; to be hasty
긍정적,positive
기간,period; term
기계,machine
기대,expectation; anticipation
기대하다,to expect; to anticipate
기도,prayer
기록하다,to record; to write down
기르다,to raise; to grow; to keep (pet)
기름,oil; grease
기본,basics; foundation
기뻐하다,to be delighted; to rejoice
기쁘다,to be glad; to be happy
기쁨,joy; delight
기사,article (news); driver (bus/taxi)
기술,skill; technology; technique
기억,memory
기억나다,to come to mind; to remember
기억하다,to remember
기온,temperature (air)
기운,energy; strength
기자,reporter; journalist
기준,standard; criterion
기초,foundation; basics
기침,cough
기타,guitar
기회,opportunity; chance
긴장,tension; nervousness
긴장하다,to be nervous; to be tense
길가,roadside
길거리,street
길이,length
김,laver; dried seaweed
김치찌개,kimchi stew
김포공항,Gimpo Airport
깊다,to be deep
깊이,depth; deeply
까닭,reason; cause
까만색,black (color)
까맣다,to be black; to be jet-black
깜빡,with a flicker; completely (forgetting)
깜짝,with a start (surprised)
깨끗이,cleanly; neatly
깨다,to wake up; to break; to sober up
깨지다,to break; to shatter; to be broken
꺼내다,to take out; to pull out
꺼지다,to go out (light/fire); to turn off
껌,chewing gum
껍질,peel; skin; shell
꼭대기,top; summit
꽃잎,petal
꽤,quite; fairly; pretty
꾸다,to dream (a dream)
꾸미다,to decorate; to adorn
꾸준히,steadily; persistently
꿀,honey
꿈꾸다,to dream
꿈속,in a dream; dreamland
끄덕이다,to nod
끊다,to cut off; to quit (smoking); to hang up
끊어지다,to be cut off; to snap
끌다,to drag; to pull; to attract
끓다,to boil (by itself)
끓이다,to boil (something)
끝내,in the end; finally; to the last
끼다,to form (clouds/fog); to insert; to wear (ring/gloves)
나누다,to divide; to share
나다,to have finished (auxiliary)
나머지,the rest; remainder
나물,seasoned vegetables; greens
나뭇가지,tree branch
나뭇잎,tree leaf
나비,butterfly
나빠지다,to get worse; to worsen
나서다,to step forward; to set out
나타나다,to appear; to show up
나타내다,to show; to express; to reveal
나흘,four days
낙엽,fallen leaves
낚시,fishing
날개,wing
날아가다,to fly away
날아오다,to come flying; to fly toward
낡다,to be old; to be worn out
남,male; south
남기다,to leave (behind)
남다,to remain; to be left
남매,brother and sister; siblings
남산,Namsan (mountain in Seoul)
남성,man; male (gender)
낫다,to recover; to be better
낯설다,to be unfamiliar
낳다,to give birth to
내내,throughout; all the time
내놓다,to put out; to bring out
내려놓다,to put down
내려다보다,to look down at
내밀다,to hold out; to stick out
내용,content; contents
내지,or; to (numeric range)
냄비,pot; saucepan
냄새,smell; odor
너머,beyond; over (the other side)
너무나,so very; extremely
너희,you (plural informal)
넓어지다,to become wider; to widen
넓히다,to widen (something); to broaden
넘다,to exceed; to cross over
넘어가다,to go over; to fall over; to pass to
넘어서다,to go over; to overcome; to surpass
넘어지다,to fall down; to tumble
넘치다,to overflow; to be full of
네거리,crossroads; four-way intersection
녀석,guy; fellow; rascal
년대,decade (e.g. the 2000s)
년도,year (of a period)
노동자,worker; laborer
노랗다,to be yellow
노래방,karaoke room; noraebang
노랫소리,sound of singing; singing voice
노력,effort; endeavor
노력하다,to make an effort; to try hard
노인,elderly person; old person
녹색,green (color)
녹음,recording (audio)
녹음하다,to record (audio)
녹차,green tea
논문,thesis; academic paper
논의하다,to discuss; to deliberate
놀랍다,to be surprising; to be amazing
놀이,play; game
놀이터,playground
농구,basketball
농담,joke; jest
농사,farming; agriculture (work)
농업,agriculture (industry)
농촌,farming village; rural area
높아지다,to become higher; to rise
높이,height; high (adverb)
높이다,to raise; to heighten
놓이다,to be placed; to be relieved (mind)
놓치다,to miss; to let go of
누르다,to press; to push (a button)
눈빛,look in one's eyes; gaze
눈썹,eyebrow
눈앞,before one's eyes; right in front
눕다,to lie down
뉴욕,New York
느껴지다,to be felt; to feel (passive)
느끼다,to feel; to sense
느낌,feeling; impression
느리다,to be slow
늘,always; all the time
늘다,to increase; to improve (skill)
늘리다,to increase; to expand
늘어나다,to increase; to grow in number
늙다,to grow old; to age
능력,ability; capability
다가가다,to approach; to go near
다가오다,to approach; to come near
다녀가다,to drop by; to visit and leave
다수,majority; large number
다양하다,to be diverse; to be various
다이어트,diet (weight loss)
다치다,to get hurt; to be injured
다하다,to run out; to do one's utmost
다행히,fortunately; luckily
단,only; just (determiner)
단맛,sweet taste; sweetness
단순하다,to be simple
단순히,simply; merely
단점,shortcoming; weakness; drawback
단지,only; merely; complex (housing)
단체,organization; group
닫히다,to be closed; to get shut
달걀,egg (chicken)
달다,to attach (a button); to give (in requests)
달라지다,to change; to become different
달려가다,to run (toward); to rush over
달려오다,to come running; to rush over here
달리다,to run; to be attached; to hang
달빛,moonlight
달아나다,to run away; to flee
닮다,to resemble; to take after
담그다,to soak; to pickle (kimchi)
담기다,to be put in; to be contained
담다,to put in; to contain
담당하다,to be in charge of; to handle
담요,blanket
담임,homeroom teacher; class charge
답답하다,to feel stuffy; to be frustrating
답장,reply (letter or message)
답하다,to answer; to reply
닷새,five days
당근,carrot
당기다,to pull; to draw
당신,you (formal or between spouses)
당연하다,to be natural; to be obvious
당연히,naturally; of course
당장,right now; immediately
당황하다,to be flustered; to panic
닿다,to touch; to reach
대,versus; counter for machines
대구,Daegu (city)
대기업,large company; conglomerate
대단하다,to be great; to be amazing
대단히,very much; greatly
대도시,big city; metropolis
대문,front gate; main gate
대부분,most; the majority
대신,instead (of); in place of
대전,Daejeon (city)
대중,the public; the masses
대중교통,public transportation
대중문화,popular culture; pop culture
대통령,president (of a country)
대표,representative; representation
대표적,representative; typical
대하다,to treat; to face; to be about
대학교수,university professor
대학원,graduate school
대한민국,Republic of Korea; South Korea
대화하다,to converse; to have a conversation
대회,competition; contest; convention
더구나,moreover; what is more
더럽다,to be dirty; to be filthy
더위,heat; hot weather
더하다,to add; to get worse
덕분,thanks to; owing to
덕수궁,Deoksugung Palace
던지다,to throw
덜,less; not fully
덮다,to cover
데,place; spot
데려가다,to take (someone) along
데려오다,to bring (someone)
데리다,to take (someone) with
도구,tool; instrument
도둑,thief
도로,road; back (again)
도망가다,to run away; to flee
도시락,lunchbox; packed lunch
도움,help; assistance
도자기,pottery; ceramics
도중,midway; on the way
도쿄(동경),Tokyo
독서,reading (books)
독일어,German (language)
돌,stone
돌다,to turn; to spin
돌려주다,to give back; to return
돌리다,to turn (something); to spin
돌보다,to look after; to care for
돌아보다,to look back
돌아서다,to turn around; to turn away
동기,motive; motivation
동네,neighborhood
동대문,Dongdaemun (gate)
동대문시장,Dongdaemun Market
동물원,zoo
동시,the same time
동아리,club (student)
동양,the East; the Orient
동전,coin
동창,schoolmate; alumnus
동화,fairy tale
되게,very; really
된장,soybean paste
된장찌개,soybean paste stew
두껍다,to be thick
두다,to put; to place
두드리다,to knock; to tap
두부,tofu
두세,two or three
두통,headache
둘러보다,to look around
둥글다,to be round
뒤집다,to flip; to turn inside out
뒤쪽,the back; rear side
뒷산,hill behind (village)
드라마,drama; TV series
들,field; plain
들다,to set about (auxiliary)
들려오다,to be heard (from afar)
들려주다,to let hear; to tell
들르다,to stop by; to drop in
들리다,to be heard
들어서다,to enter; to step into
들여다보다,to look into; to peer in
듯이,as if; as though
등,back (body part); rank; et cetera
등록,registration
등록금,tuition (fee)
등산로,hiking trail
디자이너,designer
디자인,design
따다,to pick; to pluck
따라가다,to follow (go along)
따라오다,to follow (come along)
따로,separately
따르다,to follow; to pour
딱,exactly; just right
딴,other; different
땀,sweat
땅,ground; land
땅콩,peanut
때때로,sometimes; from time to time
땜,because of (colloquial)
떠들다,to make noise; to chatter loudly
떠오르다,to rise; to come to mind
떠올리다,to recall; to bring to mind
떡볶이,tteokbokki (spicy rice cakes)
떨다,to tremble; to shiver
떨리다,to shake; to tremble
떨어뜨리다,to drop (something)
떨어지다,to fall; to drop
떼다,to detach; to peel off
또는,or
또다시,once again
또한,also; as well
똑같이,equally; identically
똑똑하다,to be smart
뚜껑,lid; cap
뚱뚱하다,to be fat
뛰어나가다,to run out
뛰어다니다,to run around
뛰어들다,to jump into; to plunge into
뛰어오다,to come running
뜨다,to rise; to float; to open (eyes)
뜻,meaning; intention
라이터,lighter
런던,London
레몬,lemon
레스토랑,restaurant
렌즈,lens
리듬,rhythm
마구,recklessly; wildly
마늘,garlic
마련되다,to be prepared; to be arranged
마련하다,to prepare; to arrange
마루,wooden floor
마르다,to dry; to get dry
마사지,massage
마을,village
마음대로,as one pleases; freely
마음속,one's heart; inner mind
마주,face to face; facing
마중,going out to meet (someone)
마찬가지,the same; likewise
마치,as if; just like
마치다,to finish; to complete
마침,just in time; luckily
마침내,finally; at last
막,just now; recklessly
막내,youngest child
막다,to block; to cover (ears)
막히다,to be blocked; to be congested
만,full (years/months)
만남,meeting; encounter
만두,dumpling
만들어지다,to be made
만약,if; in case
만일,if; in case
만족하다,to be satisfied
만지다,to touch
만큼,as much as
만화,comic; cartoon
많아지다,to increase; to become many
말,horse; end (of period)
말씀드리다,to tell (humble)
맞다,to be correct; to greet; to be hit
맞서다,to confront; to stand against
맞은편,opposite side
맞추다,to fit; to adjust; to guess right
맡기다,to entrust; to leave (with someone)
맡다,to take charge of; to take on
매년,every year
매다,to tie; to fasten
매력,charm; attractiveness
맨,very (top); utmost
머리카락,hair (strand)
머릿속,in one's head; one's mind
머무르다,to stay
먹이다,to feed
먹히다,to be eaten
먼지,dust
멀리,far away
멀어지다,to grow distant
멈추다,to stop
멋,style; flair
멋있다,to be stylish; to be cool
메다,to carry on shoulder
메모,memo; note
메시지,message
메일,email; mail
며느리,daughter-in-law
명령,order; command
명절,traditional holiday
명함,business card
몇몇,several; a few
몇십,tens of; dozens of
모기,mosquito
모니터,monitor
모델,model
모래,sand
모레,day after tomorrow
모습,appearance; figure
모시다,to serve (elders); to escort (polite)
모양,shape; appearance
모으다,to gather; to collect
모이다,to gather; to be collected
모임,gathering; meeting
모자라다,to be insufficient; to lack
목걸이,necklace
목사,pastor; minister
목소리,voice
목욕탕,public bathhouse
목적,purpose; goal
목표,goal; target
몰다,to drive; to herd
몰래,secretly; stealthily
몸무게,body weight
몸살,body ache (from fatigue)
몹시,extremely; terribly
무,radish
무게,weight
무늬,pattern; design
무더위,sweltering heat
무렵,around (a time); about when
무릎,knee
무섭다,to be scary; to be afraid
무시하다,to ignore; to disregard
무어,what
무역,trade; commerce
무용,dance (art)
무조건,unconditionally; no matter what
무척,very; extremely
묶다,to tie; to bundle
문장,sentence
문제점,problem point; issue
문학,literature
문화,culture
묻다,to be stained; to stick to
물고기,fish
물다,to bite; to hold in mouth
물론,of course
물속,underwater; in the water
물음,question
미디어,media
미래,future
미리,in advance; beforehand
미소,smile
미술,fine art; art
미술관,art museum; art gallery
미워하다,to hate
미인,beauty; beautiful woman
미치다,to go crazy; to reach; to affect
미팅,meeting; group blind date
민족,ethnic group; people (nation)
믿다,to believe; to trust
믿음,belief; trust; faith
밀가루,flour
밀다,to push
밀리미터,millimeter
밉다,to be hateful; to be unlikable
및,and; as well as
바깥,outside
바뀌다,to be changed; to be replaced
바늘,needle
바닥,floor; bottom
바닷가,beach; seashore
바닷물,seawater
바라다,to wish; to hope for
바라보다,to gaze at; to look at
바르다,to apply (lotion); to paste; upright (proper)
바보,fool; idiot
바위,rock; boulder
바이올린,violin
박사,doctor (PhD); doctorate
박수,applause; clapping
박스,box
반대,opposite; opposition
반대하다,to oppose; to object
반드시,without fail; certainly; surely
반복하다,to repeat
반장,class president; class leader
반지,ring (jewelry)
반찬,side dish
반하다,to be contrary to; to go against
받아들이다,to accept; to adopt
받침,stand; support; final consonant
발가락,toe
발견,discovery
발견되다,to be discovered
발견하다,to discover
발달,development; growth
발달하다,to develop; to advance
발등,top of the foot; instep
발목,ankle
발생,occurrence; outbreak
발생하다,to occur; to happen
발음하다,to pronounce
발전,development; progress
발전하다,to develop; to progress
발표,presentation; announcement
발표하다,to announce; to present
밝다,to be bright; to dawn
밝히다,to light up; to reveal
밟다,to step on
밤,chestnut
밤낮,day and night
밤늦다,late at night
밤새다,to stay up all night
밤중,middle of the night
밥그릇,rice bowl
밥맛,appetite; taste of food
밥솥,rice cooker; rice pot
방금,just now; a moment ago
방문,visit; room door
방문하다,to visit
방법,method; way
방송,broadcast; broadcasting
방송국,broadcasting station
방향,direction
밭,field (farm)
배경,background
배구,volleyball
배꼽,navel; belly button
배달,delivery
배드민턴,badminton
배우,actor; actress
배추,napa cabbage; Chinese cabbage
뱀,snake
버릇,habit
버리다,to throw away; to discard
버섯,mushroom
버터,butter
버튼,button
번역,translation
번째,-th; ordinal counter
벌다,to earn (money)
벌레,bug; insect; worm
벌리다,to open wide; to widen
벌어지다,to break out; to happen
벌이다,to start (business); to launch
법,law; way (how to)
벗기다,to undress; to peel; to strip off
베개,pillow
베이징(북경),Beijing
벨트,belt
벽,wall
변하다,to change
변호사,lawyer; attorney
변화,change; transformation
변화하다,to change
별,particular; special
별로,not particularly; not really
병들다,to fall ill; to become sick
보고,report
보고서,written report; report (document)
보관하다,to store; to keep
보람,fulfillment; worthwhileness; reward
보이다,to be visible; to show
보통,usually; ordinarily; average
보험,insurance
보호,protection
복도,hallway; corridor
복사,copy; photocopying
복사하다,to copy; to photocopy
복습,review (of lessons)
복습하다,to review (lessons)
볶다,to stir-fry; to fry
볶음밥,fried rice
본래,originally; original
볼일,errand; business to do
봉지,plastic bag; paper bag
봉투,envelope
뵈다,to see (humble); to be seen
뵙다,to meet (humble); to see (elder)
부,department; part; copy (counter)
부근,vicinity; nearby area
부끄러움,shyness; shame
부끄럽다,shy; ashamed; embarrassed
부동산,real estate
부드럽다,soft; smooth; gentle
부딪치다,to bump into; to collide
부러워하다,to envy
부럽다,envious; enviable
부르다,full (stomach)
부분,part; portion; section
부자,rich person; the wealthy
부작용,side effect
부잣집,rich family's house; wealthy family
부장,department head; manager
부족,lack; shortage; tribe
부족하다,to be insufficient; to be lacking
부지런하다,to be diligent; to be hardworking
부처,government ministry; department
부치다,to mail; to send (a letter)
부탁,favor; request
부탁하다,to ask a favor; to request
북,north
북한,North Korea
분명,clearly; surely; obviously
분명히,clearly; distinctly
분석하다,to analyze
분위기,atmosphere; mood
불가능하다,to be impossible
불교,Buddhism
불꽃,flame; spark; fireworks
불리다,to be called (named)
불만,dissatisfaction; complaint
불빛,light; glow (of a lamp)
불쌍하다,to be pitiful; to be poor (pitiable)
불안,anxiety; unease
불안하다,to be anxious; to be uneasy
불편하다,to be uncomfortable; to be inconvenient
불행하다,to be unhappy; to be unfortunate
붉다,to be red; to be crimson
붓다,to pour; to swell up
붙다,to stick; to adhere
붙이다,to attach; to stick on
블라우스,blouse
비교,comparison
비교적,comparatively; relatively
비교하다,to compare
비닐,vinyl; plastic
비닐봉지,plastic bag
비밀,secret
비서,secretary
비용,cost; expense
비키다,to step aside; to get out of the way
비타민,vitamin
비판하다,to criticize
빌다,to wish; to pray; to beg
빌딩,building
빌리다,to borrow
빗,comb
빗물,rainwater
빛,light
빠지다,to fall out (hair); to fall into (water)
빨갛다,to be red
빨다,to wash (laundry); to suck
빨래,laundry; washing
빼다,to pull out; to remove; to subtract
뺨,cheek
뻗다,to stretch out; to extend
뼈,bone
뽑다,to pull out; to extract; to select
뿌리,root
뿌리다,to sprinkle; to scatter; to spray
뿐,only; nothing but
사계절,four seasons
사고,accident
사과하다,to apologize
사라지다,to disappear; to vanish
사랑스럽다,to be lovely; to be adorable
사모님,madam (respectful); teacher's or boss's wife
사무,office work; clerical work
사물,things; objects
사실,fact; actually; in fact
사업,business; enterprise
사용,use; usage
사용되다,to be used
사용자,user
사원,company employee; staff member
사위,son-in-law
사이좋다,to be on good terms; to get along well
사자,lion
사진기,camera
사촌,cousin
사회,society
사회적,social
사흘,three days
산소,oxygen
산속,deep in the mountains; mountain interior
살,flesh; body fat; weight
살리다,to save (a life); to revive
살짝,slightly; gently; sneakily
살펴보다,to look around; to examine
삶다,to boil (food)
삼촌,uncle (father's brother)
상,prize; award
상대,opponent; counterpart; partner
상대방,the other party; the other person
상상,imagination
상상하다,to imagine
상자,box
상처,wound; injury; scar
상추,lettuce
상품,goods; product; merchandise
상하다,to go bad; to spoil; to be damaged
새끼,baby animal; young; offspring
새로,newly; anew
새벽,dawn; early morning
새소리,birdsong; bird's chirping
새우,shrimp
새해,new year
생각나다,to come to mind; to remember
생각되다,to be thought; to seem
생겨나다,to arise; to come into being
생신,birthday (honorific)
생활하다,to live; to lead a life
생활환경,living environment
서너,three or four
서두르다,to hurry; to rush
서랍,drawer
서로,each other; mutually
서류,document; papers
서비스,service; free extra (at a shop)
서양,the West; Western world
서투르다,to be clumsy; to be unskilled
석유,petroleum; oil
섞다,to mix; to blend
섞이다,to be mixed; to get mixed
선배,senior (at school/work)
선수,athlete; player
선택,choice; selection
선택하다,to choose; to select
선풍기,electric fan
설거지,dishwashing; washing dishes
설날,Lunar New Year's Day
설렁탕,seolleongtang; ox bone soup
섬,island
섭씨,Celsius; centigrade
성,surname; family name
성격,personality; character
성공,success
성공하다,to succeed
성별,gender; sex
성인,adult
성적,grades; academic results
성함,name (honorific)
세계,world
세계적,world-class; global
세금,tax
세기,century
세다,to be strong; to be powerful
세로,vertical length; lengthwise
세상,world; society
세우다,to stand up; to stop (a car); to establish
세워지다,to be built; to be established
세탁,laundry; washing
세탁소,laundry shop; dry cleaner's
센터,center (facility)
소,cow; ox
소개,introduction
소개되다,to be introduced
소나기,rain shower; sudden downpour
소나무,pine tree
소녀,girl; young girl
소년,boy; young boy
소리,sound; noise
소리치다,to shout; to yell
소문,rumor
소문나다,to become famous; to be rumored
소비자,consumer
소설,novel; fiction
소설가,novelist
소스,sauce
소시지,sausage
소식,news; word (from someone)
소용없다,to be useless; to be no use
소주,soju (Korean liquor)
소포,parcel; package
속도,speed; velocity
속옷,underwear
속하다,to belong to
손녀,granddaughter
손목,wrist
손바닥,palm (of the hand)
손발,hands and feet
손뼉,clapping hands; palms (for clapping)
손수건,handkerchief
손자,grandson
손잡이,handle; grip
손톱,fingernail
솔직하다,to be honest; to be frank
솔직히,honestly; frankly
송아지,calf (baby cow)
송이,bunch; cluster; counter for flowers
송편,songpyeon; half-moon rice cake
쇼,show
수고하다,to make an effort; to take trouble
수년,several years
수돗물,tap water
수많다,to be numerous; to be countless
수상,prime minister
수술,surgery; operation
수염,beard; mustache
수입,income; import
수입하다,to import
수출,export
수출하다,to export
수표,check (bank)
수학,schooling; mathematics
수화기,telephone receiver; handset
숙소,lodging; accommodation
숙이다,to bow (one's head); to lower
순간,moment; instant
순서,order; sequence
순수하다,to be pure; to be innocent
술병,liquor bottle
술자리,drinking gathering; drinking party
술잔,liquor glass; drinking cup
술집,bar; pub
숨,breath
숨다,to hide (oneself)
숫자,number; figure
숲,forest; woods
쉬다,to breathe (take a breath)
스님,Buddhist monk
스스로,oneself; by oneself; on one's own
스웨터,sweater
스케이트,skate; skating
스케줄,schedule
스키장,ski resort; ski slope
스타,star (celebrity)
스타일,style
슬퍼하다,to grieve; to feel sad
슬픔,sadness; sorrow
습관,habit
승용차,passenger car; sedan
시골,countryside; rural area
시끄럽다,to be noisy; to be loud
시내,downtown; city center
시내버스,city bus; local bus
시대,era; period; age
시도하다,to attempt; to try
시리즈,series
시민,citizen
시부모,husband's parents; parents-in-law
시설,facility; facilities
시아버지,father-in-law (husband's father)
시어머니,mother-in-law (husband's mother)
시외,outside the city; outskirts
시인,poet
시절,days; times (period of life)
시집,husband's family; in-laws' home
시청,city hall
시청자,viewer (TV)
시키다,to make (someone) do; to order (food)
식,way; style; ceremony
식구,family member; family
식다,to cool down; to get cold
식물,plant
식빵,bread; loaf of bread
식용유,cooking oil
식초,vinegar
식품,food; food product
신,excitement; fun
신고,report (to authorities); declaration
신랑,groom; bridegroom
신문사,newspaper company
신문지,newspaper (the paper itself); newsprint
신부,bride
신선하다,to be fresh
신용,credit; trust
신입생,new student; freshman
신청,application; request
신체,body; physical body
신호,signal
신호등,traffic light
신혼부부,newlywed couple; newlyweds
신혼여행,honeymoon
싣다,to load (onto a vehicle); to publish
실내,indoors; interior
실력,skill; ability
실수,mistake
실수하다,to make a mistake
실제,reality; actual fact
실패,failure
실패하다,to fail
싫어지다,to come to dislike; to grow tired of
심각하다,to be serious; to be severe
심다,to plant
심리,psychology; state of mind
심부름,errand
심하다,to be severe; to be extreme
심해지다,to get worse; to become severe
싱겁다,to be bland; to be not salty enough
싸다,to wrap; to pack
싸움,fight; quarrel
쌀,rice (uncooked)
쌓다,to pile up; to stack; to build up
쌓이다,to pile up; to accumulate
썩다,to rot; to go bad
썰다,to slice; to chop
쏘다,to shoot; to sting
쏟다,to spill; to pour out
쏟아지다,to pour out; to spill (by itself); to gush
쓰다,to be bitter
쓰레기통,trash can; garbage bin
쓰이다,to be written; to be used
씨,seed
씨름,ssireum; Korean wrestling
씩씩하다,to be brave; to be spirited
씹다,to chew
아가씨,young lady; miss
아까,a while ago; earlier
아나운서,announcer; newscaster
아뇨,no (polite)
아니,no (casual); huh (surprise)
아니야,no it's not (casual); no way
아래쪽,lower side; downward direction
아래층,downstairs; lower floor
아마도,probably; perhaps
아무것,anything; nothing (with negative)
아무래도,somehow; no matter what; after all
아무렇다,to be any way (whatsoever)
아무리,no matter how; however much
아무튼,anyway; in any case
아버님,father (honorific)
아시아,Asia
아아,ah; oh (exclamation)
아이,oh; geez (mild annoyance)
아이고,oh my; oh dear; good grief
아프리카,Africa
아픔,pain; ache; suffering
악기,musical instrument
악수,handshake
안내하다,to guide; to show around; to inform
안되다,to feel sorry (for); to be pitiful
안방,main bedroom; master bedroom
안전,safety
안전하다,to be safe
안주,snack eaten with alcohol; drinking snack
안쪽,inside; inner side
안타깝다,to be regrettable; to be heartbreaking
알,egg; grain (small round object)
알려지다,to become known
알리다,to inform; to let know; to announce
알맞다,to be suitable; to fit; to be right
알아듣다,to understand (spoken words); to catch
앓다,to be sick with; to suffer from
암,cancer
앞길,road ahead; path ahead
앞뒤,front and back; before and after
앞서다,to go ahead; to be ahead; to precede
앞쪽,front side; the front
애,kid; child
애인,lover; sweetheart
