German,English
Vergnügen; das Vergnügen,pleasure
Genuss; der Genuss,enjoyment
Zufriedenheit; die Zufriedenheit,satisfaction
Enttäuschung; die Enttäuschung,disappointment
Trauer; die Trauer,grief; mourning
Verzweiflung; die Verzweiflung,despair
Einsamkeit; die Einsamkeit,loneliness
Neid; der Neid,envy
Selbstbewusstsein; das Selbstbewusstsein,self-confidence
Sehnsucht; die Sehnsucht,longing
Leidenschaft; die Leidenschaft,passion
Bedürfnis; das Bedürfnis,need
Erwartung; die Erwartung,expectation
Ernährung; die Ernährung,nutrition; diet
Diät; die Diät,diet
Bewegung; die Bewegung,exercise; movement
Muskel; der Muskel,muscle
Lunge; die Lunge,lung
Magen; der Magen,stomach
Leber; die Leber,liver
Gehirn; das Gehirn,brain
Nerv; der Nerv,nerve
Atem; der Atem,breath
Allergie; die Allergie,allergy
Symptom; das Symptom,symptom
Diagnose; die Diagnose,diagnosis
Impfung; die Impfung,vaccination
Spritze; die Spritze,injection; syringe
Verband; der Verband,bandage; association
Pflaster; das Pflaster,plaster; band-aid
Therapie; die Therapie,therapy
Pflege; die Pflege,care; nursing
Sucht; die Sucht,addiction
Erholung; die Erholung,recovery; relaxation
Schlaf; der Schlaf,sleep
Krankenkasse; die Krankenkasse,health insurance
Umweltschutz; der Umweltschutz,environmental protection
Klimawandel; der Klimawandel,climate change
Verschmutzung; die Verschmutzung,pollution
Müll; der Müll,rubbish; garbage
Abfall; der Abfall,waste
Rohstoff; der Rohstoff,raw material
Kohle; die Kohle,coal
Landschaft; die Landschaft,landscape
Umgebung; die Umgebung,surroundings
Fläche; die Fläche,area; surface
Gebiet; das Gebiet,area; region
Wüste; die Wüste,desert
Küste; die Küste,coast
Ufer; das Ufer,shore; bank
Tal; das Tal,valley
Hügel; der Hügel,hill
Höhle; die Höhle,cave
Quelle; die Quelle,source; spring
Welle; die Welle,wave
Sand; der Sand,sand
Stein; der Stein,stone
Art; die Art,kind; species
Wissenschaft; die Wissenschaft,science
Wissenschaftler; der Wissenschaftler,scientist
Forschung; die Forschung,research
Erfindung; die Erfindung,invention
Entdeckung; die Entdeckung,discovery
Technik; die Technik,technology; technique
Technologie; die Technologie,technology
Experiment; das Experiment,experiment
Versuch; der Versuch,attempt; experiment
Theorie; die Theorie,theory
Wirklichkeit; die Wirklichkeit,reality
Tatsache; die Tatsache,fact
Weltraum; der Weltraum,outer space
Planet; der Planet,planet
Karriere; die Karriere,career
Arbeitsplatz; der Arbeitsplatz,workplace
Arbeitgeber; der Arbeitgeber,employer
Arbeitnehmer; der Arbeitnehmer,employee
Praktikum; das Praktikum,internship
Lohn; der Lohn,wage
Kündigung; die Kündigung,dismissal; resignation
Arbeitslosigkeit; die Arbeitslosigkeit,unemployment
Sitzung; die Sitzung,meeting; session
Besprechung; die Besprechung,meeting
Konferenz; die Konferenz,conference
Frist; die Frist,deadline
Auftrag; der Auftrag,order; assignment
Leistung; die Leistung,performance; achievement
Weiterbildung; die Weiterbildung,further training
Zeugnis; das Zeugnis,certificate; report card
Bereich; der Bereich,area; field
Branche; die Branche,industry; sector
Unternehmen; das Unternehmen,company; enterprise
Betrieb; der Betrieb,business; operation
Umsatz; der Umsatz,turnover; revenue
Konkurrenz; die Konkurrenz,competition; rivals
Anzeige; die Anzeige,advertisement; report
Betrag; der Betrag,amount; sum
Summe; die Summe,sum; total
Überweisung; die Überweisung,bank transfer
Kredit; der Kredit,loan; credit
Schulden; die Schulden,debts
Vermögen; das Vermögen,fortune; assets
Ausgabe; die Ausgabe,expense; edition
Kommunikation; die Kommunikation,communication
Information; die Information,information
Auskunft; die Auskunft,information; enquiry
Mitteilung; die Mitteilung,notification
Hinweis; der Hinweis,hint; notice
Warnung; die Warnung,warning
Ankündigung; die Ankündigung,announcement
Medien; die Medien,media
Presse; die Presse,press
Sender; der Sender,broadcaster; channel
Sendung; die Sendung,broadcast; programme
Beitrag; der Beitrag,contribution; article
Artikel; der Artikel,article
Überschrift; die Überschrift,headline
Roman; der Roman,novel
Gedicht; das Gedicht,poem
Autor; der Autor,author
Schriftsteller; der Schriftsteller,writer
Verlag; der Verlag,publisher
Bildschirm; der Bildschirm,screen
Tastatur; die Tastatur,keyboard
Drucker; der Drucker,printer
Gerät; das Gerät,device
Anwendung; die Anwendung,application
Webseite; die Webseite,website
Benutzer; der Benutzer,user
Zugang; der Zugang,access
Netzwerk; das Netzwerk,network
Speicher; der Speicher,memory; storage
Daten; die Daten,data
Bild; das Bild,picture; image
Aufnahme; die Aufnahme,recording; admission
Kopfhörer; der Kopfhörer,headphones
Akku; der Akku,rechargeable battery
Kabel; das Kabel,cable
Schalter; der Schalter,switch; counter
Knopf; der Knopf,button
Kultur; die Kultur,culture
Tradition; die Tradition,tradition
Brauch; der Brauch,custom
Religion; die Religion,religion
Glaube; der Glaube,faith; belief
Gott; der Gott,god
Fest; das Fest,festival; celebration
Feier; die Feier,celebration
Unterhaltung; die Unterhaltung,entertainment; conversation
Veranstaltung; die Veranstaltung,event
Ausstellung; die Ausstellung,exhibition
Eintritt; der Eintritt,admission; entrance
Bühne; die Bühne,stage
Wettbewerb; der Wettbewerb,competition
Gegner; der Gegner,opponent
Niederlage; die Niederlage,defeat
Rolle; die Rolle,role
Ausland; das Ausland,abroad
Wanderung; die Wanderung,hike
Besichtigung; die Besichtigung,tour; sightseeing
Reiseführer; der Reiseführer,travel guide
Gegenstand; der Gegenstand,object; item
Material; das Material,material
verursachen,to cause
verhindern,to prevent
vermeiden,to avoid
ermöglichen,to enable
erlauben,to allow
verbieten,to forbid
zulassen,to permit; to admit
beeinflussen,to influence
verschlechtern,to worsen
vergrößern,to enlarge
verkleinern,to reduce
erhöhen,to increase
senken,to lower; to reduce
zunehmen,to increase; to gain weight
abnehmen,to decrease; to lose weight
entstehen,to arise; to emerge
betragen,to amount to
enthalten,to contain
besitzen,to own
erhalten,to receive; to maintain
behalten,to keep
aufgeben,to give up
verzichten,to do without
ersetzen,to replace
tauschen,to swap; to exchange
liefern,to deliver
versorgen,to supply; to provide for
verteilen,to distribute
sammeln,to collect
ordnen,to arrange; to sort
sortieren,to sort
unterscheiden,to distinguish
zusammenfassen,to summarize
betonen,to emphasize
erwähnen,to mention
behaupten,to claim
zugeben,to admit
ergänzen,to add; to complement
hinzufügen,to add
äußern,to express
ausdrücken,to express
mitteilen,to inform; to notify
informieren,to inform
ankündigen,to announce
warnen,to warn
drohen,to threaten
sich beschweren,to complain
kritisieren,to criticize
loben,to praise
beurteilen,to assess; to judge
bewerten,to evaluate; to rate
schätzen,to estimate; to appreciate
vermuten,to suspect; to assume
annehmen,to assume; to accept
ablehnen,to reject; to decline
akzeptieren,to accept
zustimmen,to agree
widersprechen,to contradict
überzeugen,to convince
überreden,to persuade
beweisen,to prove
begründen,to justify; to give reasons
verlangen,to demand; to require
fordern,to demand
auffordern,to urge; to call upon
beantragen,to apply for
beschließen,to decide; to resolve
festlegen,to set; to determine
bestimmen,to determine
vereinbaren,to arrange; to agree
verabreden,to arrange to meet
absagen,to cancel
verschieben,to postpone
unterbrechen,to interrupt
fortsetzen,to continue
erledigen,to deal with; to get done
lösen,to solve
schaffen,to manage; to create
gelingen,to succeed
scheitern,to fail
sich bemühen,to make an effort
sich anstrengen,to exert oneself
sich verhalten,to behave
sich gewöhnen,to get used to
sich befinden,to be located
sich verlassen,to rely on
sich beschäftigen,to occupy oneself
sich bewerben,to apply (for a job)
sich erholen,to recover
sich entspannen,to relax
sich langweilen,to be bored
sich wundern,to be surprised
sich schämen,to be ashamed
sich trauen,to dare
sich weigern,to refuse
sich einigen,to reach an agreement
sich verabschieden,to say goodbye
begegnen,to encounter
verzeihen,to forgive
beleidigen,to insult
beruhigen,to calm down
trösten,to comfort
unterstützen,to support
fördern,to promote; to support
pflegen,to care for; to maintain
erziehen,to raise; to educate
kontrollieren,to check; to control
beobachten,to observe
bemerken,to notice
feststellen,to find; to determine
herausfinden,to find out
begreifen,to grasp; to comprehend
verwechseln,to confuse; to mix up
zweifeln,to doubt
messen,to measure
wiegen,to weigh
aussprechen,to pronounce
flüstern,to whisper
schweigen,to be silent
klingen,to sound
besorgen,to get; to obtain
investieren,to invest
leisten,to afford; to achieve
werben,to advertise; to recruit
verhandeln,to negotiate
gelten,to be valid; to apply
betreffen,to concern; to affect
darstellen,to represent; to depict
wirken,to have an effect; to seem
erscheinen,to appear
verschwinden,to disappear
vorkommen,to occur
geschehen,to happen
klappen,to work out
unterrichten,to teach
vermitteln,to convey; to mediate
durchführen,to carry out
veranstalten,to organize; to hold
gründen,to found; to establish
leiten,to lead; to manage
einstellen,to hire; to adjust
entlassen,to dismiss; to release
kündigen,to give notice; to quit
verbrauchen,to consume
überweisen,to transfer (money)
abheben,to withdraw (money)
einzahlen,to deposit
ausmachen,to matter; to switch off
vorhaben,to intend
bevorzugen,to prefer
verantwortlich,responsible
zuverlässig,reliable
ehrgeizig,ambitious
selbstbewusst,self-confident
großzügig,generous
geizig,stingy
sparsam,thrifty
bescheiden,modest
egoistisch,selfish
rücksichtsvoll,considerate
hilfsbereit,helpful
unfreundlich,unfriendly
gemein,mean
aggressiv,aggressive
friedlich,peaceful
tolerant,tolerant
aufgeschlossen,open-minded
vernünftig,sensible
intelligent,intelligent
begabt,talented
fähig,capable
erfahren,experienced
erfolgreich,successful
treu,loyal; faithful
gerecht,fair; just
ungerecht,unfair
unhöflich,impolite
feige,cowardly
entspannt,relaxed
gestresst,stressed
gelassen,calm; composed
ungeduldig,impatient
gespannt,eager; curious
unzufrieden,dissatisfied
dankbar,grateful
neidisch,envious
stur,stubborn
flexibel,flexible
kompliziert,complicated
komplex,complex
verständlich,understandable
logisch,logical
typisch,typical
allgemein,general
konkret,concrete
abstrakt,abstract
persönlich,personal
gemeinsam,common; joint
individuell,individual
eigen,own
ausländisch,foreign
international,international
politisch,political
wirtschaftlich,economic
sozial,social
kulturell,cultural
religiös,religious
offiziell,official
beruflich,professional
finanziell,financial
körperlich,physical
geistig,mental
wesentlich,essential
zusätzlich,additional
gesamt,entire; total
durchschnittlich,average
gleichzeitig,simultaneous
ständig,constant
dauerhaft,permanent
vorläufig,temporary; provisional
endgültig,final
allmählich,gradual
rechtzeitig,on time; timely
häufig,frequent
gelegentlich,occasional
zahlreich,numerous
einzeln,individual; single
gegenseitig,mutual
ausreichend,sufficient
knapp,scarce; tight
überflüssig,superfluous
dringend,urgent
entscheidend,decisive; crucial
erheblich,considerable
offensichtlich,obvious
tatsächlich,actual; real
ungewöhnlich,unusual
selbstverständlich,self-evident
verfügbar,available
vorhanden,present; available
geeignet,suitable
passend,suitable; matching
zuständig,responsible; in charge
bewusst,aware; conscious
schwanger,pregnant
erwachsen,grown-up; adult
ledig,single; unmarried
geschieden,divorced
tot,dead
lebendig,alive; lively
vorher,beforehand
nachher,afterwards
danach,after that
seitdem,since then
bisher,so far; until now
neulich,recently
demnächst,shortly; soon
zunächst,first of all
anschließend,afterwards; subsequently
deswegen,therefore
daher,therefore; hence
dadurch,thereby; through this
dabei,in doing so; yet
dennoch,nevertheless
allerdings,however; though
zwar,admittedly
nämlich,namely; you see
ebenfalls,likewise; also
ebenso,equally; likewise
sobald,as soon as
solange,as long as
indem,by (doing)
sodass,so that
einerseits,on one hand
andererseits,on the other hand
vermutlich,presumably
angeblich,allegedly
hauptsächlich,mainly
teilweise,partly
überwiegend,predominantly
insgesamt,altogether; in total
beispielsweise,for example
einigermaßen,fairly; somewhat
keineswegs,by no means
ausgerechnet,of all things
offenbar,apparently
scheinbar,seemingly
bloß,just; merely
jeweils,each; respectively
wenigstens,at least
höchstens,at most
nach wie vor,still; as before
in der Regel,as a rule
auf einmal,all at once; suddenly
und so weiter,and so on
im Gegenteil,on the contrary
im Voraus,in advance
Bescheid sagen,to let (someone) know
Recht haben,to be right
Angst haben,to be afraid
auf Wiederhören,goodbye (on the phone)
guten Rutsch,happy New Year
alles Gute,all the best
viel Spaß,have fun
viel Erfolg,much success; good luck
gute Reise,have a good trip
schönen Tag noch,have a nice day
schönes Wochenende,have a nice weekend
bis gleich,see you in a bit
Moment mal,just a moment
das stimmt,that is right
macht nichts,never mind
schade,what a pity
ach so,oh I see
in Ordnung,okay; fine
zu Fuß,on foot
nach Hause,home (going)
zu Hause,at home
in der Nähe,nearby
zur Verfügung,available
Pech haben,to be unlucky
Glück haben,to be lucky
Lust haben,to feel like
eine Rolle spielen,to matter
Sport treiben,to do sport
Rad fahren,to cycle
Ski fahren,to ski
spazieren gehen,to go for a walk
schief gehen,to go wrong
kaputt gehen,to break
verloren gehen,to get lost
Platz nehmen,to take a seat
ernst nehmen,to take seriously
eine Rede halten,to give a speech
am Apparat,speaking (on the phone)
wie bitte,pardon
gern geschehen,you are welcome
keine Ursache,no problem; not at all
abschließen,to lock; to conclude
aufschließen,to unlock
anschließen,to connect
ausschließen,to exclude
einschließen,to include; to lock in
verschließen,to lock up
mitnehmen,to take along
wegnehmen,to take away
aufnehmen,to record; to take in
unternehmen,to undertake
abgeben,to hand in
weitergeben,to pass on
nachgeben,to give in
gestehen,to confess
widerstehen,to resist
anstehen,to queue
feststehen,to be certain
beziehen,to obtain; to move into
vorziehen,to prefer
anhalten,to stop
abhalten,to hold (event); to prevent
festhalten,to hold on; to record
zurückhalten,to hold back
einhalten,to comply with
aushalten,to endure
beitragen,to contribute
übertragen,to transmit; to transfer
ertragen,to bear; to endure
vertragen,to tolerate
nachschlagen,to look up
aufschlagen,to open (a book)
verfassen,to compose; to write
umfassen,to comprise
erfassen,to capture; to grasp
anfassen,to touch
besetzen,to occupy
versetzen,to transfer; to move
durchsetzen,to enforce; to prevail
einsetzen,to use; to deploy
umsetzen,to implement
aussetzen,to expose; to suspend
voraussetzen,to presuppose
entkommen,to escape
auskommen,to get by
mitkommen,to come along
nachkommen,to follow; to comply
unterkommen,to find accommodation
auffallen,to stand out
gefallen,to please; to like
einfallen,to come to mind
ausfallen,to be cancelled; to fail
überfallen,to raid; to mug
ablaufen,to expire; to proceed
verlaufen,to proceed; to run
weglaufen,to run away
eintreten,to enter; to occur
auftreten,to appear; to perform
beitreten,to join
zurücktreten,to resign; to step back
vertreten,to represent
betreten,to enter
abbrechen,to break off; to cancel
zerbrechen,to shatter
entsprechen,to correspond
besprechen,to discuss
ansprechen,to address; to appeal
einbrechen,to break in
ausbrechen,to break out
hinweisen,to point out
abweisen,to reject
anweisen,to instruct
nachweisen,to prove
verweisen,to refer
zuweisen,to assign
aufweisen,to show; to exhibit
einführen,to introduce; to import
ausführen,to carry out
aufführen,to perform
vorführen,to demonstrate
entführen,to kidnap
herstellen,to produce
ausstellen,to issue; to exhibit
erstellen,to create
aufstellen,to set up
umstellen,to rearrange; to switch
anlegen,to invest; to lay out
auflegen,to hang up
belegen,to prove; to occupy
vorlegen,to present; to submit
zerlegen,to dismantle
eingreifen,to intervene
angreifen,to attack
ergreifen,to seize
zugreifen,to access; to grab
zutreffen,to be true; to apply
eintreffen,to arrive
übertreffen,to exceed
erfinden,to invent
empfinden,to feel; to sense
umbringen,to kill
unterbringen,to accommodate
beibringen,to teach; to impart
anbringen,to attach
bedenken,to consider
aussehen,to look; to appear
ansehen,to look at; to watch
einsehen,to realize
übersehen,to overlook
nachsehen,to check; to look up
zusehen,to watch
überlassen,to leave to; to hand over
hinterlassen,to leave behind
nachlassen,to decrease; to let up
auslassen,to omit; to skip
loslassen,to let go
vorwerfen,to reproach; to accuse
wegwerfen,to throw away
entwerfen,to design; to draft
einwerfen,to post; to insert
abschaffen,to abolish
anschaffen,to purchase
überreichen,to present; to hand over
einreichen,to submit; to hand in
aufrufen,to call up; to summon
hervorrufen,to cause; to provoke
zurückrufen,to call back
ahnen,to suspect
befürchten,to fear
fürchten,to fear
hassen,to hate
bewundern,to admire
beneiden,to envy
vertrauen,to trust
leugnen,to deny
verraten,to betray; to reveal
beschuldigen,to accuse
bestrafen,to punish
belohnen,to reward
verurteilen,to condemn
verteidigen,to defend
bewahren,to preserve
riskieren,to risk
wagen,to dare
zögern,to hesitate
zittern,to tremble
schwitzen,to sweat
frieren,to freeze; to be cold
gähnen,to yawn
niesen,to sneeze
atmen,to breathe
jubeln,to cheer
klatschen,to clap
winken,to wave
nicken,to nod
starren,to stare
betrachten,to look at; to regard
anschauen,to look at
zuhören,to listen
kauen,to chew
schlucken,to swallow
beißen,to bite
gießen,to pour; to water
wischen,to wipe
reiben,to rub
kratzen,to scratch
klopfen,to knock
stoßen,to push; to bump
schieben,to push; to shove
schleppen,to drag; to lug
rutschen,to slip; to slide
kriechen,to crawl
springen,to jump
rennen,to run
eilen,to hurry
stolpern,to stumble
stürzen,to fall; to plunge
kippen,to tip; to tilt
drehen,to turn; to rotate
wenden,to turn
rollen,to roll
falten,to fold
binden,to tie
reißen,to tear
bohren,to drill
kleben,to glue; to stick
nähen,to sew
basteln,to craft; to tinker
gestalten,to shape; to design
formen,to form; to shape
rühren,to stir
würzen,to season; to spice
grillen,to grill
schmelzen,to melt
erhitzen,to heat
aufwärmen,to warm up
schälen,to peel
hacken,to chop
servieren,to serve
decken,to cover; to set (table)
spülen,to rinse; to wash up
trocknen,to dry
bügeln,to iron
fegen,to sweep
lüften,to air
heizen,to heat
pflanzen,to plant
graben,to dig
füttern,to feed
reiten,to ride (a horse)
angeln,to fish
jagen,to hunt
pflücken,to pick
rund,round
flach,flat
steil,steep
glatt,smooth
rau,rough
spitz,pointed
hohl,hollow
durchsichtig,transparent
glänzend,shiny
riesig,huge
winzig,tiny
enorm,enormous
kräftig,strong; sturdy
zart,tender; delicate
zerbrechlich,fragile
stabil,stable; sturdy
fest,firm; solid
lose,loose
steif,stiff
elastisch,elastic
klebrig,sticky
fettig,greasy
staubig,dusty
rostig,rusty
reif,ripe; mature
roh,raw
zäh,tough; chewy
knusprig,crispy
saftig,juicy
ungesund,unhealthy
giftig,poisonous
tödlich,deadly
harmlos,harmless
schädlich,harmful
schmerzhaft,painful
unerträglich,unbearable
lästig,annoying; troublesome
mühsam,laborious
anstrengend,exhausting; strenuous
erholsam,restful
aufregend,exciting
spannend,exciting; thrilling
eintönig,monotonous
abwechslungsreich,varied
vielfältig,diverse
satt,full (not hungry)
nüchtern,sober
betrunken,drunk
wach,awake
schläfrig,sleepy
fit,fit
schwach,weak
blind,blind
taub,deaf
stumm,mute
verletzt,injured
ansteckend,contagious
Staubsauger; der Staubsauger,vacuum cleaner
Besen; der Besen,broom
Eimer; der Eimer,bucket
Wäsche; die Wäsche,laundry
Bügeleisen; das Bügeleisen,iron
Schublade; die Schublade,drawer
Vorhang; der Vorhang,curtain
Steckdose; die Steckdose,power socket
Glühbirne; die Glühbirne,light bulb
Klingel; die Klingel,doorbell
Briefkasten; der Briefkasten,letterbox
Zaun; der Zaun,fence
Werkstatt; die Werkstatt,workshop
Leiter; die Leiter,ladder
Nagel; der Nagel,nail
Hammer; der Hammer,hammer
Schraube; die Schraube,screw
Kette; die Kette,chain; necklace
Draht; der Draht,wire
Faden; der Faden,thread
Schloss; das Schloss,lock; castle
Griff; der Griff,handle; grip
Deckel; der Deckel,lid
Kanne; die Kanne,jug; pot
Serviette; die Serviette,napkin
Korb; der Korb,basket
Tüte; die Tüte,bag
Schachtel; die Schachtel,box
Karton; der Karton,cardboard box
Paket; das Paket,parcel
Packung; die Packung,pack
Dose; die Dose,can; tin
Sack; der Sack,sack
Anzug; der Anzug,suit
Krawatte; die Krawatte,tie
Bluse; die Bluse,blouse
Weste; die Weste,waistcoat; vest
Gürtel; der Gürtel,belt
Handschuh; der Handschuh,glove
Schal; der Schal,scarf
Stiefel; der Stiefel,boot
Sandale; die Sandale,sandal
Turnschuh; der Turnschuh,trainer
Unterwäsche; die Unterwäsche,underwear
Reißverschluss; der Reißverschluss,zip
Geldbeutel; der Geldbeutel,purse; wallet
Schmuck; der Schmuck,jewellery
Ring; der Ring,ring
Ohrring; der Ohrring,earring
Armband; das Armband,bracelet
Regenschirm; der Regenschirm,umbrella
Kaffeemaschine; die Kaffeemaschine,coffee machine
Wasserkocher; der Wasserkocher,kettle
Toaster; der Toaster,toaster
Geschirr; das Geschirr,dishes; crockery
Geschirrspüler; der Geschirrspüler,dishwasher
Marmelade; die Marmelade,jam
Schinken; der Schinken,ham
Speck; der Speck,bacon
Steak; das Steak,steak
Braten; der Braten,roast
Lachs; der Lachs,salmon
Thunfisch; der Thunfisch,tuna
Getreide; das Getreide,grain
Müsli; das Müsli,muesli
Pfannkuchen; der Pfannkuchen,pancake
Waffel; die Waffel,waffle
Torte; die Torte,layer cake; tart
Pudding; der Pudding,pudding
Quark; der Quark,curd cheese
Essig; der Essig,vinegar
Senf; der Senf,mustard
Gewürz; das Gewürz,spice
Kräuter; die Kräuter,herbs
Zimt; der Zimt,cinnamon
Kohl; der Kohl,cabbage
Spinat; der Spinat,spinach
Erbse; die Erbse,pea
Mais; der Mais,corn
Kürbis; der Kürbis,pumpkin
Traube; die Traube,grape
Pfirsich; der Pfirsich,peach
Pflaume; die Pflaume,plum
Melone; die Melone,melon
Ananas; die Ananas,pineapple
Himbeere; die Himbeere,raspberry
Mandel; die Mandel,almond
Rosine; die Rosine,raisin
Pommes; die Pommes,fries
Elefant; der Elefant,elephant
Affe; der Affe,monkey
Wolf; der Wolf,wolf
Fuchs; der Fuchs,fox
Hirsch; der Hirsch,deer; stag
Hase; der Hase,hare
Igel; der Igel,hedgehog
Eichhörnchen; das Eichhörnchen,squirrel
Frosch; der Frosch,frog
Schlange; die Schlange,snake; queue
Schildkröte; die Schildkröte,turtle
Ziege; die Ziege,goat
Esel; der Esel,donkey
Ratte; die Ratte,rat
Fliege; die Fliege,fly
Mücke; die Mücke,mosquito
Käfer; der Käfer,beetle
Schmetterling; der Schmetterling,butterfly
Ameise; die Ameise,ant
Wurm; der Wurm,worm
Hai; der Hai,shark
Wal; der Wal,whale
Delfin; der Delfin,dolphin
Pinguin; der Pinguin,penguin
Adler; der Adler,eagle
Eule; die Eule,owl
Taube; die Taube,pigeon; dove
Möwe; die Möwe,seagull
Hahn; der Hahn,rooster; tap
Pfote; die Pfote,paw
Schwanz; der Schwanz,tail
Flügel; der Flügel,wing
Feder; die Feder,feather; spring
Fell; das Fell,fur
Käfig; der Käfig,cage
Zoo; der Zoo,zoo
Haustier; das Haustier,pet
Herde; die Herde,herd
Stirn; die Stirn,forehead
Wange; die Wange,cheek
Kinn; das Kinn,chin
Augenbraue; die Augenbraue,eyebrow
Ellbogen; der Ellbogen,elbow
Handgelenk; das Handgelenk,wrist
Daumen; der Daumen,thumb
Zeh; der Zeh,toe
Ferse; die Ferse,heel
Nacken; der Nacken,nape
Brust; die Brust,chest; breast
Hüfte; die Hüfte,hip
Oberschenkel; der Oberschenkel,thigh
Knöchel; der Knöchel,ankle
Niere; die Niere,kidney
Rippe; die Rippe,rib
Gelenk; das Gelenk,joint
Ader; die Ader,vein
Puls; der Puls,pulse
Schwindel; der Schwindel,dizziness
Übelkeit; die Übelkeit,nausea
Durchfall; der Durchfall,diarrhoea
Bauchschmerzen; die Bauchschmerzen,stomach ache
