Japanese,Kana,English
原因,げんいん,cause; origin; source
驚く,おどろく,to be surprised; to be astonished
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --
祖母,そぼ,grandmother
場所,ばしょ,place; location
答,こたえ,answer; response
もちろん,もちろん,certainly; of course
漬ける,つける,to soak; to moisten; to pickle
受付,うけつけ,reception(ist) desk
内,うち,within; inside
スクリーン,スクリーン,screen
増える,ふえる,to increase; to multiply
または,または,or; otherwise
けがする,けがする,injury (to animate object); hurt
以下,いか,less than; below
選ぶ,えらぶ,to choose; to select
～ばかり,～ばかり,just did ~; only
心,こころ,heart; mind
～だす,～だす,to start doing ~
サラダ,サラダ,salad
届ける,とどける,to deliver (v.t.)
挨拶,あいさつする,greet(ing)
景色,けしき,scenery; landscape
確か,たしか,if I remember correctly; certain; definite
ステーキ,ステーキ,steak
食料品,しょくりょうひん,foodstuff; groceries
森,もり,forest
以内,いない,within; less (no more) than
予定,よてい,plans; arrangement; schedule
オーバー,オーバー,overcoat; over; exceeding; exaggeration
乾く,かわく,to get dry
石,いし,stone
思い出す,おもいだす,to recall; to remember
踊る,おどる,to dance
細かい,こまかい,small; fine; minute
塗る,ぬる,to paint; to plaster
ご主人,ごしゅじん,(your her) husband
珍しい,めずらしい,unusual; rare
用,よう,errand; task; business (to take care of)
公務員,こうむいん,government worker; public servant
お嬢さん,おじょうさん,(someone's) daughter (polite)
用意,ようい,preparation
探す,さがす,to search; to seek; to look for
形,かたち,shape
運転,うんてんする,driving
すっかり,すっかり,all; completely
アナウンサー,アナウンサー,announcer
お土産,おみやげ,souvenir
消しゴム,けしゴム,eraser
旅館,りょかん,a Japanese inn
海岸,かいがん,coast; seashore
寂しい,さびしい,lonely; lonesome
火,ひ,fire
育てる,そだてる,to raise (v.t.); to bring up
味噌,みそ,miso; bean paste
お祝い,おいわい,congratulation; celebration
乗り物,のりもの,vehicle
案内,あんないする,information; guidance
通う,かよう,to go back and forth; to commute
連れる,つれる,to lead; to take (a person)
技術,ぎじゅつ,technique; technology; skill
小鳥,ことり,small bird
下宿,げしゅく,lodging; boarding house
ジャム,ジャム,jam
招待,しょうたいする,invitation
鏡,かがみ,mirror
はず,はず,it should be so
法律,ほうりつ,law
進む,すすむ,to advance; to proceed
楽しむ,たのしむ,to enjoy
貿易,ぼうえき,trade
反対,はんたい,oppose; opposition; resistance
おる,おる,-- extra-modest expression for いる --
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --
試験,しけん,an exam
真面目,まじめ,diligent; serious
ごらんになる,ごらんになる,-- honorific expression for みる --
店員,てんいん,clerk; shop-employee
泊まる,とまる,to stay (over night) (v.i.)
よろしい,よろしい,(hon.) good; OK; all right
今夜,こんや,this evening; tonight
おつり,おつり,change; balance of money returned to the purchaser
チェックする,チェックする,check
会話,かいわ,conversation
空気,くうき,air; atmosphere
交通,こうつう,traffic; transportation
ワープロ,ワープロ,word processor
喜ぶ,よろこぶ,to rejoice; to be delighted; to be glad
急行,きゅうこう,express train or bus
皆,みな,everyone
味,あじ,flavor; taste
空港,くうこう,airport
手袋,てぶくろ,glove(s)
校長,こうちょう,principal; headmaster
ごちそう,ごちそう,feast; treating (someone)
踊り,おどり,dance
興味,きょうみ,interest (in something)
引っ越す,ひっこす,to move to a new place of residence
冷房,れいぼう,cooling; air conditioning
都合,つごう,circumstances; convenience
遠慮,えんりょする,restraint; reserve; hesitate
亡くなる,なくなる,to pass away
科学,かがく,science
はっきり,はっきり,clearly; distinctly
差し上げる,さしあげる,-- humble expression for あげる --
気持ち,きもち,feeling; sensation; mood
祖父,そふ,grandfather
港,みなと,harbor; port
予約,よやく,reservation
凄い,すごい,terrific; great
入学,にゅうがくする,entry to school or university
片付ける,かたづける,to (clean) tidy up (v.t.); to put away
写す,うつす,to copy (v.t.); to photograph
パソコン,パソコン,(personal) computer
部長,ぶちょう,department (division) manager
火事,かじ,fire
足す,たす,to add (numbers)
教会,きょうかい,church
彼ら,かれら,they (usually male)
一杯,いっぱい,full; to the utmost
アメリカ,アメリカ,America; U.S.A.
男性,だんせい,man; male
理由,りゆう,reason
生産,せいさんする,production; to produce
着物,きもの,kimono; Japanese traditional dress
おもちゃ,おもちゃ,a toy
暮れる,くれる,to get dark; to come to an end
釣る,つる,to fish
～ちゃん,～ちゃん,suffix for familiar (female) person
打つ,うつ,to hit; to strike
あんな,あんな,such; like that
謝る,あやまる,to apologize
昼間,ひるま,daytime; during the day
教育,きょういく,education
女性,じょせい,woman
米,こめ,uncooked rice
邪魔,じゃま,hindrance; intrusion
国際,こくさい,international
隅,すみ,corner
伺う,うかがう,humble form of 行く (いく); 聞く (きく) and 来る (くる)
再来週,さらいしゅう,the week after next
夢,ゆめ,a dream
喉,のど,throat
最近,さいきん,recently; nowadays; in recent years; most recent; latest
周り,まわり,surroundings
歴史,れきし,history
不便,ふべん,inconvenience
血,ち,blood
～続ける,～つづける,to continue doing ~
毛,け,hair; fur
ひどい,ひどい,terrible; awful; unfair; cruel
例えば,たとえば,for example; e.g.
中々,なかなか,very; considerably; quite
随分,ずいぶん,extremely
～やすい,～やすい,easy to do ~
押し入れ,おしいれ,closet
電灯,でんとう,electric light
叱る,しかる,to scold
サンダル,サンダル,sandal
びっくりする,びっくりする,to be surprised
うまい,うまい,delicious; skillful; fortunate
変える,かえる,to change; to alter; to vary
講堂,こうどう,auditorium
子,こ,child
沸かす,わかす,to boil
レジ,レジ,register
しばらく,しばらく,little while
特に,とくに,particularly
空く,あく,to open; to become empty (vacant)
計画,けいかくする,plan; project; schedule
通り,とおり,~ Street; ~ Avenue
下着,したぎ,underwear
経済,けいざい,economics; finance; economy
こう,こう,like this; this way
是非,ぜひ,certainly; by all means; without fail
裏,うら,reverse side; back
為,ため,good; advantage; in order to
おいでになる,おいでになる,(hon.) to be
変わる,かわる,to change (v.i.); to be transformed; to vary
以外,いがい,other than; with the exception of; excepting
済む,すむ,to finish; to end
ハンバーグ,ハンバーグ,hamburger steak
市,し,city
引き出し,ひきだし,drawer
遊び,あそび,play
支度,したくする,preparation
～始める,～はじめる,to start doing ~
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --
十分,じゅうぶん,enough
音,おと,sound; note
きっと,きっと,surely; definitely; undoubtedly; certainly
まず,まず,first (of all); to start with
遠く,とおく,far away; distant
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと)
折れる,おれる,to break; to be folded; to give in; to turn (a corner)
正しい,ただしい,correct
輸入,ゆにゅう,import
返事,へんじ,reply; answer
都,と,metropolitan
産業,さんぎょう,industry
伝える,つたえる,to convey (a message); to tell; to report
お金持ち,かねもち; おかねもち,rich person
説明,せつめい,explanation
島,しま,island
道具,どうぐ,tool
滑る,すべる,to slide; to slip
それほど,それほど,to that degree; extent
以上,いじょう,more than; this is all
～まま,～まま,as it is
特急,とっきゅう,limited express (train faster than an express)
プレゼント,プレゼント,present; gift
～(に) よると,～(に) よると,according to ~
妻,つま,wife (humble)
帰り,かえり,return; coming back
具合,ぐあい,condition; state; health
堅; 硬; 固い,かたい,solid; hard; firm
駐車場,ちゅうしゃじょう,parking lot
スーツ,スーツ,suit
危険,きけん,danger; risk; hazard
髪,かみ,hair
天気予報,てんきよほう,weather forecast
彼女,かのじょ,girlfriend; she
間,あいだ,space; interval
卒業,そつぎょう,graduation
それで,それで,and (conj.); thereupon; because of that
枝,えだ,branch; twig
専門,せんもん,major; speciality
そろそろ,そろそろ,gradually; soon
送る,おくる,to send; to dispatch
あげる,あげる,to give
騒ぐ,さわぐ,to make noise; to clamor
尋ねる,たずねる,to inquire (same as 質問する)
放送,ほうそうする,broadcasting
政治,せいじ,politics
市民,しみん,citizen
ファックス,ファックス,fax
負ける,まける,to lose (a game) (v.i.); to be defeated
指輪,ゆびわ,(finger) ring
田舎,いなか,rural; countryside
見つける,みつける,to discover; to find (v.t.)
高校生,こうこうせい,high school student
講義,こうぎ,a lecture
そんなに,そんなに,so much; like that
昼休み,ひるやすみ,lunch break; noon recess
忘れ物,わすれもの,lost article; something forgotten
下りる,おりる,to get down; to go; come down
腕,うで,arm (in reference to body)
訳,わけ,reason; explanation
承知,しょうちする,consent; acceptance
日記,にっき,diary; journal
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school
似る,にる,to resemble; to be similar
～おわる,～おわる,to finish doing ~
暖房,だんぼう,heating
留守,るす,absence; not at home
割合,わりあい,rate; ratio; percentage
寺,てら,Buddhist temple
慣れる,なれる,to grow accustomed to
普通,ふつう,common; usual
手伝う,てつだう,to help
なるほど,なるほど,I see; I now understand
くださる,くださる,(hon.) to give; to confer
息子,むすこ,(humble) son
お子さん,おこさん,(someone else's) child (polite)
会場,かいじょう,venue; meeting place
笑う,わらう,to laugh; to smile
運ぶ,はこぶ,to transport; to carry
文学,ぶんがく,literature
光,ひかり,light
お見舞い,おみまい,calling on someone who is ill; visit
席,せき,a seat
～様,～さま,Mr.; Mrs.; Ms.
ご存じ,ごぞんじ,knowing; acquaintance
下がる,さがる,to drop; to fall; to go down
字,じ,letter; character
アジア,アジア,Asia
褒める,ほめる,to praise; to say nice things
空く,すく,to be empty (in reference to people); to be less crowded
あ,あ,Ah
最も,もっとも,most
合う,あう,to fit; to match
～代,～だい,~ age; period
最後,さいご,last; end
値段,ねだん,price
退院,たいいんする,leaving hospital
展覧会,てんらんかい,exhibition
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time
カーテン,カーテン,curtain
汽車,きしゃ,train (steam)
遅れる,おくれる,to (be) become late
見つかる,みつかる,to be found (v.i.); to be discovered
召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --
太る,ふとる,to gain weight
注射,ちゅうしゃ,injection
様,よう,way; manner; kind
～おき,～おき,after every ~
最初,さいしょ,beginning; first
御～,ご～,honorable ~
安心,あんしん,peace of mind; relief
直る,なおる,to be fixed
集める,あつめる,to collect; to gather (v.t.); to assemble
直す,なおす,to correct (v.t.); to fix
続く,つづく,to be continued
先輩,せんぱい,senior members of a group
約束,やくそく,arrangement; appointment; promise
世話,せわする,looking after; to look after
近所,きんじょ,neighborhood
将来,しょうらい,(in the) future; prospects
億,おく,hundred million
数学,すうがく,mathematics
文化,ぶんか,culture
払う,はらう,to pay
習慣,しゅうかん,custom (in reference to culture)
焼ける,やける,to burn; to be roasted
君,きみ,you (informal for men)
冷える,ひえる,to grow cold; to cool down
点く,つく,to be started; to be switched on
この間,このあいだ,the other day; recently
格好,かっこう,appearance; manner; shape; form; posture
かまう,かまう,to mind; to care about; to be concerned about
続ける,つづける,to continue; to keep up
落す,おとす,to drop; to lose
明日,あす,tomorrow
出発,しゅっぱつする,departure
拝見,はいけんする,(humble) (polite) seeing; look at
割れる,われる,to break
背中,せなか,back (of body)
新聞社,しんぶんしゃ,newspaper company
いじめる,いじめる,to bully; to torment
回る、回す,まわる、まわす,to go around; to revolve
～君,～くん,Mr. (junior) ~; master ~
おっしゃる,おっしゃる,-- honorific expression for いう --
眠い,ねむい,sleepy; drowsy
濡れる,ぬれる,to get wet
倒れる,たおれる,to collapse; to break down
スーパー (マーケット),スーパー (マーケット),supermarket
アクセサリー,アクセサリー,accessory
考える,かんがえる,to think (about); to consider
向かう,むかう,to face; to go towards
自由,じゆう,freedom
仕方,しかた,way (of doing something)
首,くび,neck
程,ほど,degree; extent
代わり,かわり,substitute; replacement
失敗,しっぱい,failure; mistake
工業,こうぎょう,(manufacturing) industry
移る,うつる,to move (from a house); to transfer (from a department); to shift
スーツケース,スーツケース,suitcase
ひげ,ひげ,beard
研究室,けんきゅうしつ,the professor's office; laboratory
工場,こうじょう,factory
紹介,しょうかい,an introduction
けれど; けれども,けれど; けれども,but; although
舟,ふね,ship; boat
動く,うごく,to move
～(に) ついて,～(に) ついて,about; concerning
コンサート,コンサート,concert
虫,むし,insect
優しい,やさしい,kind (person); gentle (person); easy (problem)
コンピュータ; コンピューター,コンピュータ; コンピューター,computer
植える,うえる,to plant
両方,りょうほう,both sides; both parties
汚れる,よごれる,to become dirty
水泳,すいえい,swimming
経験,けいけんする,experience
勝つ,かつ,to win
砂,すな,sand
警察,けいさつ,police; police station
取り替える,とりかえる,to exchange; to replace
急ぐ,いそぐ,to hurry; to be in a hurry; to rush
簡単,かんたん,simple
参る,まいる,humble expression for 行く and 来る
全然,ぜんぜん,not at all; wholly; entirely
特別,とくべつ,special
復習,ふくしゅう,review (of lessons); revision
間に合う,まにあう,to be in time for
役に立つ,やくにたつ,to be helpful; to be useful
もうすぐ,もうすぐ,very soon; in a few moments; days
真中,まんなか,middle; center
戻る,もどる,to return (v.i.); to come back
研究,けんきゅう,study; research; investigation
ケーキ,ケーキ,cake
草,くさ,grass
込む,こむ,to be crowded
この頃,このごろ,these days; nowadays
訪ねる,たずねる,to visit
下げる,さげる,to lower (v.t.); to hang
花見,はなみ,cherry-blossom viewing
途中,とちゅう,on the way; midway
入院,にゅういんする,hospitalization
乗り換える,のりかえる,to transfer (trains); to change (bus train etc.)
別れる,わかれる,to part from; to separate
～町,～ちょう,the town of ~
安全,あんぜん,safety; security
看護婦,かんごふ,(female) nurse
見物,けんぶつ,sightseeing
相談,そうだんする,consultation
ガソリンスタンド,ガソリンスタンド,gas station; service station
テニス,テニス,tennis
眠る,ねむる,to sleep
上がる,あがる,to rise; to go up
翻訳,ほんやく,translation
食事,しょくじする,meal
お陰,おかげ,thanks or owing to
娘,むすめ,daughter (humble)
湯,ゆ,hot water
競争,きょうそう,competition; contest
会議,かいぎ,business meeting; conference
湖,みずうみ,lake
集まる,あつまる,to gather (v.i.); to collect
～にくい,～にくい,difficult to do ~
生活,せいかつする,living; life; to live
糸,いと,thread
関係,かんけい,relation(ship); connection
ピアノ,ピアノ,piano
～目,～め,number ~ sequence; ~nd; ~th
番組,ばんぐみ,broadcast program
急,きゅう,urgent; sudden; steep
棚,たな,shelves; rack
木綿,もめん,cotton
輸出,ゆしゅつする,export
タイプ,タイプ,type; style
すり,すり,pickpocket
嬉しい,うれしい,to be happy; to be glad
アルコール,アルコール,alcohol
ソフト,ソフト,soft; soft hat; software
神社,じんじゃ,Shinto shrine
大分,だいぶ,fairly well; to a large extent; considerably; pretty much
楽しみ,たのしみ,pleasure; joy
趣味,しゅみ,hobby; pastime
電報,でんぽう,telegram
家内,かない,(one's own) wife
指,ゆび,finger
これから,これから,from now on; after this
たまに,たまに,occasionally
社会,しゃかい,society
