Spanish,English
guardar,to keep; to put away
quitar,to remove; to take away
sacar,to take out; to get
meter,to put in; to insert
mover,to move
levantar,to lift; to raise
producir,to produce
impedir,to prevent
dudar,to doubt; to hesitate
considerar,to consider
notar,to notice
observar,to observe; to watch
demostrar,to prove; to demonstrate
expresar,to express
comunicar,to communicate
informar,to inform
avisar,to warn; to let know
proponer,to propose; to suggest
sugerir,to suggest
recomendar,to recommend
aconsejar,to advise
reunirse,to meet; to gather
apuntar,to write down; to note
incluir,to include
faltar,to be missing; to lack
soler,to usually do
enamorarse,to fall in love
reírse,to laugh
comenzar,to begin; to start
hecho; el hecho,fact
realidad; la realidad,reality
suerte; la suerte,luck; fortune
casualidad; la casualidad,coincidence; chance
ocasión; la ocasión,occasion
circunstancia; la circunstancia,circumstance
aspecto; el aspecto,aspect; appearance
característica; la característica,characteristic; feature
cualidad; la cualidad,quality; trait
defecto; el defecto,flaw; defect
valor; el valor,value; courage
importancia; la importancia,importance
interés; el interés,interest
finalidad; la finalidad,purpose
tendencia; la tendencia,trend; tendency
hábito; el hábito,habit
rutina; la rutina,routine
ventaja; la ventaja,advantage
desventaja; la desventaja,disadvantage
inconveniente; el inconveniente,drawback; snag
riesgo; el riesgo,risk
peligro; el peligro,danger
posibilidad; la posibilidad,possibility
oportunidad; la oportunidad,opportunity; chance
capacidad; la capacidad,capacity; ability
habilidad; la habilidad,skill; ability
talento; el talento,talent
intento; el intento,attempt
comienzo; el comienzo,beginning
inicio; el inicio,start; beginning
mejora; la mejora,improvement
logro; el logro,achievement
reto; el reto,challenge
desafío; el desafío,challenge
dificultad; la dificultad,difficulty
obstáculo; el obstáculo,obstacle
alternativa; la alternativa,alternative
opción; la opción,option
elección; la elección,choice; election
necesidad; la necesidad,need
voluntad; la voluntad,will; willpower
intención; la intención,intention
seguridad; la seguridad,safety; confidence
certeza; la certeza,certainty
creencia; la creencia,belief
fe; la fe,faith
tradición; la tradición,tradition
cambio; el cambio,change
felicidad; la felicidad,happiness
bienestar; el bienestar,well-being
malestar; el malestar,discomfort; unease
placer; el placer,pleasure
sufrimiento; el sufrimiento,suffering
ansiedad; la ansiedad,anxiety
tensión; la tensión,tension
calma; la calma,calm
tranquilidad; la tranquilidad,calm; tranquility
entusiasmo; el entusiasmo,enthusiasm
pasión; la pasión,passion
rabia; la rabia,rage; anger
enfado; el enfado,anger; annoyance
decepción; la decepción,disappointment
nostalgia; la nostalgia,nostalgia
compasión; la compasión,compassion
pena; la pena,pity; sorrow
lástima; la lástima,pity; shame
culpa; la culpa,fault; guilt
gratitud; la gratitud,gratitude
respeto; el respeto,respect
admiración; la admiración,admiration
celos; los celos,jealousy
individuo; el individuo,individual
humanidad; la humanidad,humanity; mankind
matrimonio; el matrimonio,marriage; married couple
boda; la boda,wedding
divorcio; el divorcio,divorce
nacimiento; el nacimiento,birth
muerte; la muerte,death
funeral; el funeral,funeral
herencia; la herencia,inheritance; heritage
antepasado; el antepasado,ancestor
pariente; el pariente,relative
viudo; el viudo,widower
soltero; el soltero,single person; bachelor
gemelo; el gemelo,twin
mascota; la mascota,pet
raza; la raza,race; breed
género; el género,gender; genre
órgano; el órgano,organ
pulmón; el pulmón,lung
hígado; el hígado,liver
riñón; el riñón,kidney
vena; la vena,vein
nervio; el nervio,nerve
columna; la columna,spine; column
costilla; la costilla,rib
cintura; la cintura,waist
cadera; la cadera,hip
muslo; el muslo,thigh
talón; el talón,heel
palma; la palma,palm
puño; el puño,fist
ceja; la ceja,eyebrow
pestaña; la pestaña,eyelash
mejilla; la mejilla,cheek
barbilla; la barbilla,chin
frente; la frente,forehead
síntoma; el síntoma,symptom
mareo; el mareo,dizziness
alergia; la alergia,allergy
infección; la infección,infection
virus; el virus,virus
lesión; la lesión,injury
cicatriz; la cicatriz,scar
venda; la venda,bandage
tirita; la tirita,plaster; band-aid
inyección; la inyección,injection; shot
análisis; el análisis,test; analysis
consulta; la consulta,doctor's office; consultation
clínica; la clínica,clinic
cirujano; el cirujano,surgeon
especialista; el especialista,specialist
terapia; la terapia,therapy
cura; la cura,cure; remedy
descanso; el descanso,rest; break
veterinario; el veterinario,vet
rebanada; la rebanada,slice (bread)
loncha; la loncha,slice (ham)
masa; la masa,dough; mass
caldo; el caldo,broth; stock
guiso; el guiso,stew
puré; el puré,puree; mash
empanada; la empanada,pie; turnover
especia; la especia,spice
hierba; la hierba,herb; grass
canela; la canela,cinnamon
mostaza; la mostaza,mustard
mayonesa; la mayonesa,mayonnaise
aceituna; la aceituna,olive
almendra; la almendra,almond
cacahuete; el cacahuete,peanut
pasa; la pasa,raisin
higo; el higo,fig
ciruela; la ciruela,plum
albaricoque; el albaricoque,apricot
mandarina; la mandarina,tangerine
frambuesa; la frambuesa,raspberry
mora; la mora,blackberry
coco; el coco,coconut
mango; el mango,mango
aguacate; el aguacate,avocado
calabacín; el calabacín,zucchini; courgette
berenjena; la berenjena,eggplant; aubergine
espinaca; la espinaca,spinach
col; la col,cabbage
coliflor; la coliflor,cauliflower
brócoli; el brócoli,broccoli
calabaza; la calabaza,pumpkin; squash
apio; el apio,celery
espárrago; el espárrago,asparagus
seta; la seta,wild mushroom
lenteja; la lenteja,lentil
garbanzo; el garbanzo,chickpea
trigo; el trigo,wheat
avena; la avena,oats
cereal; el cereal,cereal
bollo; el bollo,bun; pastry
magdalena; la magdalena,muffin; cupcake
flan; el flan,creme caramel; flan
batido; el batido,milkshake; smoothie
champán; el champán,champagne
sidra; la sidra,cider
cóctel; el cóctel,cocktail
corteza; la corteza,crust; bark
cáscara; la cáscara,shell; peel
electrodoméstico; el electrodoméstico,appliance
congelador; el congelador,freezer
tostadora; la tostadora,toaster
cafetera; la cafetera,coffee maker
batidora; la batidora,blender; mixer
secador; el secador,hair dryer
ventilador; el ventilador,fan
estufa; la estufa,heater; stove
chimenea; la chimenea,fireplace; chimney
radiador; el radiador,radiator
mando; el mando,remote control
cerradura; la cerradura,lock
candado; el candado,padlock
timbre; el timbre,doorbell
percha; la percha,hanger
cesta; la cesta,basket
fregadero; el fregadero,kitchen sink
encimera; la encimera,countertop
azulejo; el azulejo,tile
ladrillo; el ladrillo,brick
cemento; el cemento,cement
madera; la madera,wood
metal; el metal,metal
hierro; el hierro,iron (metal)
acero; el acero,steel
plástico; el plástico,plastic
cristal; el cristal,glass; pane
cartón; el cartón,cardboard
persiana; la persiana,blind; shutter
valla; la valla,fence
muro; el muro,wall (outdoor)
tejado; el tejado,roof
sótano; el sótano,basement
pasillo; el pasillo,hallway; corridor
rincón; el rincón,corner (inside)
terraza; la terraza,terrace; balcony
balcón; el balcón,balcony
patio; el patio,courtyard; yard
inquilino; el inquilino,tenant
mudanza; la mudanza,house move
limpieza; la limpieza,cleaning; cleanliness
suciedad; la suciedad,dirt; filth
polvo; el polvo,dust; powder
mancha; la mancha,stain; spot
gota; la gota,drop
cable; el cable,cable; wire
pila; la pila,battery; pile
carril; el carril,lane
rotonda; la rotonda,roundabout
túnel; el túnel,tunnel
farola; la farola,streetlight
contenedor; el contenedor,container; bin
grúa; la grúa,crane; tow truck
juzgado; el juzgado,court (building)
ferretería; la ferretería,hardware store
floristería; la floristería,flower shop
joyería; la joyería,jewelry store
pastelería; la pastelería,pastry shop
frutería; la frutería,fruit shop
pescadería; la pescadería,fish shop
guardería; la guardería,nursery; daycare
residencia; la residencia,residence; care home
cementerio; el cementerio,cemetery
mezquita; la mezquita,mosque
templo; el templo,temple
torre; la torre,tower
rascacielos; el rascacielos,skyscraper
almacén; el almacén,warehouse; store
urbanización; la urbanización,housing estate
colina; la colina,hill
cima; la cima,summit; top
acantilado; el acantilado,cliff
cueva; la cueva,cave
roca; la roca,rock
arena; la arena,sand
barro; el barro,mud; clay
ola; la ola,wave
marea; la marea,tide
corriente; la corriente,current; draft
orilla; la orilla,shore; bank
arroyo; el arroyo,stream
cascada; la cascada,waterfall
prado; el prado,meadow
volcán; el volcán,volcano
terremoto; el terremoto,earthquake
inundación; la inundación,flood
sequía; la sequía,drought
incendio; el incendio,fire (blaze)
tormenta; la tormenta,storm
trueno; el trueno,thunder
relámpago; el relámpago,lightning
rayo; el rayo,lightning bolt; ray
niebla; la niebla,fog
helada; la helada,frost
granizo; el granizo,hail
brisa; la brisa,breeze
huracán; el huracán,hurricane
atmósfera; la atmósfera,atmosphere
planeta; el planeta,planet
universo; el universo,universe
espacio; el espacio,space
satélite; el satélite,satellite
gravedad; la gravedad,gravity; seriousness
horizonte; el horizonte,horizon
atardecer; el atardecer,dusk; sunset
sombra; la sombra,shade; shadow
oscuridad; la oscuridad,darkness
ganado; el ganado,livestock; cattle
oveja; la oveja,sheep
cabra; la cabra,goat
gallina; la gallina,hen
gallo; el gallo,rooster
pato; el pato,duck
pavo; el pavo,turkey
burro; el burro,donkey
toro; el toro,bull
ciervo; el ciervo,deer
zorro; el zorro,fox
ardilla; la ardilla,squirrel
rata; la rata,rat
murciélago; el murciélago,bat
tortuga; la tortuga,turtle; tortoise
rana; la rana,frog
lagarto; el lagarto,lizard
cocodrilo; el cocodrilo,crocodile
tiburón; el tiburón,shark
ballena; la ballena,whale
delfín; el delfín,dolphin
pulpo; el pulpo,octopus
cangrejo; el cangrejo,crab
caracol; el caracol,snail
gusano; el gusano,worm
araña; la araña,spider
mosca; la mosca,fly
mosquito; el mosquito,mosquito
hormiga; la hormiga,ant
mariposa; la mariposa,butterfly
avispa; la avispa,wasp
elefante; el elefante,elephant
jirafa; la jirafa,giraffe
mono; el mono,monkey
tigre; el tigre,tiger
camello; el camello,camel
pingüino; el pingüino,penguin
águila; el águila,eagle
búho; el búho,owl
paloma; la paloma,pigeon; dove
gaviota; la gaviota,seagull
loro; el loro,parrot
cola; la cola,tail; queue
ala; el ala,wing
pluma; la pluma,feather; pen
pico; el pico,beak; peak
pata; la pata,paw; leg (animal)
cuerno; el cuerno,horn
nido; el nido,nest
jaula; la jaula,cage
cargo; el cargo,position; charge
ascenso; el ascenso,promotion
despido; el despido,dismissal; layoff
paro; el paro,unemployment; stoppage
solicitud; la solicitud,application; request
candidato; el candidato,candidate
personal; el personal,staff; personnel
colega; el colega,colleague; buddy
socio; el socio,partner; member
proveedor; el proveedor,supplier
competencia; la competencia,competition; competence
bolsa; la bolsa,stock market; bag
odiar,to hate
amar,to love
disfrutar,to enjoy
lamentar,to regret; to be sorry
arrepentirse,to regret; to repent
confiar,to trust
desconfiar,to distrust
merecer,to deserve
valer,to be worth; to cost
perdonar,to forgive
animar,to encourage; to cheer up
motivar,to motivate
influir,to influence
afectar,to affect
provocar,to provoke; to cause
causar,to cause
generar,to generate
fabricar,to manufacture
diseñar,to design
fundar,to found
establecer,to establish
montar,to set up; to ride; to assemble
instalar,to install
conectar,to connect
enchufar,to plug in
pulsar,to press (button)
teclear,to type
navegar,to browse; to sail
programar,to program; to schedule
actualizar,to update
borrar,to erase; to delete
copiar,to copy
pegar,to stick; to hit; to paste
publicar,to publish
reproducir,to play (media); to reproduce
iluminar,to light up
brillar,to shine
arder,to burn; to be on fire
quemar,to burn
congelar,to freeze
calentar,to heat
enfriar,to cool
secar,to dry
mojar,to wet
ensuciar,to make dirty
fregar,to scrub; to wash up
barrer,to sweep
planchar,to iron
coser,to sew
plantar,to plant
regar,to water
recoger,to pick up; to collect
cazar,to hunt
pescar,to fish
criar,to raise; to breed
alimentar,to feed
morder,to bite
picar,to sting; to chop; to itch
rascar,to scratch
acariciar,to caress; to pet
abrazar,to hug
besar,to kiss
agarrar,to grab
sujetar,to hold; to fasten
sostener,to hold up; to sustain
lanzar,to throw; to launch
atrapar,to catch; to trap
perseguir,to chase; to pursue
huir,to flee
escapar,to escape
ocultar,to hide; to conceal
fingir,to pretend
engañar,to deceive; to cheat
mentir,to lie
traicionar,to betray
amenazar,to threaten
atacar,to attack
defender,to defend
luchar,to fight; to struggle
vencer,to defeat; to overcome
rendirse,to give up; to surrender
dominar,to dominate; to master
gobernar,to govern
mandar,to order; to send
ordenar,to order; to tidy
dirigir,to direct; to manage
controlar,to control
gestionar,to manage
encargarse,to take charge of
contratar,to hire
despedir,to fire; to see off
cobrar,to charge; to get paid
invertir,to invest
arriesgar,to risk
apostar,to bet
negociar,to negotiate
entregar,to deliver; to hand in
distribuir,to distribute
transportar,to transport
reflexionar,to reflect; to ponder
concentrarse,to concentrate
memorizar,to memorize
repasar,to review; to go over
practicar,to practice
entrenar,to train
ensayar,to rehearse
evaluar,to evaluate
matricularse,to enroll
graduarse,to graduate
educar,to educate; to raise
formar,to train; to form
entretener,to entertain
interesar,to interest
emocionar,to move; to thrill
calmar,to calm
tranquilizar,to reassure; to calm
despreciar,to despise
admirar,to admire
respetar,to respect
valorar,to value; to appreciate
apreciar,to appreciate
envidiar,to envy
sospechar,to suspect
acusar,to accuse
culpar,to blame
juzgar,to judge
criticar,to criticize
consolar,to comfort
conversar,to converse
pronunciar,to pronounce
normal,normal; ordinary
habitual,usual; habitual
constante,constant
continuo,continuous
temporal,temporary
permanente,permanent
eterno,eternal
infinito,infinite
limitado,limited
escaso,scarce; scant
abundante,abundant; plentiful
numeroso,numerous
múltiple,multiple
diverso,diverse; various
variado,varied
distinto,different; distinct
parecido,similar; alike
idéntico,identical
igual,equal; the same
justo,fair; exact
injusto,unfair
legal,legal
ilegal,illegal
válido,valid
falso,false; fake
auténtico,authentic; genuine
verdadero,true; real
real,real; royal
concreto,specific; concrete
abstracto,abstract
evidente,obvious; evident
obvio,obvious
lógico,logical
razonable,reasonable
absurdo,absurd
ridículo,ridiculous
estúpido,stupid
listo,clever; ready
hábil,skillful
torpe,clumsy
ignorante,ignorant
culto,cultured; educated
sabio,wise
experto,expert
profesional,professional
experimentado,experienced
brillante,brilliant; shiny
genial,great; brilliant
estupendo,great; wonderful
fantástico,fantastic
maravilloso,wonderful; marvelous
excelente,excellent
magnífico,magnificent
extraordinario,extraordinary
excepcional,exceptional
notable,remarkable; notable
famoso,famous
conocido,well-known; acquaintance
popular,popular
individual,individual
colectivo,collective
social,social
cultural,cultural
económico,economic; cheap
financiero,financial
comercial,commercial
industrial,industrial
laboral,work-related
técnico,technical
científico,scientific
natural,natural
artificial,artificial
físico,physical
mental,mental
emocional,emotional
realista,realistic
ideal,ideal
completo,complete; full
total,total
parcial,partial
hueco,hollow
sólido,solid
líquido,liquid
flexible,flexible
rígido,rigid; stiff
resistente,tough; resistant
frágil,fragile
delicado,delicate
áspero,rough
liso,smooth; straight
fuera,outside; out
dentro,inside; in
afuera,outside
adentro,inside
arriba,up; above; upstairs
abajo,down; below; downstairs
delante,in front
detrás,behind
enfrente,opposite; across
alrededor,around
encima,on top; above
debajo,underneath; below
adelante,forward; ahead
atrás,back; behind
allá,over there
ahí,there
aún,still; yet
recién,recently; just
últimamente,lately
jamás,never (ever)
raramente,rarely
a tiempo,on time
a la vez,at the same time
de pronto,suddenly
por ahora,for now
de momento,for the moment
hoy en día,nowadays
a partir de,from (time onward)
a lo largo de,throughout; along
a causa de,because of
en contra de,against
a favor de,in favor of
a cargo de,in charge of
por culpa de,because of (blame)
de acuerdo con,in accordance with
pobreza; la pobreza,poverty
riqueza; la riqueza,wealth
desigualdad; la desigualdad,inequality
discriminación; la discriminación,discrimination
racismo; el racismo,racism
machismo; el machismo,sexism; male chauvinism
inmigración; la inmigración,immigration
inmigrante; el inmigrante,immigrant
refugiado; el refugiado,refugee
integración; la integración,integration
diversidad; la diversidad,diversity
minoría; la minoría,minority
mayoría; la mayoría,majority
prejuicio; el prejuicio,prejudice
estereotipo; el estereotipo,stereotype
solidaridad; la solidaridad,solidarity
convivencia; la convivencia,coexistence
ciudadanía; la ciudadanía,citizenship
vivienda; la vivienda,housing
movimiento; el movimiento,movement
protesta; la protesta,protest
sindicato; el sindicato,trade union
manifestante; el manifestante,demonstrator
asociación; la asociación,association
fundación; la fundación,foundation
voluntario; el voluntario,volunteer
caridad; la caridad,charity
donación; la donación,donation
ayuda; la ayuda,help; aid
fenómeno; el fenómeno,phenomenon
juicio; el juicio,trial; judgment
tribunal; el tribunal,court
jurado; el jurado,jury
testigo; el testigo,witness
víctima; la víctima,victim
acusado; el acusado,defendant; accused
sospechoso; el sospechoso,suspect
criminal; el criminal,criminal
crimen; el crimen,crime
delincuente; el delincuente,offender; criminal
robo; el robo,robbery; theft
asesinato; el asesinato,murder
asesino; el asesino,murderer
secuestro; el secuestro,kidnapping
fraude; el fraude,fraud
corrupción; la corrupción,corruption
soborno; el soborno,bribe
multa; la multa,fine
castigo; el castigo,punishment
condena; la condena,sentence; conviction
prisión; la prisión,prison
detención; la detención,arrest; detention
denuncia; la denuncia,complaint; report
demanda; la demanda,lawsuit; demand
normativa; la normativa,regulations
reglamento; el reglamento,regulation
derechos humanos; los derechos humanos,human rights
constitución; la constitución,constitution
tratado; el tratado,treaty
pacto; el pacto,pact
fianza; la fianza,bail
culpable,guilty; at fault
inocente,innocent
democracia; la democracia,democracy
dictadura; la dictadura,dictatorship
monarquía; la monarquía,monarchy
república; la república,republic
parlamento; el parlamento,parliament
congreso; el congreso,congress
senado; el senado,senate
ministro; el ministro,minister
ministerio; el ministerio,ministry
alcalde; el alcalde,mayor
diputado; el diputado,member of parliament
campaña; la campaña,campaign
discurso; el discurso,speech
debate; el debate,debate
ideología; la ideología,ideology
votante; el votante,voter
votación; la votación,vote; ballot
oposición; la oposición,opposition
autoridad; la autoridad,authority
líder; el líder,leader
liderazgo; el liderazgo,leadership
bandera; la bandera,flag
himno; el himno,anthem
territorio; el territorio,territory
independencia; la independencia,independence
revolución; la revolución,revolution
reforma; la reforma,reform
escándalo; el escándalo,scandal
crisis; la crisis,crisis
conflicto; el conflicto,conflict
negociación; la negociación,negotiation
cumbre; la cumbre,summit (meeting)
embajador; el embajador,ambassador
calentamiento global; el calentamiento global,global warming
cambio climático; el cambio climático,climate change
efecto invernadero; el efecto invernadero,greenhouse effect
sostenibilidad; la sostenibilidad,sustainability
ecología; la ecología,ecology
residuo; el residuo,waste
emisión; la emisión,emission; broadcast
gas; el gas,gas
deforestación; la deforestación,deforestation
extinción; la extinción,extinction
biodiversidad; la biodiversidad,biodiversity
ecosistema; el ecosistema,ecosystem
hábitat; el hábitat,habitat
conservación; la conservación,conservation
protección; la protección,protection
fauna; la fauna,fauna; wildlife
flora; la flora,flora
panel solar; el panel solar,solar panel
contaminante; el contaminante,pollutant
desastre; el desastre,disaster
catástrofe; la catástrofe,catastrophe
huella; la huella,footprint; trace
vertedero; el vertedero,landfill
ahorro; el ahorro,saving
consumo; el consumo,consumption
sostenible,sustainable
ecológico,ecological
renovable,renewable
reciclar,to recycle
contaminar,to pollute
consumir,to consume
portátil; el portátil,laptop
tableta; la tableta,tablet
software; el software,software
servidor; el servidor,server
navegador; el navegador,browser
buscador; el buscador,search engine
descarga; la descarga,download
actualización; la actualización,update
wifi; el wifi,wifi
micrófono; el micrófono,microphone
robot; el robot,robot
inteligencia artificial; la inteligencia artificial,artificial intelligence
red social; la red social,social network
perfil; el perfil,profile
publicación; la publicación,post; publication
comentario; el comentario,comment
seguidor; el seguidor,follower
contenido; el contenido,content
informática; la informática,computing; IT
programación; la programación,programming
programador; el programador,programmer
código; el código,code
innovación; la innovación,innovation
invento; el invento,invention
avance; el avance,advance; breakthrough
máquina; la máquina,machine
aparato; el aparato,device; appliance
tecla; la tecla,key (keyboard)
memoria; la memoria,memory
base de datos; la base de datos,database
digital,digital
virtual,virtual
electrónico,electronic
medios de comunicación; los medios de comunicación,mass media
periodismo; el periodismo,journalism
telediario; el telediario,TV news
titular; el titular,headline
portada; la portada,front page; cover
crónica; la crónica,report; chronicle
redactor; el redactor,editor; writer
redacción; la redacción,editorial office; writing
emisora; la emisora,radio station
cadena; la cadena,channel; chain
audiencia; la audiencia,audience
espectador; el espectador,viewer; spectator
oyente; el oyente,listener
lector; el lector,reader
suscripción; la suscripción,subscription
propaganda; la propaganda,propaganda
rumor; el rumor,rumor
censura; la censura,censorship
documental; el documental,documentary
comunicación; la comunicación,communication
entrevistar,to interview
transmitir,to broadcast; to transmit
difundir,to spread; to broadcast
nómina; la nómina,payslip; payroll
turno; el turno,shift; turn
baja; la baja,sick leave
pensión; la pensión,pension
empresario; el empresario,businessman; entrepreneur
emprendedor; el emprendedor,entrepreneur
autónomo; el autónomo,freelancer; self-employed
funcionario; el funcionario,civil servant
becario; el becario,intern
aprendiz; el aprendiz,apprentice
plantilla; la plantilla,staff; template
departamento; el departamento,department
sucursal; la sucursal,branch office
sede; la sede,headquarters
rendimiento; el rendimiento,performance; output
productividad; la productividad,productivity
eficiencia; la eficiencia,efficiency
gestión; la gestión,management
colaboración; la colaboración,collaboration
cooperación; la cooperación,cooperation
carga; la carga,load; burden
calendario; el calendario,calendar
agenda; la agenda,planner; agenda
convenio; el convenio,agreement; collective deal
sanidad; la sanidad,healthcare; public health
sistema sanitario; el sistema sanitario,health system
seguro médico; el seguro médico,health insurance
seguridad social; la seguridad social,social security
centro de salud; el centro de salud,health center
diagnóstico; el diagnóstico,diagnosis
medicamento; el medicamento,medication
jarabe; el jarabe,syrup (cough)
vacunación; la vacunación,vaccination
cirugía; la cirugía,surgery
dosis; la dosis,dose
contagio; el contagio,contagion
prevención; la prevención,prevention
higiene; la higiene,hygiene
epidemia; la epidemia,epidemic
pandemia; la pandemia,pandemic
revisión; la revisión,checkup; review
chequeo; el chequeo,checkup
donante; el donante,donor
trasplante; el trasplante,transplant
psicólogo; el psicólogo,psychologist
farmacéutico; el farmacéutico,pharmacist
contagiar,to infect
