English,Definition
congressman,a man who is a member of the US law-making body
conjunction,a state of two things happening together; a linking word like and
conscious,aware of something; awake and able to notice things
consecutive,following one after another without a break
consensus,an opinion that everyone in a group agrees on
consent,permission for something to happen; to agree to something
conservation,the protection of nature; careful use so that nothing is wasted
considerably,by a large amount; much more than a little
consistency,the quality of always being the same; how thick a liquid is
consistently,always in the same way; every time without change
consolidate,to join things into one stronger whole; to make firm
consolidation,the merging of smaller firms or debts into a single larger one
consortium,a group of companies working together on one big project
conspiracy,a secret plan by two or more people to do something wrong
constituency,the area and voters that one politician speaks for
constituent,one of the parts that make up a whole; a voter in an area
constitution,the set of basic laws of a country; a person's general health
constitutional,allowed by or relating to the basic laws of a country
constrain,to limit what someone can do; to force someone to act
constructive,helpful and meant to make things better
consultancy,a firm that gives expert advice to businesses
consultation,a meeting held to get advice or opinions before deciding
consumption,the amount of something used up; the eating or drinking of food
container,a box or bottle for holding things; a big metal box for shipping
contemplate,to think about something carefully for a long time
contend,to argue that something is true; to compete for something
continent,one of the seven large land areas of the world
continental,relating to one of the large land areas of the world
contingency,an event that may happen but is not certain; a backup plan
contingent,depending on something else happening; a group from a larger body
continually,again and again over a long period of time
continuity,the state of going on without stopping or changing
continuously,without any break or pause
contractor,a person or firm hired to do work for another business
contractual,relating to or set out in a formal written agreement
contrary,opposite in meaning; liking to disagree with other people
contributor,a person who gives money or help; a writer for a magazine
controller,a person in charge of the money records of a firm; a guiding device
controversy,a public argument about something people disagree on
convenience,ease and lack of trouble; something that makes life easier
convenient,easy to use and saving time or trouble
converge,to come together at one point; to become similar
convergence,the process by which separate things grow closer or more alike
conversion,a change from one form or use to another
convertible,able to be changed into another form; a car with a folding roof
convey,to carry or move something; to make an idea known
convict,to decide in court that someone is guilty; a person in jail
conviction,a strong belief; a court decision that someone is guilty
cooperative,willing to work with others; a business owned by its members
coordinate,to make different parts or people work well together
coordination,the smooth working together of different people or parts
copper,a soft reddish-brown metal used in wires and coins
copyright,the legal control an author has over who may use their work
corn,a tall plant with yellow seeds used as food; grain crops
correction,a change that puts a mistake right; a fall in market prices
corrective,meant to put right a fault or problem
correctly,in a way that has no mistakes
correlate,to have a close link so that one changes with the other
correlation,a measured link showing how strongly two things move together
correspondent,a reporter who sends news from a place; a person who writes letters
corrupt,willing to act dishonestly for money; to make dishonest
corruption,dishonest use of power for money or gain
costly,expensive; causing a lot of loss or harm
cotton,a soft white plant fibre used to make cloth
counterpart,a person or thing with the same job or place in another group
counterparty,the other person or firm in a deal or trade
countryside,land outside towns with fields and farms
coup,a sudden illegal seizing of power in a state; a clever success
coupon,a printed slip giving a discount or a right to something
covariance,a measure of how two sets of values move together
covenant,a formal written promise in a legal deal
creativity,the ability to think of new and original ideas
credential,a document or quality that proves a person is qualified
credibility,the quality of being believed and trusted
credible,able to be believed; deserving trust
creditor,a person or firm that is owed money
crude,in a natural state and not yet refined; rough and simple
cruise,a holiday trip by ship; to travel at a steady easy speed
crunch,a hard moment when money or supplies run short; to crush noisily
crush,to press something hard so that it breaks or loses shape
cumulative,growing in amount as more is added each time
curb,to keep something under control or within limits
cure,to make an illness go away; something that solves a problem
customize,to change something to fit a person's own needs
cyclical,happening again and again in a regular pattern
dash,to run somewhere very fast; a short line used in writing
deadline,the latest time by which work must be finished
debenture,a long-term loan certificate issued by a company
debit,an amount taken out of a bank account; to take money out
debtor,a person or firm that owes money
decent,good enough and of an acceptable standard; kind and honest
decentralize,to move power out to local units instead of one main office
decimal,based on the number ten; using a point to show parts of a whole
declaration,an official public statement
decree,an official order given by a ruler or a court
deduct,to take an amount away from a total
deductible,able to be taken off before tax; the part you must pay yourself
deduction,an amount taken away from a total; a conclusion reached by logic
deed,an action that someone does; a legal paper showing ownership
deem,to consider or judge something in a certain way
default,a failure to pay a debt; the setting used unless it is changed
defect,a fault that makes something less than perfect
defective,having a fault and not working properly
defendant,the person in a court case who is accused
defensive,protecting against attack; quick to react to criticism
defer,to put something off until a later time
deficiency,a lack of something needed; a fault or weakness
deflation,a fall in the general level of prices
defy,to refuse openly to obey a rule or a person
delegate,to give part of your work to someone else; a person sent to a meeting
delegation,a group sent to speak for others; the handing of work to others
delete,to remove something written or stored
deliberate,done on purpose and planned; slow and careful
deliberately,on purpose and not by accident
deliverable,a piece of work that must be handed over in a project
delta,the difference or change between two values; flat land at a river mouth
demise,the end or failure of something; a person's death
demographic,relating to the make-up of a population; a group of buyers
denominate,to state the money unit in which an amount is given
denote,to be a sign of something; to mean
denounce,to say publicly that someone or something is bad
dent,a hollow mark made by a blow; to damage or weaken slightly
depart,to leave a place at the start of a journey
departure,the act of leaving a place; a change from the usual way
dependence,the state of needing someone or something in order to manage
dependency,a thing that something else needs to work; a country ruled by another
depict,to show or describe something in words or pictures
deploy,to move people or equipment into place for use
deployment,the act of putting staff software or equipment into active use
depositor,a person who puts money into a bank
depreciate,to fall in value over time
depreciation,the loss in value of an asset as it ages or wears out
deprive,to take something needed away from someone
deputy,the person next in rank who acts for the chief
deregulation,the removal of government rules from an industry
derivative,a product whose value comes from another asset; not original
designate,to choose someone for a job or purpose; to give a name to
desirable,wanted by many people; worth having
desktop,the main screen shown on a computer; a machine for a work table
desperate,feeling hopeless and ready to try anything; very serious
destination,the place that someone or something is traveling to
detection,the finding of something hidden or hard to notice
deter,to stop someone acting by making them afraid of the result
deteriorate,to become worse in quality or condition
determinant,a thing that decides how something turns out
devaluation,an official lowering of the worth of a currency
devastate,to destroy a place completely; to shock someone deeply
developer,a person who builds houses or who writes software
deviation,a difference from the normal or expected way
devise,to invent or plan something clever
diagram,a simple drawing that explains how something works
diamond,a very hard clear stone used in jewelry; a four-sided shape
diary,a book for writing down daily events or future plans
dictate,to say words aloud for someone to write down; to give orders
dictator,a ruler who has total power over a country
dictatorship,rule of a country by one person with total power
differential,a gap in amount between two things such as pay rates
differentiate,to see or show how two things are not the same
differentiation,the act of making a product stand out from rival ones
digit,any of the numbers from 0 to 9; a finger or toe
dilemma,a hard choice between two equally bad options
diligence,careful and steady effort in work
dilute,to make a liquid weaker by adding water; to reduce the value of shares
diminish,to become or to make smaller or less
dioxide,a chemical that has two atoms of oxygen joined to another element
dip,a small fall in an amount; to put something briefly into a liquid
diplomacy,the handling of relations between countries; skill with people
diplomat,an official who represents a country abroad
diplomatic,relating to relations between countries; skillful with people
directive,an official instruction that must be followed
directory,a list of names and addresses; a folder holding files
disability,a condition that limits movement senses or learning
disable,to stop a machine or system from working
disadvantage,something that makes a person or thing less likely to succeed
disagreement,a situation where people hold different views; an argument
disastrous,causing great harm or complete failure
discharge,to allow someone to leave; to send out gas or liquid
disclose,to make known something that was secret
disclosure,the making known of secret or private facts
discontinue,to stop making or offering something
discourage,to make someone lose the wish to do something
discrete,separate and not joined to others
discretion,the freedom to decide what to do; care in keeping secrets
discretionary,left to a person to decide; not fixed by rules
discriminate,to treat one group worse than another; to see a difference
discrimination,unfair treatment of one group of people; the ability to tell apart
disguise,to change how something looks so it is not known; a false look
dislike,to feel that something is unpleasant; a feeling against something
dismal,very bad and causing sadness; gloomy
dismantle,to take a machine or system apart piece by piece
dismissal,the act of sending a worker away from a job
dispatch,to send something off to a place; speed in doing things
displace,to take over the role of something; to force people out of their home
disposable,made to be thrown away after use; free to be spent
disposal,the getting rid of waste or unwanted things
dispose,to get rid of something; to arrange things in order
disposition,a person's usual mood or nature; a tendency to act a way
disrupt,to stop something from going on in the normal way
disruption,a break that stops the normal flow of things
dissent,to disagree with an official view; open disagreement
dissident,a person who openly opposes the government
dissolution,the formal ending of a group or a business
dissolve,to mix into a liquid and disappear; to end a body formally
distinctive,easy to notice because it is unlike others
distort,to change something so it is no longer true or right
distortion,a change that makes something untrue or misshapen
distress,great pain or worry; serious money trouble
distribution,the sharing out or delivery of goods to many places
distributor,a firm that supplies goods to shops
diverse,of many different kinds; varied
diversification,the spreading of business or money into many areas
diversify,to start doing more kinds of business to spread risk
divert,to make something go a different way; to draw attention away
dividend,a share of profit paid to the owners of a company
doctrine,a set of beliefs taught by a church party or state
documentation,papers or files that give official proof or details
domain,an area of knowledge or control; a web address name
dominance,the state of being stronger than all the others
dominant,stronger and more important than all the others
donation,money or goods given to help a person or cause
donor,a person who gives money or an organ to help others
doom,a very bad fate that cannot be avoided; to send to failure
dose,a measured amount of medicine taken at one time
dot,a small round mark; to spread things here and there
doubtful,not certain; unlikely to happen or to be true
downgrade,to move something to a lower rank or value
download,to copy data from the internet onto your own device
downside,the drawback of a situation; the risk of falling in value
downturn,a fall in business activity or trade
downward,moving or pointing to a lower level
drain,to make a liquid flow away; to use up money or strength
drawback,a bad feature that makes something less useful
drift,to move slowly with no clear aim; a slow change
drill,a tool for making holes; practice repeated many times
dual,having two parts or two uses
dub,to give someone or something a new name; to change a film's language
duly,in the right way and at the right time
dump,to get rid of something carelessly; to sell goods very cheaply abroad
duplicate,to make an exact copy; an exact copy of something
durable,lasting a long time without breaking
duration,the length of time that something lasts
dynamic,full of energy and always changing; a force that causes change
e-book,a text you read on a screen instead of on paper
eager,very keen and wanting to do something soon
earthquake,a sudden violent shaking of the ground
echo,a sound that comes back off a surface; to repeat what another says
economically,in a way that saves money; in terms of money and trade
economist,a person who studies how money and trade work
editorial,an article giving a paper's own view; relating to written content
effectiveness,how well something works to give the result wanted
efficiently,in a way that works well with little waste of time or money
elaborate,having many details and parts; to explain in more detail
elastic,able to stretch and return to its shape; easy to change
elasticity,how much demand changes when the price changes
electoral,relating to voting and to choosing leaders
electorate,all the people who are allowed to vote
electrical,relating to or using power that runs through wires
eligible,allowed to have or do something; meeting the rules
elite,the richest or most skilled group; of the highest class
embed,to fix something firmly inside another thing
embody,to be a clear example of an idea; to include as part
emergence,the coming out or first appearing of something
emission,a gas or heat sent out into the air
empirical,based on real tests and watching rather than on theory
empower,to give someone the right and confidence to act
empowerment,the giving of more control and rights to people
enact,to make a proposal into law; to perform a scene
encompass,to include a wide range of things; to surround
encyclopedia,a book or website with facts on many subjects
endless,having no limit or never seeming to stop
endorse,to say publicly that you support something; to sign a cheque
endorsement,public support or approval for a person or product
endowment,money given to a school or charity to provide long-term income
endure,to suffer something hard without giving up; to last a long time
enforce,to make people obey a rule or law
enforceable,able to be made to happen by law
enforcement,the work of making sure that laws and rules are obeyed
engagement,taking an active part in something; an agreement to marry
enhancement,an improvement that raises the value or quality of something
enlarge,to make something bigger
enlargement,growth in the size or area of something
enrich,to make something better in quality; to make someone wealthy
entail,to involve something as a necessary part or result
enthusiasm,strong interest and excitement about something
enthusiastic,very keen and showing that you like something a lot
entity,a thing or organization that exists separately from others
entrant,a person or company that joins a competition or a market
entrepreneur,a person who starts a business and takes financial risks
entrepreneurial,having the skills to start a business and take risks
equality,the state of having the same rights or value as others
equate,to treat two things as being the same
equilibrium,a state of balance between opposing forces or amounts
equip,to provide someone with the tools or skills they need
equity,the value of a company held by shareholders; fairness
erode,to slowly wear away or reduce something
essence,the most important quality or basic nature of something
essentially,in the most basic way; mainly
estimation,a rough calculation of a value; a judgment or opinion
ethanol,a type of alcohol used as fuel and in drinks
ethical,morally right and fair
ethics,moral rules about right and wrong behavior
euro,the money used in many countries of the EU
eventual,happening at the end of a process or period of time
evident,easy to see or understand; clear
ex,a former husband or wife; a former romantic partner
exaggerate,to make something seem bigger or better than it really is
excellence,the quality of being extremely good
exceptional,unusually good; very unusual
excessive,more than is needed or reasonable
exclusion,the act of keeping someone or something out
exclusive,limited to one person or group; not shared
exclusively,only; not including anyone or anything else
execute,to carry out a plan or order; to kill as legal punishment
execution,the carrying out of a plan or order; a legal killing
exempt,free from a duty or payment that others must make
exemption,official permission not to do or pay something
exert,to use power or effort to make something happen
exile,the state of having to live away from your own country
exit,a way out of a building; the act of leaving a place
expectancy,the likely amount or length of something in the future
expertise,special skill or deep knowledge in a subject
expiration,the end of the period when a document or product is valid
expire,to come to an end and stop being valid
explicit,stated clearly and in detail; leaving no doubt
explicitly,in a clear and detailed way
explode,to burst suddenly with great force; to grow very fast
exploit,to use unfairly for your own gain; to make good use of
exploration,travel to learn about an unknown place; careful study
explosion,a sudden violent burst; a very fast increase
explosive,able to burst with great force; likely to cause anger
exporter,a country or firm that sells goods to other countries
externality,a cost or benefit to others that a firm does not pay for
extremist,a person with very strong political or religious views
facilitate,to make a process easier or help it happen
faction,a small group inside a larger one with different aims
faculty,the teaching staff of a university; a natural ability
fairness,the quality of treating people equally and justly
fare,the money you pay to travel on a bus or train
fate,what happens to someone in the end; a power that controls events
favorable,helpful and likely to bring a good result; approving
fax,a copy of a document sent down a phone line; the machine that sends it
feasible,possible to do or achieve
feedback,comments about how well someone or something is doing
fiber,a thin thread; the part of food that helps digestion
fiduciary,involving trust and a legal duty to manage money for others
fierce,very strong and aggressive; intense
fighter,a person who takes part in a battle or contest; a war plane
financially,in a way that relates to money
fiscal,relating to government money and taxes
flavor,the taste of food or drink
flaw,a fault or weakness that makes something less good
flee,to run away from danger
fleet,a group of ships or vehicles owned by one company
flexibility,the ability to change easily to suit new conditions
flotation,the sale of a company's shares to the public for the first time
flourish,to grow well and be very successful
fluctuate,to rise and fall in an irregular way
fluctuation,an irregular change up and down in a price or level
follower,a person who supports a leader or an idea
forbid,to order someone not to do something
forecaster,a person who says what is likely to happen in the future
foreigner,a person from another country
forge,to make an illegal copy in order to cheat; to form a strong link
formally,in an official and serious way; according to the rules
formerly,in the past; at an earlier time
formulate,to plan and express an idea carefully
formulation,the act of working out a plan or wording it exactly
forthcoming,happening soon; willing to give information
forum,a place or meeting where people discuss ideas
foster,to help something grow or develop; to care for another's child
founder,a person who starts a company; to fail or sink completely
fraction,a small part of something; a number such as one half
fragile,easily broken or damaged; weak
franc,the money used in Switzerland; once used in several European countries
franchise,the right to sell a company's products using its name
fraud,the crime of cheating people to get money
fraudulent,done to cheat people and get money illegally
freely,without limits or control; willingly
freight,goods carried in large amounts by ship or truck
fret,to worry about small things
fringe,the outer edge of an area or group; extra job benefits
frontier,the border between two countries; the limit of knowledge
frustrate,to make someone annoyed at not succeeding; to block a plan
frustration,the annoyed feeling of not being able to succeed
furnish,to put tables and chairs into a room; to supply something
gallon,a unit for measuring liquid equal to about 3.8 liters
gamble,to risk money on a game or an uncertain result
gang,an organized group of criminals or young people
gauge,to measure or judge something; a device that measures
generalize,to make a broad statement based on only a few cases
generator,a machine that makes electricity
generic,shared by a whole class of things; sold without a brand name
generous,willing to give money or help; larger than usual
genocide,the deliberate killing of a whole racial or ethnic group
genuinely,in a true and honest way; really
geographic,relating to where places are found on the earth
geographical,relating to the physical features and regions of the earth
geography,the study of the earth's land and where people live
globalization,the spread of business and culture around the whole world
globally,in a way that involves the whole world
globe,the world; a round model of the earth
gloomy,sad and without hope; dark
goods,things that are made in order to be sold
goodwill,friendly helpful feelings; the money value of a firm's name
governance,the way an organization or country is controlled and run
governmental,relating to the official body that rules a country
graph,a drawing that shows how numbers relate to each other
graphics,pictures and designs made especially by a computer
grasp,to understand something; to hold firmly
grave,very serious and worrying; a place where a body is buried
greenhouse,a glass building for growing plants
grid,a pattern of crossing lines; a network supplying electricity
grim,very serious and worrying; unpleasant
grip,a firm hold on something; to hold very tightly
grocery,a shop selling food; food bought for the home
gross,total before anything is taken away; very unpleasant
guerrilla,a fighter in a small unofficial army attacking by surprise
guidance,help and advice about what to do
halt,to stop moving or happening
handful,a small number of people or things; an amount you can hold
handset,the part of a phone you hold; a mobile phone
hardware,the physical parts of a computer; tools and metal items
harsh,cruel and severe; unpleasantly rough
harvest,the gathering of crops; to collect crops or data
haul,to pull or carry something heavy
hazard,something that could be dangerous
headline,the title of a news story printed in large letters
headquarter,to place a company's main office in a city or country
healthcare,medical services that keep people well
hedge,an action taken to reduce the risk of losing money; a row of bushes
heir,a person who will get money or property when someone dies
helicopter,an aircraft with turning blades on top
hierarchy,a system in which people are ranked one above another
highway,a main road between towns
histogram,a chart using bars to show how often values occur
historically,in the past; when looking at events over a long time
hitherto,until now; up to this time
homeowner,a person who has bought the house where they live
horizon,the line where the sky meets the land; the limit of your ideas
horizontal,flat and level; going from side to side
