German,English
Schulung; die Schulung,training; training course
Präsentation; die Präsentation,presentation
Ablauf; der Ablauf,sequence; procedure; expiry
Verfahren; das Verfahren,procedure; process; proceedings
Tagesordnung; die Tagesordnung,agenda
Belastung; die Belastung,burden; strain; load
Konzept; das Konzept,concept; plan; draft
Strategie; die Strategie,strategy
Richtlinie; die Richtlinie,guideline; directive
Maßnahme; die Maßnahme,measure; step
Werk; das Werk,plant; factory; work
Wartung; die Wartung,maintenance; servicing
Lager; das Lager,warehouse; stock; camp
Vorrat; der Vorrat,stock; supply; reserve
Lieferung; die Lieferung,delivery; shipment
Lieferant; der Lieferant,supplier
Lieferkette; die Lieferkette,supply chain
Versand; der Versand,shipping; dispatch
Hersteller; der Hersteller,manufacturer; producer
Verpackung; die Verpackung,packaging; wrapping
Handel; der Handel,trade; commerce; trading
Einzelhandel; der Einzelhandel,retail; retail trade
Export; der Export,export; exports
Import; der Import,import; imports
Nachfrage; die Nachfrage,demand; enquiry
Absatz; der Absatz,sales; paragraph; heel
Vertrieb; der Vertrieb,sales; distribution
Marketing; das Marketing,marketing
Zielgruppe; die Zielgruppe,target group; target audience
Verbraucher; der Verbraucher,consumer
Auftraggeber; der Auftraggeber,client; principal
Anbieter; der Anbieter,provider; supplier
Konkurrent; der Konkurrent,competitor; rival
Filiale; die Filiale,branch; outlet
Standort; der Standort,location; site
Konzern; der Konzern,corporate group; corporation
Übernahme; die Übernahme,takeover; adoption
Gründung; die Gründung,founding; establishment
Gewerbe; das Gewerbe,trade; business; commercial activity
Industrie; die Industrie,industry
Landwirtschaft; die Landwirtschaft,agriculture; farming
Handwerk; das Handwerk,craft; trade; skilled trades
Beratung; die Beratung,advice; consulting
Globalisierung; die Globalisierung,globalization
Digitalisierung; die Digitalisierung,digitalization
Nachhaltigkeit; die Nachhaltigkeit,sustainability
Patent; das Patent,patent
Auswahl; die Auswahl,selection; choice; range
Kundendienst; der Kundendienst,customer service
Widerruf; der Widerruf,cancellation; withdrawal (from a contract)
Umtausch; der Umtausch,exchange (of goods)
Reklamation; die Reklamation,complaint (about goods)
Garantie; die Garantie,guarantee; warranty
Abschluss; der Abschluss,conclusion; degree; closing
Zahlung; die Zahlung,payment
Mahnung; die Mahnung,payment reminder; warning
Kassenbon; der Kassenbon,till receipt
Provision; die Provision,commission (fee)
Anzahlung; die Anzahlung,down payment; deposit
Ermäßigung; die Ermäßigung,reduction; concession
Sonderangebot; das Sonderangebot,special offer
Schnäppchen; das Schnäppchen,bargain; steal
Wechselkurs; der Wechselkurs,exchange rate
Währung; die Währung,currency
Münze; die Münze,coin
Schein; der Schein,banknote; appearance; certificate
Kleingeld; das Kleingeld,small change
Girokonto; das Girokonto,current account
Kontoauszug; der Kontoauszug,bank statement
Guthaben; das Guthaben,credit; balance
Zins; der Zins,interest (on money)
Darlehen; das Darlehen,loan
Hypothek; die Hypothek,mortgage
Rate; die Rate,instalment; rate
Insolvenz; die Insolvenz,insolvency; bankruptcy
Pleite; die Pleite,bankruptcy; flop
Budget; das Budget,budget
Bilanz; die Bilanz,balance sheet; overall result
Buchhaltung; die Buchhaltung,accounting; bookkeeping
Kostenvoranschlag; der Kostenvoranschlag,cost estimate; quote
Aufwand; der Aufwand,effort; expenditure
Ertrag; der Ertrag,yield; return; proceeds
Einnahme; die Einnahme,revenue; takings; intake
Defizit; das Defizit,deficit; shortfall
Investition; die Investition,investment
Investor; der Investor,investor
Aktie; die Aktie,share; stock
Börse; die Börse,stock exchange; purse
Inflation; die Inflation,inflation
Konjunktur; die Konjunktur,economic climate; business cycle
Rezession; die Rezession,recession
Aufschwung; der Aufschwung,upturn; boom
Wohlstand; der Wohlstand,prosperity; affluence
Armut; die Armut,poverty
Reichtum; der Reichtum,wealth; riches
Steuererklärung; die Steuererklärung,tax return
Mehrwertsteuer; die Mehrwertsteuer,value added tax
Finanzamt; das Finanzamt,tax office
Zuschuss; der Zuschuss,subsidy; grant
Förderung; die Förderung,funding; support; promotion
Stipendium; das Stipendium,scholarship; grant
Eigentum; das Eigentum,property; ownership
Besitz; der Besitz,possession; property
Immobilie; die Immobilie,property; real estate
Makler; der Makler,broker; estate agent
Prognose; die Prognose,forecast; prognosis
Anteil; der Anteil,share; proportion
Durchschnitt; der Durchschnitt,average
Rückgang; der Rückgang,decline; drop
Anstieg; der Anstieg,rise; increase
Bedarf; der Bedarf,need; demand; requirement
Verbrauch; der Verbrauch,consumption; usage
Steuerberater; der Steuerberater,tax adviser
Architekt; der Architekt,architect
Apotheker; der Apotheker,pharmacist
Tierarzt; der Tierarzt,vet; veterinarian
Journalist; der Journalist,journalist
Dolmetscher; der Dolmetscher,interpreter
Übersetzer; der Übersetzer,translator
Erzieher; der Erzieher,childcare worker; educator
Notar; der Notar,notary
Klempner; der Klempner,plumber
Maler; der Maler,painter; decorator
Tischler; der Tischler,carpenter; joiner
Gärtner; der Gärtner,gardener
Wirtschaftsprüfer; der Wirtschaftsprüfer,auditor
Programmierer; der Programmierer,programmer
Techniker; der Techniker,technician
Sachbearbeiter; der Sachbearbeiter,clerk; case handler
Kaufmann; der Kaufmann,businessman; merchant
Händler; der Händler,dealer; trader; retailer
Bauarbeiter; der Bauarbeiter,construction worker
Landwirt; der Landwirt,farmer
Psychologe; der Psychologe,psychologist
abwickeln,to handle; to process (a transaction)
abrechnen,to settle up; to invoice
ausbilden,to train; to educate
ausgleichen,to balance out; to compensate
aushandeln,to negotiate (a deal)
auszahlen,to pay out
bearbeiten,to process; to work on
beauftragen,to commission; to instruct
befördern,to promote; to transport
belasten,to burden; to charge (an account)
berechnen,to calculate; to charge
beschäftigen,to employ; to keep busy
bestätigen,to confirm; to acknowledge
betreiben,to operate; to run
betreuen,to look after; to supervise
bewältigen,to cope with; to manage
einnehmen,to take in; to earn; to occupy
einsparen,to save; to cut back
entlasten,to relieve; to take the load off
eröffnen,to open (a business); to inaugurate
erstatten,to refund; to reimburse
erwerben,to acquire; to purchase
erzielen,to achieve; to obtain
finanzieren,to finance; to fund
garantieren,to guarantee
genehmigen,to approve; to authorize
gewähren,to grant; to allow
haften,to be liable; to stick
auslagern,to outsource; to move offsite
kassieren,to collect payment; to rake in
konkurrieren,to compete
kürzen,to cut; to shorten
lagern,to store; to stock
pendeln,to commute; to swing back and forth
präsentieren,to present
produzieren,to produce
profitieren,to profit; to benefit
reduzieren,to reduce; to cut
reklamieren,to complain (about goods)
spenden,to donate; to give
steigern,to increase; to boost
streichen,to cancel; to delete; to paint
streiken,to go on strike
übernehmen,to take over; to take on
überwachen,to monitor; to supervise
überziehen,to overdraw; to overrun
umtauschen,to exchange (goods)
verarbeiten,to process; to work up
verleihen,to lend out; to award
verpflichten,to oblige; to commit
verschwenden,to waste; to squander
versichern,to insure; to assure
vertreiben,to sell; to distribute; to drive away
verwalten,to manage; to administer
begleichen,to settle (a bill); to pay off
einlösen,to redeem; to cash in
abstimmen,to vote; to coordinate
sich lohnen,to be worth it; to pay off
sich krankmelden,to call in sick
in Rente gehen,to retire
angestellt,employed; salaried
gewerblich,commercial; trade (use)
ausverkauft,sold out
bargeldlos,cashless; by card
befristet,fixed-term; temporary
belastbar,resilient; able to work under pressure
berufstätig,working; in employment
brutto,gross (before deductions)
effizient,efficient
ehrenamtlich,voluntary; honorary
engagiert,committed; dedicated
erschwinglich,affordable
fällig,due; payable
verbindlich,binding; definitive
gebraucht,used; second-hand
geschäftlich,business; commercial
vertraglich,contractual; under contract
hochwertig,high-quality
kompetent,competent; skilled
kostenpflichtig,subject to a charge
leitend,managerial; senior
lukrativ,lucrative
motiviert,motivated
netto,net (after deductions)
haftbar,liable; answerable
produktiv,productive
qualifiziert,qualified; skilled
rentabel,profitable
riskant,risky
seriös,reputable; respectable
steuerfrei,tax-free
teamfähig,good at working in a team
überteuert,overpriced
unbefristet,permanent (contract)
verschuldet,in debt
vorrätig,in stock
wettbewerbsfähig,competitive
wohlhabend,well-off; affluent
Partei; die Partei,political party
Wähler; der Wähler,voter
Wahlkampf; der Wahlkampf,election campaign
Wahlrecht; das Wahlrecht,right to vote; suffrage
Abgeordnete; der Abgeordnete,member of parliament
Parlament; das Parlament,parliament
Bundestag; der Bundestag,German federal parliament
Kanzler; der Kanzler,chancellor
Minister; der Minister,minister (government)
Ministerium; das Ministerium,ministry
Opposition; die Opposition,opposition
Koalition; die Koalition,coalition
Mehrheit; die Mehrheit,majority
Minderheit; die Minderheit,minority
Demokratie; die Demokratie,democracy
Diktatur; die Diktatur,dictatorship
Verfassung; die Verfassung,constitution
Grundgesetz; das Grundgesetz,basic law; German constitution
Menschenrecht; das Menschenrecht,human right
Macht; die Macht,power
Reform; die Reform,reform
Kandidat; der Kandidat,candidate
Amtszeit; die Amtszeit,term of office
Ausschuss; der Ausschuss,committee
Debatte; die Debatte,debate
Beschluss; der Beschluss,decision; resolution
Gesetzentwurf; der Gesetzentwurf,bill; draft law
Abstimmung; die Abstimmung,vote; ballot
Volksabstimmung; die Volksabstimmung,referendum
Umfrage; die Umfrage,survey; opinion poll
Bündnis; das Bündnis,alliance
Abkommen; das Abkommen,agreement; treaty
Verhandlung; die Verhandlung,negotiation; hearing (court)
Gipfeltreffen; das Gipfeltreffen,summit meeting
Botschaft; die Botschaft,embassy; message
Botschafter; der Botschafter,ambassador
Außenpolitik; die Außenpolitik,foreign policy
Innenpolitik; die Innenpolitik,domestic policy
Staatsangehörigkeit; die Staatsangehörigkeit,citizenship; nationality
Diplomatie; die Diplomatie,diplomacy
Militär; das Militär,military
Verteidigung; die Verteidigung,defence
Angriff; der Angriff,attack; offensive
Anschlag; der Anschlag,attack (terrorist); assault
Terrorismus; der Terrorismus,terrorism
Bürgerkrieg; der Bürgerkrieg,civil war
Aufstand; der Aufstand,uprising; revolt
Revolution; die Revolution,revolution
Protest; der Protest,protest
Demonstration; die Demonstration,demonstration; rally
Rücktritt; der Rücktritt,resignation
Sprecher; der Sprecher,spokesperson; speaker
Vorsitzende; der Vorsitzende,chairperson; chair
Institution; die Institution,institution
Einrichtung; die Einrichtung,facility; furnishings
Sanktion; die Sanktion,sanction
Kompromiss; der Kompromiss,compromise
Einigung; die Einigung,agreement; settlement
Widerstand; der Widerstand,resistance; opposition
Druck; der Druck,pressure; print
Zustimmung; die Zustimmung,approval; consent
Ablehnung; die Ablehnung,rejection; refusal
Kritik; die Kritik,criticism; review
Unterstützung; die Unterstützung,support; backing
Bürgermeister; der Bürgermeister,mayor
Justiz; die Justiz,judiciary; justice system
Anklage; die Anklage,charge; indictment
Staatsanwalt; der Staatsanwalt,public prosecutor
Verteidiger; der Verteidiger,defence lawyer; defender
Angeklagte; der Angeklagte,defendant; accused
Täter; der Täter,offender; perpetrator
Verdacht; der Verdacht,suspicion
Ermittlung; die Ermittlung,investigation; inquiry
Prozess; der Prozess,trial; process
Klage; die Klage,lawsuit; complaint
Berufung; die Berufung,appeal (court); vocation
Regelung; die Regelung,rule; arrangement
Bestimmung; die Bestimmung,provision; regulation
Verordnung; die Verordnung,decree; regulation
Haft; die Haft,custody; imprisonment
Gefangene; der Gefangene,prisoner
Geständnis; das Geständnis,confession
Aussage; die Aussage,statement; testimony
Bußgeld; das Bußgeld,fine (penalty)
Straftat; die Straftat,criminal offence
Mord; der Mord,murder
Überfall; der Überfall,holdup; raid
Korruption; die Korruption,corruption
Droge; die Droge,drug (narcotic)
Missbrauch; der Missbrauch,abuse; misuse
Diskriminierung; die Diskriminierung,discrimination
Gleichberechtigung; die Gleichberechtigung,equal rights
Rassismus; der Rassismus,racism
Scheidung; die Scheidung,divorce
Sorgerecht; das Sorgerecht,custody (of a child)
Datenschutz; der Datenschutz,data protection; privacy
Verstoß; der Verstoß,violation; breach
Anspruch; der Anspruch,claim; entitlement
Entschädigung; die Entschädigung,compensation
Rechtsstaat; der Rechtsstaat,constitutional state; rule of law
Überwachung; die Überwachung,surveillance; monitoring
Geheimdienst; der Geheimdienst,intelligence service
Bescheid; der Bescheid,official notice; decision
Akte; die Akte,file; record
Nachweis; der Nachweis,proof; documentation
Zulassung; die Zulassung,approval; admission; registration
Anerkennung; die Anerkennung,recognition; appreciation
Personalausweis; der Personalausweis,identity card
Urkunde; die Urkunde,certificate; deed
Wohnsitz; der Wohnsitz,place of residence
Bürokratie; die Bürokratie,bureaucracy; red tape
Vorgang; der Vorgang,process; case; incident
Beschwerde; die Beschwerde,complaint
Einspruch; der Einspruch,objection; formal appeal
Ungleichheit; die Ungleichheit,inequality
Solidarität; die Solidarität,solidarity
Engagement; das Engagement,commitment; involvement
Ehrenamt; das Ehrenamt,voluntary work; honorary post
Spende; die Spende,donation
Initiative; die Initiative,initiative
Trend; der Trend,trend
Geschlecht; das Geschlecht,gender; sex
Vielfalt; die Vielfalt,diversity; variety
Toleranz; die Toleranz,tolerance
Würde; die Würde,dignity
Moral; die Moral,morals; morale
Identität; die Identität,identity
Erziehung; die Erziehung,upbringing; parenting
Kriminalität; die Kriminalität,crime (as a phenomenon)
Sozialhilfe; die Sozialhilfe,social welfare benefits
Aufstieg; der Aufstieg,rise; promotion; ascent
Einwanderung; die Einwanderung,immigration
Migration; die Migration,migration
Integration; die Integration,integration
Asyl; das Asyl,asylum
Herkunft; die Herkunft,origin; background
Auflage; die Auflage,circulation; edition; requirement
Journalismus; der Journalismus,journalism
Reporter; der Reporter,reporter
Redaktion; die Redaktion,editorial team; newsroom
Redakteur; der Redakteur,editor
Interview; das Interview,interview (media)
Schlagzeile; die Schlagzeile,headline
Meldung; die Meldung,news item; report
Kommentar; der Kommentar,comment; commentary
Rundfunk; der Rundfunk,broadcasting
Moderator; der Moderator,presenter; host
Quote; die Quote,rate; quota; ratings
Pressefreiheit; die Pressefreiheit,freedom of the press
Meinungsfreiheit; die Meinungsfreiheit,freedom of speech
Zensur; die Zensur,censorship
Propaganda; die Propaganda,propaganda
Gerücht; das Gerücht,rumour
Skandal; der Skandal,scandal
Recherche; die Recherche,research (journalistic)
Fälschung; die Fälschung,forgery; fake
Berichterstattung; die Berichterstattung,coverage; reporting
Zitat; das Zitat,quotation; quote
Falschmeldung; die Falschmeldung,false report; fake news
Pressekonferenz; die Pressekonferenz,press conference
Stellungnahme; die Stellungnahme,statement; official comment
Erklärung; die Erklärung,explanation; statement
Behauptung; die Behauptung,claim; assertion
Forderung; die Forderung,demand; claim
Vorwurf; der Vorwurf,accusation; reproach
Ereignis; das Ereignis,event; occurrence
Vorfall; der Vorfall,incident
Katastrophe; die Katastrophe,disaster; catastrophe
Unglück; das Unglück,accident; misfortune
Statistik; die Statistik,statistics
Studie; die Studie,study (research)
Auswirkung; die Auswirkung,effect; impact
Anliegen; das Anliegen,concern; request
regieren,to govern; to rule
herrschen,to rule; to prevail
kandidieren,to run for office
ernennen,to appoint
besiegen,to defeat; to beat
befreien,to free; to liberate
unterdrücken,to oppress; to suppress
verfolgen,to pursue; to persecute; to follow
fliehen,to flee; to escape
auswandern,to emigrate
einwandern,to immigrate
demonstrieren,to demonstrate; to march in protest
protestieren,to protest
anklagen,to charge; to accuse
ermitteln,to investigate; to determine
verklagen,to sue
verhaften,to arrest
festnehmen,to arrest; to take into custody
aussagen,to testify; to state
diskriminieren,to discriminate against
verabschieden,to pass (a law); to adopt
überprüfen,to check; to verify
verstoßen,to violate; to breach
bekämpfen,to fight; to combat
sich engagieren,to get involved; to be committed
sich beteiligen,to take part; to participate
regeln,to regulate; to settle
verschärfen,to tighten; to intensify
lockern,to relax (rules); to loosen
aufklären,to clear up; to inform
aufdecken,to uncover; to expose
veröffentlichen,to publish; to release
verbreiten,to spread; to circulate
ausstrahlen,to broadcast; to radiate
zitieren,to quote; to cite
recherchieren,to research; to investigate
kommentieren,to comment on
einschränken,to restrict; to limit
verkünden,to announce; to proclaim
manipulieren,to manipulate
abonnieren,to subscribe to
fälschen,to forge; to falsify
anerkennen,to recognise; to acknowledge
gesetzlich,legal; statutory
rechtlich,legal; in legal terms
illegal,illegal
strafbar,punishable; criminal
staatlich,state; government-run
amtlich,official
demokratisch,democratic
konservativ,conservative
liberal,liberal
radikal,radical
unabhängig,independent
abhängig,dependent; addicted
gesellschaftlich,social; societal
umstritten,controversial; disputed
einflussreich,influential
glaubwürdig,credible; believable
objektiv,objective; unbiased
kritisch,critical
weltweit,worldwide; global
europäisch,European
ausführlich,detailed; in detail
schuldig,guilty; owing
unschuldig,innocent
betroffen,affected; dismayed
beteiligt,involved; taking part
ehemalig,former; ex-
künftig,future; upcoming
heftig,fierce; violent; severe
gewaltsam,violent; by force
obdachlos,homeless
Forscher; der Forscher,researcher
Erkenntnis; die Erkenntnis,insight; finding
These; die These,thesis; claim
Hypothese; die Hypothese,hypothesis
Beobachtung; die Beobachtung,observation
Messung; die Messung,measurement
Analyse; die Analyse,analysis
Labor; das Labor,laboratory; lab
Institut; das Institut,institute
Modell; das Modell,model
Formel; die Formel,formula
Wahrscheinlichkeit; die Wahrscheinlichkeit,probability; likelihood
Zunahme; die Zunahme,increase; rise
Durchbruch; der Durchbruch,breakthrough
Chemie; die Chemie,chemistry
Evolution; die Evolution,evolution
Gen; das Gen,gene
Zelle; die Zelle,cell
Bakterie; die Bakterie,bacterium
Virus; das Virus,virus
Atom; das Atom,atom
Substanz; die Substanz,substance
Stoff; der Stoff,substance; material; fabric
Flüssigkeit; die Flüssigkeit,liquid; fluid
Reaktion; die Reaktion,reaction; response
Schwerkraft; die Schwerkraft,gravity
Geschwindigkeit; die Geschwindigkeit,speed; pace
Strahlung; die Strahlung,radiation
Satellit; der Satellit,satellite
Diagramm; das Diagramm,chart; diagram
Anlage; die Anlage,plant (facility); installation
Ausrüstung; die Ausrüstung,equipment; gear
Antrieb; der Antrieb,drive; propulsion
Konstruktion; die Konstruktion,design; structure
Entwurf; der Entwurf,draft; design
Kunststoff; der Kunststoff,plastic
Stahl; der Stahl,steel
Produktion; die Produktion,production
Automatisierung; die Automatisierung,automation
Roboter; der Roboter,robot
Sensor; der Sensor,sensor
Steuerung; die Steuerung,control system; controls
Reparatur; die Reparatur,repair
Störung; die Störung,fault; disruption; disorder
Ausfall; der Ausfall,failure; outage; cancellation
Funktion; die Funktion,function
Kapazität; die Kapazität,capacity
Spannung; die Spannung,voltage; tension; suspense
Leitung; die Leitung,line; pipe; management
Netz; das Netz,network; grid; net
Kraftwerk; das Kraftwerk,power plant
Brennstoff; der Brennstoff,fuel (for heating)
Treibstoff; der Treibstoff,fuel (for engines)
Bedienung; die Bedienung,operation; service; waiting staff
Anleitung; die Anleitung,instructions; guide
Aufbau; der Aufbau,structure; setting up
Einsatz; der Einsatz,use; deployment; commitment
Fahrzeug; das Fahrzeug,vehicle
Standard; der Standard,standard
Software; die Software,software
Hardware; die Hardware,hardware
Betriebssystem; das Betriebssystem,operating system
App; die App,app
Algorithmus; der Algorithmus,algorithm
Datenbank; die Datenbank,database
Server; der Server,server
Suchmaschine; die Suchmaschine,search engine
Browser; der Browser,browser
Schnittstelle; die Schnittstelle,interface
Update; das Update,update
Version; die Version,version
Zugriff; der Zugriff,access (to data)
Verschlüsselung; die Verschlüsselung,encryption
Hacker; der Hacker,hacker
Link; der Link,link
Übertragung; die Übertragung,transmission; broadcast; transfer
Nutzung; die Nutzung,use; usage
Plattform; die Plattform,platform
Rechner; der Rechner,computer; calculator
Drohne; die Drohne,drone
Smartphone; das Smartphone,smartphone
Eingabe; die Eingabe,input; entry
Signal; das Signal,signal
Code; der Code,code
Cloud; die Cloud,cloud (storage)
WLAN; das WLAN,wifi
Intelligenz; die Intelligenz,intelligence
Ressource; die Ressource,resource
Emission; die Emission,emission
Ausstoß; der Ausstoß,output; emissions
Treibhausgas; das Treibhausgas,greenhouse gas
Kohlendioxid; das Kohlendioxid,carbon dioxide
Erderwärmung; die Erderwärmung,global warming
Dürre; die Dürre,drought
Hochwasser; das Hochwasser,flood; high water
Abgas; das Abgas,exhaust fumes
Lärm; der Lärm,noise
Artenvielfalt; die Artenvielfalt,biodiversity
Lebensraum; der Lebensraum,habitat; living space
Naturschutz; der Naturschutz,nature conservation
Regenwald; der Regenwald,rainforest
Ökosystem; das Ökosystem,ecosystem
Kreislauf; der Kreislauf,cycle; circulation (blood)
Mülltrennung; die Mülltrennung,waste separation
Pfand; das Pfand,deposit (on bottles)
Windkraft; die Windkraft,wind power
Atomkraft; die Atomkraft,nuclear power
Erdöl; das Erdöl,crude oil; petroleum
Klimaschutz; der Klimaschutz,climate protection
Energiewende; die Energiewende,energy transition
Gletscher; der Gletscher,glacier
Waldbrand; der Waldbrand,forest fire
Lebewesen; das Lebewesen,living being; creature
Organismus; der Organismus,organism
Säugetier; das Säugetier,mammal
Beute; die Beute,prey; loot
Raubtier; das Raubtier,predator
Felsen; der Felsen,rock; cliff
Gebirge; das Gebirge,mountain range
Strömung; die Strömung,current; trend
Sonnenaufgang; der Sonnenaufgang,sunrise
Sonnenuntergang; der Sonnenuntergang,sunset
Blüte; die Blüte,blossom; bloom
Samen; der Samen,seed
Stamm; der Stamm,trunk; tribe; stem
Lawine; die Lawine,avalanche
Wirkstoff; der Wirkstoff,active ingredient
Nebenwirkung; die Nebenwirkung,side effect
Dosis; die Dosis,dose
Antibiotikum; das Antibiotikum,antibiotic
Schmerzmittel; das Schmerzmittel,painkiller
Impfstoff; der Impfstoff,vaccine
Infektion; die Infektion,infection
Pandemie; die Pandemie,pandemic
Erreger; der Erreger,pathogen; germ
Immunsystem; das Immunsystem,immune system
Stoffwechsel; der Stoffwechsel,metabolism
Organ; das Organ,organ
Herzinfarkt; der Herzinfarkt,heart attack
Schlaganfall; der Schlaganfall,stroke
Krebs; der Krebs,cancer; crab
Diabetes; der Diabetes,diabetes
Depression; die Depression,depression
Psyche; die Psyche,psyche; mind
Therapeut; der Therapeut,therapist
Chirurg; der Chirurg,surgeon
Facharzt; der Facharzt,specialist (doctor)
Notaufnahme; die Notaufnahme,emergency room
Befund; der Befund,findings (medical); result
Vorsorge; die Vorsorge,prevention; check-up
Heilung; die Heilung,cure; healing
Behinderung; die Behinderung,disability; obstruction
Rollstuhl; der Rollstuhl,wheelchair
Abhängigkeit; die Abhängigkeit,dependence; addiction
Übergewicht; das Übergewicht,excess weight; obesity
Nährstoff; der Nährstoff,nutrient
Eiweiß; das Eiweiß,protein; egg white
Kohlenhydrat; das Kohlenhydrat,carbohydrate
Mangel; der Mangel,lack; shortage; deficiency
Verdauung; die Verdauung,digestion
Notarzt; der Notarzt,emergency doctor
Schwangerschaft; die Schwangerschaft,pregnancy
Säugling; der Säugling,infant; newborn
Lebenserwartung; die Lebenserwartung,life expectancy
erforschen,to research; to explore
analysieren,to analyse
auswerten,to evaluate; to analyse (data)
widerlegen,to refute; to disprove
simulieren,to simulate; to feign
definieren,to define
erläutern,to explain; to clarify
konstruieren,to design; to construct
montieren,to assemble; to fit
installieren,to install
bedienen,to operate; to serve
steuern,to control; to steer
antreiben,to power; to drive; to urge on
erzeugen,to generate; to produce
umwandeln,to convert; to transform
übermitteln,to transmit; to convey
empfangen,to receive; to welcome
optimieren,to optimise
aufladen,to charge (a battery); to load up
programmieren,to program; to code
aktualisieren,to update
verschlüsseln,to encrypt
hochladen,to upload
eingeben,to enter (data); to type in
scannen,to scan
abrufen,to retrieve; to call up (data)
abstürzen,to crash (computer or plane)
blockieren,to block; to jam
sperren,to block; to lock; to bar
sichern,to secure; to back up
auswählen,to select; to pick out
anpassen,to adapt; to adjust
einrichten,to set up; to furnish
verschmutzen,to pollute; to soil
schonen,to conserve; to go easy on
recyceln,to recycle
entsorgen,to dispose of
aussterben,to die out; to become extinct
bedrohen,to threaten
gefährden,to endanger; to jeopardise
abkühlen,to cool down
anbauen,to grow (crops); to build on
abbauen,to break down; to reduce; to mine
lindern,to relieve; to ease
vorbeugen,to prevent; to take precautions
impfen,to vaccinate
verschreiben,to prescribe
operieren,to operate (surgery)
erkranken,to fall ill
leiden,to suffer
sich ernähren,to eat (a diet); to feed oneself
überleben,to survive
verabreichen,to administer (a medicine)
sich anstecken,to catch an infection
wissenschaftlich,scientific
technisch,technical
digital,digital
chemisch,chemical
biologisch,biological; organic
physikalisch,physical (of physics)
theoretisch,theoretical
genetisch,genetic
künstlich,artificial; synthetic
automatisch,automatic
elektrisch,electric
elektronisch,electronic
mechanisch,mechanical
flüssig,liquid; fluent
nachhaltig,sustainable; lasting
umweltfreundlich,environmentally friendly
erneuerbar,renewable
ökologisch,ecological; green
fossil,fossil (fuel)
chronisch,chronic
akut,acute
psychisch,mental; psychological
medizinisch,medical
allergisch,allergic
lebensgefährlich,life-threatening
pflanzlich,plant-based; herbal
virtuell,virtual
Abneigung; die Abneigung,dislike; aversion
Frustration; die Frustration,frustration
Eifersucht; die Eifersucht,jealousy
Empörung; die Empörung,outrage; indignation
Erleichterung; die Erleichterung,relief
Gelassenheit; die Gelassenheit,composure; calmness
Heimweh; das Heimweh,homesickness
Kummer; der Kummer,grief; sorrow
Mitleid; das Mitleid,pity; compassion
Reue; die Reue,remorse; repentance
Scham; die Scham,shame
Schreck; der Schreck,fright; shock
Trost; der Trost,comfort; consolation
Unruhe; die Unruhe,restlessness; unrest
Zorn; der Zorn,anger; wrath
Zuneigung; die Zuneigung,affection; fondness
Vorfreude; die Vorfreude,anticipation; pleasant excitement
Erschöpfung; die Erschöpfung,exhaustion
Dankbarkeit; die Dankbarkeit,gratitude
Hass; der Hass,hatred
Ungeduld; die Ungeduld,impatience
Bewunderung; die Bewunderung,admiration
Verachtung; die Verachtung,contempt
Schadenfreude; die Schadenfreude,malicious glee
Ekel; der Ekel,disgust; revulsion
Zärtlichkeit; die Zärtlichkeit,tenderness; affection
Zuversicht; die Zuversicht,confidence; optimism
Ehrgeiz; der Ehrgeiz,ambition
