Korean,English
넣다,to put in; to insert
네,four (before counter); yes
넥타이,necktie; tie
넷,four
넷째,fourth
년,year (counter)
노란색,yellow; yellow color
노래,song
노래하다,to sing
노트,notebook; note
놀다,to play; to hang out
놀라다,to be surprised; to be startled
높다,to be high; to be tall
놓다,to put down; to place
누구,who; someone
누나,older sister (of a male)
눈,eye; snow
눈물,tears; teardrop
뉴스,news
늦다,to be late; to be slow (clock)
다,all; everything; completely
다녀오다,to go and come back
다니다,to attend; to go regularly
다르다,to be different
다른,other; different
다리,leg; bridge
다섯,five
다섯째,fifth
다시,again; once more
다음,next; following
닦다,to wipe; to polish; to brush
단어,word; vocabulary
닫다,to close; to shut
달,month; moon
달다,to be sweet
달러,dollar
달력,calendar
닭,chicken (bird)
닭고기,chicken (meat)
담배,cigarette; tobacco
대답,answer; reply
대답하다,to answer; to reply
대사관,embassy
대학,university; college
대학교,university
대학생,university student; college student
대화,conversation; dialogue
댁,home (honorific); house (polite)
더,more
덥다,to be hot (weather)
도서관,library
도시,city
도와주다,to help
도착,arrival
도착하다,to arrive
독일,Germany
돈,money
돌아가다,to go back; to return; to spin
돌아오다,to come back; to return
돕다,to help; to assist
동물,animal
동생,younger sibling
동안,during; while; period of time
동쪽,east; eastern side
돼지,pig
돼지고기,pork
되다,to become
두,two (before counter)
둘,two
둘째,second
뒤,back; behind
드리다,to give (honorific); to do for (honorific)
듣다,to hear; to listen
들다,to hold; to cost; to enter
들어가다,to go in; to enter
들어오다,to come in; to enter
등산,hiking; mountain climbing
따뜻하다,warm
딸,daughter
딸기,strawberry
때,time; moment; when
때문,because of; reason
떠나다,to leave; to depart
떡,rice cake
또,again; also
똑같다,identical; exactly the same
똑바로,straight; upright
뛰다,to run; to jump; to beat (heart)
뜨겁다,hot (to the touch)
라디오,radio
라면,ramen; instant noodles
러시아,Russia
마리,counter for animals
마시다,to drink
마음,mind; heart
마지막,last; final
마흔,forty
만,ten thousand
만나다,to meet
만들다,to make
많다,many; a lot
많이,a lot; much
말,words; speech; language
말다,to stop; to not do (aux)
말씀,words (honorific); speech (honorific)
말씀하다,to speak (honorific)
말하다,to speak; to say
맑다,clear; clean (air or water)
맛,taste; flavor
맛없다,not tasty; tasteless
맛있다,delicious; tasty
매우,very
매일,every day; daily
맥주,beer
맵다,spicy
머리,head; hair
먹다,to eat; to end up doing (aux; casual)
먼저,first; before
멀다,far; distant
메뉴,menu
며칠,a few days; what date
명,counter for people
몇,how many; a few
모두,all; everyone; altogether
모든,all; every
모르다,to not know
모자,hat; cap
목,neck; throat
목요일,Thursday
목욕,bath; bathing
몸,body
못,cannot; unable to
못하다,to do poorly; cannot (aux); inferior
무겁다,heavy
무슨,what kind of; which
무엇,what
문,door; gate
문제,problem; question
묻다,to ask
물,water
물건,thing; object; goods
물론,of course
물어보다,to ask; to inquire
뭐,what (casual); well (filler)
미국,USA; America
미안하다,sorry
미터,meter (unit)
밑,bottom; underneath
바꾸다,to change; to exchange
바나나,banana
바다,sea; ocean
바람,wind; because of (~는 바람에)
바로,right away; exactly; straight
바쁘다,busy
바지,pants; trousers
박물관,museum
밖,outside
반,half; class (group)
반갑다,glad; nice to meet
받다,to receive
발,foot
발음,pronunciation
밝다,bright
밤,night
밥,cooked rice; meal
방,room
방학,school vacation
배,stomach; boat; pear
배고프다,hungry
배부르다,full (after eating)
배우다,to learn
백,hundred
백화점,department store
버리다,to throw away; to end up (aux)
버스,bus
번,time (counter); number
번호,number
벌써,already
벗다,to take off (clothes)
별,star
병,illness; bottle
병원,hospital
보내다,to send
보다,to see; to try (aux); more (than)
보통,usually; ordinary
복잡하다,complicated; crowded
볼펜,ballpoint pen
봄,spring (season)
부르다,to call; to sing
부모,parents
부모님,parents (respectful)
부부,married couple; husband and wife
부산,Busan (city)
부엌,kitchen
부인,wife (polite); madam
북쪽,north; north side
분,person (honorific); minute (time)
불,fire; light
불고기,bulgogi (grilled marinated beef)
불다,to blow (wind)
비,rain
비누,soap
비디오,video
비빔밥,bibimbap (mixed rice)
비슷하다,to be similar
비싸다,to be expensive
비행기,airplane; plane
빠르다,to be fast; to be quick
빨간색,red (color)
빨리,quickly; fast
빵,bread
사,four (Sino-Korean)
사과,apple
사다,to buy
사람,person; people
사랑,love
사랑하다,to love
사무실,office
사십,forty (Sino-Korean)
사용하다,to use
사월,April
사이,gap; between; relationship
사장,company president; boss
사전,dictionary
사진,photo; photograph
사탕,candy; sweets
산,mountain
산책,walk; stroll
살,years old (age counter)
살다,to live
삼,three (Sino-Korean)
삼십,thirty (Sino-Korean)
삼월,March
새,bird; new (before noun)
색,color
색깔,color
샌드위치,sandwich
생각,thought; idea
생각하다,to think
생기다,to appear; to come about; to happen
생선,fish (as food)
생일,birthday
생활,life; daily living
샤워,shower
서다,to stand; to stop
서로,each other; mutually
서른,thirty (native Korean)
서울,Seoul
서울역,Seoul Station
서점,bookstore
서쪽,west; west side
선물,gift; present
선물하다,to give a gift
선생,teacher
선생님,teacher (honorific)
설명,explanation
설명하다,to explain
설악산,Seoraksan (mountain)
설탕,sugar
세,three (before counter); years of age
세수,washing one's face
세탁기,washing machine
센티미터,centimeter
셋,three (native Korean)
셋째,third
소개하다,to introduce
소금,salt
소파,sofa; couch
소풍,picnic; outing
속,inside; interior
손,hand
손가락,finger
손님,guest; customer
쇠고기,beef
쇼핑,shopping
수,way; means (할 수 있다)
수건,towel
수박,watermelon
수업,class; lesson
수영,swimming
수영장,swimming pool
수요일,Wednesday
숙제,homework
숟가락,spoon
술,alcohol; liquor; spoonful (of food)
쉬다,to rest
쉰,fifty (native Korean)
쉽다,to be easy
슈퍼마켓,supermarket
스무,twenty (before counter)
스물,twenty (native Korean)
스키,ski; skiing
스트레스,stress
스포츠,sports
슬프다,to be sad
시,o'clock; hour; city
시간,time; hour
시계,clock; watch
시원하다,to be cool; to be refreshing
시월,October
시작,start; beginning
시작되다,to begin (by itself)
시작하다,to start; to begin
시장,market
시험,exam; test
식당,restaurant; dining hall
식사,meal
식사하다,to have a meal
식탁,dining table
신다,to put on (shoes/socks)
신문,newspaper
신발,shoes
실례,discourtesy; rudeness
실례하다,to excuse oneself (polite); to be rude
싫다,to be disliked; unpleasant
싫어하다,to dislike; to hate
십,ten (Sino-Korean)
십이월,December
십일월,November
싶다,to want to (after -go)
싸다,to be cheap
싸우다,to fight; to quarrel
쓰다,to write; to wear (hat/glasses); to use
쓰레기,trash; garbage
씨,Mr.; Ms. (after name)
씻다,to wash
아,ah; oh
아기,baby
아내,wife
아니,no; not (casual)
아니다,to not be
아니요,no (polite)
아들,son
아래,below; bottom; under
아름답다,to be beautiful
아마,probably; perhaps
아무,any; anyone; nobody (with negative)
아버지,father
아빠,dad; daddy
아이,child; kid
아이스크림,ice cream
아저씨,middle-aged man; mister
아주,very; really
아주머니,middle-aged woman; ma'am
아줌마,middle-aged woman (casual); auntie
아직,yet; still
아침,morning; breakfast
아파트,apartment
아프다,to hurt; to be sick
아홉,nine (native Korean)
아흔,ninety (native Korean)
안,inside; not (before verb)
안경,glasses; eyeglasses
안녕,hi; bye (casual)
안녕하다,to be well; to be at peace
안녕히,peacefully; in peace (greetings)
안다,to hug; to hold in arms
안되다,to not go well; to fail
앉다,to sit
않다,to not do (negation auxiliary)
알다,to know
앞,front; ahead
야구,baseball
약,medicine; drug
약국,pharmacy; drugstore
약속,promise; appointment
약속하다,to promise
양말,socks
양복,suit (Western clothes)
얘기,talk; story; chat
얘기하다,to talk; to chat
어,huh; oh; yeah (casual)
어깨,shoulder
어느,which; some
어디,where
어떠하다,to be how; to be a certain way
어떤,what kind of; some
어떻다,to be how; how is it
어렵다,to be difficult; hard
어른,adult; grown-up
어린이,child; children
어머니,mother
어서,quickly; come on; welcome
어제,yesterday
언니,older sister (of a female)
언제,when
언제나,always; all the time
얼굴,face
얼마,how much
얼마나,how much; how (to what degree)
엄마,mom; mommy
없다,to not exist; to not have
에어컨,air conditioner
여권,passport
여기,here
여덟,eight (native Korean)
여동생,younger sister
여든,eighty (native Korean)
여러,several; many; various
여러분,everyone; ladies and gentlemen
여름,summer
여보세요,hello (on the phone)
여섯,six (native Korean)
여자,woman; female
여학생,female student
여행,travel; trip
여행하다,to travel
역,station (train/subway)
역사,history
연습,practice; exercise
연습하다,to practice
연필,pencil
열,ten (native Korean)
열다,to open
열쇠,key
열심히,diligently; hard
영국,United Kingdom; Britain
영어,English (language)
영화,movie; film
옆,side; next to
예,yes (polite)
예쁘다,to be pretty
예순,sixty (native Korean)
옛날,old days; long ago
오,five (Sino-Korean)
오늘,today
오다,to come; to have been doing (auxiliary)
오래,for a long time
오래간만,after a long time; long time no see
오랜만,after a long time; long time no see
오렌지,orange (fruit)
오르다,to go up; to rise; to climb
오른쪽,right side; right
오빠,older brother (of a female)
오십,fifty
오월,May
오전,morning; a.m.
오후,afternoon; p.m.
올라가다,to go up; to climb up
올해,this year
옷,clothes
왜,why
왜냐하면,because
외국,foreign country
외국어,foreign language
외국인,foreigner
왼쪽,left side; left
요리,cooking; dish
요리하다,to cook
요일,day of the week
요즈음,these days; lately
요즘,these days; lately
우리,we; our
우리나라,our country; Korea
우산,umbrella
우유,milk
우체국,post office
운동,exercise; sports
운동장,sports field; playground
운동하다,to exercise
운동화,sneakers; sports shoes
운전,driving
운전하다,to drive
울다,to cry
웃다,to laugh; to smile
원,won (Korean currency)
월,month (in dates)
월요일,Monday
위,top; above
위험,danger; risk
위험하다,to be dangerous
유명하다,to be famous
유월,June
육,six
육십,sixty
은행,bank
음식,food
음악,music
의사,doctor
의자,chair
이,tooth; this; two
이거,this; this thing
이것,this; this thing
이곳,this place; here
이때,this time; this moment
이런,such; this kind of
이렇다,to be like this
이름,name
이번,this time; this (occasion)
이분,this person (honorific)
이십,twenty
이야기,story; talk
이야기하다,to talk; to tell (a story)
이월,February
이제,now; from now on
이쪽,this way; this side
이해하다,to understand
인사,greeting; notable figure
인사하다,to greet
인천,Incheon (city)
일,work; one; day (counter)
일곱,seven (native)
일본,Japan
일본어,Japanese (language)
일어나다,to get up; to wake up; to happen
일요일,Sunday
일월,January
일주일,one week
일찍,early
일하다,to work
일흔,seventy (native)
읽다,to read
잃다,to lose
잃어버리다,to lose (something)
입,mouth
입다,to wear; to put on (clothes)
있다,to be; to exist; to have
잊다,to forget
잊어버리다,to forget (completely)
잎,leaf
자다,to sleep
자동차,car; automobile
자리,seat; place; spot
자장면,jajangmyeon (black bean noodles)
자전거,bicycle
자주,often; frequently
작년,last year
작다,to be small
잔,cup; glass
잘,well
잘하다,to do well; to be good at
잠,sleep
잠깐,a moment; briefly
잠시,for a moment; a while
잠자다,to sleep
잡다,to catch; to grab; to hold
잡수시다,to eat (honorific)
잡지,magazine
장,sheet (counter for paper)
장미,rose
장소,place; location
재미,fun; interest
재미없다,to be boring; to be uninteresting
재미있다,to be fun; to be interesting
저,I (humble); that (over there)
저거,that thing (over there)
저것,that thing (over there)
저곳,that place (over there)
저기,over there
저녁,evening; dinner
저쪽,over there; that side
적다,to write down; to be few
전,before; ago; previous
전화,telephone; phone call
전화번호,phone number
전화하다,to phone; to make a call
점심,lunch
점심시간,lunchtime; lunch break
젓가락,chopsticks
정류장,bus stop; stop (transport)
정말,really; truly
제일,the most; number one; best
제주도,Jeju Island
조금,a little; a bit
조용하다,to be quiet
졸업,graduation
졸업하다,to graduate
좀,a little; please (softener)
종이,paper
좋다,to be good; to be nice
좋아하다,to like
죄송하다,to be sorry (polite)
주,week
주다,to give; to do for someone
주말,weekend
주소,address
주스,juice
주인,owner; master
죽다,to die
준비,preparation
준비하다,to prepare
중국,China
중국어,Chinese (language)
중요하다,to be important
중학교,middle school
중학생,middle school student
즐겁다,to be pleasant; to be fun
지갑,wallet; purse
지금,now
지난달,last month
지난주,last week
지내다,to get along; to spend time
지도,map
지우개,eraser
지우다,to erase; to delete
지하,underground; basement
지하철,subway; metro
질문,question
질문하다,to ask a question
집,house; home
짜다,to be salty
짧다,to be short
쪽,side; direction
찌개,stew (Korean)
찍다,to stamp; to take (photo)
차,car; tea
참,really; truly
창문,window
찾다,to find; to look for
책,book
책상,desk
처음,first time; beginning
천,thousand (1000)
천천히,slowly
첫째,first; firstly
청바지,jeans; blue jeans
청소,cleaning
청소하다,to clean
초대,invitation
초대하다,to invite
초등학교,elementary school; primary school
초콜릿,chocolate
추다,to dance (a dance)
축구,soccer; football
축하하다,to congratulate
출발하다,to depart; to leave
춤,dance; dancing
춤추다,to dance
춥다,to be cold (weather)
취미,hobby
층,floor; story (building)
치다,to hit; to strike
치마,skirt
치약,toothpaste
친구,friend
친절하다,to be kind; to be friendly
칠,seven (7)
칠십,seventy (70)
칠월,July
칠판,blackboard; chalkboard
침대,bed
칫솔,toothbrush
카드,card
카메라,camera
칼,knife
캐나다,Canada
커피,coffee
컴퓨터,computer
컵,cup
켜다,to turn on; to light
코,nose
콜라,cola; coke
크다,to be big; to grow up
크리스마스,Christmas
키,height (of a person)
타다,to ride; to get on
태권도,taekwondo
태어나다,to be born
택시,taxi
테니스,tennis
테이블,table
텔레비전,television
토요일,Saturday
티브이,TV
팀,team
파란색,blue (color)
파티,party
팔,arm; eight (8)
팔다,to sell
팔십,eighty (80)
팔월,August
퍼센트,percent
편지,letter (mail)
포도,grape; grapes
표,ticket
프랑스,France
피곤하다,to be tired
피아노,piano
피우다,to smoke (a cigarette); to make bloom
피자,pizza
필요,need; necessity
필요하다,to be necessary; to need
하나,one (number)
하늘,sky
하다,to do
하지만,but; however
학교,school
학년,school year; grade (in school)
학생,student
한,one (before a counter)
한강,Han River
한국,Korea; South Korea
한국말,Korean language (spoken)
한국어,Korean language
한글,Hangul (Korean alphabet)
한번,once; one time
한복,hanbok (Korean traditional dress)
한자,Chinese characters; hanja
할머니,grandmother
할아버지,grandfather
함께,together
항상,always
해,sun; year
핸드폰,cell phone; mobile phone
햄버거,hamburger
허리,waist; lower back
형,older brother (of a male)
호,issue (of a magazine)
호주,Australia
호텔,hotel
혼자,alone; by oneself
화,anger
화요일,Tuesday
화장실,bathroom; restroom
환자,patient (medical)
회사,company; firm
회의,meeting; conference
후,after; later
휴일,holiday; day off
휴지,tissue; toilet paper; wastepaper
휴지통,wastebasket; trash can
흰색,white (color)
힘,strength; power
힘들다,to be hard; to be tiring
