English,Definition
appoint,to choose someone officially for a job
appreciation,a feeling of being grateful for something
approach,a way of dealing with something
approval,official agreement that something is acceptable
approve,to officially agree that something is acceptable
approximately,about; close to an exact number
architect,a person who designs buildings
arise,to start to happen or appear
arithmetic,the part of math dealing with numbers
army,a large group of soldiers
arrange,to plan or organize something in advance
arrangement,a plan made in advance
arrest,the act of police taking someone for a crime
arrival,the act of reaching a place
arrow,a straight mark that points in a direction
artist,a person who creates paintings or drawings
artistic,having skill in painting drawing or music
ashamed,feeling bad about something wrong one did
aside,to one side; out of the way
aspect,one part or feature of a situation
aspirin,a common medicine that reduces pain
assign,to give someone a task to do
assignment,a task given to someone to complete
assist,to help someone do something
assistance,help given to someone
associate,to connect one thing with another in the mind
assume,to think something is true without proof
astronomer,a scientist who studies stars and planets
athletic,strong and good at sports
Atlantic,relating to the ocean between America and Europe
atmosphere,the layer of gases around a planet; the mood of a place
atomic,relating to very tiny particles of matter
attach,to join or fasten one thing to another
attachment,a file sent with an email; a strong feeling of love
attain,to succeed in reaching a goal
attend,to go to an event or place
attract,to make someone interested or drawn closer
attraction,a place people like to visit; a strong liking for someone
authority,the power to control others; an official group in charge
auxiliary,giving extra help or support
available,able to be used or obtained now
avenue,a wide street in a town or city
aware,knowing that something exists
awareness,understanding that something exists or is happening
awesome,extremely good or impressive (informal)
awkward,causing embarrassment or discomfort
babysit,to look after a child for a short time
babysitter,a person who looks after other people's children
backache,pain in your back
backpack,a bag carried on your back
backpacker,a traveler who carries a bag on their back
backpacking,traveling with a bag on your back
bacon,salted meat from a pig
baggage,bags you take on a trip
baker,a person who makes bread
bakery,a shop that sells bread
balance,a steady position without falling; money kept in an account
bald,having no hair on the head
bandage,a strip of cloth for a wound
bang,a sudden loud noise
bank account,a place to keep and manage your money
bare,not covered by clothes or anything else
barely,only just; almost not at all
bark,the outer covering of a tree
barman,a man who serves drinks at a bar
barrel,a large round container for liquid
basement,the floor of a building below ground
basin,a bowl for washing or holding water
basis,the main reason or starting point
bathe,to wash yourself in water
battle,a fight between two armies
beard,hair on a man's chin and cheeks
beast,a large or dangerous animal
beat,to win against someone; to hit again and again
beautifully,in a very pleasing way
beaver,an animal that builds dams with wood
because of,as a result of
bedside,the space next to a bed
behalf,acting or speaking for another person
behave,to act in a certain way
belief,a strong feeling that something is true
beloved,very dear to someone
beneath,in a lower position than
benefit,a helpful or good effect
bent,not straight; curved
bet,to risk money on the result of something
bilingual,able to speak two languages
bin,a container for waste
biochemistry,the study of chemicals in living things
biography,a book about a real person's life
biology,the study of living things
bishop,a senior priest in a church
bitter,having a sharp unpleasant taste; full of anger
bleed,to lose blood from the body
blend,to mix things together smoothly
bless,to ask for God's protection over someone
blessing,something that brings happiness or luck
blind,not able to see
blog,a personal website with regular posts
blogger,someone who writes an online journal
blush,pink color in the face from embarrassment
boast,to talk too proudly about yourself
bold,brave and confident
boldly,in a brave and confident way
bomb,a weapon that explodes
bond,a close connection between people
booking,an arrangement to reserve something in advance
boom,a sudden increase in something; a loud deep sound
boot,a shoe that covers the ankle
border,the line between two countries
bore,to make someone feel tired and uninterested
boredom,the feeling of having nothing interesting to do
bounce,to jump back after hitting a surface
bound,certain to happen; tied firmly
bow,a weapon for shooting arrows; a knot with loops
boxing,a sport where two people fight with their fists
bracelet,jewelry worn around the wrist
brainstorming,a way to create many new ideas quickly
brand-new,not used before at all
brass,a yellow metal made from copper and zinc
bravely,without fear; showing courage
breakthrough,an important new discovery or success
breast,the front upper part of the body
breath,the air you take into your lungs
breathless,unable to get enough air quickly
breed,to produce young animals
breeding,the process of producing young animals
brick,a block used to build walls
brief,lasting only a short time
briefly,for a short time
brightly,in a shining or vivid way
broad,wide from side to side
broadcast,a program sent out on TV or radio
broccoli,a green vegetable with small buds
bronze,a brown metal made from copper and tin
brotherhood,a feeling of friendship between people
bubble,a round pocket of air in liquid
buddy,a close friend (informal)
builder,a person who makes houses and other structures
bull,a male cow
bullet,a small piece of metal shot from a gun
bulletin,a short news report or announcement
bump,to hit something by accident
bunch,a group of things held together
burden,a heavy load or difficult duty
bureau,an office that provides a service; a writing desk
burglar,a person who steals from houses
burning,on fire; very strong and intense
burst,to break open suddenly
bust,to break something; to catch a criminal
butcher,a person who sells meat
buyer,a person who purchases something
cabbage,a round green or purple vegetable
cabin,a small wooden house; a room on a ship
cage,a box with bars for animals
calculate,to find an answer using numbers
calculation,the process of finding an answer with numbers
calculator,a machine that does math
calf,a young cow; the back of the lower leg
caller,a person who telephones someone
calm,peaceful and relaxed
calmness,a peaceful state without worry
camel,a desert animal with a hump on its back
campsite,a place where people set up tents
canal,a man-made waterway for boats
cancel,to stop a planned event from happening
cancer,a serious disease with abnormal cell growth
candle,a stick of wax with a wick for light
canned,kept fresh inside a sealed metal container
canteen,a place to eat at work or school
capable,able to do something well
capacity,the amount something can hold; the ability to do something
capsule,a small case that holds medicine
capture,the act of catching a person or animal
career,a job you do for a long time
careless,not paying enough attention
carelessly,without paying enough attention
carelessness,a lack of proper attention
carpet,thick fabric covering a floor
carriage,part of a train for passengers; a vehicle pulled by horses
carton,a cardboard or plastic container
cashpoint,a machine that gives out money
casual,relaxed and not formal
categorize,to put things into groups
category,a group of similar things
cattle,cows kept on a farm
caution,great care to avoid danger
cautious,careful to avoid danger or mistakes
cave,a large hole in rock or under ground
CD-ROM,a disc that stores computer data
celebrity,a famous person
cell,smallest part of a living thing; a small room in a prison
central,in or near the middle
central heating,a system that warms a building
ceremony,formal event for a special occasion
certainty,being sure that something is true
challenging,difficult in an interesting way
champion,the winner of a competition
channel,a TV station; a passage for water
chaos,complete confusion and disorder
characteristic,a typical feature of something
characterize,to describe what makes something typical
charge,the money asked for something; control of something
chariot,an old vehicle pulled by horses
charity,an organization helping people in need
charm,the power to attract people
chase,running after someone to catch them
chat show,a TV program featuring guest interviews
check-in counter,place to register before your flight
check-in desk,where you register before a flight
checkout,where you pay in a shop
cheerful,happy and pleasant
chemist,a shop that sells medicine; a scientist who studies substances
chemistry,the science of substances and reactions
cherish,to love and value something deeply
chest of drawers,furniture with boxes for storing clothes
chewing gum,flavored candy that is not swallowed
chief,most important in a group
choir,a group who sing together
choke,to struggle to breathe or swallow
Christian,relating to the religion of Jesus
chronological,arranged in the order events happened
chuckle,a quiet laugh
circular,shaped like a ring
circus,a show with acrobats and animals
citizenship,official membership in a country
civil,polite and reasonable; of ordinary people not soldiers
civilization,a society with its own culture
classical,of old formal music or art
classify,to put things into groups
cliff,a tall rock beside the sea
climate,the usual weather of a region
climber,someone who scales mountains for sport
clinic,a place for medical treatment
clip,a tool that holds things together; a short piece of a film
closely,in a careful and detailed way
coal,a black rock burned for fuel
coastal,near the sea
cod,a common fish from the sea
coffin,a box holding a dead body
collapse,a sudden fall or failure
collar,the neck part of a shirt
columnist,a writer of regular newspaper articles
combination,a mix of different things
combine,to join two things together
comedian,a performer who makes people laugh
comedy,a funny play or film
comet,a bright object flying through space
comfort,a feeling of ease and relief
comma,a punctuation mark that separates ideas
command,an order to do something
comment,a spoken or written opinion
commercial,relating to buying and selling
commit,to promise to do something; to do something wrong or illegal
common sense,good practical judgment about ordinary things
commonly,in most cases; usually
companion,someone who spends time with you
comparison,how things are similar or different
compete,to try to win against others
competitive,wanting to win or beat others
competitor,someone trying to win against others
complement,something that suits another thing well
completely,in every way; totally
complex,difficult because it has many parts
complicate,to make something more difficult
complicated,made up of many confusing parts
compliment,a nice remark about someone
compose,to write a piece of music
composition,a piece of music or writing; the way parts are arranged
compound,a substance made of several elements
compromise,an agreement where each side gives up part of what it wanted
concentration,ability to focus on one thing
concept,a general idea
concerned,worried about something
conclude,to decide something after careful thought
conclusion,the final part of something; a decision reached after thinking
conduct,the way a person behaves
confidence,trust in your own abilities
confirm,to say something is definitely true
confirmation,proof that something is true
conflict,a serious disagreement or fight
confusing,hard to understand or follow
confusion,not understanding something clearly
congratulate,to tell someone well done
connect,to link two things together
connection,a link between two things
conquer,to defeat and take control
conscious,awake and aware of things
consequently,as a result; therefore
conservation,protecting nature and natural resources
conservative,not liking change; traditional
considerable,fairly large in amount
consideration,careful thought about something
consonant,a letter sound not a vowel
constantly,all the time; again and again
constitute,to form or make up something
constitution,the basic laws of a country
construct,to build something
construction,the process of building something
consume,to use up something; to eat or drink something
consumer,someone who buys goods or services
consumption,the amount used or eaten
contain,to have something inside
content,the ideas or information inside something; the amount of a substance inside
continual,happening again and again over a period of time
continually,repeatedly over a long period
continuous,happening without any break or stop
continuously,all the time without a break
contrary,completely different or opposite
contribute,to give help or support
contribution,something given to help others
controversial,causing strong disagreement among people
convey,to make an idea understood
convince,to make someone believe something
copyright,legal control over a creative work
correction,a change that fixes a mistake
cotton,soft plant fiber used for cloth
cough,to force air out noisily
council,a group that manages a town
counseling,advice and support for personal problems
counter,to argue against something said
countless,extremely many; too many to number
county,a region with local government
courage,the ability to face danger
courageous,brave and not afraid of danger
courgette,a long green vegetable (zucchini)
craft,a skill of making things
crash,a sudden violent accident; a loud sound of something breaking
creator,someone who makes or invents something
criminal,a person who breaks the law
crisis,a time of great difficulty
critic,someone who judges art or books
critical,very important; finding fault with something
crop,a plant grown for food
crossing,a marked path over a road
crossroads,a point where two roads meet
crow,a large black bird
cruel,causing pain to others on purpose
crush,a strong sudden liking for someone
cucumber,a long green vegetable eaten raw
cultivate,to grow plants or crops
cultural,relating to a society's way of life
cure,a treatment that ends an illness
curiosity,a strong desire to know things
curious,eager to learn or know things
curiously,strangely; with great interest
curly,having tight twists or loops
currency,the money used in a country
current,happening or existing right now
currently,at this present time; now
curriculum,the subjects and topics taught at school
curtain,a cloth hung to cover a window
curve,a bending line with no sharp angles
cushion,a soft pillow for sitting or leaning on
customs,official checks on goods entering a country
CV,a written summary of your education and jobs; resume
cycle,a bicycle; a series of repeating events
daisy,a small flower with white petals and a yellow center
damage,harm or injury done to something
damaged,broken or spoiled in some way
damp,slightly wet or moist
dangerously,in a risky or harmful way
dare,to be brave enough to try something
darkness,the state of having no light
dating,meeting someone socially to explore a romantic relationship
daze,a state of confusion or shock
dazzle,a very bright light that blinds you briefly
deadline,the latest time to finish something
deadly,very dangerous and likely to kill
deaf,unable to hear
dealer,a person who buys and sells goods
debris,broken pieces left after damage or destruction
debt,money that you owe to someone
decision,a choice made after careful thought
declaration,an official public statement
declare,to state something officially and firmly
decline,a gradual decrease in quality or amount
decrease,a reduction in amount or level
dedicate,to give all your time or effort to something
deed,an action that someone does; an act
defeat,to beat someone in a fight or contest
defend,to protect someone or something from harm
defender,a sports player who protects their team's goal
defense,protection against attack or harm
deficiency,a lack of something that is needed
define,to explain exactly what a word means
definite,certain and not likely to change
definite article,the word 'the' used before specific nouns
definitely,without any doubt at all
definition,an explanation of what a word means
delete,to remove data or a file from a computer
delicate,easily broken or hurt; fragile
delight,a feeling of great pleasure or joy
delighted,extremely pleased and happy about something
delightful,very pleasant and enjoyable
deliver,to bring goods or a message to someone
delivery,the bringing of goods to a place
demand,a strong and firm request for something
democracy,a system where people vote for their leaders
democratic,chosen by the votes of the people
demonstrate,to show clearly how something works
demonstration,a public event to show an opinion; a display of how something works
deny,to say that something is not true
depart,to leave a place and start a journey
department,one section of a large organization
departure,the act of leaving a place
dependent,needing help or support from someone else
deposit,money paid as the first part of a payment
depressed,feeling very sad for a long time
depressing,making you feel very sad
depression,a long period of deep sadness; a serious drop in the economy
deprive,to stop someone from having something they need
depth,the distance from top to bottom
derive,to get or receive something from a source
deserve,to be worthy of receiving something
designer,someone who decides how something will look
desire,a strong feeling of wanting something
despair,a feeling that nothing good will happen
desperate,extremely worried and willing to try anything
despite,although; even though; in spite of
destination,the place where someone is going
destruction,great damage that ruins something completely
destructive,causing great damage or ruin
detective,a person who investigates and solves crimes
determination,a strong will to keep trying despite difficulty
determine,to find out or decide something exactly
devastate,to shock and upset someone very deeply
devastating,causing great shock and severe harm
development,the process of growing or improving over time
device,a machine or tool made for a task
devotion,great love and loyalty to someone
diagram,a simple drawing that explains how something works
dial,a round part with numbers you turn or press
dialog,a conversation between two or more people
diameter,the distance across a circle through its middle
diaper,soft padding worn by a baby
differ,to not be the same as something else
digital,using computers or electronic technology
diligence,careful and steady effort in work
diligent,careful and hard-working
dioxide,a compound containing two oxygen atoms
directly,in a straight line; without delay
dirt,loose soil or unclean material
disability,a condition that limits what someone can do
disable,to make a machine or system stop working
disabled,having a lasting physical or mental condition
disagreement,a situation where people have different opinions
disappoint,to make someone feel let down
disappointment,a feeling of being let down
disaster,a sudden event that causes great harm
disastrous,extremely harmful or unsuccessful
disc jockey,someone who plays recorded music at parties or on radio
discomfort,a feeling of slight pain or unease
discount,a reduction in the normal price
discourage,to make someone want to stop trying
discovery,the finding of something new or unknown
discrimination,unfair treatment because of a person's group
disease,an illness that affects the body
disgusting,extremely unpleasant to see smell or taste
dishwasher,a machine that washes plates and cups
disk,a flat round object that stores computer data
dissolve,to mix completely into a liquid
distance,the amount of space between two places
distant,far away in place or time
distinction,a clear difference between two things
distinctly,in a way that is easy to notice
distinguish,to notice the difference between things
distribute,to give out things to many people
distribution,the act of giving things out to people
district,one area of a city or country
disturbance,something that breaks peace or quiet
dive,a jump into water head first
diver,a person who swims deep underwater with equipment
diverse,made up of many different types
divine,relating to God or a god
diving,jumping into water as a sport; swimming underwater with equipment
divorced,no longer legally married to a former partner
DJ,someone who plays music at a party or on the radio
doc,an informal short word for a doctor
document,an official written or printed paper
documentary,a film that shows real events or facts
dolphin,an intelligent sea animal that breathes air
dot,a very small round mark
downward,moving or pointing toward a lower place
doze,a short light sleep
dozen,a group of twelve things
drag,to pull something along a surface
dramatic,sudden and very noticeable; theatrical
drown,to die from staying underwater too long
drunk,affected by too much alcohol
dude,a man or guy (informal)
dull,not interesting or exciting
dump,a place where trash is left
dustbin,a container for trash (British)
dusty,covered with fine dry dirt
duty,something you must do; a tax on goods
duty-free,sold without tax (at airports)
duvet,a thick warm cover for a bed (British)
dynasty,a family that rules for generations
eager,wanting to do something very much
eagerness,a strong wish to do something
earache,pain inside the ear
earnest,very serious and sincere
eastern,in or from the east
easygoing,calm and relaxed about most things
eco,concern for protecting the natural world (informal)
ecological,relating to nature and the natural world
ecology,the study of living things and their surroundings
economic,relating to trade money and industry
economics,the study of money trade and production
economy,the system of trade and money in a country
ecosystem,all living things and their surroundings in one place
ecstasy,a feeling of extreme joy
edge,the outer border of something
edition,one version of a published book
educate,to teach someone new knowledge or skills
effective,producing the result you wanted
efficiency,the quality of working well without waste
efficient,working well without wasting time or effort
elbow,the joint in the middle of your arm
election,a vote to choose a leader
electrical,relating to the power that runs lights and machines
electricity,the power that runs lights and machines
electron,a tiny particle inside an atom
electronic,using circuits to control machines or devices
element,one basic part of a whole system
eliminate,to get rid of something completely
embarrass,to make someone feel shy or uncomfortable in front of others
embarrassed,feeling shy or uncomfortable in front of others
embarrassment,a shy uncomfortable feeling in front of others
emerge,to come out and become visible
emotion,a strong feeling like joy or fear
emotional,showing or caused by strong feelings
emotionally,in a way full of strong feelings
emperor,the male ruler of an empire
emphasis,special importance given to an idea
emphasize,to show that something is especially important
empire,a large group of countries under one ruler
employment,paid work that a person does
enable,to make it possible for someone to do something
enclose,to put something inside an envelope; to surround completely
encounter,a sudden or unexpected meeting
encouragement,words or actions that give someone confidence
encouraging,giving someone hope or confidence
encyclopedia,a book or website with facts on many topics
endanger,to put something at risk of being harmed
endless,seeming to go on forever
endure,to bear something difficult for a long time
enemy,a person who hates or fights against you
engage,to become involved in an activity
engaged,promised to marry someone; busy doing something
engine,the part of a machine that makes it move
engineering,the science of designing and building things
Englishman,a man from England
enjoyable,pleasant and fun to experience
enjoyment,a feeling of pleasure or fun
enrich,to make something better in quality
ensure,to make certain that something happens
entertain,to amuse or interest people
entertainer,a person who performs to amuse an audience
enthusiasm,strong excitement and interest in something
enthusiast,a person with strong interest in one activity
enthusiastic,showing strong excitement and interest
entire,whole or complete
entirely,completely or totally
entry,a way into a place; one item in a list
environmental,relating to nature and our surroundings
environmentalist,a person who works to protect nature
equal,the same in size or value
equality,the state of everyone being treated the same
equally,in the same amount or way
equipment,the tools or machines needed for a task
era,a period of time in history
essence,the most important basic part of something
essential,absolutely necessary and important
establishment,a business or organized institution; the act of starting one
estimate,to guess an amount or size roughly
eternal,lasting forever without end
eternity,time that never ends
evenly,in equal amounts across a surface or group
eventually,after a long time; in the end
evident,easy to notice or see; clear
exact,completely correct and precise
examination,a formal test of knowledge or skill; a careful check
examine,to look at something very carefully
examiner,a person who gives and checks a test
excellence,the quality of being very good at something
excess,an amount that is more than needed
exchange rate,the value of one country's money compared to another's
excitedly,in a very happy and eager way
excitement,a strong feeling of happy energy
exclusive,available only to certain people
exhausted,feeling extremely tired
existence,the state of being real or alive
exit,the way out of a place
expand,to become or make bigger
expense,money that must be spent on something
experienced,having done something many times before
experiment,a scientific test to check an idea
exploration,the act of traveling to discover new places
explosion,a sudden burst with a loud noise
expose,to make something hidden visible or known
extend,to make something longer or larger
extensively,over a wide area; in great detail
extent,the size or degree of something
extinct,no longer existing as a living species
extinction,the total disappearance of a type of animal or plant
extraordinary,very unusual or remarkable
extreme,very great in degree; far beyond normal
extreme sports,risky activities done for a thrill like skydiving
eyesight,the ability to see clearly
face to face,meeting someone in person rather than by phone
face-to-face,happening in person between people who meet directly
facility,a place or equipment built for a purpose
fade,to slowly become less bright or strong
failure,the state of not succeeding at something
faint,weak and hard to notice; feeling dizzy and about to collapse
faithful,loyal and trustworthy
fake,made to look real but false
fallen,having dropped down to the ground; killed in battle
fantasy,an imagined story far from real life
faraway,located a long distance away
farewell,a goodbye said when someone leaves
farming,the work of growing crops or raising animals
farmland,land used for growing crops
farther,at a greater distance
farthest,at the greatest distance
fascinate,to interest someone very strongly
fashionable,popular and stylish at the moment
fasten,to close or attach something firmly
favorable,helpful and likely to bring a good result
fax,a copy of a document sent through a phone line
feast,a large special meal for many people
fellow,a man (informal); someone in your same group
ferry,a boat that carries passengers across water
festive,cheerful and suited to a celebration
fetch,to go and bring something back
feverishly,in a fast nervous or excited way
fifth,coming right after fourth in order; one of five equal parts
filling,food or material put inside a pie or tooth
film-maker,a person who makes movies
filter,a device that removes unwanted material from a liquid or gas
finance,to provide the money needed for something
financial,relating to money or banking
finding,a result discovered through research or study
finger,one of the five parts at the end of a hand
fire station,a building where firefighters keep their trucks and equipment
firefighter,a person whose job is to put out fires
firework,a device that explodes with bright light and sound for celebrations
firm,solid and not easily pressed down; strict and certain
firmly,in a strong and steady way
first floor,the level just above street level in a building
first lady,the wife of a country's leader such as a president
first-floor,located on the level just above street level
fitness,the state of being physically healthy and strong
flash,expensively stylish in a showy way (informal)
flavor,the taste of food or drink
flock,a group of birds or sheep
flow,a steady continuous movement of something
flu,a common illness with fever and body aches
fluent,able to speak or write a language easily and well
fluently,in a smooth and skillful way when speaking a language
flunk,to fail a test or class (informal)
flute,a thin musical instrument you blow into to play notes
fold,a line where paper or cloth is bent over
folk,people in general; traditional music of a country
fond,liking someone or something a lot
fondness,a feeling of liking someone or something
foolish,not sensible; acting in a silly way
foot,the part of the body at the end of a leg
forbidden,not allowed by a rule or law
forecast,a prediction of future weather or events
forehead,the part of the face above the eyes
forgive,to stop feeling angry about a wrong someone did
formal,following official rules and manners; not casual
formally,in an official and polite way
format,the way something is arranged or presented
former,being something in the past but not now
formula,a fixed method or rule for solving something
forth,onward or forward in place or time (formal)
fortnight,a period of two weeks
fortunate,having good luck
foundation,the solid base that supports a building; the start of something
fountain,a structure that sprays water into the air
fragment,a small broken piece of something
freely,without limits or control
freezer,an appliance that keeps food very cold and solid
freezing,so cold that water turns to ice
frequency,how often something happens
frequent,happening often; occurring many times
frequently,very often; many times
freshman,a student in the first year of high school or college
friendliness,the quality of being kind and warm to others
fright,a sudden feeling of fear
frost,a thin white layer of ice on a cold surface
frozen,changed into ice; kept very cold to preserve it
frustrated,feeling annoyed because things are not going as planned
frustration,a feeling of annoyance when things do not go well
frying pan,a flat metal dish used to cook food in oil
fuel,a substance burned to produce energy or power
full stop,the dot placed at the end of a written sentence
full-time,working all the normal hours in a week
fund,an amount of money saved for a specific purpose
funeral,a ceremony held after a person dies
fur,the soft hair covering many animals' bodies
furnish,to provide a room or house with tables and chairs
furthermore,in addition to what was already said
furthest,at the greatest distance from a point
fuss,unnecessary worry or complaint about small things
gain,an increase in something; a benefit you get
gall,rude boldness to do something wrong (informal)
gallon,a unit used to measure a liquid amount
gap,an empty space between two things or events
gardening,the activity of growing flowers and vegetables at home
garment,a piece of clothing
gay,attracted romantically to people of the same sex
gee,used to show surprise or mild feeling (informal)
gene,a part of a cell that carries traits from parents
general,true for most cases and not detailed
generally,in most cases; usually
generate,to produce or create something
generous,willing to give a lot without expecting anything back
genetic,relating to features passed from parents to children
genetically,in a way related to inherited traits
genetics,the scientific study of how traits pass between generations
gentleman,a polite way to refer to a man
geographical,relating to the physical features of the earth
geography,the study of countries and the earth's physical features
geology,the scientific study of rocks and the earth's structure
gesture,a movement of the hand or body that expresses a feeling
giant,extremely large in size
gifted,having a natural talent or high intelligence
giggle,a quiet silly laugh
ginger,a spicy root used in cooking
giraffe,a tall African animal with a very long neck
glance,a quick short look at something
glide,a smooth movement through the air or over a surface
glimpse,a very brief look at something
glint,a small quick flash of light
global,relating to the whole world
glorious,extremely beautiful or impressive
glory,great honor and public praise
goalkeeper,the player who stops the ball from entering the goal
goddess,a female god in a story or religion
golfer,a person who plays the sport of golf
goodness,used to express surprise in a polite way
goods,products made or sold in stores
gorgeous,extremely beautiful or attractive
gorilla,a large strong ape from Africa
gossip,talk about other people's private lives
govern,to officially control and lead a country
governor,a person who officially leads a state or region
gown,a long formal dress
grab,to take hold of something quickly and firmly
graceful,moving in a smooth and attractive way
graduation,the ceremony held when someone finishes a course of study
grant,an amount of money given officially for a purpose
graph,a drawing that shows how numbers or amounts relate
graphic,shown in vivid detail; relating to images or drawings
graphics,images or pictures especially made by computer
gratitude,a feeling of being thankful
grave,the place in the ground where a dead body is buried
gravy,a sauce made from meat juices
greenhouse,a glass building used for growing plants
greeting,a word or action used when meeting someone
grill,a metal frame used to cook food over heat
groom,a man on the day of his wedding
ground floor,the level of a building at street level
grouping,a set of things or people put together
growth,the process of becoming bigger or more developed
guarantee,a firm promise that something will happen or work
guidance,helpful advice or direction given to someone
guide,a person or book that gives helpful directions
guilt,a bad feeling from knowing you did something wrong
guilty,responsible for doing something wrong
guitarist,a person who plays the guitar
gym,a place with equipment for physical exercise
gymnastics,a sport with jumps flips and balance movements
habitat,the natural home of an animal or plant
hairdresser,a person whose job is to cut and style hair
hairdryer,a device that blows hot air onto wet hair
hammer,a tool with a heavy head used to hit nails
handball,a team sport where players throw a ball into a goal
hand-held,small enough to carry and use in one hand
handkerchief,a small cloth used to wipe your nose or face
handshake,the act of grasping right hands as a greeting
handwriting,a person's own style of writing by hand
handy,useful and easy to use; nearby and convenient
hang,to attach something so it drops down from a point
hanging,supported from above not touching the ground
harbor,a safe area of water for ships
hardship,a period of great difficulty
hard-working,putting great effort into tasks
harness,straps used to hold or control something
hasty,done too fast without enough thought
hatch,a small opening or door in a floor or boat
hatred,a very strong dislike
haunt,a place someone visits very often
haven,a safe peaceful place
hazard,something that could cause harm
headline,the large title of a news story
heal,to become well again after being hurt or sick
healing,helping the body get better
hearing,the sense used to notice sounds; an official legal meeting
heart attack,a sudden dangerous problem with blood flow in the chest
hearted,(in combination) having a certain personality
hearty,warm and full of enthusiasm; (of a meal) large and filling
heater,a machine that warms a room
heaven,the place good people go after death
heavenly,extremely pleasant and delightful; relating to the sky above
heel,the back part of the foot
height,how tall a person or thing is
helmet,a hard hat that protects the head
helpless,not able to protect yourself
herd,a large group of animals together
hesitate,to pause because you are unsure
hidden,kept out of sight
highlight,to draw special attention to something
highly,to a very great degree
hip,the joint where the leg meets the body
hire,to give someone a paid job; to rent something for a while
historian,a person who studies past events
historic,important enough to be remembered for years
historical,relating to real events from the past
HIV,a virus that attacks the body's immune system
holy,connected with God and treated as sacred
homeless,having no place to live
honest,telling the truth and not cheating
honestly,in a truthful way; used to show you mean it
honesty,the quality of telling the truth
honeymoon,a trip taken by a couple just married
hop,a small jump usually on one leg
hopeful,feeling that good things will happen
hopefully,used to say you wish something happens
hopeless,having no chance of success; very bad at something
horizon,the line where sky meets the ground
horn,a pointed growth on an animal's head; a loud warning device
horrible,very unpleasant or bad
horrify,to shock and upset someone deeply
hostel,cheap simple lodging for travelers
household,all the people living in one home
housework,cleaning and tidying tasks done at home
huge,extremely large in size
humanity,all people considered as one group; kindness toward others
humid,having a lot of moisture in the air
humor,the quality of being funny
humorous,funny and causing laughter
hunger,the feeling of needing food
